,index,corr,g,m,total
0,"螺纹钢（Φ16-25mm,HRB400）_fixed_GR",0.7921641981288081,0.7461553773390566,0.3327836501847383,0.6237010752175344
1,"线材（Φ6.5mm,HPB300）_fixed_GR",0.6938405995488688,0.6042214079810682,0.20027424297951724,0.49944541683648475
2,"普通中板（20mm,Q235）_fixed_GR",0.8500802697808132,0.8026119408743819,0.5350969995033124,0.7292630700528359
3,"热轧普通薄板（3mm,Q235）_fixed_GR",0.7953249679892886,0.7593304206694713,0.36779626227446816,0.6408172169777427
4,"无缝钢管（219*6,20#）_fixed_GR",0.8525175197576691,0.6795643244928258,0.41803756336104314,0.6500398025371793
5,角钢（5#）_fixed_GR,0.8400719602171757,0.7066544824778369,0.41553994171257247,0.6540887948025284
6,电解铜（1#）_fixed_GR,0.8234254245039685,0.7404337218898565,0.6054967712632175,0.7231186392190141
7,铝锭（A00）_fixed_GR,0.07895425689408786,0.21006721316704957,0.17754629239806907,0.15552258748640216
8,铅锭（1#）_fixed_GR,0.8021360382849305,0.6232751594556565,0.18253685521962693,0.5359826843200713
9,锌锭（0#）_fixed_GR,0.9745467340018514,0.9196238762812714,0.8015984911547698,0.8985897004792975
10,硫酸（98%）_fixed_GR,0.9475361530066346,0.8437621505872406,0.8437709379928626,0.8783564138622459
11,烧碱(液碱，32%)_fixed_GR,0.8049203450796458,0.6941915144928561,0.16642931128927407,0.5551803902872586
12,甲醇（优等品）_fixed_GR,0.9258799412618723,0.8300202673475956,1.0,0.9186334028698226
13,纯苯（石油苯，工业级）_fixed_GR,0.0,0.0,0.7426797663089502,0.2475599221029834
14,苯乙烯（一级品）_fixed_GR,0.4736705322711729,0.3253164373328259,0.5052576230618326,0.43474819755527716
15,聚乙烯（LLDPE，7042）_fixed_GR,0.9778361968985023,0.9385875014792429,0.8437709379928626,0.9200648787902027
16,聚丙烯（T30S）_fixed_GR,0.8374729147365465,0.6599287702714001,0.6284016037855424,0.7086010962644963
17,聚氯乙烯（SG5）_fixed_GR,0.09074210535699906,0.29965897313301193,0.6391390664750147,0.3431800483216752
18,顺丁胶（BR9000）_fixed_GR,0.7566148940525297,0.6073827423598124,0.4114703116807894,0.5918226493643771
19,涤纶长丝（FDY150D/96F）_fixed_GR,0.9324245363418393,0.8226173415902938,0.8437709379928626,0.8662709386416653
