,index,corr,g,m,total
0,"螺纹钢（Φ16-25mm,HRB400）_fixed_GR",0.9623479470330945,0.9658660432375286,0.7676906119143292,0.8986348673949841
1,"线材（Φ6.5mm,HPB300）_fixed_GR",0.9692373197733137,0.9723517695487767,0.8121707348033778,0.917919941375156
2,"普通中板（20mm,Q235）_fixed_GR",0.9353201604320545,0.8912115925822024,0.7235648446795038,0.8500321992312535
3,"热轧普通薄板（3mm,Q235）_fixed_GR",0.9640428149189725,0.9455646864964125,0.7361241518946189,0.8819105511033346
4,"无缝钢管（219*6,20#）_fixed_GR",0.8307004235783761,0.7838065263724856,0.3257623827033531,0.6467564442180717
5,角钢（5#）_fixed_GR,1.0,1.0000000000000002,0.8396475665562637,0.9465491888520878
6,电解铜（1#）_fixed_GR,0.95310957263094,0.9293510526139659,0.7235648446795038,0.8686751566414698
7,铝锭（A00）_fixed_GR,0.9539882386311858,0.9059250589102203,0.7361241518946189,0.865345816478675
8,铅锭（1#）_fixed_GR,0.666611645017746,0.6390675696957999,0.44147000640329437,0.5823830737056134
9,锌锭（0#）_fixed_GR,0.9513919255212268,0.8864162672372886,0.6870094850120665,0.8416058925901938
10,硫酸（98%）_fixed_GR,0.9154849843251148,0.768079653923625,0.933086168279464,0.8722169355094013
11,烧碱(液碱，32%)_fixed_GR,0.3742507363452604,0.28936076625077733,0.5022822419094053,0.38863124816848105
12,甲醇（优等品）_fixed_GR,0.9843625126074964,0.9207698881022568,1.0,0.9683774669032511
13,纯苯（石油苯，工业级）_fixed_GR,0.7681439938439913,0.6023350076415535,0.48559855904949156,0.6186925201783454
14,苯乙烯（一级品）_fixed_GR,0.9272838443521991,0.8586378446736631,0.902246922439395,0.8960562038217524
15,聚乙烯（LLDPE，7042）_fixed_GR,0.8739919006818121,0.7093946762227483,0.3847331187371352,0.6560398985472319
16,聚丙烯（T30S）_fixed_GR,0.5845167886931137,0.5127498959093744,0.03238894604546616,0.37655187688265146
17,聚氯乙烯（SG5）_fixed_GR,0.9355572790455038,0.8266818694787628,0.6570125251867738,0.8064172245703468
18,顺丁胶（BR9000）_fixed_GR,0.9741679729785689,0.8290258900786383,1.0,0.9343979543524025
19,涤纶长丝（FDY150D/96F）_fixed_GR,0.48139885910010644,0.3835235839172715,0.07778912639046087,0.3142371898026129
20,液化天然气（LNG）_fixed_GR,0.9030064362942614,0.8471102093042007,0.8396475665562637,0.8632547373849085
21,液化石油气（LPG）_fixed_GR,0.8673733563758497,0.8489607705327396,0.8773338786817961,0.8645560018634617
22,汽油（97#）_fixed_GR,0.8042146484947681,0.7721632984881508,0.6283810207714919,0.7349196559181369
23,汽油（93#）_fixed_GR,0.8098340269880546,0.7699561348917372,0.6283810207714919,0.7360570608837612
24,柴油（0#）_fixed_GR,0.62884774696616,0.6026836305763494,0.5757026859195684,0.6024113544873593
25,石蜡（58#半）_fixed_GR,0.83140165907431,0.6612585888373801,0.6893017574095197,0.7273206684404032
26,无烟煤（2号洗中块）_fixed_GR,0.41741609874667296,0.24645541301774432,0.5681736124941659,0.4106817080861944
27,普通混煤（4500大卡）_fixed_GR,0.9796938195440341,0.9417014533855259,0.857974325568384,0.9264565328326481
28,山西大混（5000大卡）_fixed_GR,0.9716750190329385,0.922289829231371,0.7383430948275087,0.8774359810306059
29,山西优混（5500大卡）_fixed_GR,0.9731726713557041,0.9289812804938833,0.9082435872098424,0.9367991796864766
