year,plot,intensity,SOC,SIC,STC,N,C/N
2012 ,G17,NG,13.97 ,10.95 ,24.92 ,1.66 ,16.01 
2012 ,G19,NG,14.92 ,11.04 ,25.96 ,1.43 ,18.99 
2012 ,G21,NG,11.99 ,9.93 ,21.92 ,1.50 ,15.64 
2012 ,G11,MGI,14.23 ,6.71 ,20.94 ,1.75 ,12.48 
2012 ,G16,MGI,11.64 ,8.95 ,20.59 ,1.70 ,12.38 
2012 ,G8,MGI,13.68 ,9.54 ,23.22 ,1.76 ,13.41 
2012 ,G12,LGI,12.47 ,10.49 ,22.96 ,1.65 ,14.46 
2012 ,G18,LGI,12.02 ,8.93 ,20.95 ,1.54 ,13.98 
2012 ,G6,LGI,14.33 ,13.96 ,28.29 ,1.90 ,15.20 
2012 ,G13,HGI,12.16 ,11.55 ,23.71 ,1.38 ,17.39 
2012 ,G20,HGI,13.07 ,10.85 ,23.92 ,1.75 ,14.25 
2012 ,G9,HGI,13.47 ,11.88 ,25.35 ,1.65 ,17.02 
2014 ,G17,NG,13.75 ,11.10 ,24.85 ,1.64 ,15.82 
2014 ,G19,NG,15.74 ,7.50 ,23.24 ,1.70 ,14.10 
2014 ,G21,NG,14.11 ,8.90 ,23.01 ,1.68 ,14.19 
2014 ,G11,MGI,14.98 ,7.90 ,22.88 ,1.75 ,13.57 
2014 ,G16,MGI,12.45 ,11.50 ,23.95 ,1.40 ,17.79 
2014 ,G8,MGI,14.97 ,7.15 ,22.12 ,1.69 ,13.51 
2014 ,G12,LGI,14.48 ,9.98 ,24.46 ,1.72 ,14.56 
2014 ,G18,LGI,13.63 ,12.35 ,25.98 ,1.73 ,15.42 
2014 ,G6,LGI,14.61 ,9.39 ,24.00 ,1.65 ,15.37 
2014 ,G13,HGI,12.93 ,8.13 ,21.05 ,1.66 ,13.35 
2014 ,G20,HGI,16.36 ,11.78 ,28.14 ,1.75 ,16.66 
2014 ,G9,HGI,12.74 ,9.60 ,22.34 ,1.37 ,16.70 
2016 ,G17,NG,15.68 ,7.98 ,23.66 ,1.81 ,14.10 
2016 ,G19,NG,14.62 ,6.68 ,21.29 ,1.80 ,12.60 
2016 ,G21,NG,15.83 ,6.23 ,22.07 ,1.86 ,12.89 
2016 ,G11,MGI,13.27 ,5.48 ,18.75 ,1.74 ,11.22 
2016 ,G16,MGI,15.85 ,8.22 ,24.06 ,1.61 ,16.50 
2016 ,G8,MGI,14.03 ,6.70 ,20.73 ,1.83 ,11.95 
2016 ,G12,LGI,15.42 ,5.30 ,20.71 ,1.84 ,11.82 
2016 ,G18,LGI,16.62 ,7.69 ,24.32 ,1.90 ,13.57 
2016 ,G6,LGI,14.32 ,6.30 ,20.62 ,1.81 ,12.14 
2016 ,G13,HGI,15.97 ,5.33 ,21.30 ,1.88 ,11.84 
2016 ,G20,HGI,14.28 ,7.73 ,22.01 ,1.92 ,12.39 
2016 ,G9,HGI,14.50 ,7.78 ,22.29 ,1.84 ,12.80 
2018 ,G17,NG,15.76 ,7.83 ,23.60 ,1.97 ,12.86 
2018 ,G19,NG,17.11 ,5.57 ,22.68 ,2.02 ,11.78 
2018 ,G21,NG,18.03 ,5.73 ,23.77 ,2.19 ,11.48 
2018 ,G11,MGI,15.16 ,4.30 ,19.46 ,1.92 ,10.40 
2018 ,G16,MGI,13.32 ,10.87 ,24.18 ,1.65 ,15.75 
2018 ,G8,MGI,14.58 ,2.82 ,17.40 ,1.87 ,9.56 
2018 ,G12,LGI,14.92 ,6.25 ,21.17 ,1.86 ,11.91 
2018 ,G18,LGI,17.09 ,8.73 ,25.82 ,2.07 ,13.31 
2018 ,G6,LGI,14.80 ,5.50 ,20.30 ,1.93 ,10.99 
2018 ,G13,HGI,15.03 ,5.65 ,20.68 ,1.91 ,11.25 
2018 ,G20,HGI,16.04 ,6.47 ,22.51 ,1.95 ,12.08 
2018 ,G9,HGI,15.86 ,4.70 ,20.56 ,1.98 ,10.67 
2020 ,G17,NG,16.86 ,6.09 ,22.95 ,2.12 ,10.85 
2020 ,G19,NG,17.30 ,4.30 ,21.60 ,2.20 ,9.83 
2020 ,G21,NG,20.13 ,4.06 ,24.20 ,2.43 ,9.95 
2020 ,G11,MGI,14.74 ,3.35 ,18.10 ,1.96 ,9.23 
2020 ,G16,MGI,14.78 ,9.82 ,24.60 ,1.71 ,14.36 
2020 ,G8,MGI,14.44 ,1.89 ,16.33 ,1.94 ,8.41 
2020 ,G12,LGI,16.19 ,3.80 ,19.99 ,1.94 ,10.28 
2020 ,G18,LGI,19.31 ,7.21 ,26.51 ,2.26 ,11.75 
2020 ,G6,LGI,14.79 ,3.00 ,17.79 ,2.02 ,8.82 
2020 ,G13,HGI,16.69 ,3.56 ,20.26 ,2.10 ,9.63 
2020 ,G20,HGI,15.97 ,4.66 ,20.63 ,2.05 ,10.04 
2020 ,G9,HGI,17.20 ,3.12 ,20.32 ,2.24 ,9.08 
2023,G17,NG,17.00906781,5.936438526,22.94550634,2.267088863,10.12657585
2023,G19,NG,17.15572211,2.557664887,19.71338699,2.439766038,8.095457612
2023,G21,NG,22.72862651,2.556854206,25.28548072,2.738063222,9.242761584
2023,G6,LGI,14.78982259,0.673397819,15.30954637,2.035144129,7.522911812
2023,G12,LGI,15.85858191,4.503176825,20.36175873,2.015302119,10.10511001
2023,G18,LGI,21.14101758,8.139611754,29.28062934,2.480793594,11.81197543
2023,G8,MGI,17.26314069,4.438728799,21.65064481,2.177079947,9.813332418
2023,G11,MGI,17.26314069,4.438728799,21.65064481,2.177079947,9.813332418
2023,G16,MGI,17.26314069,4.438728799,21.65064481,2.177079947,9.813332418
2023,G9,HGI,17.26314069,4.438728799,21.65064481,2.177079947,9.813332418
2023,G13,HGI,17.26314069,4.438728799,21.65064481,2.177079947,9.813332418
2023,G20,HGI,17.26314069,4.438728799,21.65064481,2.177079947,9.813332418
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
