牧户,年份,平均气温(℃),降水量(mm),积雪深度(mm),平均风速(knots),平均最大持续风速(knots)
1,2018,4.308333333,-105.9825,-38.608,6.508333333,11.20333333
1,2019,4.506666667,-44.34333333,-160.02,6.2475,11.0575
1,2020,3.3275,-33.0625,-163.3225,6.2375,10.49666667
2,2018,4.308333333,-105.9825,-38.608,6.508333333,11.20333333
2,2019,4.506666667,-44.34333333,-160.02,6.2475,11.0575
2,2020,3.3275,-33.0625,-163.3225,6.2375,10.49666667
3,2018,4.308333333,-105.9825,-38.608,6.508333333,11.20333333
3,2019,4.506666667,-44.34333333,-160.02,6.2475,11.0575
3,2020,3.3275,-33.0625,-163.3225,6.2375,10.49666667
4,2018,4.308333333,-105.9825,-38.608,6.508333333,11.20333333
4,2019,4.506666667,-44.34333333,-160.02,6.2475,11.0575
4,2020,3.3275,-33.0625,-163.3225,6.2375,10.49666667
