,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81482358,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-01 05:04:43,2021-01-01 05:04:44,0.999932408333,1.05944070583e-06,1,0.499967263607,1,0.524625003338,2021-01-01 05:04:46,沪深两市 年报预约披露时间表出炉,沪深交易所昨日分别披露上市公司2020年年报预约披露时间表。与往年一样，预约披露2020年年报的“先发者”中，ST公司身影频现。,上海证券报,,同花顺
2,81488865,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-01 10:53:16,2021-01-01 10:53:18,0.99797731638,9.96098315227e-05,1,0.499088268021,1,0.607114696503,2021-01-01 10:53:20,沪深两市年报预约披露时间表出炉 沃华医药拔得头筹,沪深交易所分别披露了上市公司2020年年报预约披露时间表。沃华医药拔得头筹，将于2021年1月21日率先交出年报“答卷”。预约时间表的“榜眼”*ST晨鑫2020年前三季度实现营收4405.46万元，同比下降36.47%。,上海证券报,,中国上市公司资讯网
3,81489496,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-01 11:34:51,2021-01-01 11:34:53,0.998209476471,0.000116269242426,1,0.499221007478,1,0.607114696503,2021-01-01 11:34:56,沪深两市年报预约披露时间表出炉 沃华医药拔头筹,沪深交易所分别披露了上市公司2020年年报预约披露时间表。沃华医药拔得头筹，将于2021年1月21日率先交出年报“答卷”。预约时间表的“榜眼”*ST晨鑫2020年前三季度实现营收4405.46万元，同比下降36.47%。,,,网易财经
4,81492803,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-01 15:24:46,2021-01-01 15:24:49,0.0130809089169,0.985384881496,2,0.991925335955,0,-0.00198203325272,2021-01-01 15:24:50,深沪交易所年报预约披露时间表出炉:沃华医药拔得头筹 1月21日披露年报,深交所2020年年报预约披露时间表出炉，沃华医药拔得头筹，将于2021年1月21日披露年报。沪市2020年年报预约披露时间出炉，ST南化、上海家化、宏发股份2月3日披露，拔得头筹。,证券时报网,,中国上市公司资讯网
5,81504980,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 15:57:16,2021-01-02 15:58:24,0.998152434826,0.00180017133243,1,0.500876388745,0,0.185418400913,2021-01-02 15:58:25,特斯拉(TSLA.US)国产Model Y降价来袭，鲶鱼效应的背后思考,特斯拉宣布中型SUV Model Y中国国产版正式发售。,安信证券,,智通财经网
6,81506993,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 18:37:44,2021-01-02 18:37:44,0.99962580204,7.4488343671e-05,1,0.499887389364,0,0.10403425619,2021-01-02 18:37:47,特斯拉降价冲击SUV市场，造车新势力股价或受影响，产业链多家龙头迎来利好,特斯拉ModelY本次降价，对于2020年股价飞涨的中国造车新势力们来说是一个“利空消息”。对照上次Model 3降价，可以预见，本次Model Y降价和后续放量，有望利好特斯拉产业链。,21世纪经济报道,,21世纪经济报道
7,81507494,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 19:27:31,2021-01-02 19:28:03,0.999874472618,7.11703833076e-05,1,0.500008406692,0,-0.0648492097855,2021-01-02 19:28:05,年报业绩抢先看！疫情下成色如何？674股率先预告，16股净利预增超400%…退市新规或影响TA们！,截至目前，两市已有674家上市公司预告了年报业绩情况。最近一个会计年度经审计的净利润为负值且营业收入低于1 亿元，或追溯重述后最近一个会计年度净利润为负值且营业收入低于1 亿元。,证券时报网,,中证e公司
8,81507509,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 19:29:35,2021-01-02 19:29:36,0.999874472618,7.11703833076e-05,1,0.500008406692,0,0.0116685926914,2021-01-02 19:29:37,年报业绩抢先看！疫情下成色如何？674股率先预告，16股净利预增超400%,截至目前，两市已有674家上市公司预告了年报业绩情况。最近一个会计年度经审计的净利润为负值且营业收入低于1 亿元，或追溯重述后最近一个会计年度净利润为负值且营业收入低于1 亿元。,证券时报,,证券时报网
9,81508054,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 20:27:27,2021-01-02 20:27:31,0.999958515167,4.30604723078e-06,1,0.499983563631,0,-0.00248741805553,2021-01-02 20:27:34,真香！特斯拉突然狂降16万，官网被挤崩！网友：堪比iPhone12只卖三千块,特斯拉官网被挤“瘫痪”内部人士称10小时10万单数据被夸大1月1日中午，由于访问量激增，特斯拉中国官网的订单页面一度无法刷新。从一定程度上来看，这是“中美特斯拉”在同一细分品类的车型直接PK的首款车。特斯拉国产化单车配套价值量较高的供应商。,每日经济新闻,,每经网
10,81508099,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 20:31:36,2021-01-02 20:31:39,0.99962580204,7.4488343671e-05,1,0.499887389364,0,0.157464428991,2021-01-02 20:31:41,特斯拉降价冲击SUV市场 造车新势力股价或受影响,当日特斯拉中国官网显示，特斯拉Model Y长续航版降价14.81万元，起售价为33.99万元，此前价格为48.8万元。特斯拉Model Y本次降价，对于2020年股价飞涨的中国造车新势力们来说是一个“利空消息”。,,,网易财经
11,81508149,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 20:32:04,2021-01-02 20:33:51,0.999322772026,1.0490493878e-06,1,0.499662435062,0,0.183291909844,2021-01-02 20:33:54,特斯拉突然狂降16万 网友：堪比iPhone12只卖三千块,特斯拉正式宣布，中国制造Model Y以及全新Model 3正式发售。从一定程度上来看，这是“中美特斯拉”在同一细分品类的车型直接PK的首款车。特斯拉国产化单车配套价值量较高的供应商。,每日经济新闻,,新浪财经
12,81508156,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 20:32:21,2021-01-02 20:34:43,0.999957680702,2.99727162201e-06,1,0.499981837623,0,-0.00248741805553,2021-01-02 20:34:47,真香！特斯拉突然狂降16万，官网被挤崩！网友：堪比iPhone12卖三千块,特斯拉官网被挤“瘫痪”内部人士称10小时10万单数据被夸大1月1日中午，由于访问量激增，特斯拉中国官网的订单页面一度无法刷新。从一定程度上来看，这是“中美特斯拉”在同一细分品类的车型直接PK的首款车。特斯拉国产化单车配套价值量较高的供应商。,每日经济新闻,,凤凰网
13,81508662,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 21:29:01,2021-01-02 21:29:02,0.99962580204,7.4488343671e-05,1,0.499887389364,0,0.157464428991,2021-01-02 21:29:05,特斯拉降价冲击SUV市场，造车新势力股价或受影响，产业链多家龙头迎利好,特斯拉中国制造的全智能中型SUV Model Y和全新Model 3正式开售。特斯拉Model Y本次降价，对于2020年股价飞涨的中国造车新势力们来说是一个“利空消息”。,21世纪经济报道,,腾讯网
14,81509453,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 22:55:18,2021-01-02 22:55:19,0.999793946743,5.97791513428e-05,1,0.499956752523,0,0.104803218246,2021-01-02 22:55:23,特斯拉降价15万刷屏！为何敢打“价格战”？背后原因是,特斯拉之所以敢打“价格战”的背后，正是由于其近些年来电池成本的快速下降。2021年国产Model 3/Y的年产能将分别达25万辆，且共用70%零部件，本次Model Y以价换量带来的是需求增加下产能利用率的提升。,21世纪经济报道,,东方财富网
15,81509483,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 22:59:16,2021-01-02 22:59:20,0.999904036522,5.26141548107e-07,1,0.499952544403,0,0.00549089610577,2021-01-02 22:59:22,真香！特斯拉突然狂降16万，官网被挤崩！内部人士称10小时10万单数据被夸大,1特斯拉官网被挤“瘫痪”内部人士称10小时10万单数据被夸大1月1日中午，由于访问量激增，特斯拉中国官网的订单页面一度无法刷新。特斯拉国产化单车配套价值量较高的供应商。,新财富杂志,,新浪财经
16,81509614,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-02 23:17:10,2021-01-02 23:17:12,0.999874472618,7.11703833076e-05,1,0.500008406692,0,-0.0648492097855,2021-01-02 23:18:05,年报业绩抢先看！674股率先预告，16股净利预增超400％,截至目前，两市已有674家上市公司预告了年报业绩情况。最近一个会计年度经审计的净利润为负值且营业收入低于1 亿元，或追溯重述后最近一个会计年度净利润为负值且营业收入低于1 亿元。,证券时报网,,腾讯网
17,81511141,600885.XSHG,A,E,600885,宏发股份,XSHG,1391,2021-01-03 07:54:05,2021-01-03 07:54:06,0.99962580204,7.4488343671e-05,1,0.499887389364,0,0.159532636404,2021-01-03 07:54:09,特斯拉降价造车新势力股价或受影响，产业链多家龙头迎来利好,特斯拉ModelY本次降价，对于2020年股价飞涨的中国造车新势力们来说是一个“利空消息”。本次Model Y降价与特斯拉上次主力车型降价相隔未久。,21世纪经济报道,,凤凰网
