,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
0,81483936,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-01 07:44:34,2021-01-01 07:44:40,0.033936150372,0.885402798653,2,0.902370873839,0,0.0287523448467,2021-01-01 07:44:43,晨光文具：融资净偿还242.06万元，融资余额9054.19万元（12-31）,2020年12月31日晨光文具融资净偿还242.06万元，融资余额9054.19万元,东方财富Choice数据,财智星,东方财富网
1,81485864,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-01 08:04:17,2021-01-01 08:04:23,6.28818270343e-06,0.999992966652,2,0.999996110743,0,-0.00399886369705,2021-01-01 08:04:27,晨光文具(603899)融资融券信息(12-31),晨光文具(603899)融资融券信息(12-31),东方财富Choice数据,,东方财富网
2,81492780,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-01 15:21:56,2021-01-01 15:23:00,0.988570153713,0.00886720791459,1,0.503152284771,0,0.145884681493,2021-01-01 15:23:03,盘点：2020文创黑马频出，2021创投看好哪些领域？,据《2020跨境出口消费趋势报告》显示，海外盲盒线上消费实现爆发式增长，同比增速超过400%。网红电商第一股“如涵”退市，尚纬股份终止收购星空野望，大主播辛巴深陷燕窝门，这些事件中蕴藏了MCN降温预兆。,,天虎科技,搜狐财经
3,81547003,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 10:39:04,2021-01-04 10:39:05,0.994909107685,0.0038528223522,1,0.501307376195,1,0.738770927489,2021-01-04 10:39:09,轻工制造行业：关注生活用纸涨价及家居零售板块,Q4 国内消费继续复苏，C 端家居、生活纸品、文具等领域均持续恢复，此外，轻工出口链在Q2 分化背景下，Q3 双重受益防疫+产能替代，出口板块全面修复，Q4 修复趋势依旧。,天风证券股份有限公司,范张翔/刘佳昆,新浪财经
4,81557599,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 13:18:22,2021-01-04 13:18:23,0.382796853781,0.60882127285,2,0.80021969974,1,0.830545452237,2021-01-04 13:18:23,晨光文具股价拉升5.00% 股价创历史新高,2021年01月04日下午盘13时15分，晨光文具出现异动，股价大幅拉升5.00%，创历史新高。最新的三季报显示，该股于2020年9月30日实现稀释每股收益0.99元，营业利润10.06亿元，基本每股收益0.99元，市盈率68.60。,自选股智能写手,,腾讯网
5,81557716,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 13:20:28,2021-01-04 13:20:31,0.00525733595714,0.991604924202,2,0.994233592181,0,0.115894140303,2021-01-04 13:20:31,晨光文具大涨,晨光文具大涨截止1315报价9299元涨幅5成交22064手成交量2亿元换手率024资金流向方面呈现主力资金净流入状态特大单买入02186亿元占比1092卖出01039亿元占比519,新浪财经,,新浪财经
6,81560959,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 14:14:06,2021-01-04 14:14:11,0.98596316576,0.0101891634986,1,0.503170746379,1,0.761225518584,2021-01-04 14:14:12,开润股份盘中异动 下午盘大幅拉升5.02%,2021年01月04日下午盘13时38分，开润股份出现异动，股价大幅拉升5.02%。过去一年内该股有2次涨停，涨停后第二交易日涨1次，跌1次，涨占比50.00%，跌占比50.00%。,自选股智能写手,,腾讯网
7,81568988,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-04 16:04:44,2021-01-04 16:04:46,0.0106147555634,0.989076256752,2,0.994383634534,1,0.650752678514,2021-01-04 16:04:52,晨光文具01月04日继续上涨，股价创历史新高,截至今日收盘，晨光文具上涨3.32%，收盘价为91.50元，盘中股价最高触及93.19元，股价创历史新高。晨光品牌已经在消费者心中建立了良好的品牌认知，连续十二年成为博鳌亚洲论坛指定文具品牌。,同花顺AI资讯社,,同花顺
8,81598538,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-05 02:30:21,2021-01-05 02:30:22,0.0141292400658,0.981666266918,2,0.988730886951,0,0.00683100000024,2021-01-05 02:30:27,上海晨光文具股份有限公司 关于使用部分闲置自有资金 进行投资理财的实施公告,上海晨光文具股份有限公司于2020年4月10日召开第四届董事会第二十次会议审议通过了《关于使用部分闲置自有资金进行投资理财的议案》，同意公司及子公司使用最高额度不超过人民币160，000万元的闲置自有资金进行投资理财。,证券日报,,新浪财经
9,81604509,603899.XSHG,A,E,603899,晨光文具,XSHG,67053,2021-01-05 07:45:46,2021-01-05 07:45:56,0.0337091386318,0.888816297054,2,0.90567086637,1,0.695094885677,2021-01-05 07:46:00,晨光文具：融资净买入321.79万元，融资余额9375.98万元（01-04）,2021年1月4日晨光文具融资净买入321.79万元，融资余额9375.98万元,东方财富Choice数据,财智星,东方财富网
