,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81498326,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-02 02:38:59,2021-01-02 02:39:00,0.921452641487,0.0234799720347,1,0.484206292778,1,0.623377206425,2021-01-02 02:39:02,价值分析：明阳智能，下一只隆基股份？,2020年前三季度公司实现归母净利润9.33亿元，同比大幅增长81.61%。2020年上半年，整机厂商毛利率环比略有提升，主要由于前期积累的低价订单逐步消化，同时出货量的增长一定程度压缩了费用率，盈利情况明显好转。,,A股队长,搜狐财经
2,81498901,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-02 06:30:31,2021-01-02 06:30:33,0.302208513021,0.693447351456,2,0.844551607966,0,0.0607061564922,2021-01-02 06:30:35,投资估值解析：金风科技，这家公司值得长期持有吗？,公司整体毛利率在17%左右，最赚钱的业务是风电厂的开发，风机及零部件销售毛利率只有12%，制造业赚的真是辛苦钱。净利率下降较多，因为公司营收规模迅速扩大，今年以来，公司高GW的大型风机占比上升，公司毛利率净利率有所回升。,,小何历史说,搜狐财经
3,81500084,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-02 08:55:48,2021-01-02 08:55:50,0.999815523624,0.000124044687254,1,0.500031806499,0,0.139881661534,2021-01-02 08:55:52,“海上福州”将崛起千亿产业群,近年来，福州市及福清市传承20世纪90年代的“海上福州”战略，加快建设江阴深水大港，并充分发挥港口优良、腹地广阔的优势，大力发展临港产业，基本形成化工新材料、先进制造业、进出口贸易与现代物流三大主导产业。,福建日报,,中国证券网
4,81507975,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-02 20:18:53,2021-01-02 20:18:59,0.750038325787,0.249773278832,1,0.624792441726,0,0.0436272025108,2021-01-02 20:19:02,东方电缆（603606）的中短期业绩估算及长期投资逻辑,2021年东方电缆实现业绩暴增是大概率事件。年新增4GW是考虑了平价和补贴退坡影响之后的一个保守估算。不可否认这是一个时代浪潮的方向，而东方电缆是一个在竞争格局良好的细分领域有着技术先发优势布局的企业，长期来看还是应充满期待并保持耐心。,,鹏眼财经,搜狐财经
5,81509014,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-02 22:01:55,2021-01-02 22:03:03,0.190790906549,0.791964709759,2,0.887360163033,0,0.138128006458,2021-01-02 22:03:04,深度解析——金风科技，未来翻倍空间有多大？,公司整体毛利率在17%左右，最赚钱的业务是风电厂的开发，风机及零部件销售毛利率只有12%，制造业赚的真是辛苦钱。净利率下降较多，因为公司营收规模迅速扩大，今年以来，公司高GW的大型风机占比上升，公司毛利率净利率有所回升。,,小末美食说,搜狐财经
6,81511599,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 08:39:35,2021-01-03 08:39:36,0.99965775013,0.000284127338091,1,0.500113002403,1,0.676974958181,2021-01-03 08:39:43,【储能产业新闻】环球动态周报（2020年12月27日-2021年1月2日）,2020年前三季度营业收入8.08亿元，同比增长70.64% ，实现净利润1.97亿元，同比增长178.50%。正泰西藏50MW“光伏+储能”综合能源示范项目并网发电12月24日，西藏日喀则市50兆瓦“光伏+储能”综合能源示范项目并网发电。,中国储能网,,中国储能网
7,81512442,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 09:38:49,2021-01-03 09:38:54,0.967107474804,0.0325663276017,1,0.516120065004,0,0.00221590399742,2021-01-03 09:38:57,从示范走向商业化征途中，储能产业依旧继续煎熬,前几年风电、光伏发电审批权的下放，导致各省突击核准了大量的项目，新能源的无序发展导致装机远超既定规划，电网的消纳能力和灵活性开始受限，在电网投资储能被叫停后，建议或“强配”储能，成为电网企业“解困”的内在逻辑。,储能100人,,中国储能网
8,81515865,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 13:54:27,2021-01-03 13:54:28,0.999966859818,1.03862839751e-06,1,0.499984468537,0,0.135454618186,2021-01-03 13:54:30,减碳“风光”无限好,为了实现“碳中和”战略目标，国家相关能源企业积极响应，纷纷调高了“十四五”期间相关的新能源发展计划。各大央企表示未来可再生能源将“倍速”增长，并调高了光伏等可再生能源的“十四五”装机规模。中海油与中广核则更“偏爱”海上风电。,华夏时报,,中国储能网
9,81516089,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 14:14:24,2021-01-03 14:14:25,0.999636411667,0.000330433016643,1,0.50014863885,0,0.0787856608629,2021-01-03 14:14:27,风电“后平价”时代：海上风电成“最后一座山峰”？,在2020年初的中国风能新春茶话会上，中国可再生能源学会风能专委会秘书长秦海岩曾如此总结风电行业所取得的成绩。,贝果财经,,中国储能网
10,81516500,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 14:46:37,2021-01-03 14:46:47,0.998800635338,0.00101006869227,1,0.500410386361,0,0.117298011482,2021-01-03 14:46:49,新能源风电第一股-什么价格才合适？,2020年前三季度公司实现归母净利润9.33亿元，同比大幅增长81.61%。2020年上半年，整机厂商毛利率环比略有提升，主要由于前期积累的低价订单逐步消化，同时出货量的增长一定程度压缩了费用率，盈利情况明显好转。,,小正情感学,搜狐财经
