,company_name,ticker,history_interval,predict_interval,startDate,endDate,upper_A,percent_A,decision_A,decision_point_A,upper_B,percent_B,decision_B,decision_point_B
0,万华化学,600309,30,30,2018-08-01,2021-01-01,10,0,0,0,1.5,0.8463768115942029,1.0,292
1,上汽集团,600104,30,30,2018-08-01,2021-01-01,10,0,0,0,0.9,0.8518518518518519,-1.0,69
2,东方财富,300059,30,30,2018-08-01,2021-01-01,10,0,0,0,1.2,0.8813559322033898,1.0,52
3,东方雨虹,002271,30,30,2018-08-01,2021-01-01,10,0,0,0,2.2,0.8345864661654135,1.0,222
4,中信建投,601066,30,30,2018-08-01,2021-01-01,2.0,0.7115384615384616,1.0,37,1.0,0.7016129032258065,-1.0,87
5,中信证券,600030,30,30,2018-08-01,2021-01-01,10,0,0,0,-0.5,0.7777777777777778,-1.0,35
6,中信银行,601998,30,30,2018-08-01,2021-01-01,10,0,0,0,0.4,0.8695652173913043,1.0,60
7,中兴通讯,000063,30,30,2018-08-01,2021-01-01,10,0,0,0,-10,0,0,0
8,中国人寿,601628,30,30,2018-08-01,2021-01-01,10,0,0,0,-10,0,0,0
9,中国太保,601601,30,30,2018-08-01,2021-01-01,3.6,0.9230769230769231,1.0,36,2.4,0.7142857142857143,1.0,195
10,中国平安,601318,30,30,2018-08-01,2021-01-01,10,0,0,0,1.5,0.7515923566878981,1.0,118
11,中国电建,601669,30,30,2018-08-01,2021-01-01,10,0,0,0,2.2,0.7014218009478673,-1.0,148
12,中国联通,600050,30,30,2018-08-01,2021-01-01,3.7,0.9629629629629629,-1.0,52,2.4,0.7053571428571429,-1.0,79
13,中国银行,601988,30,30,2018-08-01,2021-01-01,10,0,0,0,-10,0,0,0
14,中远海控,601919,30,30,2018-08-01,2021-01-01,10,0,0,0,1.8,0.7282608695652174,1.0,201
15,五粮液,000858,30,30,2018-08-01,2021-01-01,1.7,0.73125,1.0,234,1.4,0.8166666666666667,1.0,98
16,交通银行,601328,30,30,2018-08-01,2021-01-01,10,0,0,0,0.1,0.7727272727272727,-1.0,34
17,亿纬锂能,300014,30,30,2018-08-01,2021-01-01,3.3,0.9454545454545454,1.0,52,1.5,0.8296296296296296,1.0,112
18,伊利股份,600887,30,30,2018-08-01,2021-01-01,10,0,0,0,-10,0,0,0
19,光大银行,601818,30,30,2018-08-01,2021-01-01,2.0,0.8378378378378378,1.0,31,0.3,0.7391304347826086,1.0,51
