,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,600104.XSHG,600104,上汽集团,XSHG,31.88,31.88,32.03,32.18,31.34,28.28,12967662.0,411865161.0,629125.0,0.0011,0.8408554792,360862690073.0,366510184118.0,-0.016,10.2217,9.4396,1.564,1.0,31.761,56.1956,6.4062,0.0356,18.2826,19.6908,27.3369,1.2513,0.0044,0.0153,0.3013,0.5639,0.0583,0.0661,0.5631,2.3495,1.0459,-0.0005,-0.0004,-0.0005,0.5508,0.2836,1.9425,1.9633,0.6174,0.0234,,-0.0787,0.0634,0.0702,31.9697,32.2727,32.2631,31.7217,32.5937,3.3232,3.6459,0.3826,3.3913,0.1354,0.1628,0.0005,-4.1361,0.1049,12.5598,0.1343,0.6778,0.0144,0.0182,23.7583,15.1526,-0.1763,26.6273,26.6118,0.0099,3.1984,0.079,32.036,32.6182,32.3297,31.65,33.0405,-13.1119,57.0232,1.1607,0.0883,0.125,0.0552,0.6024,0.4369,0.109,0.0543,0.0694,0.1639,0.0634,0.0624,0.189,0.3379,0.0344,1.564,26.5447,10.2217,0.4074,0.4167,0.917,0.962,1.0082,0.9582,0.0752,0.0674,0.1663,0.1898,32.1773,0.0944,0.4097,0.8657,1.1221,2.175,0.009,3.9799,0.1885,1.3049,0.0657,0.1453,0.0012,0.0017,0.0013,0.002,0.0012,0.0013,-6.1385,1.7421,0.0683,-52.0,0.1021,-0.0081,8.0,2.6182,0.0086,60.0,0.0875,0.1022,2.5935,0.0481,-0.0481,0.0041,3.3069,8.0,0.4927,0.2861,-0.4228,0.025,8.8014,-0.1676,0.0924,0.8065,0.7794,-2.0789,-2.9685,-0.8847,-5.0559,31.1456,33.5138,-70.2991,-93.3044,-21.3244,-49.2079,23.8709,29.9056,11.8016,-3.6844,0.8163,5.934,6.538,0.2707,0.2642,50.6076,-0.038,3.795,4.049,3.2381,-0.4142,1.0259,13689969173.2,13695647065.5,13706184708.8,485.0392,438.0558,143.1326,116.5825,-860210.6456,-974745.2173,14229066.0449,14402018.0401,15376763.2574,13724721.6793,-229069.1434,-14.2049,1.0517,-25.8267,-36.0278,3632628.9454,4381214.7654,0.3158,9700268180.64,6383.6972,6405.9181,6388.8591,-3.9267,-36.0918,-6.3632,5.1824,-0.624,-0.679,16.2531,22.1087,22.542,27.4101,32.0,20.0,52.0,-0.2587,-0.3425,-0.2976,0.3512,0.6488,-1.24,-0.5874,497.9333,498.2119,498.4341,-0.0033,-0.0015,42.991,-0.0474,-0.1283,-0.2037,-0.1019,-4.1472,3.4196,3.1364,0.6654,-0.74,0.874,32.0411,32.3836,0.4244,31.9623,1.0189,31.4957,31.4286,1.0212,77.6064,80.3426,-2.7362,112.2331,24.8718,-0.7335,0.1065,0.0268,1.866,38943.5751,0.9443,0.9749,0.4,2018-08-01,2018-09-11,152.0,126.0,21.0,5.0,3.0524276172305362,0.8289473684210527,0.13815789473684212,0.03289473684210526,0.990012042271,-0.846457970142,0.6553402333079318,0.12891595166229805,99.61171546280566,-0.04137199434229144,0.0
1,600104.XSHG,600104,上汽集团,XSHG,31.37,31.37,32.03,31.5,29.92,28.28,18270933.0,558210302.0,640265.0,0.0016,0.8408554792,349244222844.0,354709888104.0,-0.0322,9.8926,9.1357,1.5136,1.0,30.552,56.1956,6.4062,0.0356,18.2826,19.6908,27.3369,1.2513,0.0044,0.0153,0.3013,0.5639,0.0603,0.0661,0.5631,2.3495,1.0459,-0.0003,-0.0004,-0.0003,0.5868,0.3014,1.947,1.9633,0.6174,0.0234,,-0.0856,0.0634,0.0702,31.677,32.2411,32.0818,31.2678,32.5204,3.3232,3.6459,0.3826,3.3913,0.1399,0.1628,0.0005,-4.1361,0.1049,12.5598,0.1343,0.6939,0.0144,0.0182,23.7583,15.1526,-0.1763,26.5946,26.579,0.0099,3.1984,0.079,31.892,32.5958,32.2682,31.294,33.0032,-16.3898,48.8945,1.166,0.0883,0.125,0.0552,0.6024,0.4369,0.109,0.0543,0.0694,0.1639,0.0634,0.0624,0.189,0.3379,0.0344,1.5136,25.6901,9.8926,0.3943,0.4167,0.917,0.9547,0.9611,0.9446,0.0752,0.0674,0.1663,0.1898,29.5053,0.0613,0.38,0.8657,1.1221,2.175,0.009,3.9508,0.1885,1.3049,0.0657,0.1453,0.0013,0.0016,0.0012,0.002,0.0013,0.0013,-29.4659,1.7421,0.0683,-50.0,0.1056,-0.0076,6.0,2.7055,0.0087,60.0,0.0882,0.1023,2.7046,0.0501,-0.0481,0.0041,3.3069,8.0,0.3637,0.2825,-1.0706,0.027,8.8014,-0.308,-0.2133,0.8617,0.9128,-4.8037,-5.9136,-2.9846,-8.0089,30.8233,33.7131,-158.4921,-206.3525,-166.6667,-111.3305,20.3144,26.5777,7.7877,-7.2694,-3.8936,7.394,5.817,0.2346,0.33,41.5515,-0.0453,4.805,3.575,-14.6778,-0.8656,1.0238,13671698240.2,13688780896.7,13705879204.3,481.4763,472.0705,140.2051,116.968,-806950.6115,-593910.4751,14963950.9458,14997235.7262,15591146.2013,15240125.4529,426080.2728,-11.7816,0.8662,17.8079,68.5833,3827676.9989,4289247.2703,0.1253,9628816491.98,6375.6025,6404.136,6384.6499,-6.4439,-66.7506,-8.8777,12.2597,-1.2519,-2.1697,13.1837,39.9055,26.1505,28.6909,-52.0,100.0,48.0,-0.2973,-0.4513,-0.5438,0.2281,0.7719,-1.44,-0.7524,497.345,497.9775,498.3167,-0.0046,-0.0019,39.9789,-0.0708,-0.1336,-0.2323,-0.1456,-30.1048,3.8924,3.7029,0.677,-2.18,-1.005,31.7824,32.2337,0.5412,31.6756,1.0433,30.9053,30.624,1.0505,67.8246,69.3035,-1.4789,87.677,24.9579,-1.9087,-0.3287,0.052,1.866,37689.7335,0.929,0.9155,0.3,2018-08-02,2018-09-12,156.0,128.0,23.0,5.0,3.068052935133617,0.8205128205128205,0.14743589743589744,0.03205128205128205,0.990012042271,-0.846457970142,0.6470742930920939,0.13103973287440915,100.94358972236665,-0.028338646829613956,0.0
2,600104.XSHG,600104,上汽集团,XSHG,,,32.03,,,28.28,,,655522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,155.0,127.0,23.0,5.0,3.060270794691562,0.8193548387096774,0.14838709677419354,0.03225806451612903,0.990012042271,-0.846457970142,0.6468023256092429,0.1319505534891857,100.25436046943265,-0.02430555555555558,0.0
3,600104.XSHG,600104,上汽集团,XSHG,,,31.38,,,28.23,,,657739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,160.0,131.0,24.0,5.0,3.091042453358316,0.81875,0.15,0.03125,0.990012042271,-0.846457970142,0.6478698035213352,0.13135441280569854,103.65916856341366,-0.05621805792163548,0.0
4,600104.XSHG,600104,上汽集团,XSHG,,,30.16,,,28.8,,,644854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,151.0,123.0,23.0,5.0,3.028522096376982,0.8145695364238411,0.152317880794702,0.033112582781456956,0.990012042271,-0.846457970142,0.6412016614889393,0.13416845071628708,96.82145088482989,-0.06036834924965895,0.0
5,600104.XSHG,600104,上汽集团,XSHG,,,29.29,,,29.35,,,630963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,134.0,115.0,14.0,5.0,2.9618307218783095,0.8582089552238806,0.1044776119402985,0.03731343283582089,0.990012042271,-0.846457970142,0.6715740391817878,0.1286104599715334,89.99092125035958,-0.0862360500507271,0.0
6,600104.XSHG,600104,上汽集团,XSHG,,,29.55,,,29.32,,,631293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,138.0,120.0,12.0,6.0,2.849880396541428,0.8695652173913043,0.08695652173913043,0.043478260869565216,0.990012042271,-0.846457970142,0.6753143887643195,0.12713998419203035,93.19338564947608,-0.08877721943048578,0.0
7,600104.XSHG,600104,上汽集团,XSHG,,,29.89,,,29.57,,,615257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,140.0,122.0,12.0,6.0,2.866274206317104,0.8714285714285714,0.08571428571428572,0.04285714285714286,0.990012042271,-0.846457970142,0.6797293840455506,0.12563850908010638,95.1621137663771,-0.08257499157398052,0.0
8,600104.XSHG,600104,上汽集团,XSHG,,,28.86,,,29.85,,,620200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,145.0,127.0,12.0,6.0,2.906120114864304,0.8758620689655172,0.08275862068965517,0.041379310344827586,0.990012042271,-0.846457970142,0.6790338278844765,0.1218037275066765,98.45990504324911,-0.1256393861892583,0.0
9,600104.XSHG,600104,上汽集团,XSHG,,,30.05,,,29.67,,,613572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,144.0,127.0,11.0,6.0,2.906120114864304,0.8819444444444444,0.0763888888888889,0.041666666666666664,0.990012042271,-0.846457970142,0.6853940975128263,0.11969957191295444,98.696750041847,-0.125716104392107,0.0
