,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,300059.XSHE,300059,东方财富,XSHE,13.44,13.44,13.48,13.61,13.1,10.88,110975238.0,1485560963.38,1366671.0,0.0267,0.4785744548,54492858592.0,67806648864.0,-0.0238,72.4885,60.6921,4.4395,1.0,13.386,16.1568,22.2817,0.4693,61.1413,5.888,24.533,1.4866,0.1211,-3.0914,0.7874,0.4807,0.0013,0.0019,0.8793,0.0369,1.6085,-0.0074,-0.0091,-0.0146,1.4259,0.4174,3.416,2.0125,0.668,0.0304,0.0702,-0.0958,0.3324,0.2683,13.3816,12.9908,13.2816,13.3649,13.2335,0.233,8.4739,0.332,0.0887,0.0123,0.0131,0.0069,0.8989,0.0392,0.6807,0.682,1.5271,0.0229,0.0663,129.4871,2.7802,0.8756,24.9399,24.7213,0.0,0.3648,0.1214,13.51,13.1368,13.228,13.398,13.4008,381.4286,56.6906,1.0988,0.1581,0.2013,0.6732,-5.6469,0.1207,0.201,0.2949,0.103,0.4566,0.7496,0.3283,0.1372,-0.4364,-0.1555,4.9264,-17.6705,80.9705,54.6261,0.5,1.6027,1.0202,1.0388,0.9439,0.0234,0.0551,0.0621,0.1282,52.193,0.3143,-0.0304,0.318,1.036,-0.0576,0.0258,0.5835,0.4244,0.0317,0.4569,0.2148,0.0307,0.0381,0.029,0.0371,0.0235,0.029,272.5782,1.9991,0.0205,22.0,0.0164,-0.0445,56.0,0.0551,0.0227,60.0,0.7434,0.4677,0.8737,-0.0743,-0.1035,0.007,-0.2723,-4.0,0.584,0.3335,0.3631,0.0098,32.1921,0.0118,0.228,0.4542,0.4113,-2.8868,-0.8164,-2.0749,-2.0954,12.4648,13.9912,-70.8849,8.8166,-109.2095,-29.3751,28.5392,41.1466,3.3244,-5.6115,3.8797,3.25,4.21,0.1347,0.1766,43.2702,0.0198,1.82,2.31,11.8644,-0.3995,1.0186,21507989777.2,21636283296.4,21362416228.7,1600.5974,1312.2169,560.3679,271.4599,-792917.2055,-5517734.7854,112518061.347,114549564.556,120067299.341,103508901.025,-9449635.1598,-0.5373,1.6225,18.1406,-47.46,51799573.1983,40170488.0634,3.4611,31982891095.3,2494.3154,2629.6312,2593.7571,8.0935,-18.7985,-66.5632,-3.1105,0.0103,-0.0462,19.9071,21.2242,25.1652,25.917,76.0,4.0,80.0,0.1051,0.111,0.061,0.5305,0.4695,0.26,0.564,1634.6027,1637.5723,1635.4287,0.0003,0.0027,32.9614,0.0605,0.0406,-0.1271,0.026,-4.9841,2.7144,3.1973,0.6257,-1.13,0.68,13.362,13.251,0.2164,13.349,1.0175,13.3674,13.1696,1.0297,129.4347,124.3993,5.0354,130.9871,24.1425,-0.2509,0.2591,0.0389,0.271,242896.9148,1.0077,1.0538,0.3,2018-08-01,2018-09-11,250.0,84.0,112.0,54.0,0.4353180712578455,0.336,0.448,0.216,0.989100131299,-0.990790597349,0.08837015874161129,0.3910822791498739,22.092539685402784,0.1369485294117645,1.0
1,300059.XSHE,300059,东方财富,XSHE,13.12,13.12,13.48,13.15,12.5,10.88,143272768.0,1828628832.24,1411459.0,0.0345,0.4785744548,52665354188.0,65532645396.0,-0.0335,70.0575,58.6567,4.2906,1.0,12.763,16.1568,22.2817,0.4693,61.1413,5.888,24.533,1.4866,0.1211,-3.0914,0.7874,0.488,0.0013,0.0019,0.8793,0.0369,1.6085,-0.0061,-0.0083,-0.0136,1.4232,0.4207,3.3829,2.0125,0.668,0.0304,0.0702,-0.1037,0.3324,0.2683,13.254,12.9856,13.2243,13.1366,13.2154,0.233,8.4739,0.332,0.0887,0.0128,0.0131,0.0069,0.8989,0.0392,0.6807,0.682,1.5348,0.0229,0.0663,129.4871,2.7802,0.8756,24.9058,24.6872,0.0,0.3648,0.1214,13.478,13.1374,13.23,13.22,13.3617,297.3619,55.4886,1.1022,0.1581,0.2013,0.6732,-5.6469,0.1207,0.201,0.2949,0.103,0.4566,0.7496,0.3283,0.1372,-0.4364,-0.1555,4.7611,-17.0779,78.255,52.7942,0.4167,1.6027,0.9754,1.0032,0.9344,0.0234,0.0551,0.0621,0.1282,42.4812,0.2469,-0.0291,0.318,1.036,-0.0576,0.0258,0.5839,0.4244,0.0317,0.4569,0.2148,0.0317,0.0378,0.0295,0.037,0.0242,0.0292,39.4651,1.9991,0.0196,22.0,0.0171,-0.0353,54.0,0.0557,-0.0008,58.0,0.7603,0.4345,0.9139,-0.0777,-0.1035,0.007,-0.2723,-4.0,0.4997,0.3277,0.3964,0.0107,32.1921,-0.0906,-0.0554,0.4682,0.4511,-5.9208,-4.1572,-4.0847,-5.1019,12.4731,13.9869,-185.2225,-96.7113,-164.7135,-83.8672,20.268,33.6206,-6.4373,-8.777,0.3165,3.79,3.58,0.1167,0.2029,36.5144,-0.0246,2.26,2.3,0.8772,-0.5884,1.0158,21364717009.2,21558463813.9,21382354195.2,1628.4088,1403.6588,557.015,341.7381,-1197874.5671,-2817704.0137,118109826.193,118968518.932,121786222.945,116763523.35,-3239658.8932,1.3771,1.3057,52.7433,55.8879,51108762.7023,40178717.3855,0.938,32544501795.8,2430.3937,2626.1853,2550.6013,5.8916,-30.8986,-91.0065,10.4043,-0.0071,-0.0752,16.7369,34.931,26.5049,25.268,60.0,16.0,76.0,0.0937,0.0484,-0.0914,0.4543,0.5457,-0.32,0.496,1629.7978,1635.6807,1635.536,-0.0025,0.0021,34.8284,0.0565,0.0266,-0.158,-0.0179,-13.4091,3.8554,4.0797,0.6069,-1.6,0.08,13.2571,13.2087,0.2912,13.2287,1.0433,13.0417,12.7736,1.0629,121.755,114.0411,7.7139,112.1805,24.2092,-0.755,-0.105,0.0513,0.271,234750.9817,0.9694,0.9621,0.2,2018-08-02,2018-09-12,249.0,81.0,112.0,56.0,0.36366797942970297,0.3253012048192771,0.4497991967871486,0.2248995983935743,0.989100131299,-0.990790597349,0.06906939629897468,0.39370197874243007,17.198279678444678,0.14114391143911442,1.0
2,300059.XSHE,300059,东方财富,XSHE,,,13.48,,,10.88,,,1449939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,235.0,66.0,112.0,57.0,0.1442496088445467,0.28085106382978725,0.4765957446808511,0.2425531914893617,0.989100131299,-0.990790597349,0.011376106503221224,0.37671787940474477,2.6733850282570017,0.18990825688073398,1.0
3,300059.XSHE,300059,东方财富,XSHE,,,13.04,,,10.84,,,1468632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,228.0,53.0,113.0,62.0,-0.15415067982725836,0.2324561403508772,0.4956140350877193,0.2719298245614035,0.976466024853,-0.990790597349,-0.058012043810551535,0.36239020020268403,-13.22674598880576,0.239693192713327,1.0
4,300059.XSHE,300059,东方财富,XSHE,,,12.7,,,10.9,,,1440790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,217.0,42.0,113.0,62.0,-0.38193461069797024,0.1935483870967742,0.5207373271889401,0.2857142857142857,0.976466024853,-0.990790597349,-0.09846903876260991,0.3423984355044809,-21.367781411486362,0.22614503816793885,1.0
5,300059.XSHE,300059,东方财富,XSHE,,,12.52,,,10.43,,,1432419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,206.0,36.0,108.0,62.0,-0.5322168137473082,0.17475728155339806,0.5242718446601942,0.30097087378640774,0.976466024853,-0.990790597349,-0.1276343814422921,0.33644382133625844,-26.29268257711219,0.20973782771535587,1.0
6,300059.XSHE,300059,东方财富,XSHE,,,12.7,,,10.48,,,1442874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,199.0,32.0,104.0,63.0,-0.6623755218931916,0.16080402010050251,0.5226130653266332,0.3165829145728643,0.976466024853,-0.990790597349,-0.1523229301808925,0.32847346369576347,-30.312263105997616,0.13191881918819193,1.0
7,300059.XSHE,300059,东方财富,XSHE,,,12.93,,,10.68,,,1416668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,201.0,32.0,106.0,63.0,-0.6623755218931916,0.15920398009950248,0.527363184079602,0.31343283582089554,0.980630578985,-0.990790597349,-0.15130930806705847,0.3246009318573042,-30.413170921478763,0.14684014869888484,1.0
8,300059.XSHE,300059,东方财富,XSHE,,,12.52,,,10.84,,,1426246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,204.0,33.0,108.0,63.0,-0.6325225587435105,0.16176470588235295,0.5294117647058824,0.3088235294117647,0.980630578985,-0.990790597349,-0.1452474006645821,0.3236161781395925,-29.630469735574746,0.14616755793226366,1.0
9,300059.XSHE,300059,东方财富,XSHE,,,12.89,,,10.76,,,1400972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,205.0,33.0,109.0,63.0,-0.6325225587435105,0.16097560975609757,0.5317073170731708,0.3073170731707317,0.980630578985,-0.990790597349,-0.14340999826971584,0.3231390276349863,-29.39904964529176,0.18223028105167716,1.0
