,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,002271.XSHE,002271,东方雨虹,XSHE,17.31,17.31,17.15,17.84,16.81,14.5,26484858.0,458865743.33,394668.0,0.0272,0.6441733837,16373294556.0,25245886396.0,-0.0272,20.0534,63.8441,3.6966,1.0,17.326,33.1574,10.8573,0.0989,131.5165,2.7373,23.285,1.3035,0.1104,-0.0643,0.5259,0.6922,0.0052,0.0053,0.6793,1.2127,1.9925,0.0129,0.0135,0.0079,1.5891,0.5092,3.1211,0.8711,0.4591,0.0372,0.1,-0.173,0.1432,0.2786,17.1388,20.1556,17.1325,17.1809,18.6863,0.2638,2.4737,0.5409,1.6605,0.05,0.042,0.0098,1.1651,0.2186,4.2706,0.3706,1.2633,0.0219,0.0566,72.7185,4.9506,-1.8809,23.9519,23.5189,0.0,0.3492,0.1182,17.28,21.4078,16.6035,17.234,19.0905,-32.3288,52.5028,1.0771,0.3692,0.2037,0.118,-0.5151,0.3207,0.1972,0.118,0.1139,0.3259,0.1377,0.1377,0.4321,-3.733,-0.1558,3.9359,-36.6746,20.0534,2.3595,0.3333,1.6396,1.0492,1.1464,0.9345,0.1091,0.1489,0.2144,0.2571,50.0904,-0.2414,0.3245,0.6294,1.1262,2.0415,0.0098,1.0838,0.4777,0.848,0.1602,0.2363,0.0271,0.0142,0.0277,0.0122,0.0221,0.0172,-26.9671,1.9978,0.0279,60.0,0.0639,-0.0016,-48.0,0.5647,0.0406,60.0,0.3023,0.385,0.5097,-0.0271,-0.1505,-0.0526,2.5839,8.0,0.1742,0.3086,0.2104,0.0642,21.7987,0.4136,-0.1082,0.9298,0.9343,-2.5463,1.4244,-2.2862,-11.7886,14.7104,18.4966,-25.6055,46.3091,-109.1307,-87.9387,40.9491,51.2431,20.3611,-9.4624,14.6358,8.5,7.58,0.2677,0.5151,34.1978,0.0469,3.63,5.78,22.848,2.3282,0.8588,5247179417.02,5278268101.19,5280591943.02,447.1183,399.0614,145.7665,92.9216,2285339.775,1064456.234,24686120.2381,24869752.06,23805295.826,23667550.1962,-2441767.082,-3.9556,0.8989,34.2361,-45.5074,9541040.2113,8298093.624,0.7287,8943488667.32,2406.7192,2438.398,2438.297,19.8772,-38.7086,-16.8556,5.9685,0.3084,-0.6575,27.7091,15.4335,30.0844,46.4485,56.0,20.0,76.0,-0.3994,-0.1926,0.1872,0.5936,0.4064,0.79,1.353,271.8557,272.6433,271.2777,0.0026,0.0017,40.0443,0.1484,0.0733,-0.1854,0.09,-4.3987,5.5811,5.7681,0.6338,-3.57,0.11,17.1051,17.2977,0.3028,17.011,1.0102,17.3567,16.9205,1.0261,96.7374,118.973,-22.2356,148.4915,25.4538,-0.2834,0.7466,0.0612,0.6954,293487.8092,1.0006,0.9819,0.2,2018-08-01,2018-09-11,50.0,38.0,9.0,3.0,2.277267285009756,0.76,0.18,0.06,0.985631921701,-0.988912023231,0.5855767212212233,0.248527955618099,29.278836061061163,-0.06965517241379304,0.0
1,002271.XSHE,002271,东方雨虹,XSHE,16.84,16.84,17.15,16.72,15.35,14.5,27984396.0,444963394.93,405489.0,0.0288,0.6441733837,15576020118.0,24016573638.0,-0.0487,19.0769,60.7353,3.5166,1.0,15.9,33.1574,10.8573,0.0989,131.5165,2.7373,23.285,1.3035,0.1104,-0.0643,0.5259,0.7171,0.0055,0.0053,0.6793,1.2127,1.9925,0.0124,0.013,0.0087,1.6275,0.5216,3.1201,0.8711,0.4591,0.0372,0.1,-0.182,0.1432,0.2786,16.9354,20.0872,17.0265,16.7939,18.5989,0.2638,2.4737,0.5409,1.6605,0.0526,0.042,0.0098,1.1651,0.2186,4.2706,0.3706,1.2857,0.0219,0.0566,72.7185,4.9506,-1.8809,23.902,23.469,0.0,0.3492,0.1182,17.236,21.3506,16.648,16.948,18.9777,-32.9637,44.288,1.0811,0.3692,0.2037,0.118,-0.5151,0.3207,0.1972,0.118,0.1139,0.3259,0.1377,0.1377,0.4321,-3.733,-0.1558,3.7442,-34.8887,19.0769,2.2446,0.3333,1.6396,0.9733,1.0588,0.9181,0.1091,0.1489,0.2144,0.2571,46.1667,-0.2721,0.3112,0.6294,1.1262,2.0415,0.0098,1.0897,0.4777,0.848,0.1602,0.2363,0.0268,0.0144,0.0274,0.0123,0.0231,0.0176,-32.4912,1.9978,0.0279,60.0,0.0672,-0.0011,-48.0,0.5936,0.0403,60.0,0.3023,0.385,0.5356,-0.0285,-0.1505,-0.0526,2.5839,8.0,0.1078,0.3064,0.3307,0.0667,21.7987,0.2152,-0.0845,0.9698,1.0269,-7.055,-3.7722,-5.4756,-15.5851,14.8619,18.4341,-156.2436,-55.0148,-166.6667,-115.3419,31.4442,43.8483,6.636,-11.0988,5.8824,8.28,7.58,0.232,0.5455,29.8392,-0.0267,4.45,5.34,9.0909,1.5647,0.8562,5219195021.02,5261703008.85,5278672656.57,443.8864,387.1362,145.0229,78.2697,2075085.6698,1234069.2489,25285806.7403,25348928.0508,24114858.8019,25106498.7975,-1682032.8418,-3.2829,0.8764,37.979,-1.0204,9426042.8193,8153473.2851,0.349,8880600079.96,2406.1064,2438.8362,2428.7941,14.9889,-56.618,-18.6972,11.7162,-0.3741,-1.7728,23.0241,32.8969,28.4091,41.8614,56.0,16.0,72.0,-0.3725,-0.2649,-0.083,0.4585,0.5415,-0.44,1.176,270.493,272.1404,271.4264,-0.0013,0.0013,32.7445,0.1346,0.0467,-0.2466,0.0194,-21.6794,7.0245,6.1406,0.6259,-3.66,-1.15,16.9382,17.2031,0.4736,16.8095,1.0493,16.7855,16.2094,1.0759,85.4026,105.5777,-20.1751,114.3115,25.4616,-1.59,-0.22,0.0855,0.6954,279196.8351,0.9721,0.9418,0.1,2018-08-02,2018-09-12,53.0,42.0,8.0,3.0,2.3749057545736716,0.7924528301886793,0.1509433962264151,0.05660377358490566,0.985631921701,-0.988912023231,0.6158595702769342,0.23276529683468722,32.6405572246775,-0.054899235580264105,0.0
2,002271.XSHE,002271,东方雨虹,XSHE,,,17.15,,,14.5,,,413733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,53.0,42.0,8.0,3.0,2.3749057545736716,0.7924528301886793,0.1509433962264151,0.05660377358490566,0.985631921701,-0.988912023231,0.6129100322864246,0.231747894884255,32.4842317111805,-0.010323468685478177,0.0
3,002271.XSHE,002271,东方雨虹,XSHE,,,16.72,,,14.39,,,398685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,52.0,41.0,8.0,3.0,2.3513752571634776,0.7884615384615384,0.15384615384615385,0.057692307692307696,0.985631921701,-0.988912023231,0.6144181848862212,0.23616905774723376,31.9497456140835,0.006130790190735702,1.0
4,002271.XSHE,002271,东方雨虹,XSHE,,,16.0,,,14.53,,,389576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,53.0,42.0,8.0,3.0,2.3749057545736716,0.7924528301886793,0.1509433962264151,0.05660377358490566,0.985631921701,-0.988912023231,0.6151106301484622,0.23165275756163212,32.6008633978685,0.05312275664034449,1.0
5,002271.XSHE,002271,东方雨虹,XSHE,,,15.35,,,14.68,,,370795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,53.0,41.0,9.0,3.0,2.3513752571634776,0.7735849056603774,0.16981132075471697,0.05660377358490566,0.985631921701,-0.988912023231,0.5976213047949002,0.23708989245549983,31.67392915412971,0.026760563380281654,1.0
6,002271.XSHE,002271,东方雨虹,XSHE,,,15.6,,,13.93,,,372539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,56.0,44.0,9.0,3.0,2.4203681286504293,0.7857142857142857,0.16071428571428573,0.05357142857142857,0.985631921701,-0.988912023231,0.60557492810437,0.2259188729553168,33.91219597384471,-0.04240766073871405,0.0
7,002271.XSHE,002271,东方雨虹,XSHE,,,16.23,,,14.2,,,362936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,58.0,46.0,9.0,3.0,2.463853240590168,0.7931034482758621,0.15517241379310345,0.05172413793103448,0.995499927923,-0.988912023231,0.6133655476480468,0.22066481966508839,35.57520176358671,-0.06451612903225801,0.0
8,002271.XSHE,002271,东方雨虹,XSHE,,,16.0,,,14.62,,,356477.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,57.0,45.0,8.0,4.0,2.2192034840549946,0.7894736842105263,0.14035087719298245,0.07017543859649122,0.995499927923,-0.988912023231,0.5934602475316912,0.24778407055004129,33.82723410930641,-0.04466666666666663,0.0
9,002271.XSHE,002271,东方雨虹,XSHE,,,16.4,,,14.57,,,350111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,58.0,46.0,8.0,4.0,2.2407096892759584,0.7931034482758621,0.13793103448275862,0.06896551724137931,0.995499927923,-0.988912023231,0.6008897529883,0.24653516125455016,34.85160567332141,-0.012203389830508504,0.0
