,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601066.XSHG,601066,中信建投,XSHG,9.89,9.89,9.9,10.17,9.73,7.92,57417687.0,572115508.0,550417.0,0.1435,0.9412229061,3904000000.0,74628720528.0,-0.0131,18.6578,18.8491,1.663,1.0,9.964,,,,,,26.102,,0.1607,-1.7555,,,0.0,,,,,0.0016,0.0065,-0.0444,,,,3.8244,0.7918,0.0471,0.14,,,-0.382,9.9525,8.6522,9.8335,9.9515,9.1622,0.5178,92.6882,0.2082,0.2852,0.0541,,,0.1313,0.0022,22.4473,0.4656,,,0.0008,,,1.0118,25.0358,22.0853,0.0,,,9.979,9.909,9.798,10.018,9.909,,55.6534,,0.0938,-0.1933,0.3527,-3.7702,,-0.1919,0.3527,,-0.1893,0.4656,0.4656,-0.0878,-1.728,,1.8715,-3.7137,18.6578,6.5192,0.5,,1.045,1.0461,0.9278,0.0212,,0.1044,,52.0249,0.2242,0.2242,0.5344,0.0,-1.2373,0.0078,,0.193,0.0581,0.8681,-0.2011,0.202,0.2004,0.2069,0.2004,0.156,0.2004,,1.6818,,,0.0561,,0.0,0.1576,,,0.0424,0.0403,14.8752,-1.3791,-0.1113,-0.0583,-1.2248,-1.0,0.49,0.3493,0.3909,0.0363,1.0,-0.1024,0.2176,0.6148,0.5217,-2.1946,-0.3878,-2.5754,-1.5037,9.0765,10.5195,-23.0303,23.569,-98.0392,-1.8309,47.4621,54.6289,33.1284,-5.1506,4.6088,3.99,5.1,0.2172,0.2198,49.7025,0.043,2.6595,3.0899,7.486,0.145,,-919223.0,90220560.1667,-22804260.95,813.5545,731.5747,299.8908,271.6611,9234612.8375,2370672.9492,73737891.0903,75272058.7109,72901385.7617,65282493.8901,-13727879.7766,-22.3792,0.9148,-9.5618,-63.8728,36661327.5791,28912262.1306,1.3796,16259565660.0,0.7289,-4.624,68.0164,7.014,-3.6779,-7.1237,-7.9828,0.0055,-0.0343,20.2613,12.7229,35.4163,35.5911,-16.0,20.0,4.0,0.2604,0.2092,0.044,0.522,0.478,0.42,0.362,-4.5869,-2.5464,-7.316,0.0016,0.0026,47.3825,0.0378,0.0255,-0.1329,0.0455,-4.0934,5.0268,4.4045,,-0.74,0.77,9.9369,9.7277,0.1696,9.9553,1.02,9.9581,9.8032,1.0224,126.5661,74.2457,52.3204,107.7399,23.1021,-0.1974,0.2426,0.0451,81.8426,138.9898,1.0135,0.8833,0.5,2018-08-01,2018-09-11,239.0,31.0,188.0,20.0,0.4212134650763035,0.1297071129707113,0.7866108786610879,0.08368200836820083,0.969145272812,-0.946978537738,0.0581322402208131,0.11896117437954257,13.893605412774338,0.0972222222222221,1.0
1,601066.XSHG,601066,中信建投,XSHG,9.76,9.76,9.9,9.68,8.88,7.92,73870034.0,681952263.0,561870.0,0.1847,0.9412229061,3644000000.0,69658570083.0,-0.0666,17.4153,17.5938,1.5523,1.0,9.232,,,,,,26.102,,0.1607,-1.7555,,,0.0,,,,,0.0097,0.0032,-0.0489,,,,3.8244,0.7918,0.0476,0.14,,,-0.382,9.7993,8.6597,9.7646,9.671,9.1605,0.5178,92.6882,0.2082,0.2852,0.058,,,0.1313,0.0022,22.4473,0.4656,,,0.0008,,,1.0118,24.9669,22.0163,0.0,,,9.949,9.8841,9.7795,9.794,9.8841,,47.3597,,0.0938,-0.1933,0.3527,-3.7702,,-0.1919,0.3527,,-0.1893,0.4656,0.4656,-0.0878,-1.728,,1.7469,-3.4663,17.4153,6.085,0.4167,,0.9681,0.9609,0.8905,0.0212,,0.1044,,40.8108,0.1552,0.1552,0.5344,0.0,-1.2373,0.0078,,0.193,0.0581,0.8681,-0.2011,0.2096,0.1999,0.2031,0.1999,0.151,0.1999,,1.6818,,,0.0601,,0.0,0.1688,,,0.0424,0.0403,22.5752,-2.093,-0.1113,-0.0583,-1.2248,-1.0,0.3275,0.351,0.1803,0.0402,1.0,-0.2122,0.0269,0.6337,0.5814,-8.433,-6.846,-6.9839,-7.8318,9.0065,10.5525,-180.5556,-124.163,-166.6667,-78.4219,30.3142,44.6539,1.6348,-13.403,-3.903,4.71,4.84,0.1882,0.2436,43.585,-0.0319,3.3097,2.9393,-5.9273,-0.5131,,-74789257.0,44267667.3333,-23467320.4,797.2323,640.6892,297.6029,123.4431,7804335.2937,2083225.1184,73761917.0739,75056362.6015,72973137.4831,68145007.2601,-11442220.3506,-12.4424,0.9609,27.0725,-37.9526,34435035.4331,28514321.4218,0.5801,15939935937.6,-30.6659,0.2456,37.2702,4.1175,-23.5367,-25.2187,10.7319,-0.0541,-0.1697,17.0361,28.567,34.0676,35.4079,-96.0,100.0,4.0,0.2339,0.1278,-0.066,0.467,0.533,-0.3,0.339,-9.5075,-4.1994,-6.9856,-0.0027,0.0018,40.6072,0.0369,0.0228,-0.1909,0.0093,-15.2595,6.0183,6.3519,,-1.86,-0.03,9.8097,9.6819,0.2812,9.7752,1.073,9.5672,9.2734,1.0921,129.2823,64.8721,64.4102,90.0438,23.2765,-0.9306,-0.1306,0.0878,81.8426,129.7333,0.9305,0.8467,0.4,2018-08-02,2018-09-12,223.0,30.0,173.0,20.0,0.3894647667617233,0.13452914798206278,0.7757847533632287,0.08968609865470852,0.955632418115,-0.946978537738,0.05462161200371351,0.1236813171356103,12.180619476828117,0.09786700125470515,1.0
2,601066.XSHG,601066,中信建投,XSHG,,,9.9,,,7.92,,,571224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,221.0,29.0,172.0,20.0,0.3566749439387324,0.13122171945701358,0.7782805429864253,0.09049773755656108,0.955632418115,-0.946978537738,0.05044251015257949,0.12125021105901697,11.147794743720066,0.13947696139476973,1.0
3,601066.XSHG,601066,中信建投,XSHG,,,9.6,,,7.97,,,547656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,220.0,27.0,173.0,20.0,0.28768207245178085,0.12272727272727273,0.7863636363636364,0.09090909090909091,0.955632418115,-0.946978537738,0.04398407188709156,0.1164927899715491,9.676495815160145,0.1951530612244896,1.0
4,601066.XSHG,601066,中信建投,XSHG,,,9.01,,,8.03,,,513003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,214.0,27.0,168.0,19.0,0.3364722366212129,0.1261682242990654,0.7850467289719626,0.08878504672897196,0.955632418115,-0.946978537738,0.04912341403878348,0.11574081809759719,10.512410604299664,0.20801033591731266,1.0
5,601066.XSHG,601066,中信建投,XSHG,,,8.81,,,7.84,,,499984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,221.0,29.0,173.0,19.0,0.4054651081081644,0.13122171945701358,0.7828054298642534,0.08597285067873303,0.955632418115,-0.946978537738,0.05487089011842373,0.11529661503981732,12.126466716171645,0.14249684741488022,1.0
6,601066.XSHG,601066,中信建投,XSHG,,,8.88,,,7.74,,,491103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,215.0,29.0,169.0,17.0,0.5108256237659907,0.13488372093023257,0.786046511627907,0.07906976744186046,0.955632418115,-0.946978537738,0.06291513082288207,0.11061835210493531,13.526753126919647,0.09535759096612306,1.0
7,601066.XSHG,601066,中信建投,XSHG,,,8.94,,,7.93,,,473360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,213.0,28.0,168.0,17.0,0.47692407209030935,0.13145539906103287,0.7887323943661971,0.07981220657276995,0.955632418115,-0.946978537738,0.060807972365071614,0.11005497206920199,12.952098113760256,0.11251580278128959,1.0
8,601066.XSHG,601066,中信建投,XSHG,,,8.45,,,7.97,,,463592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,210.0,28.0,166.0,16.0,0.5340824859302579,0.13333333333333333,0.7904761904761904,0.0761904761904762,0.936706186831,-0.946978537738,0.06462616260560067,0.10783605753971381,13.571494147176143,0.09523809523809534,1.0
9,601066.XSHG,601066,中信建投,XSHG,,,8.52,,,7.91,,,448861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,206.0,28.0,165.0,13.0,0.7282385003712155,0.13592233009708737,0.8009708737864077,0.06310679611650485,0.936706186831,-0.946978537738,0.07732085012692691,0.09840200571623534,15.928095126146943,0.16004962779156306,1.0
