,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601998.XSHG,601998,中信银行,XSHG,6.27,6.27,6.27,6.28,5.87,5.72,60083318.0,362794827.0,277703.0,0.0019,0.8180120587,187921416549.0,288225951385.0,-0.0606,6.6499,5.9228,0.7086,1.0,6.038,,,,,,29.3582,,0.0933,0.9867,,0.2263,0.0443,0.03,,,,-0.0004,-0.0005,-0.0003,0.6087,0.3512,1.7331,12.7966,0.9254,0.0175,0.25,-0.0493,,0.016,6.0679,6.1363,6.0241,6.08,6.0572,0.9945,20.0776,0.0746,0.3901,0.1524,0.1369,,-0.6816,0.0037,8.2201,0.3361,0.7338,0.014,0.0005,,,-0.4584,26.387,25.9593,0.0,,,6.091,6.2492,5.9795,6.114,6.0705,44.2121,57.3964,,0.0671,0.0462,0.277,2.9356,,0.0365,0.277,,-0.0268,0.3361,0.3361,0.0491,22.3247,,0.7752,1.8421,6.6499,1.8177,0.5,,1.0068,1.0315,0.9593,0.0078,0.0094,0.1104,0.1486,48.4536,-0.0769,0.0588,0.6639,0.0,1.734,0.0104,7.4434,-0.0221,0.0282,0.5055,-0.0257,0.0007,0.0011,0.0006,0.0012,0.0008,0.0007,7.2551,1.8823,0.0536,-6.0,0.1535,0.0001,-52.0,0.5828,-0.0008,-50.0,0.0394,0.0718,-164.6815,-4.5809,0.02,-0.0262,-1.4183,4.0,0.0867,0.5998,0.3345,0.1063,1.4186,0.0332,0.2964,0.1482,0.1775,-3.3,-1.4968,-3.6637,-2.9734,5.6772,6.2818,-64.0814,20.1287,-143.4295,-37.2531,47.8922,66.6929,10.2907,-4.2276,3.1524,0.75,1.066,0.0625,0.0461,57.5506,0.0068,0.66,0.84,12.0,0.2895,0.9689,23974429700.8,24001108557.1,23964944581.1,117.7282,140.2978,70.6389,112.8794,-688604.0015,2381455.088,25475900.0822,24335967.8145,21954512.7265,32075401.0746,6140118.179,2.0383,1.0274,407.718,99.8019,15431192.72,11650574.4415,1.0114,2352510864.2,14419.1461,14442.9789,14455.1182,8.3492,-5.9609,-6.6009,69.1218,0.0096,-0.0064,24.1358,28.105,33.5951,27.3366,76.0,20.0,96.0,0.0252,0.0418,0.3154,0.6577,0.3423,0.04,0.223,1162.0896,1164.8399,1164.6978,0.0024,0.0022,41.8851,0.0232,0.0236,-0.0197,0.0224,-7.186,1.9835,2.7385,0.5457,-0.26,0.34,6.0568,6.015,0.0776,6.0598,1.0288,6.1082,6.0082,1.0341,97.1505,88.4442,8.7063,142.0613,26.1862,-0.1814,0.2286,0.0696,0.0588,136064.1154,0.9949,1.0031,0.3,2018-08-01,2018-09-11,250.0,52.0,162.0,36.0,0.3593740009078974,0.208,0.648,0.144,0.99470086908,-0.998199949902,0.06209686748153815,0.23098927573173272,15.524216870384532,0.034965034965035,1.0
1,601998.XSHG,601998,中信银行,XSHG,5.89,5.89,6.27,5.94,5.78,5.72,27766187.0,162938223.0,287817.0,0.0009,0.8180120587,187283313267.0,287247255455.0,-0.0034,6.6273,5.9027,0.7062,1.0,5.868,,,,,,29.3582,,0.0933,0.9867,,0.2482,0.0445,0.03,,,,-0.0003,-0.0005,-0.0002,0.5832,0.3404,1.7134,12.7966,0.9254,0.0175,0.25,-0.0587,,0.016,6.0319,6.1319,6.0094,6.01,6.0511,0.9945,20.0776,0.0746,0.3901,0.1529,0.1369,,-0.6816,0.0037,8.2201,0.3361,0.7206,0.014,0.0005,,,-0.4584,26.3836,25.9559,0.0,,,6.093,6.2392,5.9835,6.068,6.0624,32.9227,50.0788,,0.0671,0.0462,0.277,2.9356,,0.0365,0.277,,-0.0268,0.3361,0.3361,0.0491,22.3247,,0.7726,1.8359,6.6273,1.8116,0.5,,1.0034,1.0138,0.9623,0.0078,0.0094,0.1104,0.1486,49.4737,-0.0938,0.0504,0.6639,0.0,1.734,0.0104,7.4391,-0.0221,0.0282,0.5055,-0.0257,0.0008,0.0011,0.0006,0.0012,0.0009,0.0007,-15.33,1.8708,0.0447,-4.0,0.154,0.0001,-50.0,0.5847,-0.0008,-50.0,0.0394,0.0718,-160.0941,-4.4533,0.02,-0.0262,-1.4183,4.0,0.0771,0.5984,0.3752,0.1001,1.4186,-0.0022,-0.1091,0.149,0.1746,-3.6599,-1.8969,-3.263,-3.1737,5.6898,6.2772,-191.5131,-62.8931,-126.6359,-102.0485,37.3412,56.8615,-1.6993,-4.3974,1.3817,1.1,0.98,0.0542,0.0565,48.9612,0.0034,0.68,0.76,5.5556,-0.0862,0.9681,23946663513.8,23991581826.0,23965781364.7,119.6776,155.2579,71.354,108.0494,-55145.856,2478686.7259,25892315.8854,24863693.843,22385007.1171,30638996.3831,5067665.1638,6.8623,0.8513,106.3711,132.8089,14358450.6858,11785786.7665,0.6355,2391154839.02,14422.6169,14443.9599,14448.246,6.7056,-9.2875,-11.8352,76.6509,0.0005,-0.0264,20.8054,32.2806,31.9917,25.3145,76.0,16.0,92.0,0.0249,0.0238,-0.007,0.4965,0.5035,0.02,0.219,1161.9953,1164.2832,1164.5366,0.0,0.0019,43.0481,0.0228,0.02,-0.0509,0.0074,-3.2522,2.7968,3.9379,0.5365,-0.27,0.15,6.028,6.0042,0.1136,6.0217,1.0258,6.0039,5.8891,1.038,85.9162,82.7536,3.1626,115.8273,26.3045,-0.2455,-0.0855,0.0273,0.0586,136064.1154,0.9983,0.9867,0.2,2018-08-02,2018-09-12,251.0,53.0,163.0,35.0,0.4054651081081644,0.21115537848605578,0.649402390438247,0.1394422310756972,0.99470086908,-0.998199949902,0.06774966819537782,0.22773529555915512,17.00516671703983,0.022727272727272707,1.0
2,601998.XSHG,601998,中信银行,XSHG,,,6.27,,,5.72,,,296420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,257.0,54.0,168.0,35.0,0.42381424677636087,0.21011673151750973,0.6536964980544747,0.13618677042801555,0.99470086908,-0.998199949902,0.07173430265104551,0.22335548241851838,18.43571578131869,0.03304347826086973,1.0
3,601998.XSHG,601998,中信银行,XSHG,,,5.92,,,5.72,,,275237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,258.0,55.0,171.0,32.0,0.528844129268669,0.2131782945736434,0.6627906976744186,0.12403100775193798,0.99470086908,-0.995730122365,0.08444172335192171,0.21251826358646791,21.7859646247958,0.031523642732048884,1.0
4,601998.XSHG,601998,中信银行,XSHG,,,5.86,,,5.75,,,267421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,257.0,55.0,173.0,29.0,0.6241543090729939,0.2140077821011673,0.6731517509727627,0.11284046692607004,0.99470086908,-0.993691415153,0.09536768162373876,0.20148986812611108,24.50949417730085,0.038938053097345104,1.0
5,601998.XSHG,601998,中信银行,XSHG,,,5.86,,,5.71,,,269390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,254.0,55.0,169.0,30.0,0.5913644862500029,0.21653543307086615,0.6653543307086615,0.11811023622047244,0.99470086908,-0.993691415153,0.09190295075533074,0.20461634688568175,23.343349491854013,0.01565217391304352,1.0
6,601998.XSHG,601998,中信银行,XSHG,,,5.85,,,5.65,,,270476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,254.0,57.0,168.0,29.0,0.659245628884264,0.22440944881889763,0.6614173228346457,0.1141732283464567,0.99470086908,-0.993691415153,0.10118739578083809,0.20750489917069065,25.701598528332873,0.013816925734024155,1.0
7,601998.XSHG,601998,中信银行,XSHG,,,5.95,,,5.75,,,269222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,252.0,58.0,166.0,28.0,0.7102416139192453,0.23015873015873015,0.6587301587301587,0.1111111111111111,0.99470086908,-0.993691415153,0.10965509478286184,0.20836354644022884,27.63308388528118,-0.02401372212692965,0.0
8,601998.XSHG,601998,中信银行,XSHG,,,5.89,,,5.79,,,278116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,254.0,58.0,171.0,25.0,0.8194409058842373,0.2283464566929134,0.6732283464566929,0.0984251968503937,0.99470086908,-0.993005064595,0.12059473147970051,0.19411324692627793,30.63106179584392,-0.052980132450331174,0.0
9,601998.XSHG,601998,中信银行,XSHG,,,5.96,,,5.83,,,283115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,257.0,60.0,170.0,27.0,0.7786693539981072,0.23346303501945526,0.6614785992217899,0.10505836575875487,0.99470086908,-0.993005064595,0.11704063795059956,0.20360105734039607,30.07944395330408,-0.041806020066889604,0.0
