,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601318.XSHG,601318,中国平安,XSHG,61.6,61.6,61.8,62.41,59.62,61.68,56343432.0,3440050571.0,1784675.0,0.0052,0.8803266883,646710070650.0,1091330411580.0,-0.0308,11.8963,10.6152,2.1744,1.0,61.055,,,,,,29.537,,0.0698,0.3237,,0.8666,0.0251,0.0175,,,,-0.0016,-0.0018,-0.0033,1.4954,0.7591,1.97,12.1705,0.9082,0.022,1.44,0.1002,,0.237,60.5197,62.0487,60.0105,60.7555,60.7785,5.624,14.496,0.0918,1.6292,0.0946,0.0898,,-0.024,0.0063,22.8467,0.1513,1.4577,0.013,0.0052,,,-0.1489,27.7184,27.1952,0.0179,,,60.9059,63.4842,59.3075,60.9061,60.4904,135.8812,71.0137,,0.1907,0.381,0.1103,2.1392,,0.4169,0.1103,,0.4298,0.1513,0.1513,0.2161,3.5291,,2.1744,3.6037,11.8963,1.1665,0.75,,1.0327,1.0753,0.9604,0.0169,0.0133,0.2086,0.2024,61.0987,0.1654,0.6561,0.8487,0.0,2.706,0.0041,2.0483,0.165,0.1475,0.1783,0.4189,0.0054,0.007,0.0052,0.0077,0.0037,0.0056,162.4602,1.7359,-0.152,-54.0,0.1027,-0.0055,50.0,0.9266,-0.0025,-38.0,0.2575,0.1351,7.1076,0.32,0.0297,0.0226,2.6134,6.0,0.3947,0.3656,-0.1103,0.0042,2.3285,0.5482,0.6011,1.6065,1.6067,-2.9472,0.6618,-1.9796,-1.3067,55.4916,63.1233,-37.9371,49.7556,-121.0145,-28.6279,48.6712,61.3463,23.3209,-3.3028,7.5293,8.31,20.8327,0.9746,0.4395,68.9202,0.0317,6.08,10.2603,25.5828,0.5533,0.9564,24775678409.7,24783337023.5,24557455846.6,3338.2623,2478.6519,1239.7497,656.4392,-3708461.6614,-5895684.0632,49863640.9116,51303757.6119,57199441.6751,45246812.8373,-4374444.8036,-8.418,2.2496,30.4421,-32.6718,26116293.1834,20630917.7984,4.267,66729259013.9,-3862.5188,-3832.0027,-3824.1489,11.9042,-58.7424,-10.5635,19.3146,0.3922,-0.5225,20.9912,18.6957,31.4069,29.7602,68.0,12.0,80.0,0.1562,0.4303,0.1978,0.5989,0.4011,1.8907,3.1969,962.7653,964.1518,962.854,0.0027,0.0025,38.6433,0.3241,0.2954,-0.2631,0.2527,-39.1817,1.6304,2.0175,0.5545,-1.7402,4.8398,60.3756,59.9453,0.5051,60.3253,1.0105,61.1771,60.2589,1.0202,109.3484,122.7699,-13.4215,185.1331,24.92,-0.6898,2.1007,0.0467,4.2527,7041.5038,1.0343,1.0505,0.3,2018-08-01,2018-09-11,464.0,277.0,163.0,24.0,2.4087452888224363,0.5969827586206896,0.35129310344827586,0.05172413793103448,0.995400856668,-0.988406763412,0.44756004113300735,0.20842261808946738,207.66785908571526,0.03161478599221801,1.0
1,601318.XSHG,601318,中国平安,XSHG,59.7,59.7,61.8,59.49,57.8,61.68,64680428.0,3782255927.0,1838901.0,0.006,0.8803266883,631111033770.0,1065006863964.0,-0.0241,11.6093,10.3592,2.122,1.0,58.476,,,,,,29.537,,0.0698,0.3237,,0.8747,0.0257,0.0175,,,,-0.0016,-0.0017,-0.0029,1.4902,0.7625,1.9545,12.1705,0.9082,0.0222,1.44,0.0936,,0.237,60.1088,61.9861,59.8438,59.9237,60.6959,5.624,14.496,0.0918,1.6292,0.0969,0.0898,,-0.024,0.0063,22.8467,0.1513,1.4525,0.013,0.0052,,,-0.1489,27.694,27.1707,0.0179,,,60.861,63.3525,59.444,60.3981,60.432,122.6638,63.8284,,0.1907,0.381,0.1103,2.1392,,0.4169,0.1103,,0.4298,0.1513,0.1513,0.2161,3.5291,,2.122,3.5168,11.6093,1.1383,0.6667,,0.9923,1.0492,0.9582,0.0169,0.0133,0.2086,0.2024,51.1928,0.088,0.6345,0.8487,0.0,2.706,0.0041,2.0428,0.165,0.1475,0.1783,0.4189,0.0053,0.0069,0.0052,0.0077,0.004,0.0056,56.9169,1.7359,-0.1491,-54.0,0.1052,-0.0055,48.0,0.9495,-0.0025,-40.0,0.2575,0.1351,7.311,0.3292,0.0297,0.0226,2.6134,6.0,0.3452,0.364,0.1963,0.0045,2.3285,0.1178,0.4561,1.6275,1.6557,-5.2184,-1.9918,-3.5397,-3.5941,56.022,62.8659,-232.3554,-40.403,-166.6667,-92.9857,30.5168,49.4422,-7.3339,-6.2734,4.9162,10.7006,19.6722,0.8447,0.5326,61.3301,-0.0077,7.5202,10.2502,15.3626,0.144,0.9565,24710997981.7,24771310497.7,24578045040.9,3374.6512,2687.411,1241.661,847.332,-3845145.7107,-4391881.9079,52557602.2004,53361706.9024,57753588.8103,51724684.5582,-1093472.3944,-3.9224,1.8328,70.2372,58.1404,25887705.8471,20711866.0515,3.4989,67461568321.2,-3891.9611,-3830.8081,-3841.6494,9.6333,-114.3672,-25.3332,27.3481,-0.1123,-1.4884,17.9575,30.904,30.7517,28.2146,68.0,8.0,76.0,0.1709,0.2298,0.0378,0.5189,0.4811,-0.4494,2.834,961.2049,963.5065,963.0569,0.0001,0.0022,36.9968,0.3094,0.2499,-0.462,0.0616,-49.4461,2.5664,2.9988,0.5504,-3.9399,3.0491,60.0502,59.8204,0.8279,59.8895,1.028,59.9368,58.6869,1.0446,108.2731,121.0819,-12.8088,153.3385,24.9378,-2.2171,-0.5264,0.029,4.2527,6871.6338,1.0041,0.9945,0.3,2018-08-02,2018-09-12,469.0,278.0,166.0,25.0,2.3731152437998837,0.5927505330490405,0.35394456289978676,0.053304904051172705,0.995400856668,-0.988406763412,0.4436805638781913,0.21125810062830722,208.08618445887163,0.06105610561056096,1.0
2,601318.XSHG,601318,中国平安,XSHG,,,61.8,,,61.68,,,1899812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,461.0,274.0,164.0,23.0,2.438717267318626,0.5943600867678959,0.3557483731019523,0.049891540130151846,0.995400856668,-0.987952955067,0.4481123734521526,0.20673939074205883,206.57980416144224,0.0793269230769229,1.0
3,601318.XSHG,601318,中国平安,XSHG,,,59.41,,,60.6,,,1896447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,497.0,286.0,178.0,33.0,2.13312169114346,0.5754527162977867,0.358148893360161,0.06639839034205232,0.995400856668,-0.987952955067,0.4202350204410827,0.22971056165988293,208.85680515921797,0.05181674565560823,1.0
4,601318.XSHG,601318,中国平安,XSHG,,,58.43,,,62.4,,,1861816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,503.0,288.0,181.0,34.0,2.1110786266230184,0.5725646123260437,0.35984095427435386,0.06759443339960239,0.995400856668,-0.985449981317,0.41925807795972714,0.22744723274185266,210.88681321374267,0.0686290193569028,1.0
5,601318.XSHG,601318,中国平安,XSHG,,,57.81,,,63.3,,,1885323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,514.0,296.0,185.0,33.0,2.1673716141865382,0.5758754863813229,0.35992217898832685,0.06420233463035019,0.995400856668,-0.985449981317,0.42592923012955647,0.2242950182835085,218.92762428659196,0.031191515907673217,1.0
6,601318.XSHG,601318,中国平安,XSHG,,,58.11,,,62.51,,,1925431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,513.0,298.0,180.0,35.0,2.1169246349345765,0.580896686159844,0.3508771929824561,0.0682261208576998,0.995400856668,-0.985449981317,0.4267034247592437,0.22777707446166473,218.89885690149197,0.01765157329240208,1.0
7,601318.XSHG,601318,中国平安,XSHG,,,59.55,,,64.12,,,1913878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,513.0,299.0,178.0,36.0,2.0928645620119766,0.5828460038986355,0.3469785575048733,0.07017543859649122,0.995400856668,-0.985449981317,0.42588093059257176,0.23147462833266988,218.4769173939893,-0.002777777777777657,0.0
8,601318.XSHG,601318,中国平安,XSHG,,,58.38,,,65.15,,,1958771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,518.0,305.0,176.0,37.0,2.085998942225995,0.5888030888030888,0.33976833976833976,0.07142857142857142,0.995400856668,-0.985449981317,0.42613165176865325,0.23305334537664918,220.7361956161624,-0.041932138094532556,0.0
9,601318.XSHG,601318,中国平安,XSHG,,,60.56,,,64.8,,,1946905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,507.0,298.0,172.0,37.0,2.0628574136643008,0.5877712031558185,0.33925049309664695,0.07297830374753451,0.995400856668,-0.985449981317,0.4238224950733282,0.23799669757326364,214.8780050021775,-0.03244530436076787,0.0
