,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601669.XSHG,601669,中国电建,XSHG,5.67,5.67,5.76,5.82,5.61,5.2,31663157.0,180755652.0,242728.0,0.0028,0.9362825751,62631536430.0,85980576700.0,-0.0088,11.3451,11.2072,1.07,1.0,5.709,101.6863,3.5403,0.0617,-37.8445,-9.5126,27.1307,3.6173,0.024,0.0047,0.1813,0.4074,0.0165,0.0142,0.5174,0.8864,1.0652,0.0018,0.0008,0.0013,0.3245,0.2509,1.2934,6.0147,0.7971,0.0186,0.1254,-0.1426,0.0648,0.0861,5.613,6.0991,5.5534,5.6594,5.7107,0.5015,1.1988,0.2029,2.3929,0.0978,0.079,0.0288,0.2879,0.1692,2.6953,0.1442,0.4478,0.0108,0.1774,191.6015,1.8789,-0.0594,25.1774,24.8605,0.2534,9.8375,0.3114,5.603,6.199,5.501,5.684,5.6498,92.5549,56.1435,3.265,0.3877,0.0772,0.0306,0.126,0.4826,0.1046,0.0305,0.0035,0.1387,0.0408,0.0407,0.1312,-0.9362,0.0044,1.1555,65.9244,11.3451,0.3129,0.4167,0.6272,1.0604,1.0505,0.9894,0.0151,0.0187,0.1022,0.1343,64.6465,-0.3498,-0.0298,0.8558,0.899,1.3029,0.0092,1.6381,0.1754,0.4741,0.0433,0.1261,0.0031,0.0013,0.0021,0.0023,0.0026,0.0014,68.9401,1.6818,-0.2199,46.0,0.0972,0.0,-55.0,3.4778,0.0,-55.0,0.1349,0.1207,2.5789,0.0055,-0.0117,0.0168,1.9274,6.0,0.1093,0.8193,0.3541,0.117,1.1685,0.0768,0.1739,0.169,0.1886,0.3034,2.1632,-1.126,-0.5275,5.1569,5.8451,35.2803,79.2848,-54.4218,-32.8722,63.025,63.3117,62.4515,-3.2702,5.0467,0.95,1.15,0.0595,0.0825,41.9014,0.0569,0.69,0.96,16.3636,0.4423,0.884,22664026212.9,22685465404.6,22623085021.0,128.0568,174.4861,107.76,37.2004,4645381.8136,5175550.4489,30593919.684,29676699.3458,24501148.8969,31907059.3081,1060337.2706,23.9745,1.4547,287.0052,-61.3903,20421095.5689,18670719.6725,1.9574,2557206654.82,5937.1225,5958.654,5966.824,9.0516,-1.1858,-8.0185,74.0603,0.0025,-0.0007,32.1746,10.2758,44.6525,46.8311,12.0,64.0,76.0,0.0082,0.0466,0.173,0.5865,0.4135,0.32,0.204,1097.873,1098.1264,1095.9766,0.0048,0.0026,45.6191,0.0191,0.0329,-0.0046,0.0435,-2.0784,2.6325,2.2229,0.5537,-0.33,0.28,5.5953,5.5487,0.0468,5.6017,0.9967,5.7206,5.6524,0.997,127.802,99.2119,28.5901,159.949,25.4549,0.0225,0.2325,0.0374,2.9306,4617.3298,1.0544,1.0485,0.3,2018-08-01,2018-09-11,80.0,61.0,17.0,2.0,3.028522096376982,0.7625,0.2125,0.025,0.986217671353,-0.958287020028,0.6252066553093399,0.14111048944904384,50.01653242474718,-0.09038461538461529,0.0
1,601669.XSHG,601669,中国电建,XSHG,5.62,5.62,5.76,5.65,5.37,5.2,33016919.0,182527976.0,246341.0,0.003,0.9362825751,62631536430.0,85980576700.0,0.0,11.3451,11.2072,1.07,1.0,5.528,101.6863,3.5403,0.0617,-37.8445,-9.5126,27.1307,3.6173,0.024,0.0047,0.1813,0.4123,0.0165,0.0142,0.5174,0.8864,1.0652,0.002,0.0008,0.0015,0.3212,0.2531,1.269,6.0147,0.7971,0.0186,0.1254,-0.1466,0.0648,0.0861,5.6143,6.0912,5.5598,5.6462,5.7078,0.5015,1.1988,0.2029,2.3929,0.0978,0.079,0.0288,0.2879,0.1692,2.6953,0.1442,0.4403,0.0109,0.1774,191.6015,1.8789,-0.0594,25.1774,24.8605,0.2534,9.8375,0.3114,5.635,6.1848,5.514,5.676,5.6397,87.6317,53.0383,3.265,0.3877,0.0772,0.0306,0.126,0.4826,0.1046,0.0305,0.0035,0.1387,0.0408,0.0407,0.1312,-0.9362,0.0044,1.1555,65.9244,11.3451,0.3129,0.4167,0.6272,1.0604,1.0485,0.9929,0.0151,0.0187,0.1022,0.1343,66.6667,-0.3583,-0.0008,0.8558,0.899,1.3029,0.0092,1.64,0.1754,0.4741,0.0433,0.1261,0.0033,0.0013,0.0021,0.0023,0.0028,0.0015,71.6454,1.6818,-0.2199,44.0,0.0972,0.0,-54.0,3.4778,0.0,-54.0,0.1349,0.1207,2.5789,0.0055,-0.0117,0.0168,1.9274,6.0,0.1093,0.7881,0.1612,0.1118,1.1685,0.059,0.1304,0.1769,0.2038,-0.2662,1.9224,-0.9866,-0.3493,5.1727,5.8553,-44.9438,15.4314,-166.6667,-54.4439,58.4407,61.26,52.8022,-1.0563,4.8507,1.0,1.15,0.0516,0.0715,41.9171,0.0569,0.69,0.95,15.8537,0.3367,0.8848,22664026212.9,22682654376.6,22626914300.2,133.2757,168.739,107.7433,31.5516,4728031.9729,5058632.6103,31034465.0142,30190579.2926,25131946.6823,32277012.5387,661201.2748,26.4276,1.4461,413.2662,-13.1771,18936853.5438,18696289.0101,1.5613,2662250641.62,5963.0644,5958.9942,5962.7163,9.4949,-3.5858,-3.4329,102.6618,-0.0093,-0.0291,26.6394,26.5973,38.7099,42.1393,12.0,60.0,72.0,0.0156,0.0451,0.054,0.527,0.473,0.32,0.242,1097.873,1098.1031,1096.4312,0.0034,0.0026,47.9434,0.0235,0.0356,-0.0143,0.0347,-1.6,2.4744,2.3092,0.5925,-0.2,0.21,5.5991,5.554,0.0448,5.5944,0.9954,5.6915,5.6219,1.0027,121.4906,93.5189,27.9717,126.4151,25.6742,-0.2221,0.0579,0.0498,2.9306,4617.3298,1.0604,1.0485,0.3,2018-08-02,2018-09-12,79.0,61.0,16.0,2.0,3.028522096376982,0.7721518987341772,0.20253164556962025,0.02531645569620253,0.986217671353,-0.958287020028,0.6297248259835467,0.13944092220908688,49.74826125270019,-0.09459459459459452,0.0
2,601669.XSHG,601669,中国电建,XSHG,,,5.76,,,5.2,,,250318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,80.0,61.0,17.0,2.0,3.028522096376982,0.7625,0.2125,0.025,0.986217671353,-0.958287020028,0.6271193570958237,0.14257219365946064,50.169548567665885,-0.08015267175572516,0.0
3,601669.XSHG,601669,中国电建,XSHG,,,5.58,,,5.18,,,238553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,78.0,61.0,15.0,2.0,3.028522096376982,0.782051282051282,0.19230769230769232,0.02564102564102564,0.986217671353,-0.958287020028,0.6459547561581568,0.1386518793394941,50.38447098033623,-0.07485604606525909,0.0
4,601669.XSHG,601669,中国电建,XSHG,,,5.58,,,5.24,,,229508.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,80.0,63.0,15.0,2.0,3.060270794691562,0.7875,0.1875,0.025,0.986217671353,-0.958287020028,0.6534128827520405,0.13734511026437463,52.273030620163226,-0.07170542635658916,0.0
5,601669.XSHG,601669,中国电建,XSHG,,,5.4,,,5.21,,,229195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,86.0,67.0,17.0,2.0,3.120895416507997,0.7790697674418605,0.19767441860465115,0.023255813953488372,0.986217671353,-0.958287020028,0.6504795027691284,0.1392868200870894,55.941237238145035,-0.11152416356877315,0.0
6,601669.XSHG,601669,中国电建,XSHG,,,5.41,,,5.16,,,229553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,88.0,68.0,18.0,2.0,3.1354942159291497,0.7727272727272727,0.20454545454545456,0.022727272727272728,0.986217671353,-0.958287020028,0.6460397765728584,0.14057908892488638,56.851500338411526,-0.11423220973782766,0.0
7,601669.XSHG,601669,中国电建,XSHG,,,5.74,,,5.38,,,214586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,88.0,68.0,18.0,2.0,3.1354942159291497,0.7727272727272727,0.20454545454545456,0.022727272727272728,0.986217671353,-0.958287020028,0.6460397765728584,0.14057908892488638,56.851500338411526,-0.1264150943396226,0.0
8,601669.XSHG,601669,中国电建,XSHG,,,5.7,,,5.34,,,209189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,89.0,68.0,18.0,3.0,2.847812143477369,0.7640449438202247,0.20224719101123595,0.033707865168539325,0.986217671353,-0.985659846291,0.6283611095322307,0.16917168851401013,55.92413874836852,-0.12476722532588458,0.0
9,601669.XSHG,601669,中国电建,XSHG,,,5.76,,,5.3,,,200846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,87.0,64.0,20.0,3.0,2.7880929087757464,0.735632183908046,0.22988505747126436,0.034482758620689655,0.986217671353,-0.985659846291,0.6065869822252681,0.1775604552758461,52.77306745359832,-0.11028037383177569,0.0
