,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601988.XSHG,601988,中国银行,XSHG,3.62,3.62,3.62,3.66,3.56,3.51,136788645.0,494873311.0,469591.0,0.0006,0.7917488217,750325232688.0,1048020536672.0,-0.0166,5.9969,5.3469,0.6967,1.0,3.618,,,,,,30.6347,,0.0252,0.8419,,0.3515,0.0494,0.0498,,,,-0.0002,-0.0002,-0.0002,0.5471,0.3956,1.3828,12.3489,0.9214,0.0131,0.16,0.124,,0.0277,3.5681,3.658,3.5481,3.5808,3.5805,0.6658,7.8693,0.0786,0.3072,0.1783,0.1681,,12.6614,0.01,2.4032,0.469,0.6068,0.0109,0.0011,,,-0.0433,27.6779,27.3438,0.0,,,3.569,3.7324,3.5404,3.582,3.5682,318.3422,50.3459,,0.036,0.0059,0.3893,1.7953,,0.0617,0.3893,,0.0149,0.469,0.469,-0.0206,-0.4367,,0.7462,2.5933,5.9969,2.1834,0.4167,,1.0289,1.0589,0.9916,0.0097,0.0109,0.1189,0.1488,58.3333,-0.0482,0.1565,0.531,0.0,1.0187,0.0096,8.054,0.0657,0.0245,0.8864,0.0081,0.0006,0.0008,0.0006,0.0009,0.0006,0.0005,447.3537,1.8706,0.0984,60.0,0.1731,0.0033,-12.0,0.4805,0.0036,-54.0,0.0524,0.0419,-78.5402,-1.5744,0.0108,0.0164,-0.1274,4.0,0.2061,0.296,-0.8215,0.0245,1.7378,0.0192,0.4002,0.0685,0.07,-0.2522,0.5536,-0.6142,-0.2298,3.414,3.6667,54.2328,74.9351,55.5556,-6.7488,64.84,68.6288,57.2623,-1.1111,5.8894,0.538,0.897,0.0269,0.0345,43.8111,0.0281,0.289,0.487,25.5155,-0.0898,0.9564,87182387049.1,87180037054.4,87132783139.7,451.1848,413.9101,127.8747,95.6324,2361091.6419,2183994.9296,127790412.806,127532859.2,125348864.27,129105612.722,-354193.4246,1.0131,1.2481,17.9706,-23.6974,42198361.7323,35238982.9287,6.2553,9025021589.63,88768.9524,88680.6503,88749.2272,4.0291,-0.4611,60.8624,0.3254,0.0001,0.0001,33.3929,12.53,30.4952,33.2092,84.0,12.0,96.0,0.0085,0.0181,0.1112,0.5556,0.4444,0.1,0.0573,4196.2754,4197.0654,4195.021,0.0019,0.0014,46.3504,0.005,0.0066,0.0011,0.0117,-0.5358,1.6665,0.9671,0.6176,-0.08,0.196,3.5627,3.5446,0.0204,3.56,1.0,3.596,3.5797,1.0025,118.2022,96.0804,22.1218,182.8326,26.6385,-0.0002,0.0998,0.0281,0.5695,19127.2784,1.0171,1.0498,0.2,2018-08-01,2018-09-11,353.0,55.0,249.0,49.0,0.11332868530700327,0.1558073654390935,0.7053824362606232,0.1388101983002833,0.994754171488,-0.989759798674,0.02104519428949026,0.19111284407861692,7.428953584190069,0.05982905982905984,1.0
1,601988.XSHG,601988,中国银行,XSHG,3.56,3.56,3.62,3.56,3.47,3.51,154285811.0,541295645.0,484942.0,0.0007,0.7917488217,735571646652.0,1027413391288.0,-0.0197,5.879,5.2418,0.683,1.0,3.508,,,,,,30.6347,,0.0252,0.8419,,0.3681,0.0504,0.0498,,,,0.0,-0.0001,-0.0001,0.5406,0.4034,1.3402,12.3489,0.9214,0.0131,0.16,0.1148,,0.0277,3.5539,3.6552,3.5426,3.5505,3.5775,0.6658,7.8693,0.0786,0.3072,0.1819,0.1681,,12.6614,0.01,2.4032,0.469,0.6138,0.0109,0.0011,,,-0.0433,27.6581,27.3239,0.0,,,3.573,3.7248,3.5444,3.566,3.5648,326.0471,49.7976,,0.036,0.0059,0.3893,1.7953,,0.0617,0.3893,,0.0149,0.469,0.469,-0.0206,-0.4367,,0.7315,2.5423,5.879,2.1405,0.4167,,1.0116,1.0235,0.9776,0.0097,0.0109,0.1189,0.1488,51.2195,-0.0782,0.1336,0.531,0.0,1.0187,0.0096,8.0036,0.0657,0.0245,0.8864,0.0081,0.0007,0.0007,0.0006,0.0009,0.0006,0.0005,288.1873,1.8706,0.0939,60.0,0.1766,0.0035,-10.0,0.4906,0.0046,-52.0,0.0526,0.043,-72.7034,-1.4574,0.0108,0.0164,-0.1274,4.0,0.1492,0.2911,-0.7026,0.0247,1.7378,0.0038,0.288,0.07,0.0733,-2.323,-1.5348,-2.1312,-2.0983,3.431,3.6577,-166.6667,-53.5522,-139.6396,-82.2748,36.9534,54.8097,1.2407,-2.7855,2.346,0.618,0.868,0.0233,0.0348,40.1033,0.0115,0.359,0.439,10.0251,-0.4486,0.9564,87028101238.1,87146222988.4,87128954704.0,458.2701,446.4842,128.788,100.9519,2720144.54,4156356.1325,132607757.932,131648697.938,127492341.806,137499012.148,2872423.185,5.7956,1.0628,112.94,60.2352,38535270.8803,35664098.7043,4.9316,9165436833.77,88683.2381,88689.235,88747.3578,2.8686,-2.6554,13.8818,14.4128,-0.0003,-0.0008,28.3204,27.7695,26.617,31.0096,84.0,8.0,92.0,0.009,0.0109,0.0606,0.5303,0.4697,0.04,0.0573,4193.2417,4196.4257,4195.2786,0.0005,0.0013,43.9327,0.0051,0.0087,-0.0109,0.006,-2.1943,1.45,1.8373,0.5887,-0.12,0.069,3.5515,3.5406,0.0336,3.5474,1.0164,3.5518,3.5148,1.0238,117.6734,95.6957,21.9777,140.0903,26.4782,-0.0802,0.0098,0.0258,0.5695,18751.1802,1.0029,1.0148,0.1,2018-08-02,2018-09-12,353.0,56.0,250.0,47.0,0.17185025692665923,0.15864022662889518,0.7082152974504249,0.13314447592067988,0.994754171488,-0.989759798674,0.02726419586398411,0.1892460226459173,9.624261139986395,0.05157593123209159,1.0
2,601988.XSHG,601988,中国银行,XSHG,,,3.62,,,3.51,,,496931.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,367.0,58.0,262.0,47.0,0.20633643299782858,0.15803814713896458,0.7138964577656676,0.12806539509536785,0.994754171488,-0.989759798674,0.03007819066128627,0.18493969869721805,11.038695972692071,0.04802259887005644,1.0
3,601988.XSHG,601988,中国银行,XSHG,,,3.55,,,3.49,,,485096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,377.0,60.0,270.0,47.0,0.23967285326542026,0.15915119363395225,0.7161803713527851,0.1246684350132626,0.994754171488,-0.989759798674,0.03239880262179799,0.18419588514485627,12.214348588417844,0.039548022598870025,1.0
4,601988.XSHG,601988,中国银行,XSHG,,,3.49,,,3.54,,,466531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,364.0,60.0,265.0,39.0,0.4219944100593749,0.16483516483516483,0.728021978021978,0.10714285714285714,0.994754171488,-0.989759798674,0.05356251779677081,0.16962374578564682,19.49675647802459,0.03977272727272729,1.0
5,601988.XSHG,601988,中国银行,XSHG,,,3.49,,,3.54,,,461936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,370.0,62.0,262.0,46.0,0.29298712468147414,0.16756756756756758,0.7081081081081081,0.12432432432432433,0.994754171488,-0.996054874844,0.039123558302487635,0.18550475299383126,14.47571657192044,0.030985915492957927,1.0
6,601988.XSHG,601988,中国银行,XSHG,,,3.51,,,3.52,,,459177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,375.0,62.0,267.0,46.0,0.29298712468147414,0.16533333333333333,0.712,0.12266666666666666,0.994754171488,-0.996054874844,0.038939340291272224,0.18324240809529385,14.60225260922709,0.030898876404494402,1.0
7,601988.XSHG,601988,中国银行,XSHG,,,3.55,,,3.55,,,453266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,373.0,56.0,273.0,44.0,0.23638877806423034,0.15013404825737264,0.7319034852546917,0.11796246648793565,0.994754171488,-0.996054874844,0.02822515379283462,0.16935343255485472,10.527982364727329,0.0056022408963585235,1.0
8,601988.XSHG,601988,中国银行,XSHG,,,3.52,,,3.56,,,475692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,368.0,50.0,274.0,44.0,0.125163142954006,0.1358695652173913,0.7445652173913043,0.11956521739130435,0.994754171488,-0.996054874844,0.015557510372985708,0.16285916300208209,5.725163817258748,-0.01902173913043481,0.0
9,601988.XSHG,601988,中国银行,XSHG,,,3.56,,,3.57,,,478090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,372.0,51.0,280.0,41.0,0.2135741002980591,0.13709677419354838,0.7526881720430108,0.11021505376344086,0.994754171488,-0.996054874844,0.02383428853997283,0.1577098900498012,8.866355336869901,-0.008219178082191747,0.0
