,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,300014.XSHE,300014,亿纬锂能,XSHE,14.93,14.93,15.12,15.42,14.92,12.54,14888248.0,225705859.01,328432.0,0.0182,0.5239241719,12272510306.0,12815084408.0,0.0033,38.8797,40.3565,4.0195,1.0,15.16,300.2753,1.1989,0.1306,153.505,2.3452,22.9095,1.5194,0.0,0.0504,0.0686,0.5832,0.0067,0.0034,0.4284,1.1004,0.9716,-0.0071,-0.007,-0.005,1.085,0.3009,3.6055,1.7505,0.627,0.0353,0.17,-0.0885,0.1155,0.338,16.0374,17.5422,16.3774,15.6366,16.9926,0.3712,0.9232,0.373,1.1657,0.0257,0.0207,0.0188,-0.3383,0.4041,1.0955,0.272,1.0155,0.0261,0.0516,144.2365,2.4959,0.2711,23.2739,23.2306,0.0506,-14.8552,0.186,16.257,17.3127,16.435,15.814,17.4082,-1.7226,34.6963,1.1292,0.5445,-0.3069,0.0934,0.964,0.5716,-0.1663,0.0934,0.0368,-0.3349,0.099,0.099,0.2304,2.9325,0.0453,4.0195,72.1265,38.8797,3.6386,0.4167,0.6863,0.9073,0.9207,0.8943,0.0465,0.0979,0.1236,0.1681,25.0,-0.4363,-0.248,0.728,0.6629,2.5744,0.0054,0.4441,0.5259,0.4488,0.108,-0.3565,0.0121,0.0192,0.0122,0.0268,0.0142,0.0182,-20.0679,1.7287,-0.0667,-60.0,0.0407,-0.0421,-56.0,0.3277,-0.0134,-50.0,0.2934,0.4082,0.6464,0.0129,-0.017,-0.0169,2.5216,4.0,0.019,0.4546,-1.9577,0.0881,9.341,-0.2838,-0.5307,0.5979,0.606,-7.8551,-8.8531,-5.2738,-13.9486,15.3149,17.5551,-184.7662,-308.8069,-96.7742,-198.9142,15.6919,23.7089,-0.342,-11.7266,-7.9287,7.01,3.29,0.1734,0.1876,48.0332,-0.0927,3.02,1.73,-27.1579,-1.052,0.9598,6768119137.61,6778182975.11,6781314378.41,163.1954,178.6453,69.1166,114.5255,-1020528.7793,104634.4784,11624545.2894,11314071.7851,11209437.3067,13572262.4731,2250326.5154,-8.7588,0.8905,98.701,33.1158,6148456.0406,4536435.9771,-0.7582,3260085195.29,1607.1442,1637.4902,1632.2507,-7.8475,-57.5494,-14.2139,15.0789,-0.7863,-1.7021,7.1829,43.0755,39.8854,43.3387,-88.0,96.0,8.0,-0.2431,-0.385,-0.6612,0.1694,0.8306,-1.53,-0.356,332.0575,333.4642,333.865,-0.0086,-0.0025,25.7699,-0.0205,-0.0951,-0.3863,-0.1339,-10.3606,5.8323,6.8245,0.5585,-2.78,-1.39,16.129,16.514,0.5744,16.0524,1.0716,15.294,14.921,1.0852,81.7722,74.673,7.0992,70.7752,22.7776,-1.248,-0.748,0.0334,0.0444,802514.8483,0.8992,0.8869,0.3,2018-08-01,2018-09-11,84.0,69.0,12.0,3.0,2.8622008809294686,0.8214285714285714,0.14285714285714285,0.03571428571428571,0.994603190105,-0.909273591638,0.7319219750422036,0.1703325845443265,61.4814459035451,-0.03429027113237637,0.0
1,300014.XSHE,300014,亿纬锂能,XSHE,14.98,14.98,15.12,15.13,14.05,12.54,14438147.0,209594409.37,353814.0,0.0176,0.5239241719,12133236157.0,12669652876.0,-0.0113,38.4384,39.8985,3.9739,1.0,14.517,300.2753,1.1989,0.1306,153.505,2.3452,22.9095,1.5194,0.0,0.0504,0.0686,0.5832,0.0068,0.0034,0.4284,1.1004,0.9716,-0.006,-0.0067,-0.0033,1.0508,0.2952,3.56,1.7505,0.627,0.0353,0.17,-0.0872,0.1155,0.338,15.8142,17.497,16.2281,15.3611,16.921,0.3712,0.9232,0.373,1.1657,0.026,0.0207,0.0188,-0.3383,0.4041,1.0955,0.272,1.0041,0.0261,0.0516,144.2365,2.4959,0.2711,23.2625,23.2192,0.0506,-14.8552,0.186,16.095,17.2974,16.37,15.488,17.3543,-10.331,26.6971,1.1307,0.5445,-0.3069,0.0934,0.964,0.5716,-0.1663,0.0934,0.0368,-0.3349,0.099,0.099,0.2304,2.9325,0.0453,3.9739,71.308,38.4384,3.5973,0.3333,0.6863,0.9014,0.9193,0.9009,0.0465,0.0979,0.1236,0.1681,17.9878,-0.5024,-0.2769,0.728,0.6629,2.5744,0.0054,0.4445,0.5259,0.4488,0.108,-0.3565,0.0132,0.0192,0.0125,0.0265,0.0159,0.0181,-34.9155,1.7487,-0.0501,-60.0,0.0413,-0.0382,-56.0,0.3315,-0.0133,-50.0,0.2986,0.4084,0.6533,0.013,-0.017,-0.0169,2.5216,4.0,0.0061,0.4553,-1.6863,0.0874,9.341,-0.3496,-0.6297,0.6323,0.685,-7.9838,-9.5296,-4.3776,-14.6609,15.0394,17.7006,-148.588,-277.6884,-93.1864,-232.8218,21.129,23.7069,15.9732,-11.5821,-8.0695,8.02,2.97,0.1503,0.2753,35.3148,-0.0986,3.03,1.73,-27.3109,-1.5621,0.9566,6753680990.61,6771060866.77,6781660439.66,165.4938,186.5407,69.8917,114.7994,-747203.4727,346097.7535,12136109.2368,11794698.7412,11448600.9877,13860890.6487,2186602.4524,-6.8786,0.6947,47.4448,50.6137,6103706.7404,4645293.9675,-0.9723,3309307738.86,1613.0264,1636.8169,1626.4583,-11.1782,-61.8465,-13.2549,40.1723,-1.146,-2.4905,5.8865,53.6468,45.2637,44.6711,-96.0,100.0,4.0,-0.2868,-0.4616,-0.6978,0.1511,0.8489,-1.62,-0.55,331.8936,333.0634,333.6589,-0.011,-0.0034,32.1766,-0.0412,-0.1241,-0.396,-0.1662,-6.2238,7.0066,8.0042,0.567,-2.67,-1.16,15.9261,16.3877,0.6576,15.7754,1.0652,14.9432,14.6889,1.0868,73.3721,67.6568,5.7153,58.3579,23.1626,-1.924,-0.844,0.0729,0.0439,802514.8483,0.8758,0.8415,0.3,2018-08-02,2018-09-12,83.0,66.0,14.0,3.0,2.8183982582710754,0.7951807228915663,0.1686746987951807,0.03614457831325301,0.997803923534,-0.909273591638,0.6972114699273323,0.1765563286988096,57.868552003968595,-0.11386861313868601,0.0
2,300014.XSHE,300014,亿纬锂能,XSHE,,,15.12,,,12.54,,,375025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,70.0,56.0,12.0,2.0,2.9444389791664403,0.8,0.17142857142857143,0.02857142857142857,0.997803923534,-0.909273591638,0.7008664445094226,0.1740714453183034,49.060651115659596,-0.10170697012802277,0.0
3,300014.XSHE,300014,亿纬锂能,XSHE,,,15.06,,,13.7,,,382873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,56.0,43.0,11.0,2.0,2.6855773452501515,0.7678571428571429,0.19642857142857142,0.03571428571428571,0.997803923534,-0.909273591638,0.6557441288681088,0.1945369922168734,36.7216712166141,-0.08025568181818188,0.0
4,300014.XSHE,300014,亿纬锂能,XSHE,,,16.16,,,14.06,,,379153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,50.0,37.0,11.0,2.0,2.538973871058276,0.74,0.22,0.04,0.997803923534,-0.909273591638,0.6285466672266821,0.21114723344764397,31.427333361334096,-0.09702549575070818,0.0
5,300014.XSHE,300014,亿纬锂能,XSHE,,,15.36,,,14.08,,,364120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,51.0,38.0,11.0,2.0,2.5649493574615367,0.7450980392156863,0.21568627450980393,0.0392156862745098,0.997803923534,-0.909273591638,0.6212202957530825,0.20998333244964634,31.6822350834072,-0.10941828254847641,0.0
6,300014.XSHE,300014,亿纬锂能,XSHE,,,15.32,,,14.12,,,368975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,52.0,39.0,11.0,2.0,2.5902671654458267,0.75,0.21153846153846154,0.038461538461538464,0.997803923534,-0.909273591638,0.6247267546070231,0.20650536539764333,32.4857912395652,-0.11963406052076009,0.0
7,300014.XSHE,300014,亿纬锂能,XSHE,,,15.36,,,14.44,,,372363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,51.0,38.0,11.0,2.0,2.5649493574615367,0.7450980392156863,0.21568627450980393,0.0392156862745098,0.997803923534,-0.909273591638,0.6169245543972784,0.2074636009661047,31.4631522742612,-0.12378303198887353,0.0
8,300014.XSHE,300014,亿纬锂能,XSHE,,,15.13,,,14.21,,,381111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,48.0,35.0,11.0,2.0,2.4849066497880004,0.7291666666666666,0.22916666666666666,0.041666666666666664,0.997803923534,-0.909273591638,0.5763063028203063,0.20995247995601754,27.6627025353747,-0.12298387096774188,0.0
9,300014.XSHE,300014,亿纬锂能,XSHE,,,15.4,,,14.38,,,382471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,47.0,34.0,11.0,2.0,2.456735772821304,0.723404255319149,0.23404255319148937,0.0425531914893617,0.997803923534,-0.909273591638,0.5704941777532702,0.21285993648060011,26.813226354403703,-0.10519125683060115,0.0
