,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601288.XSHG,601288,农业银行,XSHG,3.64,3.64,3.64,3.69,3.59,3.59,249580600.0,909676996.0,665577.0,0.0008,0.7954816818,1058599058040.0,1259938922040.0,-0.011,6.4287,5.3627,0.863,1.0,3.645,,,,,,30.7055,,0.0268,0.4065,,0.4147,0.0416,0.0524,,,,-0.0003,-0.0004,-0.0005,0.6789,0.4356,1.5583,13.8189,0.9324,0.0166,0.17,0.0389,,0.0323,3.5788,3.6196,3.5447,3.6054,3.5693,0.6713,9.5696,0.0676,0.3848,0.1559,0.1702,,1.403,0.0071,3.5496,0.4366,0.6505,0.0124,0.0012,,,0.688,27.8621,27.688,0.0,,,3.58,3.7033,3.515,3.606,3.5686,821.8956,71.9367,,0.0714,0.06,0.3607,0.931,,0.0596,0.3607,,0.0638,0.4366,0.4366,0.0545,-0.7297,,0.9129,5.692,6.4287,2.3139,0.5,,1.0557,1.0843,0.989,0.0095,0.0111,0.1412,0.1753,69.5652,0.0177,0.2419,0.5634,0.0,1.9722,0.0094,4.9906,0.0647,0.0259,0.7885,0.0679,0.0009,0.0012,0.0008,0.0012,0.0007,0.0008,1064.3197,1.9525,0.0359,2.0,0.167,-0.0177,6.0,0.4517,-0.0029,-8.0,0.0905,0.0598,99.4789,1.0176,0.0012,0.0038,1.0931,8.0,0.2381,0.3712,-0.273,0.0148,1.4887,0.0388,0.5104,0.0819,0.0838,0.5587,2.4182,-0.1664,0.8799,3.3241,3.7059,62.7451,98.1211,101.4493,25.9926,79.2585,80.2272,77.3211,-0.5525,8.4337,0.47,0.96,0.0438,0.0307,58.7919,0.0528,0.31,0.59,31.1111,0.4109,0.967,70076943101.4,70091746422.7,69448536667.1,876.2449,751.5693,345.0421,138.9728,640071.6601,-6069545.0319,239094357.031,241714922.252,247784467.284,226665635.022,-13419233.384,0.6135,1.5861,25.7606,-31.5789,115092187.815,97521429.017,21.6002,17529317454.1,83557.7137,83275.9134,83584.5499,8.9417,-0.6135,132.8445,15.1199,0.0003,0.0002,32.8277,14.1929,27.2805,30.1029,80.0,16.0,96.0,0.0105,0.0299,0.2954,0.6477,0.3523,0.19,0.13,2816.2046,2817.4078,2808.9807,0.0037,0.0023,50.9233,0.0123,0.0158,-0.0009,0.0213,-0.0653,1.6188,1.064,0.6013,-0.02,0.4,3.5689,3.539,0.0116,3.5668,0.9908,3.6383,3.6129,0.9944,132.9787,100.0,32.9787,176.6497,26.6469,0.0254,0.1254,0.0278,18.6991,1070.1628,1.0526,1.0619,0.2,2018-08-01,2018-09-11,502.0,61.0,398.0,43.0,0.3429447511268304,0.12151394422310757,0.7928286852589641,0.08565737051792828,0.985081976466,-0.986353151128,0.03351731864912933,0.11513314475968081,16.82569396186291,0.07799442896935949,1.0
1,601288.XSHG,601288,农业银行,XSHG,3.6,3.6,3.64,3.6,3.48,3.59,286634240.0,1011259248.0,681442.0,0.001,0.7954816818,1029193528650.0,1224940618650.0,-0.0278,6.2501,5.2138,0.839,1.0,3.528,,,,,,30.7055,,0.0268,0.4065,,0.4259,0.0428,0.0524,,,,-0.0003,-0.0004,-0.0005,0.6922,0.4467,1.5495,13.8189,0.9324,0.0167,0.17,0.0272,,0.0323,3.5645,3.6176,3.5405,3.5703,3.5671,0.6713,9.5696,0.0676,0.3848,0.1603,0.1702,,1.403,0.0071,3.5496,0.4366,0.6639,0.0124,0.0012,,,0.688,27.8339,27.6598,0.0,,,3.593,3.6967,3.522,3.588,3.565,818.8108,66.1606,,0.0714,0.06,0.3607,0.931,,0.0596,0.3607,,0.0638,0.4366,0.4366,0.0545,-0.7297,,0.8876,5.5339,6.2501,2.2496,0.5,,1.0386,1.0417,0.9749,0.0095,0.0111,0.1412,0.1753,58.1818,-0.0185,0.2105,0.5634,0.0,1.9722,0.0094,4.9866,0.0647,0.0259,0.7885,0.0679,0.0009,0.0012,0.0008,0.0012,0.0007,0.0008,674.704,1.9525,0.0659,4.0,0.1718,-0.0177,4.0,0.4647,-0.0029,-8.0,0.0905,0.0598,118.5535,1.2127,0.0012,0.0038,1.0931,8.0,0.156,0.3693,-0.2934,0.0158,1.4887,0.0188,0.3626,0.0846,0.0898,-2.5884,-0.6246,-2.4526,-1.8233,3.3453,3.6987,-110.5072,7.4564,-140.8046,-54.5535,41.6221,62.5616,-0.257,-3.8462,4.1667,0.58,0.91,0.038,0.0324,53.9773,0.0371,0.41,0.55,14.5833,0.0476,0.9668,69790308861.4,70030844963.7,69495384895.6,874.0853,794.0789,344.0016,175.0098,104728.9871,-2036641.7048,247737972.116,248625586.521,250662228.226,246655170.015,-4282741.3838,5.4386,1.3372,114.9937,37.6415,113115240.688,96672723.0076,20.3727,17483393010.1,83366.6242,83310.1215,83546.5886,7.7953,-3.6018,32.8463,22.0027,0.0,-0.0006,27.5427,29.2444,24.0425,27.9086,80.0,12.0,92.0,0.0128,0.0222,0.2528,0.6264,0.3736,0.13,0.142,2808.2425,2815.5446,2810.69,0.0019,0.0022,45.5935,0.0134,0.0177,-0.0111,0.0128,-2.7323,1.4302,1.927,0.5457,-0.15,0.23,3.5583,3.5361,0.0276,3.5543,1.0155,3.5848,3.5325,1.0266,126.2626,95.6897,30.5729,144.5887,26.6313,-0.0753,0.0447,0.0343,18.6991,1040.4361,1.0264,1.0174,0.1,2018-08-02,2018-09-12,498.0,61.0,394.0,43.0,0.3429447511268304,0.12248995983935743,0.7911646586345381,0.08634538152610442,0.985081976466,-0.986353151128,0.03306904132286566,0.11625969655187673,16.468382578787093,0.07002801120448177,1.0
2,601288.XSHG,601288,农业银行,XSHG,,,3.64,,,3.59,,,697118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,504.0,62.0,399.0,43.0,0.35894509247327155,0.12301587301587301,0.7916666666666666,0.08531746031746032,0.985081976466,-0.986353151128,0.03410584399165565,0.11614330045359705,17.189345371794435,0.06611570247933884,1.0
3,601288.XSHG,601288,农业银行,XSHG,,,3.59,,,3.57,,,681680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,504.0,64.0,398.0,42.0,0.4131871542020747,0.12698412698412698,0.7896825396825397,0.08333333333333333,0.985081976466,-0.986353151128,0.03721370657620786,0.1166933366766162,18.75570811440874,0.052341597796143224,1.0
4,601288.XSHG,601288,农业银行,XSHG,,,3.5,,,3.63,,,659710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,499.0,64.0,393.0,42.0,0.4131871542020747,0.1282565130260521,0.7875751503006012,0.0841683366733467,0.985081976466,-0.986353151128,0.036543868625406574,0.1181625212790488,18.235390444077872,0.046961325966850875,1.0
5,601288.XSHG,601288,农业银行,XSHG,,,3.53,,,3.63,,,655999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,505.0,66.0,398.0,41.0,0.4670230011075978,0.1306930693069307,0.7881188118811882,0.08118811881188119,0.985081976466,-0.986353151128,0.040747490245805824,0.11669775748382298,20.577482574131928,0.038461538461538325,1.0
6,601288.XSHG,601288,农业银行,XSHG,,,3.57,,,3.62,,,620135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,511.0,69.0,401.0,41.0,0.5108256237659907,0.1350293542074364,0.7847358121330724,0.08023483365949119,0.987774428027,-0.986353151128,0.04468321723926683,0.11867204744858637,22.833124009265333,0.03835616438356171,1.0
7,601288.XSHG,601288,农业银行,XSHG,,,3.63,,,3.64,,,613598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,503.0,68.0,393.0,42.0,0.47290638890369696,0.13518886679920478,0.7813121272365805,0.08349900596421471,0.988600394223,-0.986353151128,0.04316144495148229,0.12190136019404606,21.710206810595583,-0.00544959128065392,0.0
8,601288.XSHG,601288,农业银行,XSHG,,,3.56,,,3.65,,,672306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,459.0,66.0,351.0,42.0,0.44349250369740373,0.1437908496732026,0.7647058823529411,0.0915032679738562,0.996394293359,-0.986353151128,0.04325039039015024,0.133219668147448,19.85192918907895,-0.07379134860050895,0.0
9,601288.XSHG,601288,农业银行,XSHG,,,3.63,,,3.67,,,686768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,448.0,66.0,340.0,42.0,0.44349250369740373,0.14732142857142858,0.7589285714285714,0.09375,0.996394293359,-0.986353151128,0.044727029547878945,0.13640525711947565,20.037709237449764,-0.05440414507772018,0.0
