,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,603799.XSHG,603799,华友钴业,XSHG,68.95,68.95,69.39,69.5,64.8,47.02,26159313.0,1749914228.0,1286820.0,0.0319,0.5866569877,54046568704.0,54696942016.0,-0.0439,21.9281,16.0775,8.1004,1.0,66.895,52.4361,6.8655,0.0518,76.1873,4.7252,23.6931,1.2038,0.0369,-0.1581,0.2474,1.4793,0.0054,0.0036,0.6952,1.1291,1.198,-0.0077,-0.0041,-0.008,1.5805,0.3307,4.8158,1.8787,0.6509,0.0434,1.44,-0.0131,0.2679,0.8835,71.1117,71.8533,71.6007,69.4785,72.48,4.1002,1.5208,0.3491,1.9459,0.0455,0.0205,0.0264,5.3916,0.2296,2.6462,0.3513,1.418,0.0355,0.0333,215.1952,1.6729,-0.3473,24.7251,24.7131,0.0034,0.6145,0.0706,72.494,75.7732,72.1342,69.77,72.8938,68.9747,41.0653,1.0252,0.473,6.2291,0.2195,-0.646,0.3048,6.0105,0.2195,0.0065,5.2449,0.2485,0.2485,1.0302,-2.9738,-0.1584,8.1004,-30.5262,21.9281,4.8247,0.4167,0.7164,0.892,1.0106,0.8891,0.1838,0.0519,0.4775,0.1526,22.0572,0.3703,0.9658,0.6487,0.8344,10.1742,0.0083,0.4062,0.7662,0.7243,0.3337,5.0446,0.0214,0.0291,0.025,0.0486,0.0211,0.0239,43.7516,1.9266,-0.0504,20.0,0.0637,-0.0009,56.0,0.3102,-0.0076,-52.0,0.8387,0.7579,0.3349,-0.0308,-0.2196,0.1321,16.9481,8.0,0.4373,0.3674,-0.6419,0.0163,1.416,-1.5962,0.2959,3.503,3.4748,-9.0683,-8.6148,-5.5181,-9.5671,63.8775,80.3909,-151.635,-109.0537,-140.8618,-112.6794,13.6143,23.7144,-6.5859,-14.4785,1.0624,25.408,36.084,1.0244,1.7108,37.4525,-0.108,16.991,17.684,1.9986,-1.4107,0.998,3330559654.12,3364534880.79,3351148365.7,1487.6093,1305.8951,568.2919,395.194,-419923.2627,-491962.5013,18896464.4484,18998230.8759,19490193.3772,19214681.0059,-144078.4772,-11.7406,1.2909,17.9306,35.1465,4835597.362,7533617.3002,-0.1337,29731035388.4,777.8994,811.6486,796.0164,0.4342,-295.4284,-15.4468,-4.5427,-7.6997,-30.9719,12.208,35.9298,29.4664,32.7525,24.0,24.0,48.0,0.4999,-0.2982,-0.4918,0.2541,0.7459,-7.98,0.7196,151.0234,152.4367,153.1327,-0.0087,0.0012,35.7014,0.1612,-0.5859,-1.4283,-0.7445,-91.7368,7.5054,7.6015,0.5374,-11.78,7.516,71.3542,71.6524,2.8848,70.8758,1.0752,67.8286,66.3461,1.0997,125.8244,90.8553,34.9691,102.528,24.7468,-6.6298,-1.9298,0.0713,13.5245,9132.793,0.8665,1.0026,0.2,2018-08-01,2018-09-11,64.0,39.0,17.0,8.0,1.491654876777717,0.609375,0.265625,0.125,0.996528484579,-0.988832497038,0.4101802874149284,0.3831162067995512,26.251538394555418,-0.2822203317737133,0.0
1,603799.XSHG,603799,华友钴业,XSHG,65.92,65.92,69.39,65.56,62.8,47.02,21164945.0,1358952310.0,1319773.0,0.0258,0.5866569877,53644826916.0,54290365839.0,-0.0074,21.7651,15.958,8.0402,1.0,64.208,52.4361,6.8655,0.0518,76.1873,4.7252,23.6931,1.2038,0.0369,-0.1581,0.2474,1.4716,0.0055,0.0036,0.6952,1.1291,1.198,-0.0064,-0.0033,-0.0071,1.5374,0.3252,4.764,1.8787,0.6509,0.0434,1.44,-0.0132,0.2679,0.8835,70.0786,71.7472,71.0131,68.129,72.2489,4.1002,1.5208,0.3491,1.9459,0.0458,0.0205,0.0264,5.3916,0.2296,2.6462,0.3513,1.3961,0.0355,0.0333,215.1952,1.6729,-0.3473,24.7176,24.7057,0.0034,0.6145,0.0706,71.668,75.7678,72.2079,68.454,72.787,55.9797,29.6306,1.0253,0.473,6.2291,0.2195,-0.646,0.3048,6.0105,0.2195,0.0065,5.2449,0.2485,0.2485,1.0302,-2.9738,-0.1584,8.0402,-30.2993,21.7651,4.7889,0.3333,0.7164,0.8879,1.023,0.9086,0.1838,0.0519,0.4775,0.1526,20.0654,0.3319,0.9476,0.6487,0.8344,10.1742,0.0083,0.4065,0.7662,0.7243,0.3337,5.0446,0.0225,0.0289,0.0256,0.0484,0.0218,0.024,25.9372,1.9262,-0.0507,18.0,0.0642,-0.0009,54.0,0.3126,-0.0076,-52.0,0.8387,0.7579,0.3373,-0.031,-0.2196,0.1321,16.9481,8.0,0.4274,0.3482,-0.5482,0.0156,1.416,-1.9976,0.0957,3.4756,3.4157,-8.704,-9.3866,-4.4176,-10.1076,64.2372,80.1786,-145.6983,-151.7713,-114.4756,-141.1976,16.417,21.9059,5.4393,-11.748,2.3047,29.798,32.951,0.8878,2.0259,30.4698,-0.1121,16.21,17.684,4.3489,-2.53,0.9944,3309394709.12,3350567169.46,3355027017.42,1514.9322,1232.5412,546.857,318.8085,-392474.1187,-282677.5426,19308915.4578,19331571.5104,19614249.053,19864769.0039,219593.1522,-12.4449,1.0706,10.8934,-11.414,4517245.6446,7293536.0441,-0.4943,30288227383.5,797.0705,813.0295,793.9283,-6.1907,-287.2932,-9.5323,0.035,-14.6602,-33.2696,10.6634,39.0572,33.0546,34.7615,24.0,20.0,44.0,0.2502,-0.7486,-0.6824,0.1588,0.8412,-8.26,-1.0798,150.8661,152.0208,152.869,-0.0113,-0.0001,38.6954,-0.0406,-0.7024,-1.424,-0.8754,-44.8591,8.7521,7.8723,0.5423,-8.24,9.356,70.4428,71.1914,2.9152,69.7694,1.0663,66.0702,65.0321,1.0953,121.5431,84.9124,36.6307,97.4849,24.7764,-7.7727,-5.0127,0.0422,13.424,9132.793,0.8563,0.9449,0.3,2018-08-02,2018-09-12,64.0,38.0,18.0,8.0,1.466337068793427,0.59375,0.28125,0.125,0.996528484579,-0.988832497038,0.39918328300373745,0.3849606537586981,25.5477301122392,-0.29468196037539107,0.0
2,603799.XSHG,603799,华友钴业,XSHG,,,69.39,,,47.02,,,1359671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,64.0,37.0,19.0,8.0,1.4403615823901663,0.578125,0.296875,0.125,0.996528484579,-0.988832497038,0.3878538918590585,0.38570278936988606,24.82264907897975,-0.23926380368098155,0.0
3,603799.XSHG,603799,华友钴业,XSHG,,,65.0,,,47.95,,,1343346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,64.0,36.0,20.0,8.0,1.413693335308005,0.5625,0.3125,0.125,0.996528484579,-0.988832497038,0.3770606296453601,0.3869454478096258,24.13188029730305,-0.23921332530604056,0.0
4,603799.XSHG,603799,华友钴业,XSHG,,,65.36,,,48.9,,,1316058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,62.0,36.0,19.0,7.0,1.5314763709643886,0.5806451612903226,0.3064516129032258,0.11290322580645161,0.996528484579,-0.988832497038,0.4033979809659072,0.3691739946854551,25.010674819886248,-0.23564891846921798,0.0
5,603799.XSHG,603799,华友钴业,XSHG,,,61.13,,,49.83,,,1313612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,54.0,36.0,16.0,2.0,2.512305623976115,0.6666666666666666,0.2962962962962963,0.037037037037037035,0.996528484579,-0.978085537255,0.536451190433673,0.2554948424375005,28.96836428341835,-0.21481779746325758,0.0
6,603799.XSHG,603799,华友钴业,XSHG,,,55.65,,,48.08,,,1294011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,52.0,36.0,15.0,1.0,2.917770732084279,0.6923076923076923,0.28846153846153844,0.019230769230769232,0.996528484579,-0.978085537255,0.5750471770185681,0.2163372145715227,29.902453204965546,-0.24169367909238249,0.0
7,603799.XSHG,603799,华友钴业,XSHG,,,53.0,,,49.67,,,1259755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,54.0,38.0,15.0,1.0,2.970414465569701,0.7037037037037037,0.2777777777777778,0.018518518518518517,0.996528484579,-0.978085537255,0.5844806635540918,0.20353779002041555,31.56195583192097,-0.26995674400314584,0.0
8,603799.XSHG,603799,华友钴业,XSHG,,,50.68,,,49.36,,,1255832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,57.0,40.0,16.0,1.0,3.0204248861443626,0.7017543859649122,0.2807017543859649,0.017543859649122806,0.996528484579,-0.978085537255,0.5818491417845291,0.19567367475914105,33.16540108171817,-0.31382083411258654,0.0
9,603799.XSHG,603799,华友钴业,XSHG,,,52.01,,,50.86,,,1242372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,59.0,41.0,16.0,2.0,2.6390573296152584,0.6949152542372882,0.2711864406779661,0.03389830508474576,0.996528484579,-0.978085537255,0.5714704064364265,0.20085433096893981,33.71675397974918,-0.3160133136094674,0.0
