,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601211.XSHG,601211,国泰君安,XSHG,15.01,15.01,15.05,15.2,14.67,14.27,16709567.0,250143136.0,327648.0,0.0022,0.8898400664,110336543244.0,127920646540.0,-0.022,13.3561,14.1537,1.021,1.0,14.97,,,,,,26.8419,,0.1597,-0.299,,0.3732,0.0272,0.023,,,,-0.0011,-0.0014,-0.0019,1.2902,0.6952,1.8559,2.5341,0.6989,0.0186,0.26,-0.0801,,0.1959,14.8057,16.2777,14.7628,14.8551,15.3764,1.0372,39.085,0.3011,0.1847,0.0794,0.0794,,1.4343,0.0077,7.43,0.5462,1.0427,0.0115,0.0049,,,-1.6743,25.5747,25.4268,0.0,,,14.838,16.4146,14.5825,14.9,15.5091,44.9429,61.1517,,0.2403,-0.0568,0.4153,-0.5475,,-0.0451,0.4153,,0.0389,0.5462,0.5462,0.0504,0.9106,,1.1206,-17.487,13.3561,5.2293,0.5,,1.0389,1.0273,0.9735,0.0247,0.0311,0.0833,0.1487,58.1152,-0.3261,-0.1387,0.4538,0.0,0.1576,0.0071,1.0534,0.1626,0.0573,1.1922,-0.0519,0.0024,0.0035,0.0021,0.0048,0.0016,0.0025,30.7272,1.6852,-0.0804,58.0,0.0848,0.0,11.0,0.2005,0.0,-37.0,0.0972,0.0775,37.5001,-0.6039,-0.0385,-0.006,0.1679,-4.0,0.0813,0.4427,0.0687,0.0529,1.0852,0.1864,-0.0307,0.3556,0.3524,-1.0648,0.6686,-1.4765,-5.3459,13.8805,15.2845,6.192,60.4825,-137.4765,-73.3327,61.3917,68.5124,47.1503,-3.1023,2.7292,2.28,2.21,0.1447,0.1596,47.5518,0.0375,1.58,1.97,10.9859,0.7395,0.9012,5004276557.48,5010761389.65,4980771834.78,231.6797,188.7884,104.6109,45.1004,286346.0454,-338453.6834,15167496.6808,15379310.7048,15717764.3882,14128402.8269,-1249599.4576,6.4836,1.1864,42.4336,-46.3588,9067305.7234,7097082.4364,0.9494,4632851840.93,606.5918,600.945,620.9221,7.3682,-8.4101,0.8504,7.5731,0.0298,-0.0641,18.2826,18.1285,22.4661,34.6826,48.0,28.0,76.0,-0.1233,-0.0301,0.1392,0.5696,0.4304,0.55,0.511,199.2796,199.5725,199.0092,0.0024,0.0012,42.2154,0.0497,0.0529,-0.0526,0.0669,-4.4912,1.5676,1.4856,0.6103,-0.66,-0.22,14.7828,14.8129,0.084,14.776,1.0065,14.9537,14.7756,1.0108,124.0804,125.999,-1.9186,133.5477,24.4832,-0.1037,0.4263,0.0361,10.5464,483.9728,1.0216,1.0152,0.1,2018-08-01,2018-09-11,334.0,83.0,196.0,55.0,0.4054651081081644,0.24850299401197604,0.5868263473053892,0.16467065868263472,0.989785929397,-0.992291446961,0.05838892776059447,0.24578204258258826,19.50190187203856,0.06867554309740709,1.0
1,601211.XSHG,601211,国泰君安,XSHG,14.68,14.68,15.05,14.79,14.23,14.27,15728417.0,227784777.0,335214.0,0.0021,0.8898400664,108232031520.0,125480743200.0,-0.0191,13.1013,13.8837,1.0015,1.0,14.482,,,,,,26.8419,,0.1597,-0.299,,0.3545,0.0278,0.023,,,,-0.0011,-0.0014,-0.0018,1.2682,0.6934,1.8289,2.5341,0.6989,0.0186,0.26,-0.0888,,0.1959,14.732,16.2467,14.7282,14.7034,15.3444,1.0372,39.085,0.3011,0.1847,0.081,0.0794,,1.4343,0.0077,7.43,0.5462,1.0471,0.0112,0.0049,,,-1.6743,25.5554,25.4075,0.0,,,14.86,16.3698,14.596,14.788,15.4595,38.1796,55.1265,,0.2403,-0.0568,0.4153,-0.5475,,-0.0451,0.4153,,0.0389,0.5462,0.5462,0.0504,0.9106,,1.0992,-17.1535,13.1013,5.1296,0.5,,1.0155,1.0191,0.9626,0.0247,0.0311,0.0833,0.1487,52.6066,-0.3526,-0.1466,0.4538,0.0,0.1576,0.0071,1.0458,0.1626,0.0573,1.1922,-0.0519,0.0024,0.0035,0.0021,0.0048,0.0017,0.0025,13.6951,1.6853,-0.0804,56.0,0.0864,0.0,12.0,0.2044,0.0,-36.0,0.0972,0.0775,46.9584,-0.7562,-0.0385,-0.006,0.1679,-4.0,0.042,0.4382,0.0754,0.0543,1.0852,0.1036,-0.2564,0.3702,0.387,-3.0956,-1.3428,-2.6237,-6.8534,13.9208,15.2712,-142.5031,-28.6654,-166.6667,-94.8211,39.1743,56.2967,4.9295,-4.5093,1.9108,2.73,2.03,0.1254,0.1685,42.6676,0.0153,1.7,1.97,7.3569,0.4608,0.9003,4988548140.48,5005225405.65,4981959645.13,233.353,191.4601,104.2489,47.1607,171970.0153,-285534.105,15269482.1934,15433019.3656,15718553.4706,14661740.8846,-915008.2406,9.4542,0.9998,107.3157,12.036,9000282.997,7077729.7131,0.793,4666517974.49,600.4128,602.252,615.5016,6.3535,-18.8841,-3.679,23.7974,-0.1113,-0.3256,15.22,30.939,24.0062,33.0968,48.0,24.0,72.0,-0.1103,-0.0585,0.0306,0.5153,0.4847,0.22,0.528,198.9796,199.4489,199.1111,0.0004,0.0011,36.8723,0.053,0.0526,-0.0983,0.034,-9.5197,2.0294,2.2794,0.5989,-0.98,-0.29,14.7239,14.7824,0.156,14.7023,1.021,14.7263,14.4828,1.0319,112.6457,117.8603,-5.2146,117.3077,24.5461,-0.4903,0.0697,0.0389,10.3452,483.9728,1.0077,0.9769,0.1,2018-08-02,2018-09-12,328.0,82.0,191.0,55.0,0.39348891706144873,0.25,0.5823170731707317,0.1676829268292683,0.989785929397,-0.992291446961,0.056143466305849585,0.24835877131039352,18.41505694831867,0.06545961002785528,1.0
2,601211.XSHG,601211,国泰君安,XSHG,,,15.05,,,14.27,,,347328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,336.0,87.0,194.0,55.0,0.4519851237430572,0.25892857142857145,0.5773809523809523,0.1636904761904762,0.989785929397,-0.992291446961,0.06627888543784019,0.24929650817563148,22.26970550711431,0.07220708446866486,1.0
3,601211.XSHG,601211,国泰君安,XSHG,,,14.68,,,14.36,,,340494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,330.0,84.0,191.0,55.0,0.4172995657551672,0.2545454545454545,0.5787878787878787,0.16666666666666666,0.989785929397,-0.992291446961,0.05731269578308672,0.2463667981182411,18.91318960841861,0.06863417982155107,1.0
4,601211.XSHG,601211,国泰君安,XSHG,,,14.41,,,14.68,,,337213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,325.0,81.0,191.0,53.0,0.41773520069997877,0.24923076923076923,0.5876923076923077,0.16307692307692306,0.989785929397,-0.992291446961,0.057284539169421576,0.2442827524747681,18.617475230062013,0.06999306999306998,1.0
5,601211.XSHG,601211,国泰君安,XSHG,,,14.25,,,14.57,,,336464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,326.0,81.0,187.0,58.0,0.3291818033585337,0.24846625766871167,0.5736196319018405,0.17791411042944785,0.989785929397,-0.992291446961,0.04424920962392746,0.2562451198045685,14.425242337400357,0.030446549391069055,1.0
6,601211.XSHG,601211,国泰君安,XSHG,,,14.16,,,14.43,,,336081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,328.0,82.0,190.0,56.0,0.37578933996204783,0.25,0.5792682926829268,0.17073170731707318,0.989785929397,-0.992291446961,0.05403165789661793,0.24325535560209602,17.722383790090703,0.01080351114112088,1.0
7,601211.XSHG,601211,国泰君安,XSHG,,,14.45,,,14.78,,,333679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,331.0,85.0,193.0,53.0,0.4653632496892333,0.256797583081571,0.5830815709969789,0.16012084592145015,0.989785929397,-0.992291446961,0.0676393607192381,0.2360759002406581,22.388628398067834,0.011470985155195734,1.0
8,601211.XSHG,601211,国泰君安,XSHG,,,14.19,,,14.81,,,339434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,346.0,87.0,209.0,50.0,0.5455111817538808,0.2514450867052023,0.6040462427745664,0.14450867052023122,0.989785929397,-0.985317217745,0.07453376762621572,0.2235946170857905,25.788683598670634,0.00792602377807139,1.0
9,601211.XSHG,601211,国泰君安,XSHG,,,14.68,,,14.82,,,339516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,346.0,86.0,210.0,50.0,0.5340824859302579,0.24855491329479767,0.6069364161849711,0.14450867052023122,0.989785929397,-0.985317217745,0.07140857557350443,0.2229673702535084,24.707367148432528,0.04499664204163878,1.0
