,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601398.XSHG,601398,工商银行,XSHG,5.65,5.65,5.65,5.71,5.54,5.34,164804118.0,928819142.0,764328.0,0.0006,0.8104000092,1496347779375.0,1978054726905.0,-0.0177,6.8429,6.2754,0.9109,1.0,5.636,,,,,,30.9079,,0.0201,0.9858,,0.5987,0.0434,0.0519,,,,-0.0001,-0.0002,-0.0003,0.7289,0.3978,1.8322,11.1945,0.9175,0.0186,0.22,0.2069,,0.0187,5.5221,5.6018,5.4382,5.5734,5.4664,0.8844,9.0661,0.0825,0.3472,0.1469,0.1648,,2.8055,0.0091,3.023,0.4954,0.786,0.0139,,,,0.0145,28.3131,28.034,0.0,,,5.535,5.7772,5.3862,5.576,5.425,591.21,59.9137,,0.0684,0.0366,0.3957,1.9897,,0.0351,0.3957,,0.007,0.4954,0.4954,0.0933,3.86,,0.9485,2.7332,6.8429,2.6943,0.5,,1.0612,1.1233,0.9875,0.0114,0.0133,0.1399,0.1795,70.0,0.0511,0.3442,0.5046,0.0,1.8008,0.0104,12.2541,0.0638,0.0283,0.992,0.0092,0.0008,0.0009,0.0007,0.0009,0.0006,0.0007,870.6552,1.9667,0.1979,-8.0,0.1538,0.0121,58.0,0.4039,0.0433,60.0,0.0637,0.0997,51.4158,1.4045,0.0164,-0.0425,0.6772,6.0,0.2694,0.427,-0.2922,0.0146,1.6986,0.0664,0.5986,0.145,0.1514,0.271,3.0411,-0.4663,2.3041,4.9887,5.7837,46.3576,85.7006,48.7805,25.9034,73.5158,74.1586,72.2302,-1.0695,12.3254,0.794,1.978,0.0808,0.0684,54.1555,0.0577,0.478,1.087,38.9137,0.4454,0.9423,64688960847.8,64724635259.6,64208571366.5,1011.5222,905.2484,436.8127,186.6439,647241.9506,-5553109.117,179276182.106,181631429.263,187184538.38,165493162.903,-12400702.1352,3.3074,1.9784,-5.1173,-37.4164,98818656.8486,78400250.232,9.9155,20234886958.7,63320.8895,63275.5748,63392.3746,13.4416,-0.5397,20.1951,24.3889,0.0019,0.0002,33.1032,11.8108,35.9145,34.8391,84.0,12.0,96.0,0.0505,0.0837,0.2318,0.6159,0.3841,0.32,0.2976,2646.6585,2647.8614,2640.1207,0.0045,0.0038,44.7453,0.0293,0.0294,0.0,0.0365,-0.8123,1.6814,1.1828,0.6555,-0.06,0.679,5.5004,5.4167,0.0316,5.4946,0.99,5.6329,5.58,0.9973,137.9763,124.9424,13.0339,207.1361,26.8224,0.0497,0.2197,0.0306,1.6868,9255.7263,1.0612,1.1145,0.4,2018-08-01,2018-09-11,683.0,141.0,488.0,54.0,0.9484938723687899,0.20644216691068815,0.7144948755490483,0.07906295754026355,0.988239703933,-0.988383314619,0.11127930705403234,0.16071932144230283,76.0037667179042,0.054307116104868935,1.0
1,601398.XSHG,601398,工商银行,XSHG,5.55,5.55,5.65,5.54,5.41,5.34,149822851.0,818683972.0,786399.0,0.0006,0.8104000092,1466690436000.0,1938850038624.0,-0.0198,6.7073,6.151,0.8929,1.0,5.464,,,,,,30.9079,,0.0201,0.9858,,0.6182,0.0443,0.0519,,,,-0.0001,-0.0002,-0.0004,0.7136,0.4004,1.7824,11.1945,0.9175,0.0186,0.22,0.204,,0.0187,5.5072,5.5991,5.4384,5.529,5.4655,0.8844,9.0661,0.0825,0.3472,0.1498,0.1648,,2.8055,0.0091,3.023,0.4954,0.789,0.0139,,,,0.0145,28.2931,28.014,0.0,,,5.562,5.7613,5.4078,5.554,5.4201,629.5051,54.3066,,0.0684,0.0366,0.3957,1.9897,,0.0351,0.3957,,0.007,0.4954,0.4954,0.0933,3.86,,0.9297,2.679,6.7073,2.6409,0.5,,1.0522,1.0863,0.9802,0.0114,0.0133,0.1399,0.1795,61.5385,0.022,0.3172,0.5046,0.0,1.8008,0.0104,12.2188,0.0638,0.0283,0.992,0.0092,0.0008,0.0009,0.0007,0.0009,0.0005,0.0007,655.2999,1.9665,0.2035,-6.0,0.1551,0.0,58.0,0.4048,0.0249,60.0,0.051,0.0803,55.6498,1.5202,0.0164,-0.0425,0.6772,6.0,0.2263,0.431,-0.2507,0.015,1.6986,0.0354,0.5142,0.1446,0.1495,-2.1935,0.5954,-2.0526,0.3672,5.0521,5.7635,-103.777,25.7971,-133.1522,-17.3588,38.6633,57.8361,0.3178,-3.2028,8.6262,0.924,1.902,0.07,0.0681,50.6879,0.0496,0.588,1.02,26.8657,0.0237,0.9429,64539137996.8,64670260984.9,64248865703.3,1003.837,864.0928,438.8846,170.7584,-1018047.2682,-7679204.1435,173921030.996,176737801.838,184417005.981,160269725.602,-13322313.7506,6.3225,1.7145,47.1061,-21.3287,94933315.8548,78823325.8175,7.8852,20078557955.5,63240.2157,63294.1821,63357.9301,11.7796,-3.8958,-25.6694,23.3475,0.0006,-0.0014,28.7688,22.2514,32.8737,33.5006,84.0,8.0,92.0,0.0549,0.0726,0.2,0.6,0.4,0.27,0.3084,2643.689,2646.9236,2642.1264,0.0026,0.0036,45.115,0.0296,0.0328,-0.0131,0.0233,-3.2941,1.4426,1.9626,0.6361,-0.24,0.502,5.4911,5.4185,0.0504,5.4826,1.0078,5.5606,5.4777,1.0224,139.0351,124.5121,14.523,165.4226,26.6681,-0.0731,0.0569,0.0239,1.6534,9255.7263,1.0402,1.0679,0.3,2018-08-02,2018-09-12,678.0,143.0,482.0,53.0,0.9808292530117262,0.21091445427728614,0.7109144542772862,0.07817109144542773,0.988239703933,-0.988383314619,0.11619434281600181,0.16333857108544356,78.77976442924933,0.05293005671077511,1.0
2,601398.XSHG,601398,工商银行,XSHG,,,5.65,,,5.34,,,805350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,669.0,144.0,471.0,54.0,0.9694005571881035,0.21524663677130046,0.7040358744394619,0.08071748878923767,0.988239703933,-0.988383314619,0.11771577680268,0.1672851906932435,78.75185468099298,0.05027932960893855,1.0
3,601398.XSHG,601398,工商银行,XSHG,,,5.52,,,5.29,,,783337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,674.0,147.0,473.0,54.0,0.9898790885316442,0.21810089020771514,0.701780415430267,0.08011869436201781,0.988239703933,-0.988383314619,0.12066612972426369,0.16730769438751592,81.32897143415384,0.035381750465549144,1.0
4,601398.XSHG,601398,工商银行,XSHG,,,5.44,,,5.37,,,770448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,673.0,152.0,469.0,52.0,1.0601460078403135,0.22585438335809807,0.6968796433878157,0.07726597325408618,0.988239703933,-0.988383314619,0.12925865849470586,0.16810337180634657,86.99107716693716,0.03947368421052633,1.0
5,601398.XSHG,601398,工商银行,XSHG,,,5.51,,,5.37,,,766156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,693.0,156.0,485.0,52.0,1.0859538917961862,0.22510822510822512,0.6998556998556998,0.07503607503607504,0.988239703933,-0.988383314619,0.1317178730926166,0.16658598433615107,91.28048605318338,0.024118738404452778,1.0
6,601398.XSHG,601398,工商银行,XSHG,,,5.51,,,5.32,,,767837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,689.0,157.0,480.0,52.0,1.092303119474845,0.22786647314949202,0.6966618287373004,0.07547169811320754,0.988239703933,-0.988383314619,0.13380113580110456,0.16739894214675455,92.18898256696104,0.016544117647058876,1.0
7,601398.XSHG,601398,工商银行,XSHG,,,5.56,,,5.39,,,759406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,685.0,156.0,475.0,54.0,1.0489126201158372,0.22773722627737225,0.6934306569343066,0.07883211678832117,0.988239703933,-0.988383314619,0.1298355979855147,0.17001729736641308,88.93738462007758,-0.02550091074681249,0.0
8,601398.XSHG,601398,工商银行,XSHG,,,5.47,,,5.44,,,806674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,609.0,151.0,404.0,54.0,1.0165473356138055,0.24794745484400657,0.6633825944170771,0.08866995073891626,0.988239703933,-0.988383314619,0.13720031776480998,0.18695065618529486,83.55499351876924,-0.0678260869565217,0.0
9,601398.XSHG,601398,工商银行,XSHG,,,5.55,,,5.49,,,804895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,604.0,151.0,400.0,53.0,1.034896474282002,0.25,0.6622516556291391,0.08774834437086093,0.988239703933,-0.988383314619,0.13881210446787876,0.18655936313641158,83.84251109859873,-0.051146384479717866,0.0
