,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601939.XSHG,601939,建设银行,XSHG,7.01,7.01,7.02,7.1,6.87,6.58,120944175.0,846923597.0,661660.0,0.0126,0.8165628314,66004364288.0,1720075525200.0,-0.0185,6.9903,5.8256,0.9362,1.0,7.003,,,,,,30.7599,,0.0267,0.2589,,0.675,0.0423,0.0485,,,,-0.0006,-0.0017,-0.0046,0.8434,0.4425,1.9061,11.4267,0.9189,0.0233,0.3,0.2274,,0.0266,6.8364,6.9617,6.7285,6.9092,6.796,1.181,11.0654,0.0811,0.3622,0.1439,0.1543,,1.1288,0.0073,3.7861,0.4744,0.9529,0.0151,0.0002,,,0.839,28.1734,24.913,0.0,,,6.851,7.2181,6.6455,6.92,6.7765,429.0028,59.58,,0.123,0.0543,0.3903,0.5456,,0.0537,0.3903,,0.0298,0.4744,0.4744,0.0785,-0.7911,,0.9786,10.4787,6.9903,2.7127,0.4167,,1.075,1.1372,0.9942,0.0113,0.0134,0.1461,0.1828,65.812,0.0651,0.3959,0.5256,0.0,2.3023,0.0092,1.1131,0.0532,0.0286,0.9078,0.026,0.0145,0.0151,0.0134,0.0133,0.0105,0.0134,614.1641,1.7499,-0.0085,-10.0,0.1487,0.0,-14.0,0.3809,-0.0011,-20.0,0.0561,0.0539,27.832,0.2,-0.0036,-0.0224,0.8177,8.0,0.2713,0.3916,-0.3413,0.0188,1.8244,0.1024,0.4828,0.2072,0.2114,0.4233,3.5287,-0.578,1.5273,6.0936,7.1974,55.7234,89.6014,53.5714,10.5228,76.5722,77.4913,74.7341,-0.7215,13.719,1.233,2.384,0.0945,0.1093,46.369,0.0698,0.649,1.479,39.0038,0.7299,0.9413,40247161675.8,40266502218.8,40155713382.5,867.981,699.3251,343.7977,120.0378,-497195.8505,-5145108.8539,122138799.344,124095846.573,129240955.426,113707120.477,-9295826.0068,2.6215,1.4193,-13.6875,-38.369,66675127.2037,50077807.7874,8.914,17357750759.0,24516.0016,24432.311,24564.3806,15.1458,0.7591,30.0849,6.8758,0.0042,0.0008,27.9439,10.0312,34.37,33.1289,84.0,12.0,96.0,0.0497,0.1009,0.2876,0.6438,0.3562,0.48,0.411,1570.533,1571.2415,1565.1741,0.0052,0.004,47.2744,0.0398,0.04,0.0057,0.0545,-1.1309,1.7194,0.9854,0.6606,-0.19,0.827,6.807,6.7061,0.0468,6.7979,0.9881,6.9959,6.9227,0.9958,144.5401,114.5833,29.9568,197.4591,26.4881,0.0764,0.3064,0.0334,3.1442,4328.0161,1.0568,1.1194,0.3,2018-08-01,2018-09-11,465.0,58.0,361.0,46.0,0.2273898421956608,0.12473118279569892,0.7763440860215054,0.0989247311827957,0.96569609344,-0.984052696545,0.0357217055451061,0.1344518765868873,16.610593078474345,0.08662613981762912,1.0
1,601939.XSHG,601939,建设银行,XSHG,6.88,6.88,7.02,6.86,6.69,6.58,114742575.0,776322129.0,677413.0,0.012,0.8165628314,64661252224.0,1685073988350.0,-0.0203,6.848,5.7071,0.9171,1.0,6.766,,,,,,30.7599,,0.0267,0.2589,,0.6817,0.0432,0.0485,,,,-0.0002,-0.0016,-0.0042,0.8332,0.444,1.8766,11.4267,0.9189,0.0233,0.3,0.2241,,0.0266,6.8189,6.958,6.7296,6.8528,6.7942,1.181,11.0654,0.0811,0.3622,0.1469,0.1543,,1.1288,0.0073,3.7861,0.4744,0.9536,0.0151,0.0002,,,0.839,28.1528,24.8924,0.0,,,6.89,7.1974,6.6757,6.886,6.7677,465.9865,53.844,,0.123,0.0543,0.3903,0.5456,,0.0537,0.3903,,0.0298,0.4744,0.4744,0.0785,-0.7911,,0.9587,10.2655,6.848,2.6575,0.4167,,1.0614,1.0983,0.9754,0.0113,0.0134,0.1461,0.1828,65.812,0.0357,0.3694,0.5256,0.0,2.3023,0.0092,1.1112,0.0532,0.0286,0.9078,0.026,0.0148,0.015,0.0134,0.0133,0.0108,0.0134,497.5316,1.7499,-0.002,-12.0,0.1518,0.0,-12.0,0.3888,-0.0011,-20.0,0.0561,0.0539,29.0714,0.2089,-0.0036,-0.0224,0.8177,8.0,0.2306,0.3905,-0.3689,0.0191,1.8244,0.0614,0.3674,0.206,0.2078,-2.1771,0.9632,-2.1202,-0.4093,6.1774,7.1739,-106.3961,30.5263,-138.8889,-31.7009,41.7894,61.1495,3.0693,-2.6012,9.8256,1.453,2.297,0.0819,0.1055,43.7033,0.0579,0.789,1.392,27.6479,0.2558,0.9416,40132419100.8,40233500894.5,40165279377.1,871.1124,715.1145,342.6016,123.4207,-1499780.6015,-5510119.6055,120794031.281,122656881.715,128167001.321,114052271.985,-8020678.008,2.829,1.2346,-3.6517,15.9944,65358401.6311,50105411.2506,7.6743,17421097548.4,24468.7547,24450.5095,24547.9146,13.3047,-3.0552,-2.841,8.8694,0.0014,-0.0027,24.3591,20.3948,31.0138,30.7285,84.0,8.0,92.0,0.0574,0.0881,0.2428,0.6214,0.3786,0.39,0.4287,1568.1981,1570.767,1566.7905,0.0032,0.0038,46.6725,0.0406,0.0455,-0.02,0.0349,-4.0102,1.404,1.9802,0.6443,-0.26,0.581,6.7967,6.7086,0.0728,6.7855,1.0068,6.9027,6.7898,1.0223,149.7227,115.0717,34.651,165.5365,26.3484,-0.096,0.074,0.0252,3.0802,4328.0161,1.0581,1.0748,0.2,2018-08-02,2018-09-12,460.0,57.0,358.0,45.0,0.23180161405732438,0.12391304347826088,0.7782608695652173,0.09782608695652174,0.96569609344,-0.984052696545,0.03600572335493835,0.13406638904589518,16.562632743271656,0.08409785932721703,1.0
2,601939.XSHG,601939,建设银行,XSHG,,,7.02,,,6.58,,,693628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,466.0,61.0,360.0,45.0,0.29849298855599654,0.13090128755364808,0.7725321888412017,0.09656652360515021,0.96569609344,-0.984052696545,0.04182464007384585,0.1358684908032337,19.490282274412177,0.07981927710843384,1.0
3,601939.XSHG,601939,建设银行,XSHG,,,6.8,,,6.54,,,671404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,488.0,69.0,370.0,49.0,0.3364722366212129,0.1413934426229508,0.7581967213114754,0.10040983606557377,0.96569609344,-0.984052696545,0.04433738177424574,0.14275391661886688,21.636642305831938,0.06015037593984962,1.0
4,601939.XSHG,601939,建设银行,XSHG,,,6.74,,,6.64,,,652983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,503.0,69.0,382.0,52.0,0.2782033284972371,0.13717693836978131,0.7594433399602386,0.10337972166998012,0.96569609344,-0.984052696545,0.03885958351353929,0.1425345632428474,19.54637050731028,0.059001512859303995,1.0
5,601939.XSHG,601939,建设银行,XSHG,,,6.82,,,6.65,,,644032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,503.0,69.0,382.0,52.0,0.2782033284972371,0.13717693836978131,0.7594433399602386,0.10337972166998012,0.96569609344,-0.984052696545,0.03950667782088471,0.1424082553985178,19.87185894390503,0.041853512705530616,1.0
6,601939.XSHG,601939,建设银行,XSHG,,,6.9,,,6.61,,,644486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,507.0,71.0,383.0,53.0,0.28768207245178085,0.14003944773175542,0.7554240631163708,0.10453648915187377,0.96569609344,-0.984052696545,0.04102196653981313,0.14479879314492633,20.798137035685272,0.028023598820059004,1.0
7,601939.XSHG,601939,建设银行,XSHG,,,6.96,,,6.69,,,630793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,510.0,69.0,388.0,53.0,0.2595111954850846,0.13529411764705881,0.7607843137254902,0.10392156862745099,0.96569609344,-0.984052696545,0.03707792100368566,0.14073761589746528,18.909739711879695,-0.01897810218978102,0.0
8,601939.XSHG,601939,建设银行,XSHG,,,6.81,,,6.78,,,664613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,525.0,70.0,401.0,54.0,0.25534669180884456,0.13333333333333333,0.7638095238095238,0.10285714285714286,0.96569609344,-0.984052696545,0.03671437919565395,0.1383151301379391,19.275049077718336,-0.06796116504854377,0.0
9,601939.XSHG,601939,建设银行,XSHG,,,6.91,,,6.85,,,670935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,531.0,72.0,406.0,53.0,0.30147539458411676,0.13559322033898305,0.7645951035781544,0.09981167608286252,0.96569609344,-0.984052696545,0.04120662807049689,0.1376738893185909,21.88071950543386,-0.05352112676056342,0.0
