,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,600276.XSHG,600276,恒瑞医药,XSHG,68.87,68.87,69.78,69.78,68.15,64.73,9696974.0,669039874.0,1174797.0,0.0026,0.5720077157,250147661049.0,251547640344.0,-0.0081,74.9937,66.235,15.3418,1.0,68.995,64.9855,5.5397,0.215,95.6836,3.7624,23.6625,1.0028,0.0,0.1675,1.4583,1.0114,0.0015,0.0023,0.8087,1.0469,8.2151,-0.0002,0.0003,-0.0015,0.9839,0.3714,2.6494,0.1163,0.1009,0.037,0.33,-0.1958,0.2671,0.2298,70.3865,67.8546,71.627,69.3741,71.7218,1.0313,5.4495,0.8991,0.9355,0.0137,0.0218,-0.0028,2.1265,0.165,4.9435,0.8655,1.0638,0.0199,0.0147,140.0506,2.5705,-1.0886,26.2509,26.2453,0.0,0.0035,0.0025,70.72,67.6132,71.646,69.426,73.8227,14.5486,45.8689,1.0002,0.2419,0.2536,0.2381,0.6452,0.1913,0.2348,0.2381,0.3754,0.2731,0.2772,0.2772,0.2526,-0.0748,1.3078,15.3418,103.3762,74.9937,17.3202,0.3333,7.767,0.9219,0.9749,0.9502,0.2108,0.2234,0.2368,0.2574,26.4359,0.5519,0.8952,0.1345,0.9623,2.2326,0.0184,4.4423,0.2352,0.8394,0.3786,0.2583,0.0048,0.005,0.0053,0.0045,0.0035,0.0057,24.3339,1.8793,-0.0757,-26.0,0.0158,0.0101,58.0,0.0689,0.0059,60.0,0.2368,0.2536,0.0765,0.0098,-0.0542,-0.0077,2.3583,8.0,0.6643,0.3728,-0.1723,0.0119,36.8568,-0.8128,-0.0441,2.6131,2.2113,-3.4078,-4.6562,-1.6075,-7.4675,67.3294,75.9626,-113.2228,-117.9494,-80.6695,-31.2655,11.8744,20.6151,-5.607,-3.8023,-2.5118,20.63,19.72,0.5489,1.3129,29.4822,-0.0781,12.82,11.06,-7.3702,-0.2218,1.1354,2848526403.29,2879541489.79,2881704461.19,1401.308,936.6265,515.1215,181.2949,-1159636.3842,-2338132.0782,16021473.4509,16673937.221,19012069.2992,13497582.0711,-2356991.388,-12.3191,0.8049,-29.3113,-62.738,8827693.498,7281574.0035,-0.5139,28015859210.5,2734.4061,2742.9332,2749.539,-7.0585,-56.237,-6.4911,-24.9492,-4.2133,-3.9922,6.6067,23.047,38.7045,35.99,-16.0,24.0,8.0,-0.9609,-1.3673,-0.4594,0.2703,0.7297,-5.79,-1.852,105.5918,105.8858,106.4632,-0.0059,-0.0031,40.911,-0.1575,-0.4676,-0.6897,-0.4898,-9.9369,5.6078,3.6533,0.6002,-5.72,-1.88,70.6943,72.0616,1.0552,70.4237,1.0309,68.4446,68.2328,1.0353,92.7075,66.5093,26.1982,85.2938,23.7046,-2.6849,-1.0549,0.0239,23.9447,10574.1804,0.9143,0.9377,0.4,2018-08-01,2018-09-11,206.0,138.0,49.0,19.0,1.9387416595767009,0.6699029126213593,0.23786407766990292,0.09223300970873786,0.997723121336,-0.986789311096,0.5228931634008669,0.23903671738713247,107.71599166057851,-0.048663679901127854,0.0
1,600276.XSHG,600276,恒瑞医药,XSHG,68.31,68.31,69.78,69.43,67.4,64.73,19629857.0,1343507671.0,1249263.0,0.0054,0.5720077157,254139184260.0,255561502560.0,0.016,76.1903,67.2919,15.5866,1.0,68.442,64.9855,5.5397,0.215,95.6836,3.7624,23.6625,1.0028,0.0,0.1675,1.4583,1.0154,0.0014,0.0023,0.8087,1.0469,8.2151,-0.0001,0.0002,-0.0013,0.9324,0.3546,2.6298,0.1163,0.1009,0.036,0.33,-0.195,0.2671,0.2298,70.2071,67.8801,71.4149,69.3828,71.6457,1.0313,5.4495,0.8991,0.9355,0.0135,0.0218,-0.0028,2.1265,0.165,4.9435,0.8655,1.0349,0.02,0.0147,140.0506,2.5705,-1.0886,26.2667,26.2611,0.0,0.0035,0.0025,70.338,67.7164,71.7165,69.206,73.8801,12.4782,37.0611,1.0002,0.2419,0.2536,0.2381,0.6452,0.1913,0.2348,0.2381,0.3754,0.2731,0.2772,0.2772,0.2526,-0.0748,1.3078,15.5866,105.0257,76.1903,17.5965,0.4167,7.767,0.9478,1.0207,0.9844,0.2108,0.2234,0.2368,0.2574,36.8214,0.5658,0.9228,0.1345,0.9623,2.2326,0.0184,4.4369,0.2352,0.8394,0.3786,0.2583,0.005,0.0051,0.0053,0.0045,0.0038,0.0058,20.3928,1.8807,-0.0746,-28.0,0.0156,0.0087,58.0,0.0679,0.0059,60.0,0.2368,0.2536,0.0753,0.0097,-0.0542,-0.0077,2.3583,8.0,0.6903,0.3721,-0.0611,0.0115,36.8568,-0.6534,-0.2244,2.5715,2.1811,-1.3336,-3.2301,0.2803,-6.064,67.6104,75.8226,-98.038,-116.0438,-76.5739,-31.7783,28.1032,25.5748,33.1599,-3.4636,2.0738,22.1,17.14,0.6908,1.1378,37.7775,-0.0522,10.74,12.15,6.1599,-0.3654,1.1318,2868156260.29,2872060283.29,2884218825.14,1381.6173,974.1948,509.0928,240.2047,-1313536.5556,-1929137.241,16677543.1871,17128694.1101,19057831.3511,15541673.7141,-1231201.3708,-11.1371,0.8174,8.1428,26.0031,8683448.9164,7165967.3614,-0.6528,27632687960.8,2753.4558,2745.723,2747.5403,-8.8476,-70.6177,-1.2951,-20.8545,-5.0138,-6.3069,5.8184,24.186,41.6941,35.8246,-16.0,20.0,4.0,-1.0425,-1.3692,-0.5414,0.2293,0.7707,-3.82,-2.757,105.905,105.8188,106.3471,-0.0055,-0.0033,43.7302,-0.2512,-0.4816,-0.3414,-0.4862,1.7947,5.8638,3.1374,0.5979,-4.99,3.68,70.4952,71.8644,0.9,70.2131,1.0117,68.5713,68.8521,1.0135,104.2149,73.0132,31.2017,90.0141,23.571,-3.2299,-1.1999,0.0293,23.9447,10742.9091,0.954,0.9161,0.5,2018-08-02,2018-09-12,211.0,139.0,52.0,20.0,1.8971199848858813,0.6587677725118484,0.24644549763033174,0.0947867298578199,0.997723121336,-0.986789311096,0.5151925996669733,0.24116086920907825,108.70563852973129,0.01791530944625408,1.0
2,600276.XSHG,600276,恒瑞医药,XSHG,,,69.78,,,64.73,,,1348258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,219.0,140.0,56.0,23.0,1.7707060600302227,0.639269406392694,0.2557077625570776,0.1050228310502283,0.997723121336,-0.986789311096,0.49060874717250036,0.2539954281914208,107.4433156307775,0.14770797962648552,1.0
3,600276.XSHG,600276,恒瑞医药,XSHG,,,68.31,,,61.4,,,1369936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,218.0,137.0,56.0,25.0,1.6691571471357227,0.6284403669724771,0.25688073394495414,0.11467889908256881,0.997723121336,-0.986789311096,0.47579539680869987,0.26591122360084096,103.72339650429652,0.13521417512472023,1.0
4,600276.XSHG,600276,恒瑞医药,XSHG,,,69.0,,,58.9,,,1389838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,216.0,134.0,56.0,26.0,1.6094379124341003,0.6203703703703703,0.25925925925925924,0.12037037037037036,0.997723121336,-0.986789311096,0.465909871336549,0.27335117830441275,100.63653220869452,0.18068592057761723,1.0
5,600276.XSHG,600276,恒瑞医药,XSHG,,,65.5,,,58.13,,,1398908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,212.0,129.0,57.0,26.0,1.5716975844512533,0.6084905660377359,0.2688679245283019,0.12264150943396226,0.997723121336,-0.986789311096,0.4585711176542262,0.2775257536022568,97.21707694269594,0.12895927601809953,1.0
6,600276.XSHG,600276,恒瑞医药,XSHG,,,61.6,,,55.4,,,1381812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,218.0,132.0,58.0,28.0,1.5230532982352798,0.6055045871559633,0.26605504587155965,0.12844036697247707,0.997723121336,-0.986789311096,0.4555231823474837,0.28123729073050957,99.30405375175141,0.10380388841927313,1.0
7,600276.XSHG,600276,恒瑞医药,XSHG,,,63.72,,,57.46,,,1373512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,206.0,122.0,55.0,29.0,1.410986973710262,0.5922330097087378,0.2669902912621359,0.1407766990291262,0.997723121336,-0.986789311096,0.43344711620423115,0.2952054212487264,89.29010593807159,0.08920425747592509,1.0
8,600276.XSHG,600276,恒瑞医药,XSHG,,,62.7,,,59.15,,,1379935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,186.0,104.0,53.0,29.0,1.252762968495368,0.5591397849462365,0.2849462365591398,0.15591397849462366,0.997723121336,-0.986789311096,0.392577190566517,0.3022842428123937,73.01935744537218,0.06922065110161135,1.0
9,600276.XSHG,600276,恒瑞医药,XSHG,,,67.05,,,59.19,,,1361950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,179.0,95.0,52.0,32.0,1.067840630001356,0.5307262569832403,0.2905027932960894,0.1787709497206704,0.997723121336,-0.986789311096,0.347323376008229,0.31892213781919715,62.170884305472995,0.06341463414634152,1.0
