,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,600036.XSHG,600036,招商银行,XSHG,28.39,28.39,28.69,29.09,27.85,27.4,53686611.0,1531776020.0,993402.0,0.0026,0.8826258779,574928680428.0,702877096872.0,-0.0183,9.6487,7.7498,1.4167,1.0,28.532,,,,,,29.464,,0.0447,0.689,,0.716,0.0301,0.0387,,,,0.0003,-0.0001,-0.0004,0.8382,0.447,1.8752,11.5949,0.9201,0.0232,0.9,0.0421,,0.0738,27.7071,27.6111,27.1883,28.0788,27.2791,3.5962,10.3381,0.0799,0.4877,0.1042,0.1287,,-1.8078,0.0077,4.6988,0.4195,1.008,0.0142,0.0032,,,1.1686,27.2784,27.0775,0.0,,,27.791,28.3165,26.6992,28.216,27.3705,79.1205,72.548,,0.1841,0.1436,0.3256,1.6426,,0.1435,0.3256,,0.1777,0.4195,0.4195,0.0784,4.235,,1.5211,4.5336,9.6487,3.1237,0.4167,,1.102,1.1489,0.9876,0.0119,0.0126,0.1657,0.1928,72.3577,0.1178,0.5506,0.5805,0.0,3.0771,0.0093,5.4042,0.0419,0.0361,0.7231,0.171,0.0027,0.0024,0.0023,0.0027,0.002,0.0021,117.6389,1.691,-0.0014,-30.0,0.1181,0.032,14.0,0.3355,-0.0051,-60.0,0.1838,0.0675,19.8549,0.4923,0.0131,0.0353,3.9694,8.0,0.4112,0.436,0.0709,0.0124,4.8731,0.5344,0.6112,0.8961,0.9736,0.2843,4.3852,-1.2263,1.825,24.0815,29.3169,51.8488,89.0482,-14.0721,45.4463,74.1914,77.5651,67.4439,0.4324,14.8852,4.304,11.069,0.3477,0.6141,36.151,0.0926,2.259,5.87,44.4212,1.151,0.9633,24244958406.3,24311671489.8,24261853160.6,1254.7397,1163.7124,557.8927,237.9111,1310015.138,207350.1699,47036104.9894,47287876.5263,47080526.3564,45346875.0321,-2205329.9362,8.5875,1.0342,49.4109,-22.7018,24650186.6093,20109322.2849,4.5705,25077112643.6,2942.9253,2946.9373,2976.9118,19.5251,-2.3226,-0.9937,31.1904,0.2591,0.1175,31.955,8.2234,44.3785,38.1925,72.0,20.0,92.0,0.214,0.4812,0.5084,0.7542,0.2458,2.58,2.1836,1327.2219,1327.903,1325.3274,0.0071,0.0046,42.969,0.2108,0.2537,-0.012,0.2837,-10.7069,1.1482,1.2344,0.6715,-1.6,1.589,27.5612,27.08,0.2476,27.5647,0.989,28.5518,28.0947,0.9972,114.7166,127.9024,-13.1858,218.9535,26.3923,0.354,1.594,0.0445,1.4971,23117.3438,1.0857,1.1133,0.4,2018-08-01,2018-09-11,397.0,113.0,255.0,29.0,1.33500106673234,0.28463476070528965,0.6423173803526449,0.07304785894206549,0.995103425579,-0.969526825845,0.18207025407857563,0.1638587870149745,72.28189086919448,0.05510948905109503,1.0
1,600036.XSHG,600036,招商银行,XSHG,27.87,27.87,28.69,28.1,27.0,27.4,57192390.0,1566477322.0,1019334.0,0.0028,0.8826258779,560694708792.0,685475403408.0,-0.0248,9.4098,7.5579,1.3816,1.0,27.39,,,,,,29.464,,0.0447,0.689,,0.7297,0.0309,0.0387,,,,0.0004,-0.0001,-0.0003,0.8294,0.4511,1.8387,11.5949,0.9201,0.0232,0.9,0.0365,,0.0738,27.6113,27.604,27.1875,27.7792,27.2759,3.5962,10.3381,0.0799,0.4877,0.1069,0.1287,,-1.8078,0.0077,4.6988,0.4195,1.0076,0.0142,0.0032,,,1.1686,27.2534,27.0524,0.0,,,27.947,28.2649,26.8264,28.028,27.3433,84.779,65.7223,,0.1841,0.1436,0.3256,1.6426,,0.1435,0.3256,,0.1777,0.4195,0.4195,0.0784,4.235,,1.4835,4.4213,9.4098,3.0464,0.4167,,1.0609,1.1032,0.9666,0.0119,0.0126,0.1657,0.1928,67.0433,0.0706,0.5244,0.5805,0.0,3.0771,0.0093,5.4031,0.0419,0.0361,0.7231,0.171,0.0028,0.0024,0.0023,0.0027,0.0021,0.0021,61.7299,1.691,0.0013,-28.0,0.1212,0.0323,14.0,0.344,-0.0051,-60.0,0.1841,0.0675,21.0163,0.5211,0.0131,0.0353,3.9694,8.0,0.3427,0.4353,0.0258,0.0126,4.8731,0.322,0.5111,0.9107,0.9947,-2.7445,1.3181,-3.0255,-0.5972,24.3896,29.2631,-86.2673,35.833,-154.6547,-11.1099,39.8518,60.7377,-1.9199,-3.6853,10.3219,5.194,10.624,0.3013,0.5906,33.7818,0.0574,2.949,5.492,30.1268,0.5714,0.963,24187766016.3,24280992094.1,24263333141.3,1270.4452,1222.6396,562.2269,290.5074,1244431.0178,982094.5369,48882702.2641,48811647.8299,47829553.293,49295380.0214,-524672.9618,11.798,0.8843,97.6452,32.9385,24051395.386,20222181.828,3.6209,25391021413.2,2904.4504,2949.1895,2962.0624,18.0631,-28.1784,-20.3545,47.0965,0.1174,-0.1926,27.2503,19.4573,40.7008,34.4712,72.0,16.0,88.0,0.2542,0.4152,0.3992,0.6996,0.3004,1.56,2.2413,1325.8059,1327.5443,1325.9338,0.0043,0.0045,41.8657,0.2215,0.2527,-0.1594,0.1845,-21.2894,1.8099,2.5486,0.6546,-2.99,0.184,27.5026,27.0874,0.3664,27.4563,1.0102,28.0562,27.4122,1.0282,113.1424,128.9644,-15.822,180.8548,26.3351,-0.4509,0.6491,0.0405,1.4971,22545.0091,1.0713,1.0615,0.3,2018-08-02,2018-09-12,407.0,113.0,264.0,30.0,1.3022112439093492,0.27764127764127766,0.6486486486486487,0.07371007371007371,0.995103425579,-0.969526825845,0.17577838892958558,0.16140025670741315,71.54180429434129,0.06021897810218979,1.0
2,600036.XSHG,600036,招商银行,XSHG,,,28.69,,,27.4,,,1045446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,404.0,114.0,260.0,30.0,1.3109449238781037,0.28217821782178215,0.6435643564356436,0.07425742574257425,0.995103425579,-0.969526825845,0.18140801700608478,0.16445179825704878,73.28883887045824,0.09257925072046103,1.0
3,600036.XSHG,600036,招商银行,XSHG,,,27.8,,,27.4,,,1020968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,405.0,116.0,258.0,31.0,1.2964380319980295,0.28641975308641976,0.6370370370370371,0.07654320987654321,0.995103425579,-0.969526825845,0.1822452234725326,0.1678156900830305,73.8093155063757,0.07604017216642767,1.0
4,600036.XSHG,600036,招商银行,XSHG,,,27.33,,,27.76,,,999842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,411.0,118.0,261.0,32.0,1.2826159316450492,0.2871046228710462,0.635036496350365,0.07785888077858881,0.995103425579,-0.969526825845,0.1821084591050359,0.16762816856877846,74.84657669216972,0.08816029143898008,1.0
5,600036.XSHG,600036,招商银行,XSHG,,,27.38,,,27.88,,,999808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,413.0,117.0,264.0,32.0,1.2741770629991844,0.28329297820823246,0.639225181598063,0.0774818401937046,0.995103425579,-0.969526825845,0.18033329362804484,0.16637766340356497,74.47765026838252,0.049325762952448615,1.0
6,600036.XSHG,600036,招商银行,XSHG,,,27.59,,,27.45,,,1001579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,425.0,121.0,271.0,33.0,1.2776605201170952,0.2847058823529412,0.6376470588235295,0.07764705882352942,0.995103425579,-0.987664553151,0.17970004668921108,0.1666221109036988,76.37251984291473,0.056690140845070625,1.0
7,600036.XSHG,600036,招商银行,XSHG,,,28.6,,,28.18,,,982666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,433.0,124.0,277.0,32.0,1.3318061758358208,0.2863741339491917,0.6397228637413395,0.07390300230946882,0.995103425579,-0.987664553151,0.18533174796741445,0.16777329941105282,80.24864686989048,0.0031567870922484254,1.0
8,600036.XSHG,600036,招商银行,XSHG,,,27.94,,,28.4,,,1007002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,445.0,126.0,286.0,33.0,1.3178265618424299,0.28314606741573034,0.6426966292134831,0.07415730337078652,0.995103425579,-0.987664553151,0.18246729470079645,0.1667722429309803,81.19794614185446,-0.05742574257425748,0.0
9,600036.XSHG,600036,招商银行,XSHG,,,28.81,,,28.51,,,1005374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,435.0,122.0,282.0,31.0,1.346448452572691,0.28045977011494255,0.6482758620689655,0.07126436781609195,0.985953542404,-0.987664553151,0.1827827063606671,0.1617850085944243,79.51047726689023,-0.03511141120864292,0.0
