,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,000651.XSHE,000651,格力电器,XSHE,44.17,44.17,44.45,44.51,42.98,36.23,50146597.0,2185344705.26,2227207.0,0.0084,0.7936136723,256989915315.0,258977210940.0,-0.0254,10.8048,11.5995,3.6516,1.0,43.579,130.1189,2.7667,0.0411,52.4117,6.8687,26.1094,1.0094,0.0,0.1387,-0.2169,1.1871,0.0,0.0442,0.7856,0.9354,1.1789,-0.0033,-0.0034,-0.005,1.0642,0.4966,2.143,2.0611,0.6694,0.0253,0.93,0.0094,0.1677,0.1612,44.4121,46.6631,44.9647,43.9549,46.25,3.7114,3.8591,0.3306,2.5074,0.093,0.1005,0.0024,-38.235,0.0857,8.6004,0.3207,1.4544,0.0162,0.0164,48.6835,7.3947,-1.9389,26.28,26.2723,0.0,0.0256,0.0031,44.56,48.2516,45.0,44.014,46.5723,-91.1073,27.3283,1.0026,0.2246,0.4659,0.1522,0.8128,0.2144,0.4688,0.1505,0.1036,0.4913,0.1754,0.1734,0.3955,0.2523,0.1508,3.6516,11.8039,10.8048,1.6374,0.25,1.0751,0.9599,0.997,0.9575,0.1148,0.1017,0.4088,0.3646,25.4335,0.0925,0.9252,0.6793,0.697,4.5655,0.01,1.2489,0.0986,0.7368,0.2158,0.4483,0.0073,0.0106,0.0072,0.0108,0.0056,0.0091,-104.603,1.8393,0.0082,-46.0,0.1077,0.0243,60.0,0.6986,-0.0679,46.0,0.245,0.206,0.8748,0.0879,-0.0098,-0.0095,1.2796,8.0,0.3066,0.3064,-0.2368,0.0068,165.225,-0.2472,-0.2607,1.2398,1.0898,-3.3887,-4.3333,-2.1902,-7.5631,43.0473,46.9527,-138.5988,-132.8413,-154.4312,-157.9888,11.7784,20.9147,-6.4941,-5.9633,-0.3011,13.54,10.01,0.2329,0.5639,29.2294,-0.0401,5.9,5.77,-1.114,-0.3995,0.9809,2604818322.73,2661113625.73,2766200062.93,1923.2303,1617.137,584.5314,517.6143,-4807286.5591,-5028489.7108,40458526.2978,41235844.009,46264333.7198,38479614.9562,-442406.3034,-10.4547,0.6136,64.683,-25.7682,15863144.122,13084777.8526,-2.7541,38492475064.9,1256.2798,1254.8128,1291.8362,-5.1968,-57.3803,-3.476,-22.2066,-0.4984,-0.6541,12.9886,28.0031,19.625,19.9242,-92.0,100.0,8.0,-0.5598,-0.6834,-0.4872,0.2564,0.7436,-1.8,-0.88,154.6523,155.8417,156.1371,-0.0038,-0.002,40.8869,-0.0797,-0.1951,-0.2991,-0.1688,-22.7526,3.8571,3.0431,0.5169,-3.5,-1.92,44.5422,45.2256,0.5588,44.4198,1.0318,43.5675,43.2993,1.0351,65.5009,71.8927,-6.3918,95.5807,24.3101,-1.6219,-0.0919,0.0355,75.1459,307.8385,0.9268,0.9529,0.2,2018-08-01,2018-09-11,384.0,115.0,254.0,15.0,1.9810014688665833,0.2994791666666667,0.6614583333333334,0.0390625,0.986257203296,-0.986713089049,0.24092111480376313,0.14202962647621964,92.51370808464509,0.050510626552580984,1.0
1,000651.XSHE,000651,格力电器,XSHE,43.05,43.05,44.45,43.0,40.56,36.23,79350394.0,3287575046.86,2282722.0,0.0133,0.7936136723,245468648496.0,247366850496.0,-0.0448,10.3204,11.0795,3.4879,1.0,41.431,130.1189,2.7667,0.0411,52.4117,6.8687,26.1094,1.0094,0.0,0.1387,-0.2169,1.1807,0.0,0.0442,0.7856,0.9354,1.1789,-0.0025,-0.0032,-0.0034,1.0976,0.5098,2.1528,2.0611,0.6694,0.0253,0.93,0.0028,0.1677,0.1612,43.8135,46.5715,44.5985,43.01,46.0818,3.7114,3.8591,0.3306,2.5074,0.0973,0.1005,0.0024,-38.235,0.0857,8.6004,0.3207,1.465,0.0162,0.0164,48.6835,7.3947,-1.9389,26.2341,26.2264,0.0,0.0256,0.0031,44.149,48.1311,44.8855,43.336,46.4543,-113.2804,19.5768,1.0027,0.2246,0.4659,0.1522,0.8128,0.2144,0.4688,0.1505,0.1036,0.4913,0.1754,0.1734,0.3955,0.2523,0.1508,3.4879,11.2747,10.3204,1.564,0.25,1.0751,0.9091,0.9472,0.9238,0.1148,0.1017,0.4088,0.3646,21.6216,0.0462,0.8793,0.6793,0.697,4.5655,0.01,1.2556,0.0986,0.7368,0.2158,0.4483,0.0081,0.0106,0.0074,0.0109,0.0072,0.0092,-203.3973,1.8383,-0.0053,-46.0,0.1103,0.0018,60.0,0.7846,-0.0004,44.0,0.2182,0.2937,0.9175,0.0922,-0.0098,-0.0095,1.2796,8.0,0.2133,0.3478,-1.3798,0.0076,165.225,-0.5536,-0.4612,1.3291,1.3232,-6.8609,-8.3891,-5.1135,-11.4829,42.3567,47.4143,-253.9116,-256.7951,-166.6667,-243.8081,13.0738,18.8936,1.4343,-8.5409,-5.2753,15.98,8.61,0.2018,0.6596,23.427,-0.0909,7.83,5.54,-17.1279,-1.0048,0.9791,2525467928.73,2630324863.4,2753928762.03,1973.2361,1785.5436,655.769,839.5502,-4168935.6611,-1615532.0691,47529774.9709,47099620.9307,48715152.9998,52103207.9708,5106807.184,-1.3254,0.4862,163.5633,57.2564,18575454.3429,15330312.1548,-3.326,39511112056.5,1213.3525,1257.9691,1274.9884,-8.3186,-112.2959,-23.5121,1.7024,-0.9917,-1.7148,10.5005,46.9158,25.4648,21.8428,-96.0,100.0,4.0,-0.629,-0.9058,-0.6618,0.1691,0.8309,-4.11,-1.473,151.0949,154.9417,155.6381,-0.0061,-0.0025,31.9327,-0.1233,-0.2246,-0.5774,-0.2577,-59.3776,4.9535,4.1893,0.5035,-4.41,-4.08,44.0157,44.9215,0.9116,43.8424,1.0662,42.3253,41.6336,1.0737,63.1186,68.8107,-5.6921,72.8908,24.3612,-3.5445,-1.1045,0.0593,75.1459,294.0376,0.899,0.8721,0.2,2018-08-02,2018-09-12,373.0,113.0,245.0,15.0,1.9636097261547143,0.30294906166219837,0.6568364611260054,0.040214477211796246,0.986257203296,-0.986713089049,0.24280509504345127,0.1443866040041912,90.56630045120738,0.08191221694157114,1.0
2,000651.XSHE,000651,格力电器,XSHE,,,44.45,,,36.23,,,2341336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,365.0,111.0,240.0,14.0,2.0104486701928845,0.3041095890410959,0.6575342465753424,0.038356164383561646,0.986257203296,-0.986713089049,0.2446404056435059,0.14177739096745104,89.29374805987968,0.10178326474622756,1.0
3,000651.XSHE,000651,格力电器,XSHE,,,43.0,,,35.77,,,2324357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,351.0,110.0,227.0,14.0,2.0014800002101243,0.31339031339031337,0.6467236467236467,0.039886039886039885,0.986257203296,-0.986713089049,0.24992869762531916,0.1432539506913874,87.72497286648708,0.07820927723840332,1.0
4,000651.XSHE,000651,格力电器,XSHE,,,40.98,,,36.45,,,2243459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,355.0,112.0,227.0,16.0,1.8941744746561247,0.3154929577464789,0.6394366197183099,0.04507042253521127,0.986257203296,-0.986713089049,0.24729786872237475,0.14882439251592325,87.79074339644308,0.07092391304347823,1.0
5,000651.XSHE,000651,格力电器,XSHE,,,39.65,,,37.08,,,2211185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,342.0,111.0,214.0,17.0,1.8281271133989299,0.32456140350877194,0.6257309941520468,0.049707602339181284,0.986257203296,-0.986713089049,0.25304558286937173,0.15304847076014588,86.54158934132516,0.05777537796976251,1.0
6,000651.XSHE,000651,格力电器,XSHE,,,39.2,,,36.8,,,2251840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,343.0,112.0,213.0,18.0,1.7829488395459,0.32653061224489793,0.6209912536443148,0.052478134110787174,0.986257203296,-0.986713089049,0.2534463646417479,0.15272063777827663,86.93210307211956,0.021370862653114386,1.0
7,000651.XSHE,000651,格力电器,XSHE,,,40.42,,,37.04,,,2223269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,353.0,111.0,223.0,19.0,1.7227665977411035,0.31444759206798867,0.6317280453257791,0.053824362606232294,0.986257203296,-0.986713089049,0.24245473017692798,0.15385841397972053,85.5865197524556,0.005988023952095967,1.0
8,000651.XSHE,000651,格力电器,XSHE,,,39.01,,,38.37,,,2255755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,359.0,109.0,231.0,19.0,1.7047480922384253,0.30362116991643456,0.6434540389972145,0.052924791086350974,0.986257203296,-0.986713089049,0.2343928451491941,0.15047853372229847,84.1470314085607,-0.016553799849510775,0.0
9,000651.XSHE,000651,格力电器,XSHE,,,40.83,,,38.41,,,2241561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,371.0,113.0,236.0,22.0,1.6007042324653458,0.3045822102425876,0.6361185983827493,0.05929919137466307,0.986257203296,-0.986713089049,0.22896305268227254,0.15405996256360316,84.94529254512312,0.009218950064020515,1.0
