,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,002594.XSHE,002594,比亚迪,XSHE,42.24,42.24,42.82,42.97,41.88,41.52,4429180.0,187567711.26,451682.0,0.0039,0.9915548563,47787219340.0,114527438942.0,-0.0062,32.1426,279.5398,2.0809,1.0,42.348,143.7872,2.5037,0.0649,171.1596,2.1033,25.9278,1.2763,0.0082,0.0782,0.0697,0.4046,0.0034,0.0024,0.5745,1.1467,0.9365,-0.002,-0.0014,-0.0027,1.3746,0.4638,2.964,2.2157,0.6697,0.0259,0.02,-0.0824,0.0692,0.4326,43.0432,51.5149,44.0099,42.5234,47.6961,0.1502,1.1482,0.3303,1.8565,0.0384,0.023,0.0251,-0.6435,0.2877,2.1791,0.1821,1.2502,0.022,0.0815,83.2389,4.3249,-0.2279,25.4641,24.59,0.0355,-1.4431,0.0562,42.961,53.4484,44.1551,42.5421,48.1428,-16.3105,39.5926,1.1234,0.0678,-0.1797,0.0401,2.4254,0.4255,-0.2588,0.0401,0.046,-0.1354,0.0441,0.0441,0.0516,3.8461,0.0767,2.2394,13.3665,32.1426,1.0449,0.25,0.7149,0.9695,0.9168,0.953,0.0274,0.0258,0.0667,0.0852,34.2431,-0.1511,-0.3356,0.8179,0.8893,1.0536,0.0133,2.0856,0.2445,0.646,0.0469,-0.2386,0.0045,0.0065,0.0051,0.0099,0.0038,0.0054,-20.2073,1.8084,0.0127,16.0,0.0304,-0.2946,-60.0,1.168,-0.0469,8.0,-0.1428,0.2629,1.2077,0.0568,0.0229,-0.0254,1.2194,-4.0,0.0,0.3297,0.3273,0.0534,1.012,-0.0262,-0.2055,1.2764,1.0716,-2.2833,-4.9258,-1.3211,-12.8009,40.9504,47.3598,-90.1519,-94.1904,-66.6273,-133.4567,14.538,23.0665,-2.5189,-5.2149,-8.3198,12.6619,10.0593,0.3053,0.6786,31.0296,-0.0305,8.0607,4.2511,-30.9427,-0.6864,0.8733,1347761358.52,1358352432.02,1372322199.52,258.4143,203.4078,86.6123,57.0233,-328957.148,-590156.8076,4989505.249,5145904.8714,5736061.679,4471424.0645,-522399.3192,-19.4634,0.6219,-64.576,-20.166,1089101.1264,1922087.5058,0.1748,5164883556.66,-102.024,-96.8836,-97.856,-12.5746,-65.8217,-2.1799,-19.8158,-5.1352,-5.5189,13.9378,26.1952,37.7168,36.6194,-92.0,100.0,8.0,-1.3342,-1.3473,-0.5194,0.2403,0.7597,-1.3204,-2.3881,97.8157,97.9035,97.9322,-0.0044,-0.0042,39.2659,-0.2473,-0.204,-0.3749,-0.0899,-11.3921,6.0578,3.3449,0.5492,-3.9581,-6.7474,43.2387,44.586,0.654,43.1419,1.0277,42.118,41.9791,1.0234,65.4168,83.2119,-17.7951,70.9559,23.4495,-1.456,-0.3654,0.026,1.5112,10040.4242,0.9639,0.8805,0.1,2018-08-01,2018-09-11,676.0,371.0,234.0,71.0,1.6422277352570913,0.5488165680473372,0.34615384615384615,0.10502958579881656,0.997212038259,-0.978643269837,0.3706755223139801,0.2484746814424316,250.57665308425052,0.12692678227360288,1.0
1,002594.XSHE,002594,比亚迪,XSHE,41.98,41.98,42.82,41.98,39.5,41.52,10798045.0,434793686.13,462413.0,0.0095,0.9915548563,45647153300.0,109398530290.0,-0.0448,30.7031,267.0211,1.9877,1.0,40.266,143.7872,2.5037,0.0649,171.1596,2.1033,25.9278,1.2763,0.0082,0.0782,0.0697,0.3695,0.0035,0.0024,0.5745,1.1467,0.9365,-0.0016,-0.0011,-0.0017,1.4109,0.4766,2.9602,2.2157,0.6697,0.0259,0.02,-0.0908,0.0692,0.4326,42.508,51.3262,43.6376,41.7156,47.4471,0.1502,1.1482,0.3303,1.8565,0.0402,0.023,0.0251,-0.6435,0.2877,2.1791,0.1821,1.264,0.022,0.0815,83.2389,4.3249,-0.2279,25.4183,24.5442,0.0355,-1.4431,0.0562,42.756,53.2771,43.8811,41.962,47.9528,-20.4168,37.5284,1.1292,0.0678,-0.1797,0.0401,2.4254,0.4255,-0.2588,0.0401,0.046,-0.1354,0.0441,0.0441,0.0516,3.8461,0.0767,2.1391,12.7679,30.7031,0.9981,0.25,0.7149,0.9514,0.8798,0.9325,0.0274,0.0258,0.0667,0.0852,27.6833,-0.1981,-0.3738,0.8179,0.8893,1.0536,0.0133,2.0991,0.2445,0.646,0.0469,-0.2386,0.0049,0.0065,0.0054,0.0099,0.0048,0.0055,-34.8341,1.8084,0.0127,18.0,0.0319,-0.2721,-60.0,1.2227,-0.0467,6.0,-0.1428,0.2629,1.2503,0.0588,0.0229,-0.0254,1.2194,-4.0,0.0,0.3643,0.0457,0.0592,1.012,-0.262,-0.4369,1.3624,1.3064,-6.2125,-8.617,-4.4377,-16.3765,40.2771,47.485,-202.8442,-164.6525,-166.6667,-158.8646,15.2285,20.9766,3.7322,-8.9673,-12.0232,15.1121,8.5092,0.2646,0.7466,26.1669,-0.0486,9.7312,4.2511,-39.1931,-0.9622,0.8705,1336963313.52,1352902540.18,1370442801.37,267.2641,228.3655,95.166,108.9912,-282277.4215,-95558.5153,6045603.3855,6015464.8912,6111023.4065,6580297.7097,373437.8124,-13.3766,0.4809,55.6017,66.7687,2103829.8893,2217833.3004,0.0992,5346339205.65,-107.5977,-97.4043,-100.2376,-13.9335,-120.37,-4.2152,-3.5224,-7.7568,-12.4013,11.317,44.5605,40.6206,37.0162,-96.0,100.0,4.0,-1.3669,-1.4979,-0.492,0.254,0.746,-2.0498,-2.2501,97.3321,97.7839,97.8765,-0.0062,-0.0045,33.0823,-0.2332,-0.1686,-0.5084,-0.1796,-53.7697,6.0346,4.3047,0.5973,-5.3487,-7.3172,42.7558,44.2537,0.9165,42.6265,1.063,41.0869,40.5582,1.0662,51.9192,65.815,-13.8958,53.0954,23.531,-3.3736,-0.8934,0.0619,1.5112,9590.7276,0.9261,0.8721,0.1,2018-08-02,2018-09-12,684.0,374.0,240.0,70.0,1.6642461489290954,0.5467836257309941,0.3508771929824561,0.1023391812865497,0.997212038259,-0.978643269837,0.37186521215484025,0.24467833908917144,254.35580511391075,0.08705994291151287,1.0
2,002594.XSHE,002594,比亚迪,XSHE,,,42.82,,,41.52,,,472179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,688.0,372.0,246.0,70.0,1.6588985426025,0.5406976744186046,0.35755813953488375,0.10174418604651163,0.997212038259,-0.978643269837,0.3678844989548141,0.24336552810568504,253.10453528091222,0.11882572227399812,1.0
3,002594.XSHE,002594,比亚迪,XSHE,,,41.95,,,42.04,,,481561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,703.0,381.0,260.0,62.0,1.8022858822150425,0.5419630156472262,0.36984352773826457,0.08819345661450925,0.997212038259,-0.978643269837,0.3803217965200731,0.22806017079220275,267.3662229536115,0.076768578442312,1.0
4,002594.XSHE,002594,比亚迪,XSHE,,,40.28,,,42.92,,,478234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,696.0,380.0,256.0,60.0,1.8319255109533896,0.5459770114942529,0.367816091954023,0.08620689655172414,0.997212038259,-0.978643269837,0.3837043776646531,0.2270302714078661,267.0582468545986,0.0629323811649185,1.0
5,002594.XSHE,002594,比亚迪,XSHE,,,38.33,,,44.81,,,470624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,679.0,368.0,252.0,59.0,1.8164520818184267,0.5419734904270986,0.3711340206185567,0.08689248895434462,0.997212038259,-0.978643269837,0.38350096093051544,0.22789395763448955,260.39715247181994,0.04813664596273304,1.0
6,002594.XSHE,002594,比亚迪,XSHE,,,37.68,,,44.81,,,479538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,678.0,373.0,251.0,54.0,1.916922612182061,0.5501474926253688,0.3702064896755162,0.07964601769911504,0.997212038259,-0.978643269837,0.395151531109364,0.2205705156605445,267.91273809214874,0.043015332197615,1.0
7,002594.XSHE,002594,比亚迪,XSHE,,,38.02,,,45.08,,,478941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,671.0,368.0,249.0,54.0,1.9034634588080563,0.5484351713859911,0.3710879284649776,0.08047690014903129,0.997212038259,-0.978643269837,0.3937177561659317,0.2216036646546857,264.18461438733993,0.08813928182807396,1.0
8,002594.XSHE,002594,比亚迪,XSHE,,,37.89,,,46.96,,,488144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,683.0,369.0,260.0,54.0,1.9061698204057993,0.5402635431918009,0.3806734992679356,0.07906295754026355,0.993798494758,-0.978643269837,0.3915966758657562,0.2204416700824326,267.4605296163113,0.09785152095298866,1.0
9,002594.XSHE,002594,比亚迪,XSHE,,,39.4,,,45.95,,,491961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,683.0,370.0,259.0,54.0,1.9088688773749642,0.541727672035139,0.37920937042459735,0.07906295754026355,0.993798494758,-0.978643269837,0.3916947573846736,0.22161906384255686,267.52751929373187,0.05809128630705396,1.0
