,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,600016.XSHG,600016,民生银行,XSHG,6.08,6.08,6.1,6.12,5.94,5.9,63954473.0,386385698.0,474770.0,0.0017,0.8035607934,219250592645.0,260505390075.0,-0.0214,5.1528,4.3586,0.6766,1.0,6.042,,,,,,29.4232,,0.0923,-2.3193,,0.2805,0.0294,0.0254,,,,-0.0005,-0.0006,-0.0008,0.858,0.6753,1.2705,14.5629,0.9341,0.0128,0.41,0.0403,,0.0392,5.9613,6.3121,5.9209,5.9958,6.0673,1.3651,8.7919,0.0659,0.3757,0.1979,0.1491,,-0.8294,0.0075,3.2171,0.425,0.7331,0.0088,0.0008,,,1.2319,26.2859,26.1135,0.0,,,5.971,6.4293,5.8645,6.002,6.0788,119.6448,59.3708,,0.0793,0.0447,0.356,-5.4567,,0.0459,0.356,,0.028,0.425,0.425,-0.043,-1.4154,,0.6945,-0.7758,5.1528,1.7994,0.6667,,1.0348,1.0644,0.9933,0.0088,0.011,0.1375,0.1853,67.2414,-0.1581,-0.1887,0.575,0.0,2.0463,0.0103,1.9832,0.0077,0.0248,0.7336,0.0182,0.0017,0.0022,0.0016,0.0028,0.0014,0.0017,115.5275,1.5865,-0.0867,-28.0,0.204,-0.0001,18.0,0.5869,0.0,-58.0,0.0671,0.0596,39.5338,-2.2115,-0.0645,0.0294,1.051,8.0,0.1643,0.347,-0.0945,0.029,24.4111,0.0692,0.4484,0.1117,0.1157,-0.3517,1.4579,-0.8664,-2.1188,5.5968,6.1322,42.15,82.0775,-6.8729,-49.118,69.8375,75.3191,58.8742,-0.9983,6.4401,0.641,1.162,0.0598,0.041,59.3254,0.0336,0.39,0.75,31.5789,0.5544,0.9254,104536999369.0,104522564886.0,104379775346.0,337.1519,314.0213,116.9915,59.8473,-1541739.7036,-1445597.5095,58123816.3504,58306477.1276,59752074.6371,57864752.0718,192284.3882,-4.8686,1.79,52.0129,-33.3331,22072870.1011,19567968.0005,3.7662,6740406571.95,28190.0995,28197.9244,28197.6952,8.4782,-1.5947,2.7101,13.9573,0.0031,0.0002,27.2227,15.3233,35.2233,39.1594,76.0,20.0,96.0,-0.011,0.0236,0.3192,0.6596,0.3404,0.2,0.213,4221.1605,4221.7654,4220.7234,0.0031,0.0018,44.0679,0.0208,0.0235,0.0069,0.0248,-2.3403,0.9047,1.0683,0.6708,-0.07,0.47,5.9479,5.9243,0.0424,5.9475,0.9996,6.0427,5.9947,1.0035,109.3286,113.7834,-4.4548,179.6209,25.3325,-0.0021,0.1779,0.0303,0.6429,31697.7168,1.0348,1.0444,0.2,2018-08-01,2018-09-11,292.0,61.0,153.0,78.0,-0.24231346742193,0.2089041095890411,0.523972602739726,0.2671232876712329,0.994994804705,-0.986994263437,-0.028634601684794345,0.2983352817861381,-8.361303691959964,0.08305084745762703,1.0
1,600016.XSHG,600016,民生银行,XSHG,5.95,5.95,6.1,5.98,5.77,5.9,65423947.0,383745609.0,495118.0,0.0018,0.8035607934,214828731953.0,255251499855.0,-0.0202,5.0489,4.2707,0.663,1.0,5.866,,,,,,29.4232,,0.0923,-2.3193,,0.2755,0.03,0.0254,,,,-0.0004,-0.0006,-0.0007,0.8608,0.6803,1.2653,14.5629,0.9341,0.0128,0.41,0.0311,,0.0392,5.9374,6.3041,5.9123,5.9405,6.0595,1.3651,8.7919,0.0659,0.3757,0.2019,0.1491,,-0.8294,0.0075,3.2171,0.425,0.737,0.0088,0.0008,,,1.2319,26.2655,26.0931,0.0,,,5.978,6.4147,5.876,5.976,6.0672,115.9575,53.0316,,0.0793,0.0447,0.356,-5.4567,,0.0459,0.356,,0.028,0.425,0.425,-0.043,-1.4154,,0.6805,-0.7602,5.0489,1.7631,0.5833,,1.0122,1.0411,0.9782,0.0088,0.011,0.1375,0.1853,55.0725,-0.1888,-0.2156,0.575,0.0,2.0463,0.0103,1.9593,0.0077,0.0248,0.7336,0.0182,0.0018,0.0022,0.0016,0.0028,0.0015,0.0017,42.2473,1.5865,-0.0867,-30.0,0.2083,0.0,17.0,0.599,0.0,-57.0,0.0672,0.0596,40.9508,-2.2907,-0.0645,0.0294,1.051,8.0,0.1093,0.3434,0.1835,0.0313,24.4111,0.0374,0.2765,0.1187,0.1314,-2.4757,-0.7828,-2.4431,-3.9095,5.6381,6.1139,-172.0907,-7.4646,-151.7413,-80.5476,43.3044,61.6581,6.5969,-2.6711,4.1071,0.811,1.121,0.0518,0.0446,53.7344,0.012,0.51,0.74,18.4,0.2562,0.9251,104471575422.0,104516451342.0,104393342671.0,341.8012,329.3106,116.8985,64.6265,-1387539.9305,-770740.838,59451112.8321,59401472.4926,60172213.3306,60384483.7145,1233598.185,0.5811,1.4645,79.1236,34.2797,20193724.3273,19599811.3523,3.2171,6833175144.31,28162.0607,28202.6917,28190.3547,7.2305,-5.1929,-11.6439,41.3739,-0.0008,-0.0075,22.2017,31.5928,32.8339,35.5734,76.0,16.0,92.0,-0.0063,0.0124,0.2038,0.6019,0.3981,0.07,0.204,4219.841,4221.4538,4220.8847,0.0014,0.0017,42.9107,0.0209,0.0229,-0.0194,0.0128,-3.9639,1.5075,2.0939,0.6398,-0.17,0.28,5.9297,5.9173,0.0676,5.9247,1.0162,5.9589,5.8745,1.0254,106.685,111.6231,-4.9381,145.4248,25.3983,-0.1561,0.0539,0.036,0.6429,31058.4351,1.0122,1.0132,0.2,2018-08-02,2018-09-12,294.0,62.0,153.0,79.0,-0.23889190828234896,0.2108843537414966,0.5204081632653061,0.2687074829931973,0.994994804705,-0.986994263437,-0.027098645907928216,0.29947901012539846,-7.96700189693089,0.051839464882943,1.0
2,600016.XSHG,600016,民生银行,XSHG,,,6.1,,,5.9,,,519454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,295.0,64.0,153.0,78.0,-0.1950605825713843,0.21694915254237288,0.5186440677966102,0.26440677966101694,0.994994804705,-0.986994263437,-0.02174808950312371,0.2980999297544187,-6.415686403421477,0.06499999999999995,1.0
3,600016.XSHG,600016,民生银行,XSHG,,,5.93,,,5.98,,,511268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,287.0,64.0,155.0,68.0,-0.05971923470162231,0.2229965156794425,0.5400696864111498,0.23693379790940766,0.994994804705,-0.986994263437,0.005212142720153779,0.28835785208289033,1.4958849606841307,0.0618729096989965,1.0
4,600016.XSHG,600016,民生银行,XSHG,,,5.84,,,6.0,,,506798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,295.0,63.0,162.0,70.0,-0.10379679368164355,0.2135593220338983,0.5491525423728814,0.23728813559322035,0.994994804705,-0.986994263437,-0.001501971900024291,0.2837030923068797,-0.44308171050716894,0.05210084033613449,1.0
5,600016.XSHG,600016,民生银行,XSHG,,,5.83,,,5.98,,,511879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,293.0,63.0,162.0,68.0,-0.07522342123758752,0.2150170648464164,0.552901023890785,0.23208191126279865,0.994994804705,-0.986994263437,0.003644752096790713,0.28254955090912387,1.06791236435968,0.03482587064676612,1.0
6,600016.XSHG,600016,民生银行,XSHG,,,5.87,,,5.95,,,512858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,290.0,64.0,161.0,65.0,-0.01526747213078842,0.2206896551724138,0.5551724137931034,0.22413793103448276,0.994994804705,-0.986994263437,0.01563108668784671,0.28205636750454327,4.533015139475548,0.03980099502487544,1.0
7,600016.XSHG,600016,民生银行,XSHG,,,5.99,,,6.03,,,510401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,297.0,67.0,165.0,65.0,0.02985296314968113,0.2255892255892256,0.5555555555555556,0.21885521885521886,0.994994804705,-0.986994263437,0.023747450735060443,0.2806410117078783,7.052992868312959,0.02148760330578514,1.0
8,600016.XSHG,600016,民生银行,XSHG,,,5.88,,,6.03,,,525344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,318.0,72.0,180.0,66.0,0.0857668217574251,0.22641509433962265,0.5660377358490566,0.20754716981132076,0.994994804705,-0.986994263437,0.03083247841892642,0.2664686991464401,9.8047281372186,-0.008000000000000007,0.0
9,600016.XSHG,600016,民生银行,XSHG,,,5.99,,,6.05,,,527246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,318.0,72.0,182.0,64.0,0.11607217125275403,0.22641509433962265,0.5723270440251572,0.20125786163522014,0.994994804705,-0.986994263437,0.03610451942942733,0.26221440763626164,11.481237178557905,0.004854368932038833,1.0
