,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,000568.XSHE,000568,泸州老窖,XSHE,54.93,54.93,55.09,55.39,52.96,40.92,7526505.0,406481633.63,672634.0,0.0054,0.9586386085,74868642520.0,78232431025.0,-0.0277,26.3273,16.1496,4.7785,1.0,54.007,53.5324,6.7249,0.0513,31.0833,11.5818,23.7263,1.0043,0.0,0.3513,3.6089,0.843,0.0234,0.0302,0.7194,0.8612,4.1284,-0.001,-0.0003,-0.0021,1.0111,0.3901,2.5918,0.2188,0.1778,0.0332,0.827,-0.0877,0.3455,-0.0408,55.6483,60.1725,56.8055,54.9055,59.5613,3.3072,6.0495,0.8222,0.7658,0.0389,0.0448,-0.0128,2.1036,0.1359,4.9827,0.7316,1.3232,0.0199,0.0114,325.4384,1.1062,-1.3784,25.083,25.039,0.0,0.0065,0.0035,55.813,60.0902,56.3491,55.17,61.7742,-31.2991,35.4205,1.0009,0.3884,0.392,0.2744,1.0667,0.2806,0.3745,0.2744,0.2328,0.3979,0.3579,0.3579,0.2221,0.801,1.11,4.7785,20.0749,26.3273,7.0515,0.3333,3.2851,0.9507,0.9779,0.9365,0.185,0.1476,0.2252,0.201,24.0469,-0.0151,0.5627,0.2684,1.2336,0.5387,0.1308,2.3181,0.4098,0.6193,0.6645,0.3996,0.0053,0.0063,0.006,0.0075,0.0042,0.006,-19.6111,1.703,-0.1605,-60.0,0.0452,-0.0122,24.0,0.1659,-0.0078,24.0,0.3821,0.2488,0.2898,0.0561,0.0423,0.0866,2.0204,8.0,0.1375,0.3195,-0.0703,0.0363,32.182,-0.0484,-0.5142,1.9723,1.7064,-4.3054,-5.2159,-3.1901,-13.54,53.2385,59.4597,-182.1713,-153.6171,-140.759,-118.3944,16.1474,24.6283,-0.8145,-7.0484,-2.2117,24.485,11.894,0.4713,0.8881,34.6697,-0.0493,10.269,9.061,-6.2494,0.3379,1.0011,4055065495.75,4066515527.25,4069232687.4,473.3487,336.5955,149.8777,62.0853,-545795.1016,-871422.3094,7120519.6046,7337720.3555,8209142.6649,6518202.9353,-651254.4156,-24.6401,0.7027,-1.8361,-41.6622,2534281.9705,2738579.2385,-0.6125,9475858574.74,1585.6327,1591.1362,1593.7816,-5.2396,-90.1882,-3.3483,-22.8707,-6.9699,-10.3549,8.9721,31.0649,30.5679,34.6671,-92.0,100.0,8.0,-1.5639,-1.5881,-0.439,0.2805,0.7195,-2.77,-1.0722,150.6846,150.9416,150.9155,-0.0044,-0.0034,44.2167,-0.0908,-0.2885,-0.6526,-0.2157,-36.0628,4.9956,3.5859,0.6131,-4.75,0.0,55.8791,57.4672,0.896,55.6131,1.0412,54.4188,53.7296,1.045,64.3962,58.173,6.2232,80.4269,23.8547,-3.0333,-0.6033,0.0455,2.729,18580.9447,0.9096,0.92,0.1,2018-08-01,2018-09-11,124.0,79.0,34.0,11.0,1.8971199848858813,0.6370967741935484,0.27419354838709675,0.08870967741935484,0.988885377627,-0.743067246675,0.463217206261792,0.20821464259182262,57.438933576462205,-0.06989247311827951,0.0
1,000568.XSHE,000568,泸州老窖,XSHE,53.41,53.41,55.09,53.2,49.62,40.92,16487934.0,842408236.69,689668.0,0.0118,0.9586386085,71350194800.0,74555902250.0,-0.047,25.09,15.3906,4.5539,1.0,51.092,53.5324,6.7249,0.0513,31.0833,11.5818,23.7263,1.0043,0.0,0.3513,3.6089,0.843,0.0246,0.0302,0.7194,0.8612,4.1284,-0.0003,-0.0003,-0.0006,1.0639,0.4096,2.5975,0.2188,0.1778,0.0337,0.827,-0.0924,0.3455,-0.0408,54.785,60.0192,56.2431,53.5703,59.2773,3.3072,6.0495,0.8222,0.7658,0.0408,0.0448,-0.0128,2.1036,0.1359,4.9827,0.7316,1.329,0.0198,0.0114,325.4384,1.1062,-1.3784,25.0348,24.9909,0.0,0.0065,0.0035,55.284,60.0001,56.1931,54.118,61.5543,-31.316,24.9607,1.001,0.3884,0.392,0.2744,1.0667,0.2806,0.3745,0.2744,0.2328,0.3979,0.3579,0.3579,0.2221,0.801,1.11,4.5539,19.1315,25.09,6.7201,0.3333,3.2851,0.9059,0.9422,0.9063,0.185,0.1476,0.2252,0.201,21.4099,-0.0845,0.5426,0.2684,1.2336,0.5387,0.1308,2.3476,0.4098,0.6193,0.6645,0.3996,0.006,0.0063,0.006,0.0075,0.0057,0.0062,-34.1333,1.703,-0.1604,-60.0,0.0474,-0.0122,22.0,0.1741,-0.0078,24.0,0.3821,0.2488,0.306,0.0592,0.0423,0.0866,2.0204,8.0,0.0201,0.3484,-1.0059,0.0399,32.182,-0.486,-0.6303,2.1021,2.0537,-7.93,-9.4195,-5.9463,-17.3088,52.3613,60.0249,-239.2813,-270.5347,-145.9034,-162.0828,17.4048,22.6909,6.8327,-10.7487,-5.7756,28.065,10.376,0.4085,1.0267,28.4629,-0.0941,12.181,9.061,-14.6879,-0.4461,0.9971,4038577561.75,4060713260.75,4069008841.1,475.6916,410.4022,155.4423,218.3893,-452024.2685,-76940.9359,8823685.8583,8745445.5316,8822386.4675,9841446.6235,750166.6652,-15.2227,0.5769,119.174,135.0761,3816366.9646,2975246.5665,-0.7182,9523154188.71,1580.935,1591.4752,1590.5495,-9.0019,-170.9777,-5.3722,2.3444,-13.2705,-22.9059,7.2957,46.4456,36.1732,35.0097,-96.0,100.0,4.0,-1.6247,-1.8677,-0.6472,0.1764,0.8236,-5.29,-1.8182,149.9098,150.7416,150.8232,-0.0073,-0.0039,34.806,-0.1516,-0.3292,-0.9969,-0.3435,-75.0446,5.9447,5.4426,0.6461,-6.51,-0.424,55.1131,56.9808,1.4816,54.776,1.0761,52.6527,51.4893,1.0861,62.6759,57.2725,5.4034,70.0246,23.9031,-5.6457,-2.0657,0.0703,2.729,17707.7342,0.8857,0.854,0.1,2018-08-02,2018-09-12,123.0,77.0,33.0,13.0,1.717651497074333,0.6260162601626016,0.2682926829268293,0.10569105691056911,0.988885377627,-0.743067246675,0.4459119503258009,0.2243698821022166,54.8471698900735,-0.062454077883908776,0.0
2,000568.XSHE,000568,泸州老窖,XSHE,,,55.09,,,40.92,,,709752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,124.0,76.0,34.0,14.0,1.6357552207514738,0.6129032258064516,0.27419354838709675,0.11290322580645161,0.988885377627,-0.872811326385,0.42764510112037746,0.23689850874682475,53.0279925389268,0.01711734061027026,1.0
3,000568.XSHE,000568,泸州老窖,XSHE,,,53.2,,,40.83,,,720519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,122.0,75.0,33.0,14.0,1.622683139184121,0.6147540983606558,0.27049180327868855,0.11475409836065574,0.988885377627,-0.872811326385,0.426699445505105,0.23858325084326187,52.057332351622804,-0.043257612373127086,0.0
4,000568.XSHE,000568,泸州老窖,XSHE,,,50.7,,,40.31,,,717059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,124.0,76.0,34.0,14.0,1.6357552207514738,0.6129032258064516,0.27419354838709675,0.11290322580645161,0.988885377627,-0.872811326385,0.4248821826637102,0.2371027228024593,52.685390650300064,-0.039079891169923275,0.0
5,000568.XSHE,000568,泸州老窖,XSHE,,,48.8,,,41.38,,,716499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,125.0,78.0,33.0,14.0,1.6613976513648114,0.624,0.264,0.112,0.988885377627,-0.872811326385,0.4369879561290572,0.23650588021995042,54.623494516132155,-0.08229191228483834,0.0
6,000568.XSHE,000568,泸州老窖,XSHE,,,48.32,,,40.43,,,730415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,123.0,76.0,33.0,14.0,1.6357552207514738,0.6178861788617886,0.2682926829268293,0.11382113821138211,0.988885377627,-0.872811326385,0.43169915022983046,0.23862924518339498,53.09899547826916,-0.1192784667418264,0.0
7,000568.XSHE,000568,泸州老窖,XSHE,,,49.01,,,42.41,,,730635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,125.0,78.0,33.0,14.0,1.6613976513648114,0.624,0.264,0.112,0.988885377627,-0.872811326385,0.43489619306179333,0.23556227561692825,54.362024132724166,-0.1312973695942934,0.0
8,000568.XSHE,000568,泸州老窖,XSHE,,,46.92,,,44.35,,,737822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,123.0,78.0,32.0,13.0,1.7303905228517629,0.6341463414634146,0.2601626016260163,0.10569105691056911,0.988885377627,-0.872811326385,0.4439323109082671,0.23358718107528545,54.60367424171687,-0.18030014796026217,0.0
9,000568.XSHE,000568,泸州老窖,XSHE,,,48.65,,,44.86,,,741672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,128.0,83.0,32.0,13.0,1.791759469228055,0.6484375,0.25,0.1015625,0.988885377627,-0.872811326385,0.4601606118856723,0.23037647516639703,58.90055832136606,-0.12172406324453122,0.0
