,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,000166.XSHE,000166,申万宏源,XSHE,4.44,4.44,4.44,4.48,4.38,4.38,15561393.0,68946011.11,203506.0,0.0008,0.9308050275,87723162096.0,98707437348.0,-0.0135,21.3613,24.8512,1.4516,1.0,4.431,,,,,,26.5109,,0.205,-0.5654,,0.451,0.0114,0.0137,,,,-0.0004,-0.0005,-0.0005,0.7141,0.5114,1.3964,3.7714,0.7861,0.0159,0.05,-0.0328,,0.0915,4.4208,4.7133,4.4119,4.4225,4.5123,0.1762,50.858,0.2139,0.2261,0.0481,0.0578,,-0.3144,0.0042,9.9282,0.4408,0.7443,0.0093,0.0004,,,-2.7536,25.3154,25.1975,0.002,,,4.43,4.7119,4.3895,4.436,4.5185,61.1388,52.5549,,0.2652,-0.1297,0.3538,-1.2828,,-0.1337,0.3538,,-0.0484,0.4408,0.4408,-0.0806,0.8306,,1.4516,-13.0058,21.3613,7.3538,0.3333,,1.0139,1.0115,0.9821,0.0165,0.0305,0.0857,0.1691,47.8261,-0.288,-0.3149,0.5592,0.0,-0.3748,0.0093,0.8999,0.1691,0.0448,0.7858,-0.073,0.0008,0.0012,0.0007,0.0028,0.0007,0.0008,51.4072,1.6818,,,0.0539,0.0,-7.0,0.1544,0.0,-10.0,0.1562,0.1401,41.4292,-0.9638,-0.0378,0.0149,-0.3746,-2.0,0.0674,0.3594,-0.1451,0.1544,1.4149,0.021,0.2239,0.0799,0.0731,-1.1287,-0.2164,-1.2624,-3.0652,4.2593,4.5197,-27.027,31.3537,-121.6931,-70.4115,47.0013,57.2111,26.5818,-2.8825,1.1547,0.52,0.67,0.0183,0.0256,41.6856,0.0137,0.41,0.46,5.7471,0.1309,0.9267,7839253101.68,7854262127.51,7831813590.63,64.4393,64.6908,23.1426,14.9492,-345758.4225,-482479.8582,15048350.0689,15143014.476,15625494.3342,14315894.8229,-273442.8714,4.5839,1.214,5.6706,-47.4943,6197153.0817,5134971.8874,0.6615,1288376443.36,-3772.2384,-3768.7138,-3758.2039,3.834,-2.0105,-2.1538,-2.687,0.0011,-0.0039,15.5891,17.7242,18.7618,21.2736,52.0,24.0,76.0,-0.0105,0.0,0.0588,0.5294,0.4706,0.06,0.081,94.3828,94.5877,94.3683,0.0008,0.0009,42.4184,0.0084,0.0061,-0.0149,0.0079,-1.0593,1.4626,1.4859,0.5036,-0.18,-0.02,4.4175,4.4175,0.0284,4.4148,1.0079,4.4313,4.3953,1.0114,164.1026,127.1739,36.9287,125.6039,23.4798,-0.036,0.064,0.0228,12.365,282.5713,0.9955,1.0234,0.3,2018-08-01,2018-09-11,248.0,77.0,156.0,15.0,1.5841201044498106,0.31048387096774194,0.6290322580645161,0.06048387096774194,0.994294898212,-0.951970331371,0.21490294839545251,0.1819550327749668,53.2959312020722,0.0182648401826484,1.0
1,000166.XSHE,000166,申万宏源,XSHE,4.38,4.38,4.44,4.38,4.24,4.38,17729944.0,76279896.58,209727.0,0.0009,0.9308050275,85720350176.0,96453842888.0,-0.0228,20.8736,24.2839,1.4185,1.0,4.302,,,,,,26.5109,,0.205,-0.5654,,0.436,0.0117,0.0137,,,,-0.0003,-0.0005,-0.0005,0.7189,0.5182,1.3874,3.7714,0.7861,0.0159,0.05,-0.0468,,0.0915,4.3952,4.7061,4.3994,4.375,4.5046,0.1762,50.858,0.2139,0.2261,0.0492,0.0578,,-0.3144,0.0042,9.9282,0.4408,0.7526,0.0093,0.0004,,,-2.7536,25.2923,25.1744,0.002,,,4.427,4.7037,4.39,4.396,4.5094,54.2051,46.2228,,0.2652,-0.1297,0.3538,-1.2828,,-0.1337,0.3538,,-0.0484,0.4408,0.4408,-0.0806,0.8306,,1.4185,-12.7088,20.8736,7.1859,0.3333,,0.993,1.0023,0.9554,0.0165,0.0305,0.0857,0.1691,40.7407,-0.3162,-0.3299,0.5592,0.0,-0.3748,0.0093,0.8921,0.1691,0.0448,0.7858,-0.073,0.0009,0.0012,0.0007,0.0028,0.0007,0.0008,26.7063,1.6818,,,0.0551,0.0,-6.0,0.158,0.0,-9.0,0.1562,0.1401,58.0395,-1.3502,-0.0378,0.0149,-0.3746,-2.0,0.0112,0.3539,-0.0904,0.1583,1.4149,-0.0006,-0.0909,0.0842,0.0842,-3.3205,-2.5057,-2.6388,-5.0872,4.2617,4.5183,-202.7601,-123.6596,-166.6667,-108.8244,30.8103,46.8025,-1.174,-4.0359,0.2342,0.66,0.6,0.0159,0.0306,34.1935,-0.007,0.45,0.46,1.0989,-0.0844,0.9261,7821523157.68,7848983609.68,7833065957.63,65.6926,63.3836,23.0673,13.144,-324681.9102,-240375.8611,15535912.6018,15541003.6335,15781379.4946,15453911.2153,168612.0982,7.7701,0.9963,103.6057,-5.6275,5638403.481,5134846.8535,0.4041,1313622312.01,-3779.8369,-3768.4049,-3762.4556,2.5801,-5.1327,-6.6548,15.0714,-0.0066,-0.0194,12.8206,36.7459,22.6947,22.5584,52.0,20.0,72.0,-0.0106,-0.0109,-0.2064,0.3968,0.6032,-0.03,0.074,93.978,94.4762,94.3736,-0.0009,0.0007,35.7374,0.0082,0.0044,-0.0337,0.001,-3.0348,2.0788,2.1718,0.494,-0.23,-0.02,4.3964,4.4073,0.0472,4.3909,1.0259,4.3635,4.3064,1.0343,147.6744,113.8614,33.813,104.6025,23.6182,-0.1566,-0.0166,0.0327,12.365,276.1199,0.9772,0.9794,0.3,2018-08-02,2018-09-12,255.0,76.0,164.0,15.0,1.5712166996139025,0.2980392156862745,0.6431372549019608,0.058823529411764705,0.994294898212,-0.951970331371,0.2083372272108824,0.17657060972030708,53.12599293877497,0.013574660633484337,1.0
2,000166.XSHE,000166,申万宏源,XSHE,,,4.44,,,4.38,,,216406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,256.0,76.0,165.0,15.0,1.5712166996139025,0.296875,0.64453125,0.05859375,0.994294898212,-0.951970331371,0.20678809983034227,0.17635769548433347,52.93775355656757,0.013392857142856984,1.0
3,000166.XSHE,000166,申万宏源,XSHE,,,4.38,,,4.42,,,217093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,257.0,77.0,167.0,13.0,1.717651497074333,0.29961089494163423,0.6498054474708171,0.05058365758754864,0.994294898212,-0.951970331371,0.2137869450016942,0.16961997416379945,54.943244865435354,0.022371364653243964,1.0
4,000166.XSHE,000166,申万宏源,XSHE,,,4.28,,,4.48,,,214900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,259.0,76.0,169.0,14.0,1.6357552207514738,0.29343629343629346,0.6525096525096525,0.05405405405405406,0.994294898212,-0.951970331371,0.20586929085219174,0.16893352924181784,53.32014633071759,0.013422818791946511,1.0
5,000166.XSHE,000166,申万宏源,XSHE,,,4.26,,,4.47,,,217832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,253.0,71.0,169.0,13.0,1.6376087894007967,0.28063241106719367,0.6679841897233202,0.05138339920948617,0.994294898212,-0.951970331371,0.19986066021603266,0.16657903297119778,50.56474703465619,-0.017699115044247593,0.0
6,000166.XSHE,000166,申万宏源,XSHE,,,4.24,,,4.47,,,219591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,253.0,70.0,170.0,13.0,1.6236225474260568,0.2766798418972332,0.6719367588932806,0.05138339920948617,0.994294898212,-0.951970331371,0.19594587416388237,0.16669977559466623,49.574306163462175,-0.024390243902438935,0.0
7,000166.XSHE,000166,申万宏源,XSHE,,,4.32,,,4.52,,,219806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,247.0,68.0,166.0,13.0,1.5950491749820008,0.27530364372469635,0.6720647773279352,0.05263157894736842,0.994294898212,-0.951970331371,0.1954805793229011,0.16775917711383515,48.283703092756525,-0.015659955257270597,0.0
8,000166.XSHE,000166,申万宏源,XSHE,,,4.31,,,4.51,,,222705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,247.0,63.0,169.0,15.0,1.3862943611198906,0.2550607287449393,0.6842105263157895,0.06072874493927125,0.994294898212,-0.951970331371,0.17633788217467614,0.16490178850120554,43.55545689714495,-0.017660044150110354,0.0
9,000166.XSHE,000166,申万宏源,XSHE,,,4.37,,,4.47,,,222217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,248.0,63.0,170.0,15.0,1.3862943611198906,0.2540322580645161,0.6854838709677419,0.06048387096774194,0.994294898212,-0.951970331371,0.1749580384783883,0.16459183245053713,43.389593542640256,0.008869179600886845,1.0
