,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,002230.XSHE,002230,科大讯飞,XSHE,31.41,31.41,31.42,32.1,31.1,29.41,18830252.0,595640490.95,1316163.0,0.0104,0.988340199,56486042704.0,64806793160.0,-0.0092,146.3947,197.6004,8.2835,1.0,31.632,136.5343,2.6367,0.216,125.5931,2.8664,23.2973,1.1267,0.0,0.0358,0.5792,0.9015,0.0021,0.0033,0.5115,0.8849,1.6554,-0.0082,-0.0079,-0.011,1.4782,0.395,3.742,0.6448,0.3845,0.028,0.06,0.1343,0.0989,0.1226,31.8798,35.0968,32.0938,31.681,33.7195,0.1575,4.5779,0.6155,0.7294,0.0078,0.0099,-0.0035,0.5081,0.1344,3.7082,0.5095,1.3179,0.0283,0.223,107.0091,3.3642,-0.5188,24.8947,24.7573,0.0351,0.3732,0.0756,31.967,35.7857,31.9255,31.812,34.2086,18.8661,58.1302,1.0153,0.0618,0.0083,0.0842,0.606,0.4885,-0.0924,0.0842,0.2115,0.4739,0.096,0.096,0.6892,96.8986,0.0529,8.2835,302.0082,146.3947,10.826,0.3333,1.4316,0.9817,0.9743,0.9523,0.0422,0.0664,0.056,0.0923,36.8881,-0.0141,0.4808,0.4905,0.9442,0.8561,0.0079,0.594,0.2397,0.4754,0.1124,0.0888,0.0143,0.0225,0.0146,0.0368,0.0115,0.0162,10.9545,1.9927,0.1316,-14.0,0.0106,0.0,-24.0,0.1314,0.0,42.0,0.5751,0.5637,0.2051,0.0034,-0.0221,0.0036,3.8931,4.0,0.0441,0.2927,-0.2446,0.0187,13.4003,0.1082,0.0791,1.0719,0.9745,-2.6496,-2.5231,-2.1753,-9.0287,30.6478,33.2032,-79.7384,-74.169,-92.2116,-99.9715,24.1635,37.7458,-3.0012,-5.4103,-2.5673,8.5,9.23,0.2315,0.4356,34.7024,-0.0183,5.47,4.65,-8.1028,0.0221,0.9238,10220003825.3,10247381477.5,10246057726.7,850.2674,739.3805,258.3464,205.6751,-1420355.4585,-2223003.3752,24348501.182,24878216.5138,27101219.889,22233141.3416,-1605295.8334,-8.717,1.1269,-8.0088,-57.2156,8200738.683,7785246.7636,1.0553,16987618717.2,325.2782,345.7897,349.0252,-0.1722,-47.0288,-10.9226,-2.533,-0.421,-0.8643,15.017,21.1507,16.0767,25.2611,72.0,4.0,76.0,-0.4407,-0.3866,-0.2032,0.3984,0.6016,-0.58,0.083,482.1566,482.6849,482.4677,-0.0017,-0.0004,37.1341,0.0172,-0.0541,-0.2926,-0.0137,-10.343,3.1673,2.9464,0.5417,-3.31,-1.99,31.916,32.3026,0.4264,31.8678,1.024,31.5706,31.1826,1.0272,93.3239,113.9924,-20.6685,91.3722,23.4361,-0.8331,0.1669,0.0321,0.2471,506299.0413,0.954,1.0247,0.1,2018-08-01,2018-09-11,234.0,117.0,81.0,36.0,1.1597667118214403,0.5,0.34615384615384615,0.15384615384615385,0.996783150989,-0.986354161799,0.3167852500066484,0.3029052588949145,74.1277485015557,-0.23257395443726625,0.0
1,002230.XSHE,002230,科大讯飞,XSHE,31.12,31.12,31.42,31.19,29.0,29.41,38263763.0,1142220419.79,1340645.0,0.0211,0.988340199,54253464538.0,62245342145.0,-0.0395,140.6085,189.7904,7.9561,1.0,29.851,136.5343,2.6367,0.216,125.5931,2.8664,23.2973,1.1267,0.0,0.0358,0.5792,0.9015,0.0022,0.0033,0.5115,0.8849,1.6554,-0.0072,-0.0074,-0.0092,1.5028,0.4042,3.7183,0.6448,0.3845,0.0288,0.06,0.1284,0.0989,0.1226,31.518,35.0107,31.8839,31.084,33.5939,0.1575,4.5779,0.6155,0.7294,0.0081,0.0099,-0.0035,0.5081,0.1344,3.7082,0.5095,1.332,0.0283,0.223,107.0091,3.3642,-0.5188,24.8543,24.7169,0.0351,0.3732,0.0756,31.854,35.7442,31.8775,31.33,34.0889,4.7498,49.4476,1.0159,0.0618,0.0083,0.0842,0.606,0.4885,-0.0924,0.0842,0.2115,0.4739,0.096,0.096,0.6892,96.8986,0.0529,7.9561,290.0715,140.6085,10.3981,0.3333,1.4316,0.9636,0.9689,0.9254,0.0422,0.0664,0.056,0.0923,32.6121,-0.0821,0.4564,0.4905,0.9442,0.8561,0.0079,0.5941,0.2397,0.4754,0.1124,0.0888,0.0152,0.0224,0.015,0.0367,0.0132,0.0163,-43.3698,1.992,0.1311,-12.0,0.011,0.0,-26.0,0.1368,0.0,40.0,0.5751,0.5637,0.2136,0.0035,-0.0221,0.0036,3.8931,4.0,0.0,0.3011,-0.933,0.0187,13.4003,-0.1264,-0.2884,1.1518,1.1771,-6.1656,-6.2348,-4.5962,-12.3175,30.3769,33.3781,-198.227,-235.1734,-163.7094,-130.3748,24.828,34.1728,6.1384,-8.5373,-3.1118,10.61,7.55,0.2006,0.4959,28.8011,-0.0364,5.61,4.65,-9.3567,-0.4359,0.9213,10181740062.3,10231848736.5,10246547382.6,867.9079,744.9677,265.907,217.8114,-1334393.0821,-990543.5765,26878548.7853,26937531.3578,27928074.9343,27576681.8944,687699.0112,-6.9502,0.8967,45.4066,13.7327,8963348.7991,8203202.1653,0.6279,17351845167.1,318.1147,346.2728,341.0011,-2.86,-78.5417,-14.9297,21.1212,-1.0762,-2.4722,12.1119,41.3688,21.2265,25.6301,-28.0,100.0,72.0,-0.4564,-0.5196,-0.4722,0.2639,0.7361,-1.13,-0.047,480.6442,482.2706,482.3373,-0.0043,-0.0009,35.4973,0.0046,-0.0662,-0.4431,-0.0851,-32.551,3.9923,4.3079,0.5338,-3.74,-1.98,31.6043,32.1239,0.6988,31.487,1.0534,30.7538,30.1561,1.0657,85.9558,102.8866,-16.9308,83.576,23.6523,-2.6412,-0.4512,0.0733,0.2471,486287.8645,0.93,0.932,0.1,2018-08-02,2018-09-12,236.0,120.0,80.0,36.0,1.1848726329525165,0.5084745762711864,0.3389830508474576,0.15254237288135594,0.996783150989,-0.986354161799,0.3232214968062531,0.30265375480767703,76.2802732462757,-0.16700889801505814,0.0
2,002230.XSHE,002230,科大讯飞,XSHE,,,31.42,,,29.41,,,1369034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,235.0,119.0,80.0,36.0,1.1765738301378217,0.5063829787234042,0.3404255319148936,0.15319148936170213,0.996783150989,-0.986354161799,0.3216437201720074,0.3033571427970009,75.5862742404217,-0.16666666666666663,0.0
3,002230.XSHE,002230,科大讯飞,XSHE,,,31.11,,,29.22,,,1373869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,235.0,118.0,81.0,36.0,1.168205580467305,0.502127659574468,0.3446808510638298,0.15319148936170213,0.996783150989,-0.986354161799,0.31968594544219975,0.30360611685880884,75.1261971789169,-0.15348047538200338,0.0
4,002230.XSHE,002230,科大讯飞,XSHE,,,29.87,,,29.7,,,1352759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,246.0,123.0,87.0,36.0,1.2093636529608125,0.5,0.35365853658536583,0.14634146341463414,0.996783150989,-0.986354161799,0.3227809272103591,0.2942726934821333,79.4041080937483,-0.184361307718234,0.0
5,002230.XSHE,002230,科大讯飞,XSHE,,,29.01,,,29.45,,,1358519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,248.0,123.0,89.0,36.0,1.2093636529608125,0.4959677419354839,0.3588709677419355,0.14516129032258066,0.996783150989,-0.986354161799,0.3203118291415909,0.2926760365355851,79.4373336271145,-0.19489247311827962,0.0
6,002230.XSHE,002230,科大讯飞,XSHE,,,27.66,,,29.67,,,1357464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,244.0,120.0,88.0,36.0,1.1848726329525165,0.4918032786885246,0.36065573770491804,0.14754098360655737,0.996783150989,-0.986354161799,0.31475106136916947,0.2932827154921717,76.7992589740773,-0.21716171617161717,0.0
7,002230.XSHE,002230,科大讯飞,XSHE,,,27.8,,,29.76,,,1343706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,252.0,124.0,92.0,36.0,1.2173958246580767,0.49206349206349204,0.36507936507936506,0.14285714285714285,0.996783150989,-0.986354161799,0.316901959136906,0.285444363502649,79.8592937025003,-0.20708082832331343,0.0
8,002230.XSHE,002230,科大讯飞,XSHE,,,27.23,,,30.3,,,1344439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,306.0,128.0,108.0,70.0,0.5971325273203567,0.41830065359477125,0.35294117647058826,0.22875816993464052,0.996783150989,-0.986354161799,0.18942074157574598,0.3418245445030989,57.9627469221782,-0.19202657807308976,0.0
9,002230.XSHE,002230,科大讯飞,XSHE,,,28.5,,,29.94,,,1338427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,338.0,117.0,111.0,110.0,0.061154423153330646,0.34615384615384615,0.32840236686390534,0.3254437869822485,0.996783150989,-0.986354161799,0.04552981432012701,0.3886251537591657,15.38907724020289,-0.15312824058071206,0.0
