,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,002475.XSHE,002475,立讯精密,XSHE,18.05,18.05,18.45,18.85,17.75,16.24,28327888.0,520398659.23,654011.0,0.0069,0.5859234333,73660020224.0,73917326336.0,-0.0072,42.9194,55.5128,5.5208,1.0,18.371,98.6301,3.65,0.0945,80.0694,4.4961,24.0005,1.1164,0.0,0.0722,0.4073,0.6922,0.0026,0.0029,0.6059,1.5466,1.5313,-0.0007,-0.0002,-0.0011,0.8741,0.331,2.6481,0.8996,0.4544,0.0392,0.11,-0.1498,0.0919,0.2864,18.4263,17.9218,18.2841,18.3006,18.0318,0.3228,1.9537,0.5456,1.7933,0.0239,0.0263,0.0128,-0.6201,0.2792,3.7868,0.198,1.1888,0.0227,0.0435,67.1341,5.3624,0.1098,25.0262,25.0227,0.0328,0.2796,0.0588,18.668,18.0842,18.2136,18.354,18.0239,51.2129,57.8664,1.0211,0.1604,0.3754,0.0728,1.0608,0.3941,0.3685,0.0728,0.0128,0.4404,0.0861,0.0861,0.5577,0.5479,0.1673,5.5208,42.1307,42.9194,3.0422,0.4167,1.1823,0.9671,1.1013,0.9199,0.0759,0.0932,0.1418,0.1902,38.2813,0.107,0.6377,0.802,0.9563,2.5478,0.0051,3.3163,0.3034,0.9788,0.0916,0.3491,0.0048,0.0055,0.0053,0.0065,0.0044,0.0056,39.3255,2.0,0.0035,-40.0,0.0335,-0.0103,32.0,0.4146,0.0322,54.0,0.4651,0.3425,0.3572,0.0236,-0.0005,-0.0129,3.0024,4.0,0.4889,0.3733,-0.8204,0.0469,19.8776,-0.1276,0.2362,0.8245,0.8203,-4.0069,-1.612,-2.3646,-0.5765,16.3814,20.0457,-101.2127,-5.146,-81.746,25.407,19.6783,35.4985,-11.9621,-6.5693,10.1278,6.006,7.863,0.2292,0.3277,41.1564,-0.0329,2.516,4.164,24.6707,-0.1784,1.0111,3735441481.65,3776215502.99,3747601130.45,394.6251,346.6746,148.6514,124.1285,-1447394.0823,-1424909.4213,20170915.1711,20383773.7811,21808683.2024,20321120.0201,44969.322,-19.172,1.2711,30.1778,20.792,7439044.7562,8077399.2566,0.709,7877787038.4,2580.1783,2614.4475,2608.8188,11.8059,-46.1389,-16.062,1.6055,-0.1007,-0.9069,15.2135,19.5603,21.6908,24.4933,56.0,24.0,80.0,0.2697,0.2059,-0.0834,0.4583,0.5417,-0.61,0.9089,151.2728,151.8961,151.8586,-0.0025,0.0035,33.0222,0.1128,-0.035,-0.2894,-0.058,-9.9917,4.4382,5.2478,0.5927,-2.44,0.487,18.4104,18.2045,0.4548,18.3207,1.0224,18.1892,17.8631,1.0417,122.135,145.1061,-22.9711,151.6505,24.4624,-0.6471,0.4529,0.0614,24.769,3549.9607,0.9522,1.0972,0.5,2018-08-01,2018-09-11,78.0,36.0,25.0,17.0,0.7205461547480596,0.46153846153846156,0.32051282051282054,0.21794871794871795,0.987710258039,-0.983754180372,0.2476738315040131,0.40908829927662355,19.318558857313032,0.022167487684729315,1.0
1,002475.XSHE,002475,立讯精密,XSHE,17.92,17.92,18.45,18.53,17.58,16.24,31988483.0,578117574.07,673860.0,0.0078,0.5859234333,75633056480.0,75897254720.0,0.0268,44.0691,56.9997,5.6687,1.0,18.073,98.6301,3.65,0.0945,80.0694,4.4961,24.0005,1.1164,0.0,0.0722,0.4073,0.7292,0.0025,0.0029,0.6059,1.5466,1.5313,-0.0004,-0.0001,-0.0007,0.7874,0.2974,2.6541,0.8996,0.4544,0.0392,0.11,-0.1505,0.0919,0.2864,18.4215,17.9297,18.2952,18.3337,18.0438,0.3228,1.9537,0.5456,1.7933,0.0233,0.0263,0.0128,-0.6201,0.2792,3.7868,0.198,1.1486,0.0229,0.0435,67.1341,5.3624,0.1098,25.0526,25.0492,0.0328,0.2796,0.0588,18.671,18.0984,18.3211,18.296,18.0351,45.9278,47.5587,1.0205,0.1604,0.3754,0.0728,1.0608,0.3941,0.3685,0.0728,0.0128,0.4404,0.0861,0.0861,0.5577,0.5479,0.1673,5.6687,43.2592,44.0691,3.1237,0.4167,1.1823,1.0016,1.1324,0.9845,0.0759,0.0932,0.1418,0.1902,43.1655,0.1527,0.6728,0.802,0.9563,2.5478,0.0051,3.3161,0.3034,0.9788,0.0916,0.3491,0.0052,0.0056,0.0055,0.0065,0.0049,0.0056,32.1249,2.0,0.0035,-38.0,0.0326,-0.0103,30.0,0.4037,0.0322,54.0,0.4651,0.3425,0.3479,0.023,-0.0005,-0.0129,3.0024,4.0,0.5624,0.3683,-0.8337,0.0481,19.8776,-0.1276,0.0587,0.8335,0.8419,-1.4514,0.4307,0.5684,2.0233,16.7391,19.9031,-89.989,-16.3911,-57.9096,25.0286,33.2344,37.0261,25.651,-5.5441,13.2377,6.556,6.965,0.2687,0.284,48.6159,0.0016,2.493,4.644,30.1387,-0.2611,1.011,3767429964.65,3770034817.65,3754106541.49,410.7255,375.3001,150.2885,156.2856,-1236641.023,-393628.7858,22319563.8673,22169113.6609,22562742.4467,24210241.0134,1686024.4744,-12.8283,1.3016,75.8924,52.9387,7940804.7588,8268141.9402,0.2434,8203029507.16,2603.412,2615.0344,2603.862,8.1767,-49.8873,-9.9736,6.4064,-0.3192,-1.0633,13.0427,19.4887,20.6032,24.7694,56.0,20.0,76.0,0.2537,0.1899,-0.2538,0.3731,0.6269,0.03,0.6998,152.1296,151.7679,151.8936,-0.003,0.0029,39.3632,0.0811,-0.0475,-0.122,-0.0558,0.9092,4.666,4.9986,0.5665,-1.98,1.583,18.4088,18.2189,0.4044,18.2794,0.9934,18.2167,18.1378,1.0147,131.107,156.068,-24.961,145.7263,24.4806,-0.8175,0.1325,0.0516,24.769,3645.0489,0.97,1.0636,0.5,2018-08-02,2018-09-12,76.0,36.0,23.0,17.0,0.7205461547480596,0.47368421052631576,0.3026315789473684,0.2236842105263158,0.987710258039,-0.983754180372,0.2521448481423927,0.4191421638644032,19.16300845882186,0.0318750000000001,1.0
2,002475.XSHE,002475,立讯精密,XSHE,,,18.45,,,16.24,,,698406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,79.0,37.0,25.0,17.0,0.7472144018302211,0.46835443037974683,0.31645569620253167,0.21518987341772153,0.987710258039,-0.983754180372,0.24838402653117525,0.40903526667840967,19.62233809596285,0.05703657780533189,1.0
3,002475.XSHE,002475,立讯精密,XSHE,,,18.13,,,16.0,,,706089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,81.0,38.0,25.0,18.0,0.719122666963206,0.4691358024691358,0.30864197530864196,0.2222222222222222,0.987710258039,-0.983754180372,0.24295080227689933,0.4128399115159693,19.679014984428857,0.005642633228840177,1.0
4,002475.XSHE,002475,立讯精密,XSHE,,,18.42,,,16.13,,,716872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,83.0,38.0,25.0,20.0,0.6190392084062235,0.4578313253012048,0.30120481927710846,0.24096385542168675,0.987710258039,-0.983754180372,0.2182832227672391,0.42817628523809764,18.117507489680857,0.02202937249666226,1.0
5,002475.XSHE,002475,立讯精密,XSHE,,,17.62,,,15.95,,,716254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,81.0,37.0,24.0,20.0,0.5930637220029628,0.4567901234567901,0.2962962962962963,0.24691358024691357,0.987710258039,-0.983754180372,0.21669336457936778,0.4367964623233617,17.552162530928793,0.025827814569536534,1.0
6,002475.XSHE,002475,立讯精密,XSHE,,,17.05,,,14.98,,,759657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,91.0,42.0,29.0,20.0,0.7166776779701394,0.46153846153846156,0.31868131868131866,0.21978021978021978,0.987710258039,-0.983754180372,0.24146333736587572,0.40440648905127635,21.9731637002947,0.05145565335138791,1.0
7,002475.XSHE,002475,立讯精密,XSHE,,,17.88,,,15.1,,,770318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,105.0,49.0,36.0,20.0,0.8675005677047231,0.4666666666666667,0.34285714285714286,0.19047619047619047,0.987710258039,-0.983754180372,0.26583186041390566,0.3713229139157224,27.912345343460093,-0.0013183915622939635,0.0
8,002475.XSHE,002475,立讯精密,XSHE,,,17.45,,,14.77,,,784772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,110.0,52.0,38.0,20.0,0.9257694758286988,0.4727272727272727,0.34545454545454546,0.18181818181818182,0.987710258039,-0.983754180372,0.27382111809135806,0.36180975459236403,30.120322990049388,0.02817824377457412,1.0
9,002475.XSHE,002475,立讯精密,XSHE,,,18.55,,,15.17,,,789585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,119.0,57.0,40.0,22.0,0.9249487946172696,0.4789915966386555,0.33613445378151263,0.18487394957983194,0.987710258039,-0.983754180372,0.2789211686309663,0.36651666049553244,33.19161906708499,-0.011553273427471145,0.0
