,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601899.XSHG,601899,紫金矿业,XSHG,3.54,3.54,3.54,3.57,3.46,3.33,69700287.0,245340314.0,623618.0,0.0041,0.9240948558,58558768526.0,79918329583.0,-0.0198,22.2772,18.4082,2.2519,1.0,3.52,11.3148,31.8167,0.0284,1.0192,353.2077,25.2337,1.6759,0.1515,0.1018,0.2517,0.4938,0.0259,0.0218,0.3273,3.3535,1.0029,-0.0057,-0.0061,-0.0083,0.7708,0.2768,2.7848,1.4888,0.5808,0.0227,0.047,-0.0917,0.0652,-0.0075,3.4951,3.8391,3.5027,3.5081,3.6737,0.1885,1.1623,0.4192,2.6366,0.0442,0.0313,0.0221,0.5408,0.3606,2.8748,0.1423,0.7192,0.0214,0.1129,50.0974,7.186,0.4181,25.1043,24.7933,0.0758,268.629,0.2545,3.476,4.0396,3.467,3.528,3.6686,370.9609,44.5056,1.2959,0.1703,0.3026,0.0357,2.0611,0.6727,0.2897,0.0357,0.0077,0.4763,0.0542,0.0542,0.2701,0.0982,0.3394,2.284,7.9317,22.2772,0.8076,0.4167,0.626,1.0483,0.9747,0.9666,0.0382,0.03,0.1091,0.0825,56.6667,-0.032,0.0401,0.8577,1.0893,1.5251,0.0141,0.9611,-0.009,1.0725,0.0553,0.5402,0.0075,0.0132,0.0071,0.0148,0.0049,0.0078,304.0708,1.981,0.0018,-20.0,0.0661,-0.0446,4.0,1.3038,0.0199,60.0,0.5063,0.102,0.9859,0.1092,0.072,0.0207,4.0135,6.0,0.0996,0.5262,-0.5617,0.0343,1.8759,0.0488,0.2381,0.0992,0.0915,-0.1726,0.0865,-1.644,-5.4135,3.2555,3.6785,17.9995,26.9236,-166.6667,-86.9412,69.612,70.3317,68.1726,-2.8011,-2.5281,0.8,1.05,0.0403,0.0667,37.6636,0.0461,0.54,0.45,-9.0909,0.4869,0.9143,57171521923.5,57278270389.0,57100376101.2,417.8816,344.3612,222.6674,153.1589,-4524862.5371,-11329749.0138,105831450.389,109166274.62,120496023.634,87900761.6293,-13609772.9534,3.9586,1.1339,26.3363,-76.4782,74885025.7413,63159557.5188,1.3023,8357127671.03,45511.5903,45411.4471,45614.4859,2.1751,-2.8396,33.9115,15.0424,0.0,-0.0005,22.3375,23.3296,25.6602,25.4416,-56.0,64.0,8.0,-0.0543,-0.0299,0.1396,0.5698,0.4302,0.16,0.018,3083.7172,3085.2435,3077.3587,0.0032,-0.0005,51.062,0.001,0.0143,-0.0197,0.0236,-1.4147,4.2912,1.6777,0.5166,-0.2,0.02,3.4925,3.5224,0.04,3.4948,1.0071,3.5376,3.4949,1.0017,99.2295,66.9098,32.3197,87.8594,23.6327,-0.0322,0.0778,0.0317,0.0109,504619.559,1.0236,0.9775,0.2,2018-08-01,2018-09-11,112.0,71.0,40.0,1.0,3.58351893845611,0.6339285714285714,0.35714285714285715,0.008928571428571428,0.991064152773,-0.987439777702,0.5153212764920307,0.1736721249964054,57.71598296710748,0.027027027027026973,1.0
1,601899.XSHG,601899,紫金矿业,XSHG,3.47,3.47,3.54,3.44,3.3,3.33,128103124.0,428847837.0,636921.0,0.0076,0.9240948558,56702438688.0,77384895504.0,-0.0317,21.571,17.8247,2.1805,1.0,3.348,11.3148,31.8167,0.0284,1.0192,353.2077,25.2337,1.6759,0.1515,0.1018,0.2517,0.484,0.0268,0.0218,0.3273,3.3535,1.0029,-0.0051,-0.0061,-0.008,0.8023,0.2894,2.7719,1.4888,0.5808,0.0227,0.047,-0.0965,0.0652,-0.0075,3.4705,3.8312,3.4891,3.4587,3.6634,0.1885,1.1623,0.4192,2.6366,0.0456,0.0313,0.0221,0.5408,0.3606,2.8748,0.1423,0.7355,0.0214,0.1129,50.0974,7.186,0.4181,25.0721,24.7611,0.0758,268.629,0.2545,3.485,4.0263,3.4565,3.488,3.6585,335.7593,43.2807,1.3056,0.1703,0.3026,0.0357,2.0611,0.6727,0.2897,0.0357,0.0077,0.4763,0.0542,0.0542,0.2701,0.0982,0.3394,2.2116,7.6802,21.571,0.782,0.4167,0.626,1.0275,0.9412,0.9438,0.0382,0.03,0.1091,0.0825,49.2754,-0.0723,-0.0177,0.8577,1.0893,1.5251,0.0141,0.9591,-0.009,1.0725,0.0553,0.5402,0.0078,0.0129,0.0068,0.0147,0.0049,0.0078,187.5779,1.9769,-0.0012,-20.0,0.0683,-0.0435,2.0,1.3464,0.0187,60.0,0.5063,0.102,1.0137,0.1123,0.072,0.0207,4.0135,6.0,0.0448,0.4993,-0.3497,0.0396,1.8759,0.0258,0.0693,0.1043,0.1046,-3.5868,-2.7918,-3.6697,-8.1591,3.2457,3.6673,-88.8031,-64.7237,-165.8416,-120.4879,42.7325,57.8235,12.5506,-6.4067,-5.8824,0.94,1.01,0.0349,0.0716,32.77,0.0268,0.65,0.44,-19.2661,0.4343,0.9135,57043418799.5,57207708138.8,57089200575.6,398.2732,314.9681,201.5661,101.1952,-5415865.327,-8979876.4867,109880845.591,112079636.063,121059512.55,101301549.086,-7128022.3194,6.1863,0.9703,70.8434,-24.2781,73090034.9201,57306947.5141,0.2957,7962524111.15,45493.2899,45422.5324,45582.3289,2.4361,-6.314,8.9075,29.7193,-0.0012,-0.0038,18.4126,39.6841,27.1184,26.9366,-56.0,60.0,4.0,-0.0511,-0.0382,-0.0102,0.4949,0.5051,0.09,0.057,3079.6563,3084.0639,3078.4406,0.0007,-0.0005,41.7007,0.0054,0.0143,-0.0349,0.0162,-2.9551,3.8757,2.8989,0.4685,-0.36,-0.24,3.4722,3.5104,0.05,3.4691,1.0325,3.4663,3.3941,1.0372,88.3503,61.3874,26.9629,75.7396,23.8766,-0.1733,-0.0333,0.0417,0.0109,488622.9736,0.997,0.9307,0.1,2018-08-02,2018-09-12,113.0,73.0,39.0,1.0,3.6109179126442243,0.6460176991150443,0.34513274336283184,0.008849557522123894,0.991064152773,-0.987439777702,0.524095990494411,0.17253428398646048,59.22284692586849,0.054216867469879526,1.0
2,601899.XSHG,601899,紫金矿业,XSHG,,,3.54,,,3.33,,,654262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,112.0,72.0,39.0,1.0,3.597312260588446,0.6428571428571429,0.3482142857142857,0.008928571428571428,0.991064152773,-0.987439777702,0.5202339879358076,0.1723880608964266,58.26620664881048,0.04117647058823537,1.0
3,601899.XSHG,601899,紫金矿业,XSHG,,,3.44,,,3.32,,,658279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,115.0,73.0,41.0,1.0,3.6109179126442243,0.6347826086956522,0.3565217391304348,0.008695652173913044,0.991064152773,-0.987439777702,0.5127480619356557,0.17302136761607606,58.966027122600444,0.02898550724637672,1.0
4,601899.XSHG,601899,紫金矿业,XSHG,,,3.33,,,3.4,,,641527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,123.0,79.0,43.0,1.0,3.6888794541139363,0.6422764227642277,0.34959349593495936,0.008130081300813009,0.991064152773,-0.987439777702,0.5149025745103423,0.1665863951489872,63.333016664772146,0.044117647058823595,1.0
5,601899.XSHG,601899,紫金矿业,XSHG,,,3.3,,,3.45,,,641594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,126.0,80.0,45.0,1.0,3.7013019741124933,0.6349206349206349,0.35714285714285715,0.007936507936507936,0.991064152773,-0.987439777702,0.5097143588310803,0.16432017685256675,64.22400921271615,0.03188405797101446,1.0
6,601899.XSHG,601899,紫金矿业,XSHG,,,3.28,,,3.4,,,657836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,127.0,81.0,45.0,1.0,3.713572066704308,0.6377952755905512,0.3543307086614173,0.007874015748031496,0.991064152773,-0.987439777702,0.5112176310201741,0.16389577479975548,64.92463913956215,-0.019718309859154903,0.0
7,601899.XSHG,601899,紫金矿业,XSHG,,,3.36,,,3.45,,,639538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,135.0,87.0,47.0,1.0,3.784189633918261,0.6444444444444445,0.34814814814814815,0.007407407407407408,0.991064152773,-0.987439777702,0.5188022933373023,0.16276383001404715,70.03830960053583,-0.031161473087818692,0.0
8,601899.XSHG,601899,紫金矿业,XSHG,,,3.36,,,3.55,,,639758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,134.0,87.0,46.0,1.0,3.784189633918261,0.6492537313432836,0.34328358208955223,0.007462686567164179,0.99255977599,-0.987439777702,0.5274958932734426,0.16292307239924977,70.68444969864132,-0.047091412742382266,0.0
9,601899.XSHG,601899,紫金矿业,XSHG,,,3.44,,,3.53,,,633583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,136.0,88.0,47.0,1.0,3.7954891891721947,0.6470588235294118,0.34558823529411764,0.007352941176470588,0.99255977599,-0.987439777702,0.5252787164512133,0.16245190279906094,71.43790543736502,-0.03888888888888897,0.0
