,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,002024.XSHE,002024,苏宁易购,XSHE,13.21,13.21,13.24,13.58,13.24,12.22,52651431.0,706099837.56,753519.0,0.009,0.9842826128,77703288894.0,123730427613.0,0.0061,29.1439,278.0784,1.5672,1.0,13.411,62.2159,5.7863,0.0262,1.5086,238.6373,25.8106,1.1203,0.0216,-0.0211,0.3899,0.4813,0.0075,0.0053,0.5772,2.3071,1.3612,-0.0048,-0.0037,-0.0048,1.3038,0.429,3.0392,0.9902,0.4827,0.0319,0.0119,-0.1037,0.0211,0.6068,13.3835,13.492,13.4458,13.3188,13.6423,0.0478,5.5818,0.5173,2.416,0.033,0.0137,0.0019,-1.0594,0.0927,13.3541,0.1429,1.0736,0.0207,0.0657,37.1766,9.6835,1.2941,25.5414,25.0762,0.0178,0.383,0.0587,13.511,13.4752,13.291,13.306,13.9809,54.2743,71.7139,1.0768,0.1238,3.5238,0.0204,8.8294,0.4228,2.9355,0.0204,0.1102,2.9522,0.0205,0.0205,0.2988,-4.1974,-0.0615,1.5672,-29.2827,29.1439,0.6181,0.4167,1.068,0.9918,1.0473,0.9596,0.0272,0.015,0.0559,0.0386,45.4054,0.1183,0.2442,0.8571,1.163,10.7308,0.0037,1.28,0.1671,1.2857,0.0218,1.9938,0.007,0.0118,0.0081,0.0125,0.007,0.0121,58.1198,1.9568,0.0259,42.0,0.0423,2.3188,36.0,2.0233,0.0348,-6.0,0.2415,0.3321,1.4184,-0.037,-0.0513,-0.0016,3.2397,4.0,0.4047,0.2589,-0.2847,0.0233,86.6063,0.0284,-0.2946,0.4761,0.4208,-1.6357,-0.0075,-0.1202,-4.9417,12.5493,14.0327,-57.4758,20.3711,-5.4201,-44.485,37.1234,45.6681,20.0341,-4.3885,4.7281,5.013,3.536,0.1616,0.1415,53.3157,-0.0082,1.57,2.17,16.0428,0.6186,1.0381,25935705026.4,25893973253.9,25874981054.5,610.0127,528.8192,137.3828,181.6562,-6244695.5342,-4597340.0896,44330710.885,44574840.1384,49172180.228,46203809.3234,3294710.8892,-19.2068,0.9553,-12.482,1.8614,11283612.4689,10873248.7647,0.8708,12198579120.3,306.4955,306.5181,368.4825,5.9209,-21.4218,-13.4306,-10.5484,0.0055,-0.098,14.12,20.6625,22.2207,30.5948,-16.0,24.0,8.0,-0.1198,-0.1056,0.1918,0.5959,0.4041,-0.11,0.44,1064.438,1064.5799,1064.6346,-0.0022,-0.0001,44.1717,0.052,-0.0041,-0.1274,-0.0295,2.1279,3.2123,4.1471,0.646,-0.81,0.49,13.3934,13.499,0.2344,13.3389,1.0037,13.2872,13.1809,1.0166,85.0634,82.6774,2.386,132.1172,22.9652,-0.1581,0.1819,0.0256,0.4424,61438.2407,0.9874,1.0011,0.4,2018-08-01,2018-09-11,458.0,260.0,197.0,1.0,4.871373226762748,0.5676855895196506,0.43013100436681223,0.002183406113537118,0.995546456333,-0.584881329536,0.4720278832033361,0.1257271231727898,216.18877050712805,-0.06873977086743044,0.0
1,002024.XSHE,002024,苏宁易购,XSHE,13.29,13.29,13.24,13.35,12.79,12.22,48178551.0,626909899.83,769596.0,0.0082,0.9842826128,76417004202.0,121682218879.0,-0.0166,28.6615,273.4751,1.5413,1.0,13.012,62.2159,5.7863,0.0262,1.5086,238.6373,25.8106,1.1203,0.0216,-0.0211,0.3899,0.4813,0.0077,0.0053,0.5772,2.3071,1.3612,-0.0047,-0.0038,-0.004,1.2969,0.4309,3.0094,0.9902,0.4827,0.0325,0.0119,-0.107,0.0211,0.6068,13.3265,13.485,13.41,13.2358,13.6236,0.0478,5.5818,0.5173,2.416,0.0336,0.0137,0.0019,-1.0594,0.0927,13.3541,0.1429,1.072,0.0207,0.0657,37.1766,9.6835,1.2941,25.5247,25.0595,0.0178,0.383,0.0587,13.46,13.481,13.3155,13.198,13.9725,38.2989,63.7981,1.0781,0.1238,3.5238,0.0204,8.8294,0.4228,2.9355,0.0204,0.1102,2.9522,0.0205,0.0205,0.2988,-4.1974,-0.0615,1.5413,-28.798,28.6615,0.6079,0.4167,1.068,0.9624,1.039,0.9603,0.0272,0.015,0.0559,0.0386,40.9756,0.0677,0.238,0.8571,1.163,10.7308,0.0037,1.2803,0.1671,1.2857,0.0218,1.9938,0.0071,0.0118,0.008,0.0125,0.0078,0.0121,3.0865,1.9568,0.0259,42.0,0.0431,2.3257,36.0,2.0575,0.0349,-4.0,0.244,0.3322,1.4443,-0.0377,-0.0513,-0.0016,3.2397,4.0,0.3588,0.2484,-0.0887,0.0241,86.6063,-0.0062,-0.3796,0.4821,0.444,-2.8975,-1.8437,-0.9698,-6.4591,12.6436,13.9874,-124.6106,-55.9198,-94.0428,-76.4208,29.5629,39.3542,9.9802,-5.6318,3.8951,5.013,3.11,0.1401,0.165,45.9194,-0.0376,1.68,2.17,12.7273,0.558,1.0363,25887526475.4,25887095081.7,25881604119.4,605.3218,558.4629,134.9843,180.544,-5789620.6012,-3969320.869,45030318.1786,45129257.194,49098578.063,46862056.5489,3640599.4644,-15.7467,0.8081,21.7801,47.7579,11434981.1836,10620626.1198,0.7472,12111667398.2,306.4955,313.4916,349.8018,4.0635,-26.7193,-19.2725,-0.4566,-0.0305,-0.1639,12.085,30.1302,24.9539,30.8853,-16.0,20.0,4.0,-0.1206,-0.1237,-0.1388,0.4306,0.5694,-0.51,0.289,1063.6405,1064.2502,1064.5905,-0.0029,-0.0003,41.7489,0.0386,-0.022,-0.0834,-0.0484,-3.8341,3.7262,4.2242,0.6404,-1.04,0.73,13.3436,13.4673,0.2376,13.2969,1.0174,13.1704,13.0736,1.0298,91.0211,87.0461,3.975,113.3995,23.0089,-0.5613,-0.0013,0.0428,0.4351,61438.2407,0.9725,0.9356,0.4,2018-08-02,2018-09-12,449.0,255.0,193.0,1.0,4.852030263919617,0.5679287305122495,0.4298440979955457,0.0022271714922048997,0.995546456333,-0.584881329536,0.47035660669537704,0.12519043475890104,211.1901164062245,-0.04039571310799672,0.0
2,002024.XSHE,002024,苏宁易购,XSHE,,,13.24,,,12.22,,,793776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,431.0,245.0,185.0,1.0,4.812184355372417,0.568445475638051,0.42923433874709976,0.002320185614849188,0.995546456333,-0.584881329536,0.4716828537408929,0.1255666516589675,203.29530996232495,-0.04403522818254613,0.0
3,002024.XSHE,002024,苏宁易购,XSHE,,,13.25,,,12.13,,,774151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,403.0,227.0,175.0,1.0,4.736198448394496,0.5632754342431762,0.43424317617866004,0.0024813895781637717,0.995546456333,-0.584881329536,0.4704163704212886,0.12728055622951023,189.57779727977947,-0.041368337311058045,0.0
4,002024.XSHE,002024,苏宁易购,XSHE,,,13.01,,,12.49,,,761623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,403.0,222.0,180.0,1.0,4.7140245909001735,0.5508684863523573,0.4466501240694789,0.0024813895781637717,0.995546456333,-0.584881329536,0.46180537354462503,0.12761742750506785,186.10756553848398,-0.03478964401294493,0.0
5,002024.XSHE,002024,苏宁易购,XSHE,,,12.65,,,12.57,,,749985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,396.0,219.0,174.0,3.0,4.007333185232471,0.553030303030303,0.4393939393939394,0.007575757575757576,0.995546456333,-0.584881329536,0.46258599837896724,0.13153014021791376,183.18405535807113,-0.07442596991290584,0.0
6,002024.XSHE,002024,苏宁易购,XSHE,,,12.62,,,12.36,,,751214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,379.0,220.0,156.0,3.0,4.0118683403978626,0.5804749340369393,0.41160949868073876,0.0079155672823219,0.995546456333,-0.584881329536,0.48436660108383345,0.13193494458053728,183.57494181077297,-0.09305993690851733,0.0
7,002024.XSHE,002024,苏宁易购,XSHE,,,12.87,,,12.63,,,742567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,369.0,227.0,139.0,3.0,4.04305126783455,0.6151761517615176,0.37669376693766937,0.008130081300813009,0.995546456333,-0.584881329536,0.5086936898138182,0.12953109775670027,187.70797154129897,-0.09213661636219228,0.0
8,002024.XSHE,002024,苏宁易购,XSHE,,,12.03,,,12.68,,,726273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,351.0,221.0,127.0,3.0,4.0163830207523885,0.6296296296296297,0.36182336182336183,0.008547008547008548,0.995546456333,-0.584881329536,0.5175112492590456,0.1297735714854983,181.64644848992498,-0.1145038167938931,0.0
9,002024.XSHE,002024,苏宁易购,XSHE,,,12.26,,,12.59,,,716751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,341.0,218.0,120.0,3.0,4.00277736869661,0.6392961876832844,0.3519061583577713,0.008797653958944282,0.995546456333,-0.584881329536,0.5259640672183873,0.12990706435618773,179.35374692147,-0.11711026615969589,0.0
