,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,600519.XSHG,600519,贵州茅台,XSHG,726.44,726.44,731.4,732.3,714.11,646.0,2523788.0,1821933661.0,561796.0,0.002,0.9546400905,898106055132.0,898106055132.0,-0.0158,28.4277,28.4856,9.6159,1.0,721.904,11.9076,30.2328,0.0733,-82.6845,-4.3539,25.6241,1.0002,0.0,0.3363,2.9274,0.981,0.0154,0.0206,0.8317,0.5854,3.8229,-0.0012,-0.0009,-0.0013,1.028,0.5408,1.9008,0.2927,0.2177,0.0227,6.77,-0.0423,0.6427,0.1451,730.0047,710.4827,732.5274,725.3094,729.0382,27.0878,5.9892,0.7823,0.6769,0.0352,0.0498,-0.0005,-0.0678,0.1306,3.6009,0.8993,1.1194,0.0166,0.0256,1229.0884,0.2929,-0.4388,27.5236,27.5236,0.0,0.0002,0.0001,733.813,716.4063,732.315,726.954,735.9687,-2.1691,32.0646,1.0,0.2753,0.64,0.5065,0.4956,0.1683,0.6412,0.482,0.047,0.6372,0.6786,0.6458,0.4787,-0.4192,0.7175,8.9848,42.8086,30.4824,14.3984,0.4167,3.0696,0.9695,1.0348,0.9612,0.2519,0.2456,0.3566,0.3363,28.8887,0.4099,0.8545,0.1007,1.0645,14.1303,0.1436,6.0196,0.1297,0.4824,2.9828,0.6528,0.0022,0.0034,0.0025,0.0035,0.0021,0.003,-0.4596,1.8141,0.0018,-44.0,0.0411,0.0248,-10.0,0.0876,-0.0101,8.0,0.3631,0.2881,0.1641,0.0256,-0.079,-0.0101,6.9027,8.0,0.7719,0.2962,-0.5506,0.0053,7.5237,-3.9294,0.1581,18.3915,16.7913,-2.5719,-2.3726,-1.6526,-2.8573,705.7874,758.8426,-129.6994,-73.3531,-81.484,8.4858,17.2877,31.2864,-10.7096,-4.0864,3.478,144.01,171.05,5.0274,5.9429,45.8274,-0.0305,74.59,98.62,13.8733,-0.2256,1.0553,768616892.323,771137068.99,770674992.523,2262.1573,1875.4929,639.0523,590.9908,-369049.3234,-386197.724,2819847.7112,2880998.7531,3267196.4771,2678123.9583,-34296.8012,-27.5028,0.9665,-22.2849,-39.6347,903577.8573,900323.446,-0.1996,45234286702.3,286.6086,286.7824,289.1898,0.8815,-934.0237,-0.6292,-8.691,-791.0248,-1405.7257,10.1262,26.6744,22.4306,21.0902,32.0,20.0,52.0,-0.2434,-2.2081,-0.3758,0.3121,0.6879,-22.5,2.996,29.2181,29.2943,29.3145,-0.0024,-0.0001,44.4799,0.652,-1.8191,-5.464,-1.9488,-183.3186,2.5603,2.4735,0.6081,-42.37,29.83,730.8204,733.0285,8.026,728.231,1.0186,721.3083,716.0522,1.0264,66.2244,72.4933,-6.2689,110.1213,24.2933,-17.0237,1.1663,0.0254,24.2317,5492.7859,0.9473,1.0056,0.4,2018-08-01,2018-09-11,308.0,123.0,142.0,43.0,1.0360919316867758,0.39935064935064934,0.461038961038961,0.1396103896103896,0.981863471866,-0.988093872741,0.22342969948431396,0.23577374392048273,68.81634744116872,-0.15030959752321982,0.0
1,600519.XSHG,600519,贵州茅台,XSHG,714.94,714.94,731.4,715.97,687.88,646.0,5500143.0,3840134516.0,584634.0,0.0044,0.9546400905,874112677152.0,874112677152.0,-0.0267,27.6682,27.7246,9.359,1.0,698.188,15.358,23.4405,0.0727,-67.3728,-5.3434,25.5901,1.0002,0.0,0.4887,2.5184,0.972,0.0158,0.0206,0.8293,0.6178,3.2262,-0.001,-0.001,-0.0009,1.0331,0.5469,1.889,0.3577,0.2572,0.0227,12.55,-0.0445,0.6403,0.1451,723.793,710.2407,729.0334,715.4862,727.9497,25.0983,5.6018,0.7428,0.6986,0.0388,0.0498,-0.0003,-3.1345,0.1326,3.8924,0.9043,1.122,0.0166,0.0268,1213.7559,0.2966,-0.3656,27.4965,27.4965,0.0,0.0002,0.0001,729.302,715.9789,731.9875,718.998,736.0305,-3.251,23.3013,1.0,0.2206,0.645,0.5025,0.7211,0.1707,0.6483,0.4784,0.0538,0.6539,0.6777,0.6452,0.5024,0.0705,0.9868,9.359,26.5263,27.6682,12.9643,0.4167,2.5648,0.9391,0.9907,0.9459,0.2621,0.2456,0.3596,0.3363,26.9288,0.3848,0.8474,0.0957,1.0513,14.1303,0.1427,6.0162,0.0792,0.512,2.949,0.6636,0.0025,0.0035,0.0025,0.0035,0.0026,0.003,-6.7122,1.8064,-0.0044,-44.0,0.041,-0.0056,-10.0,0.0904,-0.0051,6.0,0.3227,0.2945,0.1632,0.0414,-0.0072,0.0033,6.9027,8.0,0.7122,0.3197,-0.8349,0.0054,7.5237,-7.3466,-0.1352,19.0843,18.6744,-4.5882,-4.9383,-3.2209,-5.4604,703.7949,760.1801,-201.2139,-196.015,-159.0306,-38.2533,18.1421,27.6841,-0.9419,-6.4492,-0.9325,172.1,148.83,4.3571,7.2251,37.6189,-0.0609,93.69,87.14,-3.6222,-0.5857,1.0537,763116749.323,769405716.156,770722518.623,2287.48,2245.7257,691.6188,971.3712,-324970.639,-148655.9013,3307174.1273,3283944.0219,3432599.9232,3618796.9722,352629.4754,-17.5694,0.7822,97.804,152.9513,1167842.2518,987738.0003,-0.2465,45755951406.2,284.2257,287.0773,287.9255,-2.0727,-1584.7956,-1.6429,13.3788,-1952.991,-3958.0838,8.4575,40.6043,28.175,23.3267,32.0,16.0,48.0,-1.1617,-4.835,-0.6588,0.1706,0.8294,-45.11,-5.371,29.0712,29.2453,29.2918,-0.0041,-0.0005,35.5121,-0.1069,-2.5011,-7.5009,-3.1033,-623.3449,3.2626,3.5306,0.6289,-56.43,-1.78,725.4388,730.2738,11.8604,722.9431,1.039,708.0981,699.8232,1.0481,65.2029,73.7327,-8.5298,81.3877,24.2771,-38.2117,-10.1217,0.0404,24.2317,5346.0432,0.9372,0.9513,0.3,2018-08-02,2018-09-12,292.0,106.0,141.0,45.0,0.8441874379728113,0.363013698630137,0.4828767123287671,0.1541095890410959,0.981863471866,-0.988093872741,0.1813275507322696,0.2318291967664057,52.94764481382276,-0.1063492063492063,0.0
2,600519.XSHG,600519,贵州茅台,XSHG,,,731.4,,,646.0,,,608402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,239.0,78.0,123.0,38.0,0.705886206337375,0.3263598326359833,0.5146443514644351,0.1589958158995816,0.972687630821,-0.988093872741,0.14531969721759902,0.22324510493164132,34.731407635006185,-0.05076110003481127,0.0
3,600519.XSHG,600519,贵州茅台,XSHG,,,715.97,,,630.0,,,616946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,211.0,59.0,119.0,33.0,0.5679840376059393,0.2796208530805687,0.5639810426540285,0.15639810426540285,0.954942657053,-0.988093872741,0.10550990564774597,0.2041098734501103,22.262590091674397,-0.10437081972312956,0.0
4,600519.XSHG,600519,贵州茅台,XSHG,,,695.0,,,631.98,,,601918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,202.0,51.0,120.0,31.0,0.4855078157817008,0.2524752475247525,0.594059405940594,0.15346534653465346,0.953351318836,-0.988093872741,0.08955681593627919,0.1915522417952378,18.090476819128398,-0.123581239064121,0.0
5,600519.XSHG,600519,贵州茅台,XSHG,,,677.0,,,642.9,,,600124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,197.0,48.0,119.0,30.0,0.4578330936254803,0.2436548223350254,0.6040609137055838,0.15228426395939088,0.953351318836,-0.988093872741,0.0879288116195898,0.19046444451259623,17.321975889059196,-0.15044247787610632,0.0
6,600519.XSHG,600519,贵州茅台,XSHG,,,672.3,,,645.81,,,602600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,201.0,49.0,122.0,30.0,0.47803580094299974,0.24378109452736318,0.6069651741293532,0.14925373134328357,0.953351318836,-0.988093872741,0.09076368352631091,0.18914353357856123,18.243500388788497,-0.16301253265240223,0.0
7,600519.XSHG,600519,贵州茅台,XSHG,,,687.02,,,666.7,,,595663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,198.0,46.0,125.0,27.0,0.5179430915348546,0.23232323232323232,0.6313131313131313,0.13636363636363635,0.953351318836,-0.988093872741,0.08888111293429489,0.1810652594538349,17.5984603609904,-0.17176331884164753,0.0
8,600519.XSHG,600519,贵州茅台,XSHG,,,671.0,,,681.42,,,598535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,188.0,44.0,117.0,27.0,0.4744579795951159,0.23404255319148937,0.6223404255319149,0.14361702127659576,0.989452864043,-0.988093872741,0.08523532723750467,0.191144288551461,16.02424152065088,-0.2114398365737632,0.0
9,600519.XSHG,600519,贵州茅台,XSHG,,,691.88,,,678.55,,,593349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,166.0,42.0,103.0,21.0,0.6701576623352465,0.25301204819277107,0.6204819277108434,0.12650602409638553,0.989452864043,-0.988093872741,0.11712164961990494,0.18456471525841364,19.44219383690423,-0.18223293449255396,0.0
