,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,002460.XSHE,002460,赣锋锂业,XSHE,36.85,36.85,37.1,38.21,36.8,27.54,23853654.0,893441330.98,900211.0,0.0303,0.6986936927,29239121626.0,41451758920.0,0.009,24.5139,28.9206,9.6489,1.0,37.455,28.4948,12.6339,0.0504,58.7209,6.1307,22.838,1.3338,0.0819,0.0825,1.0598,1.2661,0.0072,0.0046,0.5629,1.2835,1.6474,-0.0187,-0.0091,-0.0225,1.3114,0.322,4.0731,0.9285,0.4813,0.0376,0.48,0.1012,0.4271,0.7184,37.6475,42.0066,38.0504,37.304,40.0461,1.2856,2.2758,0.5187,1.3656,0.0408,0.0208,0.0117,1.7322,0.2279,3.0905,0.4253,1.0893,0.0326,0.0381,122.4656,2.9396,-0.2271,24.4478,24.0988,0.0399,0.6312,0.1396,37.675,43.2121,38.2775,37.118,40.6287,87.9205,47.8246,1.0329,0.642,2.419,0.3516,0.2454,0.4371,2.4271,0.3516,0.0108,2.4444,0.4198,0.4198,0.7136,-0.3328,0.14,10.139,104.5387,24.5139,8.6207,0.5,1.2418,0.9555,1.0441,0.9805,0.2815,0.1992,0.5459,0.2816,40.2287,-0.1792,0.5109,0.5747,0.7271,6.8325,0.01,0.5172,0.8225,0.6929,0.641,2.5032,0.0285,0.0472,0.0381,0.0499,0.0247,0.0388,67.2874,1.9896,-0.007,0.0,0.0562,0.0,-47.0,0.1724,0.0,52.0,0.585,0.6304,0.1992,0.0095,-0.1561,0.0645,3.5138,6.0,0.0968,0.3433,-0.2104,0.0175,9.4138,-0.1384,-0.0076,1.5874,1.4323,-1.3139,-2.8672,0.167,-8.4883,35.8556,40.6994,-44.5633,-66.3241,53.6332,-89.6116,25.179,26.4883,22.5603,-4.6911,4.4089,13.21,13.11,0.55,0.4849,53.1452,-0.0445,6.91,8.48,10.2014,-0.8593,0.9139,12608989529.4,12595654846.4,12564943590.2,1151.5922,804.1447,407.8395,272.2188,-2027653.4035,-3172854.0217,23176944.7135,23958464.9108,27131318.9325,21220480.7779,-2290401.2364,-23.5994,1.9563,-22.8473,-9.1635,5519166.2664,10281138.8621,0.2485,23028948371.7,2763.937,2789.4452,2775.6558,-6.6164,-55.1002,-10.7494,-16.1417,-1.1292,-1.4795,14.6342,17.8567,26.6886,26.0899,28.0,20.0,48.0,-0.4959,-0.5651,-0.399,0.3005,0.6995,-1.73,-1.205,643.319,643.1861,643.674,-0.0045,-0.0014,39.6765,-0.106,-0.2537,-0.0997,-0.217,-7.5015,5.9249,3.9771,0.5926,-2.47,5.87,37.7436,38.3087,0.5408,37.6452,1.0125,36.9241,37.026,1.0133,119.5855,94.3145,25.271,122.9561,23.9084,-0.9855,0.4245,0.0379,0.0813,693009.4891,0.9519,0.9841,0.4,2018-08-01,2018-09-11,80.0,59.0,15.0,6.0,2.1484344131667874,0.7375,0.1875,0.075,0.997501200577,-0.886871249974,0.5480554911893596,0.21550571768430854,43.84443929514875,-0.14306463326071162,0.0
1,002460.XSHE,002460,赣锋锂业,XSHE,37.18,37.18,37.1,36.92,34.34,27.54,24699129.0,887514139.76,947964.0,0.0314,0.6986936927,28421244098.0,40292269160.0,-0.028,23.8282,28.1116,9.379,1.0,35.933,28.4948,12.6339,0.0504,58.7209,6.1307,22.838,1.3338,0.0819,0.0825,1.0598,1.2661,0.0074,0.0046,0.5629,1.2835,1.6474,-0.0189,-0.0093,-0.0219,1.3025,0.3234,4.0282,0.9285,0.4813,0.0384,0.48,0.0994,0.4271,0.7184,37.3734,41.9096,37.8685,36.916,39.918,1.2856,2.2758,0.5187,1.3656,0.042,0.0208,0.0117,1.7322,0.2279,3.0905,0.4253,1.0903,0.0326,0.0381,122.4656,2.9396,-0.2271,24.4194,24.0704,0.0399,0.6312,0.1396,37.533,43.1923,38.298,36.922,40.4694,74.2073,38.3132,1.0339,0.642,2.419,0.3516,0.2454,0.4371,2.4271,0.3516,0.0108,2.4444,0.4198,0.4198,0.7136,-0.3328,0.14,9.8554,101.6145,23.8282,8.3796,0.4167,1.2418,0.9622,1.0115,0.9736,0.2815,0.1992,0.5459,0.2816,29.1971,-0.2176,0.5051,0.5747,0.7271,6.8325,0.01,0.5161,0.8225,0.6929,0.641,2.5032,0.0283,0.0472,0.0379,0.0498,0.0253,0.0385,50.0758,1.9888,-0.0076,-2.0,0.0578,0.0,-45.0,0.1774,0.0,51.0,0.585,0.6304,0.2049,0.0098,-0.1561,0.0645,3.5138,6.0,0.0646,0.3467,-0.0446,0.0187,9.4138,-0.2484,-0.19,1.6769,1.6669,-3.7114,-5.6348,-2.118,-10.698,35.9615,40.6345,-169.8425,-180.7837,-146.87,-116.607,30.2448,28.3357,34.0629,-4.6941,1.1475,15.53,12.58,0.4767,0.5397,46.9008,-0.0378,7.95,8.36,2.5138,-1.3291,0.9116,12584290400.4,12591116744.4,12575882103.5,1145.9857,749.656,410.7982,195.6038,-2197871.4194,-2878743.4831,23453705.4929,24072413.2322,26951156.7153,22380030.1853,-1361744.1274,-28.4227,1.6412,-26.1832,-21.8594,5456614.4317,10334891.2313,0.0448,22920168705.5,2773.7018,2791.7438,2773.6128,-9.2966,-58.7249,-7.9025,-3.9805,-2.6304,-4.4593,12.0061,34.2097,29.5306,26.2187,28.0,16.0,44.0,-0.5269,-0.6511,-0.5092,0.2454,0.7546,-1.42,-1.53,642.6281,643.0532,643.4662,-0.005,-0.0018,43.0084,-0.1502,-0.2247,-0.1249,-0.1902,-18.5407,6.0119,3.8308,0.5793,-1.95,4.62,37.4969,38.148,0.4924,37.33,1.0329,36.4452,36.3681,1.0385,110.5792,84.1448,26.4344,98.1925,24.0283,-3.2105,-0.6305,0.0714,0.0813,673624.6083,0.9006,0.9368,0.3,2018-08-02,2018-09-12,79.0,60.0,13.0,6.0,2.164963715117998,0.759493670886076,0.16455696202531644,0.0759493670886076,0.997501200577,-0.886871249974,0.5640316866742692,0.21113926299928296,44.55850324726726,-0.17142857142857137,0.0
2,002460.XSHE,002460,赣锋锂业,XSHE,,,37.1,,,27.54,,,982486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,78.0,59.0,13.0,6.0,2.1484344131667874,0.7564102564102564,0.16666666666666666,0.07692307692307693,0.997501200577,-0.886871249974,0.5634561109455803,0.21397800755785945,43.94957665375525,-0.1184850590687978,0.0
3,002460.XSHE,002460,赣锋锂业,XSHE,,,36.66,,,28.7,,,987040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,78.0,61.0,12.0,5.0,2.3353749158170367,0.782051282051282,0.15384615384615385,0.0641025641025641,0.997501200577,-0.886871249974,0.5839254634745035,0.1947011049923877,45.54618615101124,-0.11577474641483032,0.0
4,002460.XSHE,002460,赣锋锂业,XSHE,,,35.93,,,28.78,,,971361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,78.0,61.0,12.0,5.0,2.3353749158170367,0.782051282051282,0.15384615384615385,0.0641025641025641,0.997501200577,-0.886871249974,0.5839254634745035,0.1947011049923877,45.54618615101124,-0.12189859762675281,0.0
5,002460.XSHE,002460,赣锋锂业,XSHE,,,35.17,,,28.59,,,975312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,79.0,62.0,12.0,5.0,2.3513752571634776,0.7848101265822784,0.1518987341772152,0.06329113924050633,0.997501200577,-0.886871249974,0.5873037682637564,0.19018558538658523,46.39699769283674,-0.138994800693241,0.0
6,002460.XSHE,002460,赣锋锂业,XSHE,,,32.78,,,27.81,,,955148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,85.0,67.0,13.0,5.0,2.4277482359480516,0.788235294117647,0.15294117647058825,0.058823529411764705,0.997501200577,-0.886871249974,0.594193504904456,0.18250261827585196,50.50644791687875,-0.15068015347052666,0.0
7,002460.XSHE,002460,赣锋锂业,XSHE,,,32.43,,,28.85,,,955715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,93.0,72.0,15.0,6.0,2.344549292093078,0.7741935483870968,0.16129032258064516,0.06451612903225806,0.997501200577,-0.980824962258,0.5763221571345136,0.2023821718147855,53.59796061350975,-0.1714187564410855,0.0
8,002460.XSHE,002460,赣锋锂业,XSHE,,,31.41,,,28.67,,,978925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,127.0,101.0,20.0,6.0,2.6790626642289577,0.7952755905511811,0.15748031496062992,0.047244094488188976,0.999249410862,-0.980824962258,0.6322663812849083,0.18290848284026043,80.29783042318333,-0.2364147407870082,0.0
9,002460.XSHE,002460,赣锋锂业,XSHE,,,31.7,,,29.11,,,1020458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,137.0,108.0,23.0,6.0,2.7454377331738304,0.7883211678832117,0.1678832116788321,0.043795620437956206,0.999249410862,-0.980824962258,0.6361041537211048,0.1786450704668049,87.14626905979134,-0.2403669724770643,0.0
