,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,601633.XSHG,601633,长城汽车,XSHG,8.75,8.75,8.79,8.83,8.52,6.92,9581339.0,82938825.0,291579.0,0.0016,0.9202924371,51416528370.0,77855604570.0,-0.0251,15.107,9.3532,1.521,1.0,8.656,102.2931,3.5193,0.0414,65.1867,5.5226,25.4193,1.0889,0.0,0.0263,0.123,0.2899,0.0199,0.0214,0.6121,1.7983,1.2495,0.0006,0.0006,0.0006,0.0946,0.0544,1.7381,1.1369,0.5314,0.0216,,-0.1053,0.0627,-0.0484,8.9777,10.5206,9.21,8.815,9.9149,0.912,1.5663,0.4686,2.1324,0.0664,0.0704,0.0022,0.3648,0.2992,3.2281,0.182,0.2368,0.0135,0.0336,27.5278,13.0777,0.3085,25.0781,24.6632,0.0104,0.34,0.0415,9.037,10.8369,9.1775,8.868,10.0971,-48.8069,30.4817,1.0584,0.0394,-0.4887,0.05,0.4738,0.3879,-0.4902,0.0495,0.0459,-0.4778,0.0588,0.0583,0.027,-0.2511,0.0507,1.521,28.6483,15.107,0.7521,0.1667,1.1537,0.9202,0.874,0.9262,0.0555,0.1244,0.1074,0.2367,26.5625,-0.4058,-0.207,0.818,1.1955,-3.0044,0.04,3.0695,0.219,1.0552,0.068,-0.4644,0.0016,0.001,0.0016,0.0015,0.0016,0.0009,-64.7726,1.7451,0.016,26.0,0.0942,0.0087,-4.0,1.4816,-0.0174,24.0,0.4585,0.1401,1.1787,0.0292,-0.0224,-0.0548,-0.1919,0.0,0.0,0.4133,-0.6399,0.1813,3.4938,-0.042,-0.5119,0.2563,0.2238,-5.6103,-7.0553,-3.8115,-15.5203,8.6635,9.6915,-177.6035,-225.9526,-111.7131,-176.9742,7.9268,15.5563,-7.3322,-8.0819,-12.6025,3.77,1.84,0.0324,0.1273,20.288,-0.0798,2.11,0.88,-41.1371,0.2397,0.9048,2246461063.91,2270186176.91,2285233884.36,89.1584,90.0024,39.5912,15.7345,1468929.3086,1217333.8855,9702376.7467,9592410.7349,8375076.8494,9726050.7173,-503190.8462,16.1712,0.6598,31.8447,-33.7051,2490906.3278,4092781.2699,-0.3907,1786020168.55,2757.8517,2785.6215,2774.7523,-9.6402,-19.8162,-11.4253,-28.5024,-0.168,-0.1792,13.7404,39.6493,22.9134,33.6962,-88.0,100.0,12.0,-0.29,-0.311,-0.5146,0.2427,0.7573,-0.74,-0.281,139.7342,140.1649,140.2884,-0.0062,-0.0043,29.9233,-0.0258,-0.0375,-0.1311,-0.0456,-5.8393,4.7591,4.2185,0.6645,-0.98,-1.26,9.0274,9.3384,0.1992,8.9981,1.0549,8.6935,8.5689,1.0594,39.802,59.6674,-19.8654,49.8457,24.3037,-0.5312,-0.2212,0.0363,5.9778,4031.1205,0.9343,0.8758,0.1,2018-08-01,2018-09-11,253.0,93.0,105.0,55.0,0.5179430915348546,0.3675889328063241,0.4150197628458498,0.21739130434782608,0.989554051869,-0.985326811299,0.13277203580990882,0.2889743640779016,33.59132505990694,-0.11416184971098264,0.0
1,601633.XSHG,601633,长城汽车,XSHG,8.53,8.53,8.79,8.56,8.02,6.92,15468772.0,127629760.0,302092.0,0.0026,0.9202924371,50090427990.0,75847605390.0,-0.0258,14.7174,9.112,1.4817,1.0,8.251,102.2931,3.5193,0.0414,65.1867,5.5226,25.4193,1.0889,0.0,0.0263,0.123,0.2818,0.0205,0.0214,0.6121,1.7983,1.2495,0.0007,0.0007,0.0007,0.1252,0.0722,1.7346,1.1369,0.5314,0.0216,,-0.0999,0.0627,-0.0484,8.8563,10.4841,9.1243,8.6466,9.8622,0.912,1.5663,0.4686,2.1324,0.0682,0.0704,0.0022,0.3648,0.2992,3.2281,0.182,0.2531,0.0135,0.0336,27.5278,13.0777,0.3085,25.052,24.6371,0.0104,0.34,0.0415,8.95,10.8049,9.1195,8.712,10.057,-54.9879,29.7842,1.06,0.0394,-0.4887,0.05,0.4738,0.3879,-0.4902,0.0495,0.0459,-0.4778,0.0588,0.0583,0.027,-0.2511,0.0507,1.4817,27.9094,14.7174,0.7327,0.1667,1.1537,0.9052,0.8775,0.9142,0.0555,0.1244,0.1074,0.2367,24.2857,-0.4304,-0.2045,0.818,1.1955,-3.0044,0.04,3.0739,0.219,1.0552,0.068,-0.4644,0.0017,0.001,0.0017,0.0015,0.0017,0.0009,-70.1407,1.7451,0.0134,26.0,0.0967,0.0098,-2.0,1.5208,-0.0174,24.0,0.4585,0.1401,1.2047,0.0299,-0.0224,-0.0548,-0.1919,0.0,0.0,0.4122,-1.0295,0.1731,3.4938,-0.0884,-0.6398,0.2766,0.2765,-7.1508,-8.8766,-4.6143,-17.371,8.4946,9.7444,-185.5346,-272.9241,-131.3543,-200.3985,17.1304,17.6069,16.1775,-9.772,-12.2492,4.22,1.52,0.0281,0.1535,15.4736,-0.0948,2.04,0.88,-39.726,-0.5611,0.902,2230992291.91,2259665986.74,2282725019.11,92.2607,92.0658,40.0746,19.9536,1494329.5598,1595930.5647,10750812.2473,10496466.3141,8900535.7494,11640291.1449,203202.0098,17.6335,0.5717,140.4709,23.6878,3038477.4997,4238134.6524,-0.5317,1848350170.02,2758.9975,2783.656,2769.2674,-11.9459,-27.1096,-11.1931,-3.6398,-0.2604,-0.4171,11.0344,55.943,28.7983,33.912,-92.0,100.0,8.0,-0.301,-0.3452,-0.5634,0.2183,0.7817,-0.87,-0.339,139.3352,139.974,140.2209,-0.0084,-0.0047,32.8717,-0.0299,-0.0461,-0.162,-0.0754,-7.7451,5.6028,5.5678,0.7064,-1.09,-1.16,8.917,9.2622,0.26,8.8807,1.0687,8.4778,8.3354,1.077,39.1635,56.2992,-17.1357,53.2338,24.5579,-0.9253,-0.3853,0.065,5.9778,3927.1526,0.9203,0.8462,0.1,2018-08-02,2018-09-12,261.0,93.0,106.0,62.0,0.40016005587847125,0.3563218390804598,0.4061302681992337,0.23754789272030652,0.989554051869,-0.985326811299,0.10768332659085791,0.3051564533875399,28.10534824021394,-0.12303290414878398,0.0
2,601633.XSHG,601633,长城汽车,XSHG,,,8.79,,,6.92,,,308910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,266.0,95.0,109.0,62.0,0.4212134650763035,0.35714285714285715,0.40977443609022557,0.23308270676691728,0.989554051869,-0.985326811299,0.11296525745604452,0.30644511919781225,30.04875848330787,-0.10683760683760679,0.0
3,601633.XSHG,601633,长城汽车,XSHG,,,8.47,,,6.99,,,312420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,275.0,99.0,114.0,62.0,0.4620354595965586,0.36,0.41454545454545455,0.22545454545454546,0.989554051869,-0.985326811299,0.1229456475580329,0.3025067847779623,33.81005307845908,-0.1267217630853994,0.0
4,601633.XSHG,601633,长城汽车,XSHG,,,8.25,,,7.02,,,311280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,276.0,97.0,115.0,64.0,0.4105802087749348,0.35144927536231885,0.4166666666666667,0.2318840579710145,0.989554051869,-0.985326811299,0.11066196406314877,0.3057238290520698,30.54270208142907,-0.12273361227336121,0.0
5,601633.XSHG,601633,长城汽车,XSHG,,,8.11,,,7.26,,,312442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,274.0,99.0,115.0,60.0,0.49429632181478017,0.3613138686131387,0.4197080291970803,0.21897810218978103,0.989554051869,-0.985326811299,0.12710479658749876,0.2989618325443583,34.82671426497468,-0.13988919667590027,0.0
6,601633.XSHG,601633,长城汽车,XSHG,,,7.78,,,7.17,,,317725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,265.0,110.0,106.0,49.0,0.7975071958841882,0.41509433962264153,0.4,0.18490566037735848,0.989554051869,-0.985326811299,0.20340543625489452,0.29674120503907125,53.90244060754702,-0.163978494623656,0.0
7,601633.XSHG,601633,长城汽车,XSHG,,,7.82,,,7.22,,,320903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,253.0,110.0,97.0,46.0,0.8593825996022756,0.43478260869565216,0.383399209486166,0.18181818181818182,0.989663719758,-0.985326811299,0.221468130002912,0.30384644696076907,56.031436890736714,-0.16194331983805665,0.0
8,601633.XSHG,601633,长城汽车,XSHG,,,7.39,,,7.44,,,329055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,255.0,112.0,103.0,40.0,1.0138157520080326,0.4392156862745098,0.403921568627451,0.1568627450980392,0.989871309511,-0.985326811299,0.24176398608833896,0.2892188080441434,61.64981645252642,-0.20423412204234115,0.0
9,601633.XSHG,601633,长城汽车,XSHG,,,7.51,,,7.41,,,332272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,250.0,112.0,101.0,37.0,1.089801658985955,0.448,0.404,0.148,0.989871309511,-0.985326811299,0.2552677366755933,0.2828119817939008,63.81693416889833,-0.18377693282636243,0.0
