,secID,ticker,secShortName,exchangeCD,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20,tradeStartDate,selectedDate,newsCount,newsPositive,newsNeural,newsNegative,sentimentFactor,stmPstPct,stmNrPct,stmNgtPct,maxScore,minScore,avgScore,varScore,sumScore,label_pct,label_binary
0,000625.XSHE,000625,长安汽车,XSHE,8.08,8.08,8.12,8.17,7.95,6.63,11640665.0,93894013.79,237508.0,0.0031,0.5361592174,29936613556.0,38229082060.0,-0.0149,6.2387,6.8669,0.7807,1.0,8.066,190.3654,1.8911,0.0676,89.4299,4.0255,25.3976,1.144,0.0,-0.0372,0.3443,0.5726,0.056,0.0288,0.5788,1.2993,1.2087,-0.0003,-0.0004,-0.0009,0.8942,0.5207,1.7173,1.1919,0.5446,0.0163,0.29,0.0425,0.0672,0.1374,8.0698,9.7346,8.1828,8.0385,8.8573,1.1592,2.1371,0.4554,1.7584,0.1615,0.1121,-0.0065,-1.0246,0.2131,3.8644,0.126,0.6892,0.0107,0.0462,38.0755,9.4549,-0.3751,24.3669,24.1223,0.0,0.6586,0.0658,8.05,9.9223,8.1295,8.06,8.9211,17.8188,52.516,1.1845,0.0669,-0.383,0.075,1.6476,0.4212,-0.3881,0.075,0.0481,-0.3498,0.0741,0.0741,0.0713,-1.6122,-0.0596,0.7807,-12.4945,6.2387,0.4642,0.4167,1.1085,0.9925,0.9283,0.9755,0.0575,0.1041,0.1325,0.2774,47.619,-0.5342,-0.6214,0.874,1.0097,-0.1731,0.0363,1.1993,-0.0405,0.7752,0.0754,-0.3973,0.0032,0.0035,0.0031,0.0047,0.0026,0.0028,16.268,1.6213,-0.1901,26.0,0.1509,-0.2272,-60.0,2.331,-0.0833,34.0,-0.1917,0.1138,7.0467,-0.2012,-0.0862,-0.0518,-0.0831,-4.0,0.0067,0.3073,0.6748,0.1226,7.8142,0.0756,-0.461,0.174,0.1563,-1.118,-2.085,-1.2407,-10.7733,7.7997,8.4593,-21.0266,-54.4694,-72.6257,-111.2264,49.0877,54.233,38.797,-2.6895,-7.172,2.195,1.183,0.0499,0.0759,39.6661,-0.0075,1.275,0.66,-31.7829,0.3475,0.8542,12658427229.2,12674015631.4,12677983328.0,95.9315,89.2646,29.4337,29.3219,193566.3918,-165368.4035,11193129.3243,11309791.4013,11475159.8048,10533760.0967,-717869.5906,0.1506,0.8132,-27.0784,-36.6984,3726929.2583,3589677.9076,0.561,1918127154.89,3378.1523,3376.4407,3388.6651,-4.632,-3.3172,-0.462,-0.8065,-0.0126,-0.0097,21.9171,23.028,24.394,33.7463,-44.0,64.0,20.0,-0.2272,-0.1894,-0.1528,0.4236,0.5764,-0.06,-0.159,624.0484,624.2387,624.1188,-0.0007,-0.0027,45.8431,-0.0173,-0.002,-0.036,0.009,-1.0767,3.1392,1.4536,0.5382,-0.42,-0.74,8.0862,8.2756,0.0556,8.0825,1.0154,8.0376,7.9914,1.0113,84.4084,71.8172,12.5912,61.3406,23.495,-0.1457,0.0743,0.0276,0.7694,34256.0058,0.995,0.9482,0.1,2018-08-01,2018-09-11,259.0,147.0,92.0,20.0,1.9526898360406921,0.5675675675675675,0.3552123552123552,0.07722007722007722,0.998008309561,-0.941008114815,0.395439706914932,0.1919287096220022,102.4188840909674,-0.03619909502262442,0.0
1,000625.XSHE,000625,长安汽车,XSHE,7.96,7.96,8.12,8.0,7.66,6.63,14001167.0,108868060.89,244250.0,0.0037,0.5361592174,29071610903.0,37124472905.0,-0.0289,6.0585,6.6685,0.7581,1.0,7.776,190.3654,1.8911,0.0676,89.4299,4.0255,25.3976,1.144,0.0,-0.0372,0.3443,0.5746,0.0577,0.0288,0.5788,1.2993,1.2087,-0.0002,-0.0004,-0.0007,0.9286,0.5429,1.7102,1.1919,0.5446,0.0163,0.29,0.0326,0.0672,0.1374,8.008,9.7015,8.1396,7.9357,8.8204,1.1592,2.1371,0.4554,1.7584,0.1663,0.1121,-0.0065,-1.0246,0.2131,3.8644,0.126,0.7005,0.0107,0.0462,38.0755,9.4549,-0.3751,24.3375,24.093,0.0,0.6586,0.0658,8.031,9.8874,8.0915,7.98,8.8873,13.4153,45.7971,1.19,0.0669,-0.383,0.075,1.6476,0.4212,-0.3881,0.075,0.0481,-0.3498,0.0741,0.0741,0.0713,-1.6122,-0.0596,0.7581,-12.1335,6.0585,0.4508,0.4167,1.1085,0.976,0.9105,0.9508,0.0575,0.1041,0.1325,0.2774,39.2157,-0.5753,-0.6458,0.874,1.0097,-0.1731,0.0363,1.1956,-0.0405,0.7752,0.0754,-0.3973,0.0033,0.0035,0.0031,0.0047,0.0028,0.0028,-2.9176,1.6213,-0.1901,24.0,0.1554,-0.2272,-60.0,2.4004,-0.0833,32.0,-0.1917,0.1138,7.5986,-0.2169,-0.0862,-0.0518,-0.0831,-4.0,0.0,0.308,0.0159,0.133,7.8142,0.0374,-0.5893,0.1859,0.1869,-3.748,-4.4677,-3.1328,-13.022,7.7614,8.4216,-176.6169,-160.1078,-166.6667,-126.3738,31.2039,44.6607,4.2904,-5.2696,-8.9517,2.535,1.041,0.0432,0.0839,33.989,-0.024,1.42,0.66,-36.5385,0.265,0.8527,12644426062.2,12665709412.1,12675632272.0,95.5461,83.9984,29.1986,19.4693,167168.6608,61577.7368,11703681.629,11723849.1857,11662271.4489,11689562.3978,-211181.848,3.3987,0.6753,82.7631,-18.8824,3584789.4122,3600506.1414,0.4299,1910846565.85,3369.9163,3376.9199,3384.1156,-5.2183,-11.3467,-4.5391,25.4783,-0.0586,-0.1086,17.7796,39.4798,26.1727,35.2465,-84.0,100.0,16.0,-0.2225,-0.2038,-0.1286,0.4357,0.5643,-0.19,-0.121,623.6438,624.1188,624.1007,-0.0023,-0.0027,36.1792,-0.0124,-0.0024,-0.0689,-0.007,-7.0,3.1214,2.5791,0.5706,-0.63,-0.83,8.0314,8.2352,0.096,8.0281,1.0386,7.8996,7.7966,1.0389,72.3898,64.686,7.7038,50.843,23.7578,-0.3835,-0.0435,0.044,0.7694,33266.1966,0.9723,0.9044,0.1,2018-08-02,2018-09-12,261.0,148.0,93.0,20.0,1.9594238682220362,0.5670498084291188,0.3563218390804598,0.07662835249042145,0.998008309561,-0.941008114815,0.39488212873694784,0.19061105882236135,103.0642356003434,-0.021180030257186178,0.0
2,000625.XSHE,000625,长安汽车,XSHE,,,8.12,,,6.63,,,250102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-03,2018-09-13,261.0,148.0,94.0,19.0,2.0082140323914683,0.5670498084291188,0.36015325670498083,0.07279693486590039,0.998008309561,-0.941008114815,0.3972428332324819,0.18745696685291086,103.68037947367779,-0.012012012012012074,0.0
3,000625.XSHE,000625,长安汽车,XSHE,,,8.0,,,6.61,,,253056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,2018-09-14,265.0,149.0,97.0,19.0,2.0149030205422647,0.5622641509433962,0.3660377358490566,0.07169811320754717,0.998008309561,-0.941008114815,0.39472093075893233,0.18594695723891505,104.60104665111709,-0.045454545454545525,0.0
4,000625.XSHE,000625,长安汽车,XSHE,,,7.72,,,6.66,,,249985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-07,2018-09-17,266.0,150.0,97.0,19.0,2.0215475632609334,0.5639097744360902,0.36466165413533835,0.07142857142857142,0.998008309561,-0.941008114815,0.39637005711562395,0.1863331907283064,105.43443519275598,-0.01501501501501512,0.0
5,000625.XSHE,000625,长安汽车,XSHE,,,7.53,,,6.82,,,248558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,2018-09-18,267.0,150.0,98.0,19.0,2.0215475632609334,0.5617977528089888,0.36704119850187267,0.07116104868913857,0.998008309561,-0.941008114815,0.39524825541086167,0.18596869324158635,105.5312841947001,-0.04011887072808329,0.0
6,000625.XSHE,000625,长安汽车,XSHE,,,7.52,,,6.66,,,245301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,2018-09-19,271.0,150.0,99.0,22.0,1.8817856208857746,0.5535055350553506,0.36531365313653136,0.08118081180811808,0.998008309561,-0.941008114815,0.379527080667604,0.19713273812540164,102.8518388609207,-0.05294117647058816,0.0
7,000625.XSHE,000625,长安汽车,XSHE,,,7.64,,,6.73,,,244380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-10,2018-09-20,274.0,150.0,100.0,24.0,1.7984040119467235,0.5474452554744526,0.36496350364963503,0.08759124087591241,0.998008309561,-0.941008114815,0.37047666673827057,0.20378024693039504,101.51060668628615,-0.07195301027900136,0.0
8,000625.XSHE,000625,长安汽车,XSHE,,,7.55,,,6.8,,,269026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,2018-09-21,275.0,148.0,104.0,23.0,1.8258924755975134,0.5381818181818182,0.3781818181818182,0.08363636363636363,0.992871725187,-0.941008114815,0.3650060973709434,0.19901629605450527,100.37667677700945,-0.11292517006802727,0.0
9,000625.XSHE,000625,长安汽车,XSHE,,,7.62,,,6.81,,,279610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-14,2018-09-25,275.0,150.0,101.0,24.0,1.7984040119467235,0.5454545454545454,0.36727272727272725,0.08727272727272728,0.992871725187,-0.941008114815,0.365127280887571,0.2024548427296397,100.41000224408205,-0.10217983651226159,0.0
