,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE_x,PE1,PB_x,isOpen,vwap,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB_y,PCF,PE_y,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20
0,601658.XSHG,601658,邮储银行,XSHG,2019-12-10,5.5,5.5,5.6,5.65,5.53,5.61,1619472912,9048900573,1047948,0.3131,0.876468122,29015841162,483597361302,0.02,8.0749,6.681,0.9471,1,5.588,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,0.0,,,,18.7982,0.9494,0.0215,0.64,,,0.1352,5.61,5.61,5.61,5.61,5.61,0.8397,11.4132,0.0506,0.5752,0.1241,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9045,24.0911,0,,,5.61,5.61,5.61,5.61,5.61,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.045,2.484,8.0749,1.7586,,,,,,0.0065,,0.1373,,,,,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.3131,0.3131,0.3131,0.3131,0.3131,0.3131,,1.8164,,,0.1248,,0,0.5835,,,0.1539,0.0811,53.4653,1.0295,0.0133,-0.0431,0.5822,,,,,,1.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,55.5556,51.8519,62.963,,,,,,,,,,,,0.0,,1619472912.0,1619472912.0,1619472912.0,9048.9006,9048.9006,,,0.0,0.0,1619472912.0,1619472912.0,1619472912.0,1619472912.0,0.0,0.0,,,,,,0.0,9063650064.16,539.8243,539.8243,539.8243,,,0.0,,0.013,0.013,,,,,0,100,100,0.0,0.0,,,,,,0.0,0.0,0.0,,,73.3333,,,,,,0.0,0.0,,,,5.61,5.61,0.0,5.61,1.0,5.61,5.61,1.0,,,,,1.0,-0.08,0.04,0.0214,,,,,
1,601658.XSHG,601658,邮储银行,XSHG,2019-12-11,5.61,5.61,5.58,5.64,5.55,5.63,463386264,2586905784,224751,0.0896,0.876468122,29119284446,485321416066,0.0036,8.1037,6.7048,0.9504,1,5.583,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,0.0,,,,18.7982,0.9494,0.0188,0.64,,,0.1352,5.6136,5.6103,5.6119,5.6167,5.6107,0.8397,11.4132,0.0506,0.5752,0.1237,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9081,24.0947,0,,,5.62,5.62,5.62,5.62,5.62,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0488,2.4928,8.1037,1.7648,,,,,,0.0065,,0.1373,,,0.0036,0.0036,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.2014,0.2014,0.2014,0.2014,0.2014,0.2014,,1.8164,,,0.1244,,0,0.5814,,,0.1539,0.0811,52.9823,1.0202,0.0133,-0.0431,0.5822,,1.0,0.7849,,0.0003,1.0,0.0026,,0.09,0.09,0.1779,0.1779,0.1779,0.1779,5.5917,5.6483,66.6667,66.6667,66.6667,66.6667,64.8148,56.1729,82.0986,,,,,,,,,,,,0.0198,,2082859176.0,1851166044.0,1851166044.0,5817.9032,5817.9032,4569.3203,4569.3203,-18444687.2615,-92223436.3077,1409275339.64,1441613427.69,1533836864.0,1234110696.0,-147557498.092,0.0,,,,817476708.44,817476708.44,-7.0781,11661702384.3,900.2358,720.0301,720.0301,,,114.6764,,0.0066,0.0066,0.0,0.0,,,4,96,100,0.0003,0.0016,1.0,1.0,0.0,,,1.652,0.826,0.826,0.0001,0.0,79.1667,0.01,0.01,0.02,0.02,0.4693,0.0,0.0,,,,5.6131,5.6115,0.005,5.62,0.9982,5.619,5.6241,0.9982,,,,92.8571,1.9596,-0.0629,0.0271,0.016,100.0,100.0,,,1.0
2,601658.XSHG,601658,邮储银行,XSHG,2019-12-12,5.63,5.63,5.6,5.61,5.56,5.6,224711848,1255128504,86795,0.0434,0.876468122,28964119520,482735333920,-0.0053,8.0605,6.6691,0.9454,1,5.586,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,0.0,,,,18.7982,0.9494,0.0161,0.64,,,0.1352,5.6112,5.6102,5.6108,5.6111,5.6103,0.8397,11.4132,0.0506,0.5752,0.1243,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9027,24.0893,0,,,5.6133,5.6133,5.6133,5.6133,5.6133,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0432,2.4795,8.0605,1.7554,,,,,,0.0065,,0.1373,,,-0.0018,-0.0018,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.1487,0.1487,0.1487,0.1487,0.1487,0.1487,,1.8164,,,0.125,,0,0.5845,,,0.1539,0.0811,53.7102,1.0342,0.0133,-0.0431,0.5822,,0.0,0.97,0.9352,0.0007,1.0,0.0002,,0.08,0.08,-0.2369,-0.2369,-0.2369,-0.2369,5.5828,5.6439,-87.5,-87.5,-87.5,-87.5,62.6543,58.3334,71.2961,,,,,,,,,,,,-0.0088,,1858147328.0,1853493138.67,1853493138.67,4296.9783,4296.9783,4168.8106,4168.8106,-51249117.9183,-182466840.545,1193900159.34,1254397800.05,1436864640.59,897644413.333,-262435445.254,0.0,9.269,,,745973663.542,745973663.542,-22.7675,12917841614.6,1035.0629,825.041,825.041,,,194.0639,,0.0044,0.0044,0.0,0.0,,,-4,100,96,0.0004,0.0005,-0.2,0.4,0.6,,,0.4546,0.7022,0.7022,0.0001,0.0,74.1935,0.0016,0.0016,-0.005,-0.005,0.2422,0.3076,0.3076,,,,5.6111,5.6106,0.0078,5.6133,1.0024,5.6115,5.6089,1.0024,,,,50.0,2.8375,-0.051,-0.001,0.0089,99.4671,100.0,,,0.5
3,601658.XSHG,601658,邮储银行,XSHG,2019-12-13,5.6,5.6,5.61,5.61,5.58,5.59,157036724,878386009,85038,0.0304,0.876468122,28912397878,481873306538,-0.0018,8.0461,6.6572,0.9437,1,5.594,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,0.0,,,,18.7982,0.9494,0.0125,0.64,,,0.1352,5.6073,5.6098,5.6088,5.6041,5.6096,0.8397,11.4132,0.0506,0.5752,0.1245,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9009,24.0875,0,,,5.6075,5.6075,5.6075,5.6075,5.6075,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0413,2.4751,8.0461,1.7523,,,,,,0.0065,,0.1373,,,-0.0036,-0.0036,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.1191,0.1191,0.1191,0.1191,0.1191,0.1191,,1.8164,,,0.1253,,0,0.5856,,,0.1539,0.0811,53.9572,1.039,0.0133,-0.0431,0.5822,,0.0,1.1063,0.7528,0.0008,1.0,-0.0026,,0.0633,0.0633,-0.3121,-0.3121,-0.3121,-0.3121,5.5733,5.6417,-44.4444,-44.4444,-44.4444,-44.4444,58.4362,58.3677,58.5732,,,,,,,,,,,,-0.0425,,1701110604.0,1815397505.0,1815397505.0,3442.3302,3442.3302,3808.895,3808.895,-92297205.0506,-256489553.58,1005379534.73,1085573019.12,1342062572.7,650775183.556,-328384697.059,0.0,5.4561,,,681665228.639,681665228.639,-41.2688,13796200357.5,982.7173,864.4601,864.4601,,,192.243,,0.0033,0.0033,0.0,0.0,,,-8,100,92,0.0,-0.0013,0.1428,0.5714,0.4286,,,0.1742,0.5702,0.5702,-0.0001,0.0,70.5882,-0.0014,-0.0014,-0.009,-0.009,-0.128,0.444,0.444,,,,5.6078,5.6091,0.0102,5.6073,1.0031,5.6018,5.5949,1.0031,,,,64.5161,3.6308,-0.028,0.002,0.0054,99.2895,100.0,,,0.5
4,601658.XSHG,601658,邮储银行,XSHG,2019-12-16,5.59,5.59,5.59,5.59,5.56,5.58,143874990,801426854,75713,0.0278,0.876468122,28860676236,481011279156,-0.0018,8.0317,6.6453,0.942,1,5.57,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,0.0,,,,18.7982,0.9494,0.009,0.64,,,0.1352,5.6023,5.6093,5.6061,5.596,5.6087,0.8397,11.4132,0.0506,0.5752,0.1248,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.8992,24.0857,0,,,5.602,5.602,5.602,5.602,5.602,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0394,2.4707,8.0317,1.7492,,,,,,0.0065,,0.1373,,,-0.0054,-0.0054,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.1009,0.1009,0.1009,0.1009,0.1009,0.1009,,1.8164,,,0.1255,,0,0.5866,,,0.1539,0.0811,54.2066,1.0438,0.0133,-0.0431,0.5822,,0.0,1.2019,0.5901,0.0009,1.0,-0.0054,,0.055,0.055,-0.3927,-0.3927,-0.3927,-0.3927,5.5635,5.6405,-142.8571,-142.8571,-142.8571,-142.8571,52.8464,56.5273,45.4846,,,,,,,,,,,,-0.0814,,1557235614.0,1763765126.8,1763765126.8,2914.1495,2914.1495,3503.6602,3503.6602,-136360071.578,-312611537.689,848742344.781,940696399.253,1253307936.94,481808452.37,-352502932.221,0.0,3.9626,,,626984621.729,626984621.729,-62.9075,14598543218.4,1030.6756,897.7032,897.7032,,,189.2809,,0.0025,0.0025,0.0,9.0909,100.0,,-12,100,88,-0.0007,-0.0034,-0.1112,0.4444,0.5556,,,-0.0832,0.4395,0.4395,-0.0003,0.0,70.2703,-0.0029,-0.0029,-0.01,-0.01,-0.48,0.5617,0.5617,,,,5.6035,5.6069,0.0126,5.599,1.0034,5.5908,5.5822,1.0039,,,,48.7805,4.3658,-0.044,-0.014,0.0054,99.1119,100.0,,,0.5
5,601658.XSHG,601658,邮储银行,XSHG,2019-12-17,5.58,5.58,5.58,6.14,5.56,5.85,456119850,2651899251,191863,0.0882,0.876468122,30257160570,504286018470,0.0484,8.4203,6.9668,0.9876,1,5.814,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,-0.0429,,,,18.7982,0.9494,0.0125,0.64,,,0.1352,5.6474,5.6133,5.6293,5.6807,5.6166,0.8397,11.4132,0.0506,0.5752,0.119,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9464,24.133,0,,,5.6433,5.6433,5.6433,5.65,5.6433,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0897,2.5902,8.4203,1.8338,,,,,1.0428,0.0065,,0.1373,,,0.0419,0.0419,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.0988,0.0988,0.0988,0.0988,0.0559,0.0988,,1.8164,,,0.1197,,0,0.5595,,,0.1539,0.0811,48.1929,0.928,0.0133,-0.0431,0.5822,,1.0,1.0992,2.2991,0.0035,1.0,0.0274,,0.16,0.16,3.6628,3.6628,3.5398,3.6628,5.4379,5.8487,200.0,200.0,166.6667,200.0,52.7173,55.2573,47.6373,,,,,,,,,,,,0.321,,2013355464.0,1805363516.33,1805363516.33,2870.4412,2870.4412,3135.5973,3135.5973,-174710218.589,-328110806.632,777356436.639,866146160.906,1194256967.54,473245584.914,-306801176.087,0.0,4.8304,,,561430752.559,561430752.559,-82.2804,17266844340.9,1030.6756,919.8653,919.8653,,,170.8618,,0.0079,0.0079,68.75,2.5,92.9825,,4,96,100,0.0028,0.0165,0.8438,0.9219,0.0781,,,21.9871,4.0308,4.0308,0.0013,0.0002,57.8947,0.003,0.003,0.0297,0.0297,6.0759,0.5127,0.5617,,0.42,,5.6415,5.625,0.0526,5.6508,0.9659,5.7059,5.7675,0.9647,,,,410.8696,5.8671,-0.0792,0.5008,0.0991,99.1119,104.8387,,,0.5
6,601658.XSHG,601658,邮储银行,XSHG,2019-12-18,5.85,5.85,5.78,5.84,5.71,5.72,220064205,1268629909,82369,0.0425,0.876468122,29584779224,493079662504,-0.0222,8.2332,6.812,0.9656,1,5.765,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,-0.0442,,,,18.7982,0.9494,0.0161,0.64,,,0.1352,5.6606,5.6151,5.6379,5.6938,5.62,0.8397,11.4132,0.0506,0.5752,0.1217,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9239,24.1105,0,,,5.6543,5.6543,5.6543,5.668,5.6543,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0655,2.5327,8.2332,1.793,,,,,1.016,0.0065,,0.1373,,,0.0194,0.0194,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.0907,0.0907,0.0907,0.0907,0.0465,0.0907,,1.88,,,0.1217,,0,0.5781,,,0.1476,0.0921,50.9124,0.9804,0.0133,-0.0431,0.5822,,0.5185,1.1172,1.6901,0.0045,1.0,0.03,,0.1567,0.1567,1.1619,1.1619,0.9174,1.1619,5.458,5.8505,80.4852,80.4852,53.4188,80.4852,45.5274,52.014,32.5542,1.9608,,,,,,,,,,,0.3872,,1793291259.0,1834333240.83,1803638908.14,2641.611,1573.7294,2925.7224,832.2887,-210837295.624,-355345603.763,676030576.341,766748936.921,1122094540.68,388851791.609,-289016616.279,0.0,3.4049,,-86.4114,524159330.992,524159330.992,-103.7429,18533680614.4,844.4674,909.0941,970.6391,,6.8884,88.5457,,0.0061,0.005,58.5106,2.1277,92.9823,,4,92,96,0.0065,0.0215,0.2554,0.6277,0.3723,,,17.0968,6.8803,5.8974,0.0021,0.0004,51.3761,0.006,0.0073,0.034,0.0268,0.7091,0.9648,1.1416,,0.18,,5.6535,5.632,0.061,5.6717,0.9916,5.7234,5.755,0.9885,,,,214.7727,7.1786,0.0593,0.1893,0.0227,96.9094,104.8387,,,0.3333
7,601658.XSHG,601658,邮储银行,XSHG,2019-12-19,5.72,5.72,5.73,5.83,5.7,5.74,141028076,811746305,48416,0.0273,0.876468122,29688222508,494803717268,0.0035,8.262,6.8358,0.969,1,5.756,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,-0.0396,,,,18.7982,0.9494,0.0188,0.64,,,0.1352,5.675,5.6171,5.6476,5.7092,5.6239,0.8397,11.4132,0.0506,0.5752,0.1213,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9274,24.114,0,,,5.665,5.665,5.665,5.696,5.665,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0692,2.5415,8.262,1.7993,,,,,1.025,0.0065,,0.1373,,,0.0229,0.0229,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.0828,0.0828,0.0828,0.0828,0.0432,0.0828,,1.88,,,0.1213,,0,0.5761,,,0.1476,0.0921,50.4742,0.9719,0.0133,-0.0431,0.5822,,0.5926,1.1652,1.1711,0.0045,1.0,0.0324,,0.1529,0.1522,1.3239,1.3239,0.7725,1.3239,5.4735,5.8565,66.2111,66.2111,34.2466,66.2111,41.827,48.6183,28.2444,1.9538,,,,,,,,,,,0.4301,,1934319335.0,1809576600.67,1819973961.5,2412.8779,1277.8695,2784.8817,706.0334,-244457588.823,-378938761.621,578757394.461,670484189.087,1049422950.71,306243886.406,-268962345.595,0.0,3.594,,-69.5658,498958146.77,498958146.77,-124.5665,19345532238.6,790.2258,894.2356,952.3041,,5.9628,29.5627,,0.0052,0.0049,51.4019,2.8037,89.6553,,4,88,92,0.0106,0.0268,0.2422,0.6211,0.3789,,,17.5899,9.5366,7.3589,0.0025,0.0006,47.2455,0.0076,0.0126,0.0389,0.025,-0.4563,1.1209,1.3977,,0.14,,5.6668,5.64,0.0671,5.695,0.9922,5.7424,5.7577,0.9869,,,,200.9524,8.3714,0.0365,0.1665,0.0226,97.2482,104.8387,,,0.5
8,601658.XSHG,601658,邮储银行,XSHG,2019-12-20,5.74,5.74,5.75,5.84,5.72,5.75,176243052,1017976197,47809,0.0341,0.876468122,29739944150,495665744650,0.0017,8.2764,6.8477,0.9707,1,5.776,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,-0.0334,,,,18.7982,0.9494,0.0208,0.64,,,0.1352,5.6887,5.6193,5.6574,5.7228,5.628,0.8397,11.4132,0.0506,0.5752,0.1211,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9292,24.1158,0,,,5.6744,5.6744,5.6744,5.728,5.6744,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0711,2.546,8.2764,1.8024,,,,,1.0286,0.0065,,0.1373,,,0.0246,0.0246,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.0774,0.0774,0.0774,0.0774,0.044,0.0774,,1.88,,,0.1211,,0,0.5751,,,0.1476,0.0921,50.2579,0.9678,0.0133,-0.0431,0.5822,,0.6296,1.1849,0.7761,0.0043,1.0,0.0334,,0.1488,0.1468,1.3323,1.3323,0.3841,1.3323,5.4865,5.8624,65.5594,65.5594,28.2258,65.5594,39.9065,45.7144,28.2907,2.6786,,,,,,,,,,,0.4249,,2110562387.0,1851645777.17,1852261564.33,2257.8888,1238.3441,2646.1888,714.1526,-273625244.486,-390295867.137,505572968.559,594447091.073,984742958.21,262910274.937,-233341245.302,0.0,3.8304,,-21.5693,474229460.788,474229460.788,-143.2528,20362454648.6,702.1043,872.8877,896.811,,5.9452,-25.2929,,0.0048,0.0051,47.0588,2.521,89.8305,,4,84,88,0.0148,0.0315,0.2578,0.6289,0.3711,,,17.8969,12.4436,8.5298,0.0027,0.0009,43.0064,0.0085,0.0153,0.0329,0.0232,0.2246,1.2006,1.5611,,0.2,,5.6796,5.6481,0.068,5.6976,0.9909,5.7579,5.7616,0.9869,,,,203.4483,9.4753,0.0442,0.1642,0.0209,97.2482,105.0213,,,0.4
9,601658.XSHG,601658,邮储银行,XSHG,2019-12-23,5.75,5.75,5.76,5.88,5.74,5.82,170998638,994892791,60070,0.0331,0.876468122,30101995644,501699936324,0.0122,8.3772,6.9311,0.9825,1,5.818,,,,,,29.9446,,0.0104,0.708,,,0.0,,,,,0.0,0.0,-0.028,,,,18.7982,0.9494,0.0211,0.64,,,0.1352,5.7125,5.6227,5.6729,5.7552,5.6343,0.8397,11.4132,0.0506,0.5752,0.1196,,,1.8966,0.0044,6.153,0.2224,,,0.0003,,,-4.6833,26.9413,24.1279,0,,,5.689,5.689,5.689,5.776,5.689,,,,0.186,0.0233,0.2182,3.1838,,0.0215,0.2182,,-0.0878,0.2224,0.2224,0.0891,9.3026,,1.0841,2.577,8.3772,1.8244,,,,,1.043,0.0065,,0.1373,,,0.0367,0.0367,0.7776,0,1.5405,0.0072,,0.1218,0.0284,0.2897,-0.0206,0.073,0.073,0.073,0.073,0.045,0.073,,1.88,,,0.1197,,0,0.5681,,,0.1476,0.0921,48.7943,0.9396,0.0133,-0.0431,0.5822,,0.8888,1.2004,0.4387,0.0047,1.0,0.0408,,0.1478,0.1457,2.3027,2.3027,0.7618,2.3027,5.4893,5.8887,82.9379,82.9379,47.2441,82.9379,41.8586,44.4291,36.7176,4.1145,,,,0.0998,0.0,100.0,0.3436,,,,0.4624,,2281561025.0,1948387514.0,1895191510.4,2131.5892,1257.7619,2526.6175,703.9185,-297933080.777,-395164425.942,444741272.094,529301175.216,924465601.158,232273062.625,-194462690.329,0.0,4.0597,,8.8909,452945288.858,452945288.858,-159.9875,21356526730.8,726.5327,858.2522,854.1136,,7.3732,-37.6618,,0.0046,0.0054,45.1128,2.2556,90.4764,,4,80,84,0.0199,0.0403,0.2872,0.6436,0.3564,2.0,,19.9786,15.7443,9.6747,0.0031,0.0011,44.0031,0.0093,0.0154,0.0263,0.0248,1.3,1.1505,1.527,,0.3,,5.7012,5.6609,0.0724,5.7228,0.9833,5.7979,5.8094,0.9775,,,,215.2,10.5436,0.0436,0.1836,0.0241,98.4321,105.0213,,,0.5
