,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81480514,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 00:33:39,2021-01-01 00:33:43,0.137835338712,0.850885510445,2,0.919803179801,0,0.0178404808044,2021-01-01 00:33:56,伊利股份：全球一流的好公司，但投资价值堪比“鸡肋”,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,胡荆葭,搜狐财经
2,81484230,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 07:47:14,2021-01-01 07:47:43,0.0219188295305,0.911414384842,2,0.922373799607,0,0.0287523448467,2021-01-01 07:47:44,伊利股份：融资净偿还736.59万元，融资余额25.73亿元（12-31）,2020年12月31日伊利股份融资净偿还736.59万元，融资余额25.73亿元,东方财富Choice数据,财智星,东方财富网
3,81484712,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 07:51:32,2021-01-01 07:53:12,2.50958419201e-05,0.999972701073,2,0.999985248994,0,-0.00409029722214,2021-01-01 07:53:19,伊利股份(600887)融资融券信息(12-31),伊利股份(600887)融资融券信息(12-31),东方财富Choice数据,,东方财富网
4,81486155,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 08:12:43,2021-01-01 08:12:43,0.679478883743,0.315549463034,1,0.655288904905,1,0.653472046554,2021-01-01 08:12:45,后千亿时代，伊利剑指“全球第一”,今年前三季度，伊利股份实现营业收入735.06亿元，同比增长7.28%，归母净利润60.24亿元，同比增长6.99%，扣非净利润增长10.32%至58.07亿元，复苏态势明显，盈利能力显著提升。,斑马消费,,联商网
5,81488093,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 10:06:32,2021-01-01 10:06:37,0.249286994338,0.706595003605,2,0.831238500774,0,0.027896040678,2021-01-01 10:06:41,技术分析：伊利股份——这只价值大白马，后市如何？,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,白云科技论,搜狐财经
6,81494408,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 17:38:15,2021-01-01 17:38:22,0.839294493198,0.0138584533706,1,0.43350569997,0,0.0319929867983,2021-01-01 17:38:25,深度解析金龙鱼：一家有可能超过海天味业的明星企业！,第三个聊聊渠道，金龙鱼的渠道分零售渠道，餐饮渠道和工业渠道，在全国的渠道网点超过300万个，没拿到海天的数据，相信海天的数据是很优秀的，但跟金龙鱼比可能还差点。,,小和说情感,搜狐财经
7,81498072,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-02 00:41:56,2021-01-02 00:42:03,0.133024260402,0.828650355339,2,0.89516248554,0,0.0454287409782,2021-01-02 00:42:06,价值分析：伊利股份，比肩茅台的赚钱赛道！,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,A股队长,搜狐财经
8,81498584,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-02 04:36:16,2021-01-02 04:36:18,0.999706566334,0.00012729401351,1,0.49998057718,0,0.0829513013363,2021-01-02 04:37:09,资本裹挟的乳业变局：头部与区域企业的较量,区域乳企着手当下，为了更好生存纷纷向资本市场靠拢。多位业内人士提到，国内奶源并购的窗口期已经关闭，尤其是优质奶源基本上被龙头乳企掌握，行业集中度正在提升，接下来应该不会再大面积出现并购事件。,贝果财经,,新浪财经
9,81512323,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-03 09:32:56,2021-01-03 09:32:59,0.997560739517,0.00208024424501,1,0.500860614004,0,-0.0362649261951,2021-01-03 09:33:04,（财报分析）伊利集团——未来是否值得继续投资,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,酷仔,搜狐财经
10,81514293,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-03 11:50:11,2021-01-03 11:50:28,0.0088330199942,0.991158425808,2,0.995574935805,0,0.0172783911228,2021-01-03 11:50:31,伊利股份（600887）：全球一流的好公司，但投资价值堪比“鸡肋”,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,科技小故事,搜狐财经
