,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81998081,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-03 18:20:48,2021-01-12 07:02:17,0.242033109069,0.66465562582,2,0.785672180355,0,0.0423788875341,2021-01-12 07:02:32,新股申购结果：传智教育公布中签率,新股申购结果：传智教育公布中签率,中财网,,腾讯网
2,81998051,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-03 19:43:42,2021-01-12 07:02:15,0.0777535140514,0.916332483292,2,0.955209240317,0,0.00259650349617,2021-01-12 07:02:18,传智教育(003032.SZ)回拨后网上定价发行中签率为0.029%,传智教育发布公告，回拨后，网下最终发行数量为402.4250万股，约占本次发行总量的10%。回拨后本次网上定价发行的中签率为0.0293555645%，申购倍数为3，406.50919倍。,智通财经,,腾讯网
3,81527565,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 02:31:58,2021-01-04 02:32:00,0.147894963622,0.820023536682,2,0.893971018493,0,0.0821358680725,2021-01-04 02:32:19,江苏传智播客教育科技股份有限公司首次公开发行股票网上申购情况及中签率公告,江苏传智播客教育科技股份有限公司首次公开发行不超过4，024.4750万股人民币普通股的申请已获中国证券监督管理委员会证监许可[2020]3509号文核准。,,,证券时报网
4,81533425,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 08:13:41,2021-01-04 08:13:45,0.0448214039207,0.953049063683,2,0.975459765643,0,0.00291216671467,2021-01-04 08:13:51,传智教育网上发行最终中签率为0.0294%,据交易所公告，传智教育公布网上申购情况及中签率，本次网上发行有效申购户数为16，042，061户，有效申购股数为123，385，466，000股。网上最终发行数量为 3，622.0500万股，约占本次发行总量90%。,,上海证券报,搜狐财经
5,81556861,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 13:04:21,2021-01-04 13:04:22,0.728573143482,0.0257062055171,1,0.389992777258,1,0.62160256505,2021-01-04 13:04:23,石基信息盘中异动 股价拉升5.11%,2021年01月04日下午盘13时02分，石基信息出现异动，股价大幅拉升5.11%。过去一年内该股有3次涨停，涨停后第二交易日涨1次，跌2次，涨占比33.33%，跌占比66.67%。,自选股智能写手,,腾讯网
6,81557463,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 13:14:31,2021-01-04 13:14:32,0.959880173206,0.00762965762988,1,0.487569744233,1,0.593738824129,2021-01-04 13:14:33,用友网络盘中异动 股价拉升5.04%,2021年01月04日下午盘13时06分，用友网络出现异动，股价大幅拉升5.04%。最新的三季报显示，该股于2020年9月30日实现稀释每股收益-0.01元，营业利润-992.12万元，基本每股收益-0.01元。,自选股智能写手,,腾讯网
7,81558030,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 13:26:06,2021-01-04 13:26:07,0.976245701313,0.0130402715877,1,0.501163122244,1,0.600454622507,2021-01-04 13:26:08,太极股份盘中异动 下午盘大涨5.13%,2021年01月04日下午盘13时01分，太极股份出现异动，股价大幅拉升5.13%。过去一年内该股有2次涨停，涨停后第二交易日涨2次，跌0次，涨占比100%。,自选股智能写手,,腾讯网
8,81559662,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 13:54:07,2021-01-04 13:54:10,0.971931993961,0.0215392354876,1,0.507505232468,1,0.593797165155,2021-01-04 13:54:11,中国软件股价大涨5.00% 股价创2月新高,2021年01月04日下午盘13时31分，中国软件出现异动，股价大幅拉升5.00%，创2月新高。最新的三季报显示，该股于2020年9月30日实现稀释每股收益-1.11元，营业利润-6.56亿元，基本每股收益-1.11元。,自选股智能写手,,腾讯网
9,81559660,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 13:54:08,2021-01-04 13:54:09,0.888984501362,0.0420996770263,1,0.486591927707,1,0.634377330542,2021-01-04 13:54:15,和仁科技盘中异动 股价拉升5.03%,2021年01月04日下午盘13时30分，和仁科技出现异动，股价大幅拉升5.03%。过去一年内该股有2次涨停，涨停后第二交易日涨1次，跌1次，涨占比50.00%，跌占比50.00%。,自选股智能写手,,腾讯网
10,81560445,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 14:06:03,2021-01-04 14:06:04,0.9621758461,0.0141669884324,1,0.495254911482,1,0.612777918577,2021-01-04 14:06:05,迪普科技盘中异动 股价大涨5.11%,2021年01月04日下午盘13时42分，迪普科技出现异动，股价大幅拉升5.11%。过去一年内该股有3次涨停，涨停后第二交易日涨3次，跌0次，涨占比100%。,自选股智能写手,,腾讯网
11,81560647,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 14:09:20,2021-01-04 14:09:23,0.964574038982,0.0177563242614,1,0.500043343753,1,0.692941582203,2021-01-04 14:09:24,格尔软件盘中异动 股价拉升5.01%,2021年01月04日下午盘13时37分，格尔软件出现异动，股价大幅拉升5.01%。过去一年内该股有8次涨停，涨停后第二交易日涨4次，跌4次，涨占比50.00%，跌占比50.00%。,自选股智能写手,,腾讯网
12,81561096,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 14:15:42,2021-01-04 14:15:50,0.826299905777,0.0163975544274,1,0.429547507316,0,0.110697577894,2021-01-04 14:19:02,东吴证券--教育行业周报（2021年第1期）：“内卷加剧”，考研人数再创新高，招录类考试培训持续受益【行业研究】,就业压力大，考研越来越“内卷”：：上周末2021年全国硕士研究生如期进行，据教育部数据，今年参加考研的人数再创新高，达到377万人，同比增幅达到10.6%。,东吴证券,,金融界
13,81998055,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 20:24:00,2021-01-12 07:02:15,0.00722894025967,0.992616713047,2,0.996231183177,0,0.0779674783349,2021-01-12 07:02:18,传智教育中签号出炉，共7.24万个,传智教育1月4日晚间披露网上中签结果，中签号码共72，441个，每个中签号码能认购500股传智教育A股股票。,E公司,,腾讯网
14,81998069,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 20:36:04,2021-01-12 07:02:17,0.125153198838,0.872144639492,2,0.934721238911,0,-0.0242648005486,2021-01-12 07:02:20,兑奖啦！传智教育中签号出炉 看看你中了没,今日晚间，新股传智教育中签号出炉，中签号码共72441个。传智教育披露网上中签结果，中签号码共72441个，每个中签号码只能认购500股传智教育A股股票。,腾讯自选股,,腾讯网
15,81998085,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-04 20:47:33,2021-01-12 07:02:18,0.0135590909049,0.98418033123,2,0.990959876683,0,0.0978899389505,2021-01-12 07:02:19,传智教育(003032.SZ)IPO网上中签结果出炉：中签号共72441个,凡参与此次网上定价发行申购江苏传智播客教育科技股份有限公司股票的投资者持有的申购配号尾数与上述号码相同的，则为中签号码。中签号码共有72441个，每个中签号码只能认购500股传智教育A股股票。,格隆汇,,腾讯网
16,81599218,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-05 03:33:57,2021-01-05 03:33:58,0.068002961576,0.924395561218,2,0.958397042006,0,0.164571900666,2021-01-05 03:34:06,江苏传智播客教育科技股份有限公司首次公开发行股票网上中签结果公告,网上投资者申购新股中签后，应根据《江苏传智播客教育科技股份有限公司首次公开发行股票网上中签结果公告》履行资金交收义务，确保其资金账户在2021年1月5日日终有足额的新股认购资金，投资者款项划付需遵守投资者所在证券公司的相关规定。,,,证券时报网
17,81599271,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-05 03:33:57,2021-01-05 03:34:02,0.227378636599,0.581148445606,2,0.694837763906,0,0.0437707483768,2021-01-05 03:34:46,江苏传智播客教育科技股份有限公司首次公开发行股票网下发行初步配售结果公告,网下投资者应根据《江苏传智播客教育科技股份有限公司首次公开发行股票网下发行初步配售结果公告》，于2021年1月5日16：00前，按最终确定的发行价格与获配数量，及时足额缴纳新股认购资金。,,,证券时报网
18,81602733,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-05 07:05:50,2021-01-05 07:05:51,0.0689384862781,0.93023788929,2,0.964707132429,0,0.0795808941126,2021-01-05 07:05:54,传智教育 今日新股缴款,传智教育发布首次公开发行股票网上申购摇号中签结果。投资者根据网上中签结果公告确认中签后足额缴纳认购款。,东方财富Choice数据,财智星,东方财富网
19,81602734,003032.XSHE,A,E,3032,传智教育,XSHE,799823,2021-01-05 07:05:50,2021-01-05 07:05:51,0.523797392845,0.470830976963,1,0.732729673386,0,-0.0467847168446,2021-01-05 07:05:54,传智教育新股缴款提示,传智教育发布首次公开发行股票网上申购摇号中签结果。投资者根据网上中签结果公告确认中签后须足额缴纳认购款。,东方财富Choice数据,财智星,东方财富网
