,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81483911,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-01 07:43:45,2021-01-01 07:44:05,0.999948143959,1.94888652914e-05,1,0.499993560845,0,0.000434744358063,2021-01-01 07:44:08,“先抑后扬”的V型楼市，多城成交量跑赢上年｜2021新年特刊,伴随新冠肺炎疫情进入常态化防控阶段，房地产的复工复产在逐步推进，楼市日渐走出疫情的负面影响。商品房销售面积实现同比持平，1-11月商品房销售面积150834万平方米，同比增长1.3%。,华夏时报,苗诗雨,华夏时报
2,81486229,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-01 08:15:50,2021-01-01 08:15:52,0.989626288414,0.00953416712582,1,0.504347311333,0,0.0670273452997,2021-01-01 08:18:32,万亿REITs蓝海，哪些房企更具发展潜力,保利发布公告称，拟发行60亿商用物业类REITs项目，首期规模22.36亿。作为投资物业退出的一种重要手段，在当前融资不断收紧下，类REITs有望得到房企的更多重视。,克而瑞地产研究,,迈点资讯
3,81487955,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-01 10:00:09,2021-01-01 10:00:10,0.999948143959,1.94888652914e-05,1,0.499993560845,0,0.000434744358063,2021-01-01 10:00:18,“先抑后扬”的V型楼市 多城成交量跑赢上年,伴随新冠肺炎疫情进入常态化防控阶段，房地产的复工复产在逐步推进，楼市日渐走出疫情的负面影响。商品房销售面积实现同比持平，1-11月商品房销售面积150834万平方米，同比增长1.3%。,华夏时报,苗诗雨,东方财富网
4,81534469,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-03 00:00:00,2021-01-04 08:37:18,0.99967610836,0.000256446219282,1,0.500094500399,1,0.696916472912,2021-01-04 08:37:36,地产行业快评：全年目标基本完成 百强分化加剧,展望2021 年，尽管2020H2 房企“以价换量”带来部分需求提前释放，叠加热点城市调控趋严，但考虑历次销售大幅下行主要受中央层面调控或核心城市降价等负面事件冲击，目前以稳为主基调明确，预计2021 年全国销售额同比持平。,平安证券股份有限公司,杨侃/王懂扬,新浪财经
5,81540347,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-03 00:00:00,2021-01-04 09:38:16,0.999653458595,0.000255181308603,1,0.500081910606,0,0.147792474926,2021-01-04 09:38:23,地产行业周报：深圳发布城市更新条例 多地放宽落户限制,随着房企年终冲刺完成，1月成交较12月料下台阶，但“三稳”12.27重点城市新推房源17783套，环比升0.3%。本周境内发行利率处于5%-6.9%区间。,平安证券股份有限公司,,新浪财经
6,81547667,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-03 00:00:00,2021-01-04 10:42:52,0.999794304371,9.60000106716e-05,1,0.499993152196,0,0.113053739071,2021-01-04 10:42:54,房地产行业周报：出台涉房贷款新规 销售规模保持正增,成交土地2368.4 万平方米，同比增速-66.3%。本周房地产企业合计发行信用债54.2 亿元，同比增速157.6%，环比增速7.3%。,华西证券股份有限公司,由子沛/侯希得/肖峰,新浪财经
7,81526767,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-04 00:53:25,2021-01-04 00:55:02,1.98712982069e-07,0.999999761581,2,0.999999860938,0,0.031735599041,2021-01-04 00:55:05,细细的红线｜招商蛇口小登科,有鉴于此，观点地产新媒体策划年度重磅报道“细细的红线”，回顾并总结标杆房企过去一年在“抗疫”与“红线”之下，大到战略、模式，小到融资、人事等方面的调整与改变，并寻找新的一年里未来“持续的力量”之所在。,观点地产网,,观点地产网
8,81529157,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-04 04:50:11,2021-01-04 04:50:18,0.999836802483,6.46451153443e-05,1,0.499983046357,0,0.118801102042,2021-01-04 04:50:19,百强房企2020年销售金额同比增12.4%,百强房企实现全口径销售金额17186.8亿元，同比增长29.2%。截至2020年12月末，百强房企全年累计实现全口径销售金额130461.8亿元，同比增长12.4%。,上海证券报,,同花顺
9,81530520,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-04 06:52:43,2021-01-04 06:54:05,0.975737214088,0.00375409284607,1,0.49162269989,1,0.690018937106,2021-01-04 06:54:07,华西证券：2020年12月房地产行业销售更上一层，岁末完美收官,克而瑞发布2020年1-12月房地产企业销售TOP100排行榜，百强房企单月全口径销售金额同比上升28.2%。万科单月销售排名行业第一，实现销售金额986亿元，绿地控股和融创中国分列二三位，单月分别实现销售金额803和549亿元。,华西证券,,智通财经网
10,81534988,001979.XSHE,A,E,1979,招商蛇口,XSHE,4673,2021-01-04 08:45:50,2021-01-04 08:45:51,0.999887824059,0.000100159697467,1,0.500044071727,0,0.0675007373095,2021-01-04 08:45:58,请查收，2020降负成绩单,这似乎说明，“卖”很急迫，但“买”更要慎重。截止12月16日，全国55家主要房企拿地金额9042.7亿元，不及2019年全年拿地金额的一半。如今的富力已经是连踩“三线”的高危企业。,和讯房产,,和讯网
