,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
1,81484182,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-01 07:47:11,2021-01-01 07:47:28,0.115791387856,0.473503023386,2,0.531398717314,0,0.0287856131792,2021-01-01 07:47:29,片仔癀：融资净偿还467.42万元，融资余额19.29亿元（12-31）,2020年12月31日片仔癀融资净偿还467.42万元，融资余额19.29亿元,东方财富Choice数据,财智星,东方财富网
2,81487364,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-01 09:27:31,2021-01-01 09:27:33,0.999886393547,2.19223984459e-05,1,0.499965119172,0,0.15483917892,2021-01-01 09:27:37,2020年的医药生物行业：八大事件、八大关键词,新冠肺炎疫情这只“黑天鹅”导致全球医疗体系受到巨大冲击，医疗健康行业尤其被推上风口浪尖。从汇总名单上来看，“个人原因”或“工作调整”成为这些掌门人们人事变动的常规理由，但仔细分析，可以看到有一些掌门人是出于特殊原因不得不离开。,国际金融报,,证券之星
3,81500337,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-02 09:16:45,2021-01-02 09:16:46,0.999516129494,0.000328167778207,1,0.500086232525,0,0.0984941422939,2021-01-02 09:18:15,财报的秘密 | 美妆的生意经：为什么高毛利率难以转化,从归母净利润看，有趣的是三家业绩差不多，上海家化的营收规模虽然远高于同行，但净利润表现欠佳。化妆品行业的毛利率普遍较高，上海家化的平均毛利率62%左右。公司2020年1-9月份营收32.7亿，销售费用28.9亿，亏损11.57亿。,,诗与星空,搜狐财经
4,81501332,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-02 10:31:24,2021-01-02 10:31:25,0.999392271042,0.000494659238029,1,0.500190794759,0,-0.0205184698105,2021-01-02 10:31:30,2020年投资总结：“待到山花烂漫时，她在丛中笑”,回想过去的2020年，真的可谓是“风狂雨骤”与“花繁柳密”均经过！如果说茅台“稳稳当当”赚钱，那么格力则是“晃晃悠悠”赚钱。在自己懂的能力圈内，个人家庭拥有中国这么多优质的股权资产是一件很为幸福快乐的事情，因此，自己有时常常做梦笑醒！,,闲来一坐s话投资,雪球
5,81502615,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-02 12:21:41,2021-01-02 12:21:43,0.999793112278,2.67279847321e-05,1,0.499923284124,0,0.105552607775,2021-01-02 12:21:56,2021-2026年中国中草药化妆品市场竞争格局及投资战略规划报告,本报告对中国中草药化妆品行业的发展现状、竞争格局及市场供需形势进行了具体分析，并从行业的政策环境、经济环境、社会环境及技术环境等方面分析行业面临的机遇及挑战。,,华经—张鑫,搜狐财经
6,81506270,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-02 17:39:51,2021-01-02 17:39:54,0.991014540195,0.00804077927023,1,0.503548049368,0,0.0297982394695,2021-01-02 17:39:56,投资顶级R15的八字方针：等待、分批、慢买、长持,经常有人问我，优秀R15公司好当然是好，但就是太贵了，下不了手，尤其顶级R15公司，那更是贵，甚至几乎从来没有便宜过。这里统一再单独发个小文一一简单解释一下这八字方针的含义及原理。跟等待相辅相成，分批是必须和值得的。,,编程浪子,雪球
7,81506902,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-02 18:30:57,2021-01-02 18:30:59,0.871427416801,0.0142154963687,1,0.449929204769,1,0.654327146709,2021-01-02 18:31:03,深度解析：国之魁宝“云南白药”，未来将成全球的中国奢侈品！,归属于母公司净利润增长速度较快2019年归属于母公司的净利润为42亿，最近5年的平均增长率为10%，2020年第三季度财报显示，公司前3个季度的归属于母公司净利润为42.5亿，同比增长20%。,,小和说情感,搜狐财经
8,81509587,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-02 23:12:44,2021-01-02 23:13:00,0.00315152737312,0.996527612209,2,0.998103375896,0,0.131828546524,2021-01-02 23:13:02,深度分析：片仔癀VS同仁堂，谁最值得长期持有？,公司独家生产传统名贵中成药片仔癀。比较稳定，16年到19年平均为5.8%！获利含金量越多说明净利润越真实！,,白云科技论,搜狐财经
9,81510168,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-03 01:21:57,2021-01-03 01:22:29,0.948838710785,0.0170598216355,1,0.491479177028,0,0.0463755905628,2021-01-03 01:22:31,深度解析——同仁堂，未来翻倍空间有多大？,早上看到有朋友留言让我们分析下同仁堂，那么我们今天就一起看看这家老字号怎么样。归母净利润7.15亿元，同比下降15.89%。仁堂股价从六月份用了两个月的时间涨到最高33.75元，结果用了四个月的时间又回到了了远点。,,雨汐情感录,搜狐财经
10,81513306,600436.XSHG,A,E,600436,片仔癀,XSHG,974,2021-01-03 10:40:38,2021-01-03 10:40:40,0.999604046345,0.000218867047806,1,0.50002089022,0,0.0583526536822,2021-01-03 10:40:47,现金流好，成长空间大，成瘾性的行业，利润率比茅台还高,从出厂价格来看，华熙生物“润百颜”、昊海生科“海薇”出厂价格均在逐渐下跌，爱美客“爱芙莱”受益于税收优惠其出厂单价较为稳定。作为股票投资者，大众恐慌时我们不妨大胆激进一些。,,四建经济学,搜狐财经
