,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite
0,81484607,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-01 07:51:29,2021-01-01 07:52:27,0.0660410895944,0.491536200047,2,0.524556744844,0,0.0287523448467,2021-01-01 07:52:31,长江电力：融资净偿还2257.85万元，融资余额28.88亿元（12-31）,2020年12月31日长江电力融资净偿还2257.85万元，融资余额28.88亿元,东方财富Choice数据,财智星,东方财富网
1,81547675,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-03 00:00:00,2021-01-04 10:42:52,0.999925613403,4.18895979237e-05,1,0.5000046963,0,0.147026485205,2021-01-04 10:43:04,公用事业行业周报：1-11月电力热力生产和供应业利润总额同比增长3.8%,前11 月，全国规模以上工业企业实现利润总额57445.0 亿元，同比增长2.4%，增速较1-10 月份+1.7 个百分点，其中电力、热力生产与供应业利润总额同比+3.8%。,兴业证券股份有限公司,蔡屹/李春驰,新浪财经
2,81522938,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-03 20:19:29,2021-01-03 20:19:51,0.999970197678,1.933357089e-05,1,0.50000443241,0,0.157631608844,2021-01-03 20:19:56,【安信环保公用邵琳琳团队】周报0103：各地垃圾分类持续推进，水环境治理受到重视,国家发改委会同有关方面，加强协调调度，组织晋陕蒙等煤炭主产区的大型煤矿科学合理组织生产，同时国家能源集团煤炭生产单位按照历史同期最高水平92万吨/日安排12月份计划。,新浪财经-自媒体综合,,新浪财经
3,81525399,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-03 22:33:36,2021-01-03 22:33:38,0.0109888510779,0.987258970737,2,0.992753396276,1,0.939985719323,2021-01-03 22:33:40,发电行业的王者——长江电力，未来翻倍潜力巨大！,长江电力电站均为国家重点能源工程和“西电东送”骨干电源，承载着国家能源战略和区域发展战略，对落实国家“西电东送”能源战略以及“长江经济带”“西部大开发”战略意义重大。,,海瑞聊娱乐,搜狐财经
4,81559667,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-04 13:54:25,2021-01-04 13:54:28,0.967582464218,0.0291384421289,1,0.512929674238,1,0.610166549683,2021-01-04 13:54:28,中闽能源盘中异动 大幅拉升5.07%,2021年01月04日下午盘13时20分，中闽能源出现异动，股价大幅拉升5.07%。过去一年内该股有3次涨停，涨停后第二交易日涨2次，跌1次，涨占比66.67%，跌占比33.33%。,自选股智能写手,,腾讯网
5,81562906,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-04 14:44:12,2021-01-04 14:44:13,0.969602584839,0.0289678201079,1,0.513769112527,1,0.577604991198,2021-01-04 14:44:14,天富能源盘中异动 股价大涨5.52%,2021年01月04日临近收盘14时36分，天富能源出现异动，股价大幅拉升5.52%。过去一年内该股有6次涨停，涨停后第二交易日涨4次，跌2次，涨占比66.67%，跌占比33.33%。,自选股智能写手,,腾讯网
6,81570571,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-04 16:22:15,2021-01-04 16:22:16,0.776322007179,0.0926943048835,1,0.480855308473,1,0.802556967735,2021-01-04 16:22:19,【调研快报】三峡水利接待东吴证券等7家机构调研,2020年12月17日公司接待东吴证券等共7家机构调研，接待人员是三峡水利董事会秘书车亚平，长江电力战略投资部蔡伟伟，三峡水利董办师清誉，接待地点北京市西城区富凯大厦A座2305会议室。,东方财富,,新浪财经
7,81571997,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-04 16:40:16,2021-01-04 16:40:18,0.999317884445,0.000595117511693,1,0.500254059734,0,0.164256500639,2021-01-04 16:40:44,公用环保行业周报：火电碳交易配额方案出台 长江保护法审议通过,生态环境部发布2019-2020 年火电碳排放交易配额方案，预计火电机组后续年度碳交易成本将有持续小幅提升，短期影响有限，中长期或激励发电企业加速推动风光装机以确认减排额度。,中信证券股份有限公司,李想/武云泽,新浪财经
8,81577717,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-04 17:50:23,2021-01-04 17:50:24,0.971531629562,0.00319309532642,1,0.488958910108,0,0.102573022246,2021-01-04 17:50:27,建设银行宁波3宗违规收2罚单 贷款资金用途管控不严,银保监会网站12月31日公布的宁波银保监局行政处罚信息公开表显示，中国建设银行股份有限公司宁波市分行存在信用卡业务管理不到位、员工教育和管理存在不足的违法违规事实。,中国经济网,,东方财富网
9,81578740,600900.XSHG,A,E,600900,长江电力,XSHG,1406,2021-01-04 18:02:47,2021-01-04 18:02:51,0.970207810402,0.0127026326954,1,0.497806537896,-1,-0.683412693441,2021-01-04 18:02:54,建设银行宁波3宗违规收2罚单 贷款资金用途管控不严,银保监会网站12月31日公布的宁波银保监局行政处罚信息公开表显示，中国建设银行股份有限公司宁波市分行存在信用卡业务管理不到位、员工教育和管理存在不足的违法违规事实。,中国经济网,,新浪财经
