,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81513436,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-03 10:47:43,2021-01-03 10:47:45,0.0156049225479,0.981784701347,2,0.989587162621,0,0.19216013737,2021-01-03 10:47:45,万科A：看好长租公寓业务的长期未来,针对投资者的提问，万科A在互动平台回应称，长租公寓是解决居住问题的重要渠道，我们看好业务的长期未来。尽管这项业务目前还面临一些困难，但我们相信，集中式公寓市场需求大，且符合租购并举的政策方向。,TechWeb.com.cn,老喵,techweb,"万科A,看好,长租,公寓,业务,长期,未来","针对,投资者,提问,万科A,互动,平台,回应,称,长租,公寓,解决,居住,问题,重要,渠道,看好,业务,长期,未来,这项,业务,目前,还,面临,困难,相信,集中式,公寓,市场需求,大,符合,租,购并,举,政策,方向"
1,81537759,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 09:13:30,2021-01-04 09:13:59,0.000660992576741,0.998597443104,2,0.998927939392,0,-0.00359006822109,2021-01-04 09:14:19,万科A(000002)融资融券信息(12-31),万科A(000002)融资融券信息(12-31),东方财富Choice数据,,东方财富网,"万科A,000002,融资,融券,信息,12,31","万科A,000002,融资,融券,信息,12,31"
2,81541008,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 09:43:25,2021-01-04 09:43:36,0.000531290774234,0.999414801598,2,0.999680446985,-1,-0.613169908524,2021-01-04 09:43:44,万科Ａ盘中异动 早盘跳水3.07%,2021年01月04日早盘09时36分，万科A出现异动，股价大幅下跌3.07%。过去一年内该股还未有涨停，没有跌停。万科A公司主营业务为房地产开发和物业服务。,自选股智能写手,,腾讯网,"万科,盘中,异动,早盘,跳水,3.07%","2021,年,01,月,04,日,早盘,09,时,36,分,万科A,出现,异动,股价,大幅,下跌,3.07%,过去,一年,内该,股,还,未有,涨停,没有,跌停,万科A,公司,主营业务,房地产,开发,物业,服务"
3,81541334,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 09:45:53,2021-01-04 09:46:27,0.979415297508,0.016405608505,1,0.506113257259,0,0.0185223460197,2021-01-04 09:46:32,A股1月4日房企股开盘：格力地产跌9.13%,格力地产跌幅9.13%，金科股份跌幅3.95%，*ST银亿跌幅3.90%，新华联跌幅3.67%，泰禾集团跌幅3.36%，中南建设跌幅3.17%，华鑫股份跌幅3.16%，仁东控股跌幅3.11%，金地集团跌幅2.89%，万科A跌幅2.82%。,乐居财经,,乐居,"A股,1,月,4,日房,企股,开盘,格力地产,跌,9.13%","格力地产,跌幅,9.13%,金科股份,跌幅,3.95%,ST银亿,跌幅,3.90%,新华联,跌幅,3.67%,泰禾集团,跌幅,3.36%,中南建设,跌幅,3.17%,华鑫股份,跌幅,3.16%,仁东控股,跌幅,3.11%,金地集团,跌幅,2.89%,万科A,跌幅,2.82%"
4,81547097,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 10:39:38,2021-01-04 10:39:39,0.801334440708,0.169734373689,1,0.570401594043,0,-0.164740265906,2021-01-04 10:39:45,【A股港股地产股普遍下挫】 港股融创中国跌超5%，中国恒大跌超4%，万科企业跌近4%，碧桂园跌3.5%。A股格力地产跌超9%，中南建设跌超6%，泰和集团跌超4%,港股融创中国跌超5%，中国恒大跌超4%，万科企业跌近4%，碧桂园跌3.5%。A股格力地产跌超9%，中南建设跌超6%，泰和集团跌超4%，金地集团、保利地产、万科A跌超3%。,犀牛之星,,证券之星,"A股,港股,地产股,普遍,下挫,港股,融创,中国,跌超,5%,中国,恒,大跌,超,4%,万科,企业,跌近,4%,碧桂园,跌,3.5%,A股,格力地产,跌超,9%,中南建设,跌超,6%,泰和,集团,跌超,4%","港股,融创,中国,跌超,5%,中国,恒,大跌,超,4%,万科,企业,跌近,4%,碧桂园,跌,3.5%,A股,格力地产,跌超,9%,中南建设,跌超,6%,泰和,集团,跌超,4%,金地集团,保利地产,万科A,跌超,3%"
5,81579410,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 18:09:07,2021-01-04 18:09:08,0.403036385775,0.510326743126,2,0.711844936013,0,-0.00246233046055,2021-01-04 18:09:14,大宗交易：万科A成交6389.82万元，溢价0.89%（01-04）,2021年1月4日，万科A发生3笔大宗交易，总成交227.99万股，成交金额6389.82万元，成交均价28.03元，溢价0.89%。,东方财富Choice数据,财智星,东方财富网,"大宗,交易,万科A,成交,6389.82,万元,溢价,0.89%,01,04","2021,年,1,月,4,日,万科A,发生,3,笔,大宗,交易,总成交,227.99,万股,成交,金额,6389.82,万元,成交,均价,28.03,元,溢价,0.89%"
6,81585435,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 19:26:03,2021-01-04 19:26:05,0.127564743161,0.872115433216,2,0.935897804797,1,0.493255857627,2021-01-04 19:26:07,突发利空 万科A跌逾3% 兴业银行跌近6%！多只地产股频创新低 千亿白马股价逼近腰斩,银行地产保险一度被部分投资者称为A股市场的“三傻”，主要在于其优秀的业绩、较低的估值但股价长期横盘滞涨甚至不断新低。相对于新能源产业，银行地产板块确实不受到政策待见，反而利空不断。,数据宝,,东方财富网,"突发,利空,万科A,跌,逾,3%,兴业银行,跌近,6%,多只,地产股,频,创新,低,千亿,白马,股价,逼近,腰斩","银行,地产,保险,一度,部分,投资者,称为,A股,市场,三,傻,主要,在于,优秀,业绩,低,估值,股价,长期,横盘,滞涨,不断,新低,相对,新能源,产业,银行,地产,板块,确实,不,受到,政策,待见,反而,利空,不断"
7,81585947,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 19:38:27,2021-01-04 19:38:29,0.775198400021,0.223643273115,1,0.611242473125,1,0.493255857627,2021-01-04 19:38:32,突发利空：万科A跌逾3% 兴业银行跌近6%,突发利空，万科A跌逾3%，兴业银行跌近6%！除了近期的房地产贷款集中度管理制度外，去年初的金融业万亿让利实体让银行板块蛰伏许久。21 年经济改善与货币政策收敛组合下，有利于银行股获取超额收益。,数据宝,,新浪财经,"突发,利空,万科A,跌,逾,3%,兴业银行,跌近,6%","突发,利空,万科A,跌,逾,3%,兴业银行,跌近,6%,近期,房地产,贷款,集中度,管理制度,外,去年初,金融业,万亿,让利,实体,银行,板块,蛰伏,许久,21,年,经济,改善,货币政策,收敛,组合,下,有利于,银行,股,获取,超额,收益"
8,81596749,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-04 23:54:30,2021-01-04 23:54:33,0.00228235311806,0.997041165829,2,0.998182342388,0,0.154250398278,2021-01-04 23:54:36,价值分析：地产龙头----万科A，还有发展的空间？,这二年万科就不太安逸了，公司经营被后起之秀反超，二级市场的股票价格更是没有了动静，像是一只“雄狮”开始沉睡。净利润125.08亿，同比增长5.62%。更是可以用“炸裂”形容，实现销售金额587.2亿元，同比增长33.1%。,,方生聊历史,搜狐财经,"价值,分析,地产,龙头,----,万科A,发展,空间","二年,万科,不,太,安逸,公司,经营,后起之秀,反超,二级,市场,股票价格,更是,没有,动静,像是,一只,雄狮,沉睡,净利润,125.08,亿,同比,增长,5.62%,更是,炸裂,形容,实现,销售,金额,587.2,亿元,同比,增长,33.1%"
9,81651320,000002.XSHE,A,E,2,万科A,XSHE,3,2021-01-05 18:09:07,2021-01-05 18:09:08,0.619788944721,0.345523446798,1,0.655417919159,0,-0.0122200906277,2021-01-05 18:09:11,大宗交易：万科A成交357万元，折价8.63%（01-05）,2021年1月5日，万科A发生1笔大宗交易，总成交14万股，成交金额357万元，成交价25.50元，折价8.63%。,东方财富Choice数据,财智星,东方财富网,"大宗,交易,万科A,成交,357,万元,折价,8.63%,01,05","2021,年,1,月,5,日,万科A,发生,1,笔,大宗,交易,总成交,14,万股,成交,金额,357,万元,成交价,25.50,元,折价,8.63%"
