,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81480912,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-01 00:58:03,2021-01-01 00:58:05,0.999949455261,1.71989195223e-05,1,0.49999192655,0,0.028416082263,2021-01-01 00:58:06,格隆汇2021年“下注中国”十大核心资产揭晓！,格隆汇12月31日丨格隆汇创始人格隆博士在2021年跨年演讲上揭晓格隆汇2021年“下注中国”十大核心资产名单，分别是：贵州茅台、泰格医药、中国平安、东方财富、腾讯、美团、哔哩哔哩、领展、京沪高铁和宁德时代。,格隆汇APP,,新浪财经,"格隆汇,2021,年,下注,中国,十大,核心,资产,揭晓","格隆汇,12,月,31,日,格隆汇,创始人,格隆,博士,2021,年,跨,年,演讲,上,揭晓,格隆汇,2021,年,下注,中国,十大,核心,资产,名单,分别,贵州茅台,泰格医药,中国平安,东方财富,腾讯,美团,哔哩,哔哩,领展,京沪高铁,宁德时代"
1,81480957,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-01 01:02:25,2021-01-01 01:02:27,0.0180294532329,0.973489761353,2,0.982504487969,1,0.948831607774,2021-01-01 01:02:27,连续4日净买入 东方财富获深股通净买入28.14亿元,12月31日东方财富获深股通净买入8.43亿元，为连续4日净买入，合计净买入28.14亿元，期间股价上涨15.54%。资金流向方面，今日东方财富获主力资金净流入7.96亿元，获深股通连续净买入期间，主力资金累计净流入29.23亿元。,数据宝,,新浪财经,"连续,4,日净,买入,东方财富,获深,股通净,买入,28.14,亿元","12,月,31,日,东方财富,获深,股通净,买入,8.43,亿元,连续,4,日净,买入,合计,净,买入,28.14,亿元,期间,股价,上涨,15.54%,资金,流向,方面,今日,东方财富,获,主力,资金,净流入,7.96,亿元,获深,股通,连续,净,买入,期间,主力,资金,累计,净流入,29.23,亿元"
2,81498097,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-02 00:52:51,2021-01-02 00:52:52,0.00156206917018,0.998328030109,2,0.999109064694,1,0.75130552724,2021-01-02 00:52:53,东方财富（300059）：入围证券IT服务商名录，夯实资质壁垒,东方财富入围证监会公布的第二批证券信息技术系统服务机构备案名单。预计公司2020~2022年归母净利润为36.79/45.99/56.97亿元，维持“审慎增持”评级。,,淡墨青衫,搜狐财经,"东方财富,300059,入围,证券,IT,服务商,名录,夯实,资质,壁垒","东方财富,入围,证监会,公布,第二批,证券,信息技术,系统,服务,机构,备案,名单,预计,公司,2020,~,2022,年,归母,净利润,36.79,45.99,56.97,亿元,维持,审慎,增持,评级"
3,81502440,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-02 12:07:33,2021-01-02 12:07:38,0.806456327438,0.0654537007213,1,0.46868186444,1,0.853505071998,2021-01-02 12:07:39,北向资金丨本周扫货重点曝光，东方财富被买入超28亿元,北向资金本周净买入135.81亿元。沪股通合计净买入27.26亿元，深股通合计净买入108.56亿元。净买入额居前三的是东方财富、贵州茅台、宁德时代，净买入额分别是28.14亿元、11.17亿元和10.99亿元。,第一财经,,腾讯网,"北向,资金,本周,扫货,重点,曝光,东方财富,买入,超,28,亿元","北向,资金,本周,净,买入,135.81,亿元,沪,股通,合计,净,买入,27.26,亿元,深股通,合计,净,买入,108.56,亿元,净,买入,额居前,三,东方财富,贵州茅台,宁德时代,净,买入,额,分别,28.14,亿元,11.17,亿元,10.99,亿元"
4,81505811,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-02 16:59:14,2021-01-02 16:59:19,0.880808889866,0.104764133692,1,0.545168578625,1,0.754928084463,2021-01-02 16:59:20,谁能成为下一只蓄力龙头：复星医药，东方财富，爱康科技，国药股份？,产线兼容了单晶和多晶两种生产工艺，双玻组件等新型组件已陆续推出，目前具备年产1GW的高效组件产能。复星医药，以药品制造与研发为核心。东方财富，专注于为客户提供金融信息资讯的企业。,,七彩舵手,搜狐财经,"成为,下,一只,蓄力,龙头,复星医药,东方财富,爱康科技,国药股份","产线,兼容,单晶,多晶,两种,生产工艺,双,玻,组件,新型,组件,已,陆续,推出,目前,具备,年产,1GW,高效,组件,产能,复星医药,药品,制造,研发,核心,东方财富,专注,客户,提供,金融,信息资讯,企业"
5,81515354,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-03 13:19:32,2021-01-03 13:19:34,0.000702005112544,0.998614430428,2,0.998965432984,1,0.643422424793,2021-01-03 13:19:49,东方财富业绩高速增长，但投资收益率止步不前，核心问题只有一点,东方财富的股价近期以来创下新高之后开始止步不前，这企业具有券商属性的影响，跟随了券商板块的走势，则是企业在管理方面的问题比较大，导致了企业的净资产收益率非常的低。,,小七说科技,搜狐财经,"东方财富,业绩,高速,增长,投资,收益率,止步不前,核心,问题,一点","东方财富,股价,近期,以来,创下,新高,之后,止步不前,企业,具有,券商,属性,影响,跟随,券商,板块,走势,企业,管理,方面,问题,比较,大,导致,企业,净资产,收益率,非常,低"
6,81517122,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-03 15:35:04,2021-01-03 15:35:06,0.0318735428154,0.927025675774,2,0.942962447181,1,0.55373724699,2021-01-03 15:35:09,东方财富——A股券商总龙头，能否成为下一只中信证券？,东方财富的股价近期以来创下新高之后开始止步不前，这企业具有券商属性的影响，跟随了券商板块的走势，则是企业在管理方面的问题比较大，导致了企业的净资产收益率非常的低。,,文心讲游戏,搜狐财经,"东方财富,A股,券商,总,龙头,能否,成为,下,一只,中信证券","东方财富,股价,近期,以来,创下,新高,之后,止步不前,企业,具有,券商,属性,影响,跟随,券商,板块,走势,企业,管理,方面,问题,比较,大,导致,企业,净资产,收益率,非常,低"
7,81524685,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-03 21:44:22,2021-01-03 21:44:34,0.210908830166,0.753538787365,2,0.858993202448,0,0.00820238292217,2021-01-03 21:44:51,东方财富为什么这样强，因为正在走向嘉信理财的路上,90年代左右，美国共同基金规模和持有户数急剧增长，股市从1987年“黑色星期一”崩盘后脱离泥淖，开始了长达10多年的牛市，直至2000年“科技股泡沫”，共同基金尤其权益类产品的数量与净值均收获高增长，尤其受到投资者青睐与追捧。,,观山,搜狐财经,"东方财富,强,正在,走向,嘉信,理财,路上","90,年代,左右,美国,共同,基金,规模,持有,户数,急剧,增长,股市,1987,年,黑色星期,崩盘,后,脱离,泥淖,长达,10,多年,牛市,直至,2000,年,科技股,泡沫,共同,基金,尤其,权益,类产品,数量,净值,均,收获,高,增长,尤其,受到,投资者,青睐,追捧"
8,81530605,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 06:57:33,2021-01-04 06:57:37,0.976017534733,0.0025338344276,1,0.490542601794,0,0.0289216816425,2021-01-04 06:57:42,迈瑞医疗最受追捧 去年3802家次机构调研公司,从机构调研总量看，东方财富Choice数据显示，2020年沪深两市共有1511家上市公司获得各类机构调研，大约占A股公司总数的36%。“机构调研王”迈瑞医疗亦再创新高，该股全年上涨近136%，现价426元/股，最新市值已达到5179亿元。,证券时报,,和讯网,"迈瑞医疗,最受,追捧,去年,3802,家次,机构,调研,公司","机构,调研,总量,看,东方财富,Choice,数据,显示,2020,年,沪,深,两市,共有,1511,家,上市公司,获得,各类,机构,调研,大约,占,A股,公司,总数,36%,机构,调研,王,迈瑞医疗,亦,再创新高,该股,全年,上涨,近,136%,现价,426,元,股,最新,市值,已,达到,5179,亿元"
9,81536724,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 09:05:00,2021-01-04 09:06:12,0.00129272323102,0.997905611992,2,0.998551973607,1,0.693782931566,2021-01-04 09:06:23,东方财富：12月31日融资净买入3.12亿元 环比增加267.04%,12月31日融资买入29.51亿元，融资偿还26.39亿元，融资净买入3.12亿元，当前融资余额为143.16亿元。东方财富12月31日融资融券余额较昨日增加4.07亿元至151.78亿元。,同花顺金融研究中心,,同花顺,"东方财富,12,月,31,日,融资,净,买入,3.12,亿元,环比,增加,267.04%","12,月,31,日,融资,买入,29.51,亿元,融资,偿还,26.39,亿元,融资,净,买入,3.12,亿元,当前,融资,余额,143.16,亿元,东方财富,12,月,31,日,融资,融券,余额,昨日,增加,4.07,亿元,151.78,亿元"
10,81541377,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 09:46:51,2021-01-04 09:46:52,0.00729677267373,0.992698967457,2,0.996347353794,0,-0.128715760261,2021-01-04 09:46:56,东方财富盘中快速下跌,东方财富盘中直线打压快速下跌，截止09：33，报价30.74元，涨幅-0.84%，成交454094手，成交量14.26亿元，换手率0.64%。,新浪财经,,新浪财经,"东方财富,盘中,快速,下跌","东方财富,盘中,直线,打压,快速,下跌,截止,09,33,报价,30.74,元,涨幅,0.84%,成交,454094,手,成交量,14.26,亿元,换手率,0.64%"
11,81542019,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 09:52:48,2021-01-04 09:52:49,0.997221469879,0.00200071418658,1,0.500611449126,1,0.554930284619,2021-01-04 09:52:52,国海证券--计算机行业周报：春季躁动关注板块龙头【行业研究】,2020全年视角来看，计算机板块龙头效应亦是明显，板块全年收益率仅 16.9%，但中科创达、金山办公、东方财富、广联达、深信服、宝信软件、用友网络涨幅均超过 100%。,国海证券,,金融界,"国海证券,计算机行业,周报,春季,躁动,关注,板块,龙头,行业,研究","2020,全年,视角,来看,计算机,板块,龙头,效应,亦,明显,板块,全年,收益率,仅,16.9%,中科创达,金山办公,东方财富,广联达,深信服,宝信软件,用友网络,涨幅,均,超过,100%"
12,81546019,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 10:27:52,2021-01-04 10:27:54,0.994070708752,0.00298879179172,1,0.500024146168,1,0.553247869015,2021-01-04 10:27:55,国海证券--计算机行业周报：春季躁动关注板块龙头,2020全年视角来看，计算机板块龙头效应亦是明显，板块全年收益率仅 16.9%，但中科创达、金山办公、东方财富、广联达、深信服、宝信软件、用友网络涨幅均超过 100%。,金融界,,同花顺,"国海证券,计算机行业,周报,春季,躁动,关注,板块,龙头","2020,全年,视角,来看,计算机,板块,龙头,效应,亦,明显,板块,全年,收益率,仅,16.9%,中科创达,金山办公,东方财富,广联达,深信服,宝信软件,用友网络,涨幅,均,超过,100%"
13,81546587,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 10:33:21,2021-01-04 10:33:23,0.58971709013,0.37886723876,1,0.673725783825,1,0.97746155262,2021-01-04 10:33:25,东方财富等35股获北向资金增持额超亿元,按所属行业统计，北向资金增持市值居前个股中，非银金融、电子、国防军工等行业最为集中。,,证券时报,搜狐财经,"东方财富,35,股获,北向,资金,增持,额超,亿元","所属,行业,统计,北向,资金,增持,市值,居前,个股,中,非银,金融,电子,国防,军工,行业,最为,集中"
14,81548474,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 10:53:03,2021-01-04 10:53:08,0.998372495174,0.00125442980789,1,0.500440677395,0,0.00576667040586,2021-01-04 10:53:42,券商发展迈入转型，2020年中国证券行业财富管理转型专题洞察,中信、华泰、招商证券深耕投资领域多年，具有更深厚的资产配置经验，业务类型相对更丰富。蚂蚁集团混业程度高，能为客户提供多场景财富管理服务。东方财富以财经信息门户起家，拥有首批独立基金销售机构天天基金，具有强大的渠道优势。,,易观分析,搜狐财经,"券商,发展,迈入,转型,2020,年,中国,证券,行业,财富,管理,转型,专题,洞察","中信,华泰,招商证券,深耕,投资,领域,多年,具有,更,深厚,资产,配置,经验,业务,类型,相对,更,丰富,蚂蚁,集团,混业,程度,高,能为,客户,提供,场景,财富,管理,服务,东方财富,财经,信息,门户,起家,拥有,首批,独立,基金,销售,机构,天天,基金,具有,强大,渠道,优势"
15,81557153,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 13:09:22,2021-01-04 13:09:23,0.0195502806455,0.980405449867,2,0.99018059019,0,0.115878281742,2021-01-04 13:09:23,东方财富大涨,东方财富大涨，截止13：04，报价32.58元，涨幅5.1%，成交3038384手，成交量95.81亿元，换手率4.26%。,新浪财经,,新浪财经,"东方财富,大涨","东方财富,大涨,截止,13,04,报价,32.58,元,涨幅,5.1%,成交,3038384,手,成交量,95.81,亿元,换手率,4.26%"
16,81558049,300059.XSHE,A,E,300059,东方财富,XSHE,36796,2021-01-04 13:26:38,2021-01-04 13:26:39,0.232675492764,0.701831400394,2,0.818169146776,1,0.792150443792,2021-01-04 13:26:40,东方财富下午盘大幅拉升5.10% 股价创历史新高,2021年01月04日下午盘13时04分，东方财富出现异动，股价大幅拉升5.10%，创历史新高。过去一年内该股有2次涨停，涨停后第二交易日涨2次，跌0次，涨占比100%。,自选股智能写手,,腾讯网,"东方财富,下午,盘,大幅,拉升,5.10%,股价,创,历史,新高","2021,年,01,月,04,日,下午,盘,13,时,04,分,东方财富,出现,异动,股价,大幅,拉升,5.10%,创,历史,新高,过去,一年,内该,股有,2,次,涨停,涨停,后,交易日,涨,2,次,跌,0,次,涨,占,100%"
