,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81480514,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 00:33:39,2021-01-01 00:33:43,0.137835338712,0.850885510445,2,0.919803179801,0,0.0178404808044,2021-01-01 00:33:56,伊利股份：全球一流的好公司，但投资价值堪比“鸡肋”,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,胡荆葭,搜狐财经,"伊利股份,全球,一流,好,公司,投资,价值,堪比,鸡肋","伊利,毛利率,远超,同行,三费,占,比较,高,最终,净,利率,依然,领先"
1,81484230,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 07:47:14,2021-01-01 07:47:43,0.0219188295305,0.911414384842,2,0.922373799607,0,0.0287523448467,2021-01-01 07:47:44,伊利股份：融资净偿还736.59万元，融资余额25.73亿元（12-31）,2020年12月31日伊利股份融资净偿还736.59万元，融资余额25.73亿元,东方财富Choice数据,财智星,东方财富网,"伊利股份,融资,净,偿还,736.59,万元,融资,余额,25.73,亿元,12,31","2020,年,12,月,31,日,伊利股份,融资,净,偿还,736.59,万元,融资,余额,25.73,亿元"
2,81484712,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 07:51:32,2021-01-01 07:53:12,2.50958419201e-05,0.999972701073,2,0.999985248994,0,-0.00409029722214,2021-01-01 07:53:19,伊利股份(600887)融资融券信息(12-31),伊利股份(600887)融资融券信息(12-31),东方财富Choice数据,,东方财富网,"伊利股份,600887,融资,融券,信息,12,31","伊利股份,600887,融资,融券,信息,12,31"
3,81486155,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 08:12:43,2021-01-01 08:12:43,0.679478883743,0.315549463034,1,0.655288904905,1,0.653472046554,2021-01-01 08:12:45,后千亿时代，伊利剑指“全球第一”,今年前三季度，伊利股份实现营业收入735.06亿元，同比增长7.28%，归母净利润60.24亿元，同比增长6.99%，扣非净利润增长10.32%至58.07亿元，复苏态势明显，盈利能力显著提升。,斑马消费,,联商网,"后,千亿,时代,伊利,剑,指,全球,第一","今年,前,三季度,伊利股份,实现,营业,收入,735.06,亿元,同比,增长,7.28%,归母,净利润,60.24,亿元,同比,增长,6.99%,扣非,净利润,增长,10.32%,58.07,亿元,复苏,态势,明显,盈利,能力,显著,提升"
4,81488093,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-01 10:06:32,2021-01-01 10:06:37,0.249286994338,0.706595003605,2,0.831238500774,0,0.027896040678,2021-01-01 10:06:41,技术分析：伊利股份——这只价值大白马，后市如何？,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,白云科技论,搜狐财经,"技术,分析,伊利股份,只,价值,大,白马,后市","伊利,毛利率,远超,同行,三费,占,比较,高,最终,净,利率,依然,领先"
5,81498072,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-02 00:41:56,2021-01-02 00:42:03,0.133024260402,0.828650355339,2,0.89516248554,0,0.0454287409782,2021-01-02 00:42:06,价值分析：伊利股份，比肩茅台的赚钱赛道！,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,A股队长,搜狐财经,"价值,分析,伊利股份,比肩,茅台,赚钱,赛道","伊利,毛利率,远超,同行,三费,占,比较,高,最终,净,利率,依然,领先"
6,81514293,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-03 11:50:11,2021-01-03 11:50:28,0.0088330199942,0.991158425808,2,0.995574935805,0,0.0172783911228,2021-01-03 11:50:31,伊利股份（600887）：全球一流的好公司，但投资价值堪比“鸡肋”,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,科技小故事,搜狐财经,"伊利股份,600887,全球,一流,好,公司,投资,价值,堪比,鸡肋","伊利,毛利率,远超,同行,三费,占,比较,高,最终,净,利率,依然,领先"
7,81517705,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-03 16:23:09,2021-01-03 16:23:13,0.519071280956,0.248574838042,1,0.50811047852,0,-0.00163805484772,2021-01-03 16:23:18,企业深度分析：乳业巨头——伊利股份，到底价值几何？,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,张伟说北郊,搜狐财经,"企业,深度,分析,乳业,巨头,伊利股份,到底,价值,几何","伊利,毛利率,远超,同行,三费,占,比较,高,最终,净,利率,依然,领先"
8,81525412,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-03 22:33:40,2021-01-03 22:33:42,0.072509855032,0.924792528152,2,0.961047455668,1,0.649406522512,2021-01-03 22:33:44,估值分析：伊利股份，优秀龙头企业，未来还有多少的翻倍潜力？,实现归母净利润60.24亿元，同比增长6.99%。行业整体估值为35倍左右，龙头给予一定的溢价空间，给予37-40倍的估值，整体50-55元为合理水平，由此可见伊利股份正走在行业超级龙头的路上，确定性相当高。,,蓉蓉聊教育,搜狐财经,"估值,分析,伊利股份,优秀,龙头企业,未来,翻倍,潜力","实现,归母,净利润,60.24,亿元,同比,增长,6.99%,行业,整体,估值,35,倍,左右,龙头,给予,一定,溢价,空间,给予,37,40,倍,估值,整体,50,55,元为,合理,水平,伊利股份,正,走,行业,超级,龙头,路上,确定性,相当,高"
9,81525787,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-03 23:02:57,2021-01-03 23:03:01,0.241547554731,0.723987340927,2,0.844761118293,0,0.0982282400131,2021-01-03 23:03:24,价值解析：加速布局上游牧场，伊利股份是否未来可期？,“伊利的毛利率与同行蒙牛相差无几，但净利率明显比蒙牛要高出不少。建成后产能将达到6，000吨/日，低温奶回归趋势下，有望结束观望加快低温布局。”,,淑帅讲娱乐,搜狐财经,"价值,解析,加速,布局,上游,牧场,伊利股份,是否,未来,期","伊利,毛利率,同行,蒙牛,相差无几,但净,利率,明显,蒙牛,高出,不少,建成,后,产能,达到,6,000,吨,日,低温,奶,回归,趋势,下,有望,结束,观望,加快,低温,布局"
10,81531091,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-04 07:14:15,2021-01-04 07:14:17,0.0264093838632,0.971217215061,2,0.984421906993,0,0.0216412007809,2021-01-04 07:14:30,价值分析：伊利股份，股价还能在涨50%？,9月份来看，实现营收261.6亿元，同比增长11.1%，归母净利润22.9亿元，同比增长23.7%，扣非净利润20.4亿元，同比增长17%。,,A股队长,搜狐财经,"价值,分析,伊利股份,股价,还,涨,50%","9,月份,来看,实现,营收,261.6,亿元,同比,增长,11.1%,归母,净利润,22.9,亿元,同比,增长,23.7%,扣非,净利润,20.4,亿元,同比,增长,17%"
11,81560116,600887.XSHG,A,E,600887,伊利股份,XSHG,1393,2021-01-04 14:00:40,2021-01-04 14:00:44,0.0510444752872,0.947762608528,2,0.973284846172,1,0.742241731286,2021-01-04 14:01:00,超稳定增长——伊利股份：强大护城河，收入质量、分红率高，未来该如何投资？,由于伊利的毛利率远超同行，即使三费占比较高，最终的净利率依然是领先的。,,小七说科技,搜狐财经,"超稳定,增长,伊利股份,强大,护城河,收入,质量,分红,率高,未来,投资","伊利,毛利率,远超,同行,三费,占,比较,高,最终,净,利率,依然,领先"
