,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81532606,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-04 08:02:35,2021-01-04 08:02:36,0.000406883511459,0.999582707882,2,0.999786149638,-1,-0.997815998318,2021-01-04 08:02:36,佳发教育业绩下滑后频遭减持 德员泰拟减持799万股,佳发教育发布股东减持预披露公告。,,GPLP犀牛财经,搜狐财经,"佳发教育,业绩,下滑,后,频遭,减持,德员泰拟,减持,799,万股","佳发教育,发布,股东,减持,预,披露,公告"
1,81649530,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-05 17:44:46,2021-01-05 17:44:47,0.00262898695655,0.99710804224,2,0.998422535718,1,0.76810643822,2021-01-05 17:44:48,佳发教育2020年度累计取得计算机软件著作权登记证书39项和专利证书6项,佳发教育发布公告，公司及其子公司2020年度累计取得计算机软件著作权登记证书39项和专利证书6项。,智通财经,,同花顺,"佳发教育,2020,年度,累计,取得,计算机软件,著作权,登记,证书,39,项,专利证书,6,项","佳发教育,发布公告,公司,子公司,2020,年度,累计,取得,计算机软件,著作权,登记,证书,39,项,专利证书,6,项"
2,81649629,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-05 17:45:31,2021-01-05 17:45:33,0.00221654144116,0.995905399323,2,0.997013670043,1,0.738210427761,2021-01-05 17:45:33,佳发教育(300559.SZ)及子公司2020年度累计取得计算机软件著作权登记证书39项和专利证书6项,格隆汇 1 月 5日丨佳发教育公布，公司及其子公司2020年度累计取得计算机软件著作权登记证书39项和专利证书6项。,格隆汇APP,,新浪财经,"佳发教育,300559,SZ,子公司,2020,年度,累计,取得,计算机软件,著作权,登记,证书,39,项,专利证书,6,项","格隆汇,1,月,5,日,佳发教育,公布,公司,子公司,2020,年度,累计,取得,计算机软件,著作权,登记,证书,39,项,专利证书,6,项"
3,81650455,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-05 17:57:37,2021-01-05 17:57:38,0.00466548092663,0.988372147083,2,0.990704887547,1,0.764793530107,2021-01-05 17:57:46,佳发教育(300559.SZ)2020年度累计取得计算机软件著作权登记证书39项和专利证书6项,佳发教育发布公告，公司及其子公司2020年度累计取得计算机软件著作权登记证书39项和专利证书6项。,智通财经网,,金融界,"佳发教育,300559,SZ,2020,年度,累计,取得,计算机软件,著作权,登记,证书,39,项,专利证书,6,项","佳发教育,发布公告,公司,子公司,2020,年度,累计,取得,计算机软件,著作权,登记,证书,39,项,专利证书,6,项"
4,81651634,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-05 18:14:01,2021-01-05 18:14:02,0.494325697422,0.199853733182,1,0.447016581893,0,-0.0132454961538,2021-01-05 18:14:03,大宗交易：佳发教育成交8379万元，折价12.05%（01-05）,2021年1月5日，佳发教育发生1笔大宗交易，总成交700万股，成交金额8379万元，成交价11.97元，折价12.05%。,东方财富Choice数据,财智星,东方财富网,"大宗,交易,佳发教育,成交,8379,万元,折价,12.05%,01,05","2021,年,1,月,5,日,佳发教育,发生,1,笔,大宗,交易,总成交,700,万股,成交,金额,8379,万元,成交价,11.97,元,折价,12.05%"
5,81655859,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-05 19:07:50,2021-01-05 19:07:51,0.0466652400792,0.559392154217,2,0.582724774256,0,-0.00019573867321,2021-01-05 19:07:51,"佳发教育现1笔大宗交易 共成交8,379.00万元",佳发教育在1月5日，发生1笔大宗交易。第1笔成交价格为11.97元，成交700.00万股，成交金额8，379.00万元，买方营业部为兴业证券股份有限公司四川分公司，卖方营业部为信达证券股份有限公司成都通锦桥路证券营业部。,新浪财经,,腾讯网,"佳发教育,现,1,笔,大宗,交易,共,成交,8,379.00,万元","佳发教育,1,月,5,日,发生,1,笔,大宗,交易,1,笔,成交,价格,11.97,元,成交,700.00,万股,成交,金额,8,379.00,万元,买方,营业部,兴业证券,股份,有限公司,四川,分公司,卖方,营业部,信达,证券,股份,有限公司,成都,通锦桥,路,证券,营业部"
6,81663489,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-05 21:30:38,2021-01-05 21:30:39,0.00885658152401,0.988909304142,2,0.993337594904,1,0.820016729087,2021-01-05 21:30:39,佳发教育2020年度累计取得39项计算机软件著作权登记证书,佳发教育发布公告称，2020年，公司及其子公司2累计取得了39项计算机软件著作权登记证书和6项专利证书。佳发教育的6项专利所涉及技术与公司主要技术相关，目前已应用于公司相关业务中。,,程铭劼 赵博宇,北京商报,"佳发教育,2020,年度,累计,取得,39,项,计算机软件,著作权,登记,证书","佳发教育,发布公告,称,2020,年,公司,子公司,2,累计,取得,39,项,计算机软件,著作权,登记,证书,6,项,专利证书,佳发教育,6,项,专利,涉及,技术,公司,主要,技术,相关,目前,已,应用,公司,相关,业务,中"
7,81723783,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-06 18:10:02,2021-01-06 18:10:09,0.00195347773843,0.997922599316,2,0.998899338185,-1,-0.92459551692,2021-01-06 18:10:19,佳发教育遭主要股东德员泰减持700万股 减持计划完成,佳发教育发布公告，公司近日收到德员泰出具的《关于减持股份超过1%暨减持计划实施完成的告知函》，德员泰于2021年1月5日通过大宗交易的形式累计减持公司700万股，占公司总股本的1.7521%，其减持计划已实施完成。,智通财经,,同花顺,"佳发教育,遭,主要,股东,德员泰,减持,700,万股,减持,计划,完成","佳发教育,发布公告,公司,近日,收到,德员泰,出具,减持,股份,超过,1%,暨,减持,计划,实施,完成,告知,函,德员泰于,2021,年,1,月,5,日,大宗,交易,形式,累计,减持,公司,700,万股,占,公司,总,股本,1.7521%,减持,计划,已,实施,完成"
8,81723948,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-06 18:12:18,2021-01-06 18:12:19,0.00128100416623,0.998088181019,2,0.998728683102,-1,-0.906063017249,2021-01-06 18:12:19,佳发教育(300559.SZ)：德员泰累计减持1.7521%股份 减持计划已实施完成,格隆汇 1 月 6日丨佳发教育公布，公司近日收到德员泰出具的《关于减持股份超过1%暨减持计划实施完成的告知函》，德员泰于2021年1月5日通过大宗交易的形式累计减持公司700万股，占公司总股本的1.7521%，其减持计划已实施完成。,格隆汇,,腾讯网,"佳发教育,300559,SZ,德员泰,累计,减持,1.7521%,股份,减持,计划,已,实施,完成","格隆汇,1,月,6,日,佳发教育,公布,公司,近日,收到,德员泰,出具,减持,股份,超过,1%,暨,减持,计划,实施,完成,告知,函,德员泰于,2021,年,1,月,5,日,大宗,交易,形式,累计,减持,公司,700,万股,占,公司,总,股本,1.7521%,减持,计划,已,实施,完成"
9,81723949,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-06 18:12:18,2021-01-06 18:12:19,0.00275150081143,0.994031846523,2,0.995407596929,-1,-0.924231024086,2021-01-06 18:12:19,佳发教育(300559.SZ)遭主要股东德员泰减持700万股 减持计划完成,佳发教育发布公告，公司近日收到德员泰出具的《关于减持股份超过1%暨减持计划实施完成的告知函》，德员泰于2021年1月5日通过大宗交易的形式累计减持公司700万股，占公司总股本的1.7521%，其减持计划已实施完成。,智通财经,,腾讯网,"佳发教育,300559,SZ,遭,主要,股东,德员泰,减持,700,万股,减持,计划,完成","佳发教育,发布公告,公司,近日,收到,德员泰,出具,减持,股份,超过,1%,暨,减持,计划,实施,完成,告知,函,德员泰于,2021,年,1,月,5,日,大宗,交易,形式,累计,减持,公司,700,万股,占,公司,总,股本,1.7521%,减持,计划,已,实施,完成"
10,81724409,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-06 18:15:58,2021-01-06 18:15:59,0.00498701771721,0.986094236374,2,0.988587745233,-1,-0.963958527148,2021-01-06 18:18:15,佳发教育：股东德员泰减持计划完成 减持股份数量700万股,佳发教育1月6日晚间发布公告称，公司近日收到股东德员泰出具的《关于减持股份超过1%暨减持计划实施完成的告知函》，德员泰于1月5日通过大宗交易的形式累计减持公司700万股，占公司总股本的1.7521%，其减持计划已实施完成。,每日经济新闻,,东方财富网,"佳发教育,股东,德员泰,减持,计划,完成,减持,股份,数量,700,万股","佳发教育,1,月,6,日,晚间,发布公告,称,公司,近日,收到,股东,德员泰,出具,减持,股份,超过,1%,暨,减持,计划,实施,完成,告知,函,德员泰于,1,月,5,日,大宗,交易,形式,累计,减持,公司,700,万股,占,公司,总,股本,1.7521%,减持,计划,已,实施,完成"
11,81733614,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-06 21:18:40,2021-01-06 21:18:41,0.0127500807866,0.986084699631,2,0.992459740024,-1,-0.881625251472,2021-01-06 21:18:54,佳发教育股东德员泰减持700万股 套现约8379万元,佳发教育股东西藏德员泰信息科技有限公司在深圳证券交易所通过大宗交易方式减持700万股，股份减少1.75%，权益变动后持股比例为7.32%。公告显示，本次减持股份均价为11.97元/股，本次减持套现8379万元。,挖贝网,,挖贝网,"佳发教育,股东,德员泰,减持,700,万股,套现,约,8379,万元","佳发教育,股东,西藏,德员泰,信息,科技,有限公司,深圳证券交易所,大宗,交易方式,减持,700,万股,股份,减少,1.75%,权益,变动,后,持股,比例,7.32%,公告,显示,本次,减持,股份,均价,11.97,元,股,本次,减持,套现,8379,万元"
12,81932841,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-11 09:13:43,2021-01-11 09:13:59,0.00782308634371,0.968126833439,2,0.972038376611,-1,-0.546356868744,2021-01-11 09:45:30,佳发教育连续5日遭北上资金净卖出，累计卖出3087.49万元,佳发教育01月08日陆股通净卖出317.96万元。佳发教育近5日陆股通资金呈现持续卖出状态，近5日北上资金累计净卖出3087.49万元，外资近期有持续流出的迹象。,同花顺AI资讯社,,同花顺,"佳发教育,连续,5,日,遭,北上,资金,净,卖出,累计,卖出,3087.49,万元","佳发教育,01,月,08,日陆股,通净,卖出,317.96,万元,佳发教育,近,5,日陆,股通,资金,呈现,持续,卖出,状态,近,5,日,北上,资金,累计,净,卖出,3087.49,万元,外资,近期,持续,流出,迹象"
13,82055594,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-12 19:41:14,2021-01-12 19:41:15,0.0127400541678,0.855787396431,2,0.862157423515,1,0.980114691518,2021-01-12 19:41:17,佳发教育：拟9000万元-1.8亿元回购公司股份,佳发教育公告，公司拟使用9000万元-1.8亿元回购公司股份，回购股份的价格不超过人民币18元/股，本次回购的股份将用于股权激励或员工持股计划。,界面新闻,,东方财富网,"佳发教育,拟,9000,万元,1.8,亿元,回购,公司,股份","佳发教育,公告,公司,拟,使用,9000,万元,1.8,亿元,回购,公司,股份,回购,股份,价格,不,超过,人民币,18,元,股,本次,回购,股份,用于,股权,激励,员工,持股,计划"
14,82055847,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-12 19:46:57,2021-01-12 19:46:58,0.000628031615634,0.999206840992,2,0.9995208568,1,0.92319072634,2021-01-12 19:47:00,佳发教育(300559.SZ)：拟以0.9亿-1.8亿元回购公司股份,格隆汇 1 月 12日丨佳发教育公布，公司拟以0.9亿元-1.8亿元回购公司股份，回购股份将用于股权激励或员工持股计划。,格隆汇,,和讯网,"佳发教育,300559,SZ,拟以,0.9,亿,1.8,亿元,回购,公司,股份","格隆汇,1,月,12,日,佳发教育,公布,公司,拟以,0.9,亿元,1.8,亿元,回购,公司,股份,回购,股份,用于,股权,激励,员工,持股,计划"
15,82056341,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-12 19:55:12,2021-01-12 19:55:13,0.00127869995777,0.998533010483,2,0.999172360462,1,0.967873185873,2021-01-12 19:55:15,佳发教育(300559.SZ)拟斥资9000万元至1.8亿元回购股份用于股权激励或员工持股计划,佳发教育公告，公司拟以不低于人民币9000万元且不超过人民币1.8亿元回购股份，价格不超过人民币18元/股。本次回购的股份将用于股权激励或员工持股计划。,智通财经,,和讯网,"佳发教育,300559,SZ,拟,斥资,9000,万元,1.8,亿元,回购,股份,用于,股权,激励,员工,持股,计划","佳发教育,公告,公司,拟以,不,低于,人民币,9000,万元,不,超过,人民币,1.8,亿元,回购,股份,价格,不,超过,人民币,18,元,股,本次,回购,股份,用于,股权,激励,员工,持股,计划"
16,82056596,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-12 19:59:41,2021-01-12 19:59:42,0.00342927826568,0.994898498058,2,0.996613137191,1,0.969973646104,2021-01-12 19:59:45,佳发教育拟斥资9000万元至1.8亿元回购股份,上证报中国证券网讯佳发教育公告，公司拟以自有资金回购公司股份，将用于实施股权激励或员工持股计划。回购总金额不低于9，000万元且不超过18，000万元，回购股份价格不超过18元/股。,上海证券报·中国证券网,,中国证券网,"佳发教育,拟,斥资,9000,万元,1.8,亿元,回购,股份","上证,报,中国,证券网,讯,佳发教育,公告,公司,拟以,自有,资金,回购,公司,股份,用于,实施,股权,激励,员工,持股,计划,回购,总金额,不,低于,9,000,万元,不,超过,18,000,万元,回购,股份,价格,不,超过,18,元,股"
17,82058472,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-12 20:45:42,2021-01-12 20:45:43,0.00771974818781,0.988938570023,2,0.992798444116,1,0.923013365269,2021-01-12 20:45:45,佳发教育：拟回购公司股份用于实施股权激励或员工持股计划,佳发教育1月12日晚公告，当日公司召开董事会审议通过了回购公司股份的相关议案。,中证网,,同花顺,"佳发教育,拟,回购,公司,股份,用于,实施,股权,激励,员工,持股,计划","佳发教育,1,月,12,日晚,公告,当日,公司,召开,董事会,审议,回购,公司,股份,相关,议案"
18,82059660,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-12 21:13:23,2021-01-12 21:13:24,0.00244548614137,0.99749571085,2,0.99871845392,1,0.920012224093,2021-01-12 21:13:26,佳发教育拟回购公司股份,佳发教育发布公告，拟用不低于人民币9000万元且不超过人民币1.8亿元的公司自有资金回购公司股份。本次回购的股份将用于公司内的股权激励或员工持股计划。,,赵博宇,北京商报,"佳发教育,拟,回购,公司,股份","佳发教育,发布公告,拟用,不,低于,人民币,9000,万元,不,超过,人民币,1.8,亿元,公司,自有,资金,回购,公司,股份,本次,回购,股份,用于,公司,内,股权,激励,员工,持股,计划"
19,82059899,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-12 21:18:15,2021-01-12 21:18:17,0.00236312835477,0.997433722019,2,0.998615286197,1,0.955053289235,2021-01-12 21:18:22,佳发教育将花不超1.8亿元回购公司股份 用于股权激励,佳发教育近日发布公告称公司以集中竞价交易的方式回购公司股份，回购金额上限1.8亿元、回购价格上限18元/股，回购期限不超6个月，本次回购的股份将用于股权激励或员工持股计划。,挖贝网,,挖贝网,"佳发教育,将花,不超,1.8,亿元,回购,公司,股份,用于,股权,激励","佳发教育,近日,发布公告,称,公司,集中,竞价,交易,方式,回购,公司,股份,回购,金额,上限,1.8,亿元,回购,价格,上限,18,元,股,回购,期限,不超,6,月,本次,回购,股份,用于,股权,激励,员工,持股,计划"
20,82086126,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-13 09:58:36,2021-01-13 09:58:37,0.0733452513814,0.911568522453,2,0.948241148144,1,0.974947835132,2021-01-13 09:58:56,佳发教育拟至多1.8亿元回购股份用于股权激励或员工持股计划等,佳发教育1月13日发布公告称，公司拟以9000.00万到1.80亿元回购500.00万到1000.00万股公司股份。,东方财富Choice数据,财智星,东方财富网,"佳发教育,拟,至多,1.8,亿元,回购,股份,用于,股权,激励,员工,持股,计划","佳发教育,1,月,13,日,发布公告,称,公司,拟以,9000.00,万到,1.80,亿元,回购,500.00,万到,1000.00,万股,公司,股份"
21,82099041,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-13 12:49:14,2021-01-13 12:49:16,0.00441221520305,0.995142936707,2,0.997349044308,1,0.854476180673,2021-01-13 12:49:23,佳发教育拟以不超1.8亿元回购公司股份,佳发教育发布公告称公司以集中竞价交易的方式回购公司股份，回购金额上限1.8亿元、回购价格上限18元/股，回购期限不超6个月，本次回购的股份将用于股权激励或员工持股计划。,,鲸媒体,搜狐财经,"佳发教育,拟以,不超,1.8,亿元,回购,公司,股份","佳发教育,发布公告,称,公司,集中,竞价,交易,方式,回购,公司,股份,回购,金额,上限,1.8,亿元,回购,价格,上限,18,元,股,回购,期限,不超,6,月,本次,回购,股份,用于,股权,激励,员工,持股,计划"
22,82102018,300559.XSHE,A,E,300559,佳发教育,XSHE,79764,2021-01-13 13:46:21,2021-01-13 13:46:22,0.00345563259907,0.995651304722,2,0.997379121021,1,0.994044371834,2021-01-13 13:46:24,佳发教育拟回购股份最多1000万股占总2.50% 用于员工激励,业内人士表示，佳发教育回购股份并用于股权激励，彰显公司对未来经营发展的信心，这与行业景气度提升有密切关系。,上海证券报·中国证券网,,中国证券网,"佳发教育,拟,回购,股份,最多,1000,万股,占,总,2.50%,用于,员工,激励","业内人士,表示,佳发教育,回购,股份,用于,股权,激励,彰显,公司,未来,经营,发展,信心,行业,景气,度,提升,密切关系"
