,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81537431,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 09:09:27,2021-01-04 09:09:34,0.00539044570178,0.980137169361,2,0.982832392212,1,0.715310251713,2021-01-04 09:09:37,同花顺：融资净买入4615.07万元，融资余额20.39亿元（12-31）,2020年12月31日同花顺融资净买入4615.07万元，融资余额20.39亿元,东方财富Choice数据,财智星,东方财富网,"同花顺,融资,净,买入,4615.07,万元,融资,余额,20.39,亿元,12,31","2020,年,12,月,31,日,同花顺,融资,净,买入,4615.07,万元,融资,余额,20.39,亿元"
1,81539300,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 09:28:03,2021-01-04 09:28:21,8.24828675832e-05,0.999891042709,2,0.999932284143,0,-0.00439609885216,2021-01-04 09:28:22,同花顺(300033)融资融券信息(12-31),同花顺(300033)融资融券信息(12-31),东方财富Choice数据,,东方财富网,"同花顺,300033,融资,融券,信息,12,31","同花顺,300033,融资,融券,信息,12,31"
2,81552809,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 11:39:49,2021-01-04 11:39:50,0.975771009922,0.0228909235448,1,0.510776428506,0,0.00932075381279,2021-01-04 11:39:51,东方日升、航发动力等股连续5天获融资净买入,据同花顺iFinD统计显示，近5个交易日45股连续5天获融资净买入。获融资净买入前5名的个股分别是东方日升、航发动力、中远海控、华泰证券、中泰证券。,证券时报网,,和讯网,"东方日升,航发动力,股,连续,5,天获,融资,净,买入","同花顺,iFinD,统计,显示,近,5,交易日,45,股,连续,5,天获,融资,净,买入,获,融资,净,买入,前,5,名,个股,分别,东方日升,航发动力,中远海控,华泰证券,中泰证券"
3,81564964,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 15:11:04,2021-01-04 15:11:11,0.0353389419615,0.947921872139,2,0.96559134312,0,0.126025177538,2021-01-04 15:11:30,投资者提问：同花顺f10显示公司是液晶显示模组领先企业，请问公司的技术优势...,公司子公司华佳彩第6代TFT-LCD生产线项目，同时可以做a-si和IGZO产品。公司产品的内嵌式触控工艺，技术和良率亦是国内领先，令公司的产品受到广泛认可，在市场上供不应求。,深交所互动易,,新浪财经,"投资者,提问,同花顺,f10,显示,公司,液晶显示,模组,领先,企业,请问,公司,技术,优势","公司,子公司,华佳彩,6,代,TFT,LCD,生产线,项目,做,a,si,IGZO,产品,公司,产品,内嵌式,触控,工艺,技术,良率,亦,国内,领先,令,公司,产品,受到,广泛,认可,市场,上,供不应求"
4,81565887,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 15:22:14,2021-01-04 15:22:27,0.817551910877,0.104148261249,1,0.512924216688,0,-0.00799110531807,2021-01-04 15:22:27,楚江新材：国家军民融合产业投资基金累计减持2453.94万股 减持计划实施完毕,楚江新材2020三季报归母净利润为1.98亿元，同比下降-44.37%。公司所属同花顺二级行业为有色冶炼加工。,同花顺综合,,同花顺,"楚江新材,国家,军民,融合,产业,投资,基金,累计,减持,2453.94,万股,减持,计划,实施,完毕","楚江新材,2020,三,季报,归母,净利润,1.98,亿元,同比,下降,44.37%,公司,所属,同花顺,二级,行业,有色,冶炼,加工"
5,81571362,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 16:32:55,2021-01-04 16:32:56,0.82802182436,0.116207271814,1,0.530218183994,0,0.131689241529,2021-01-04 16:32:57,火炬电子：截至12月底 尚未进行股份回购,4日，火炬电子发布公告称，截至2020年12月31日，公司尚未进行股份回购。火炬电子2020三季报归母净利润为4.25亿元，同比增长46.28%。公司所属同花顺二级行业为半导体及元件。,同花顺综合,,同花顺,"火炬电子,截至,12,月底,尚未,进行,股份,回购","4,日,火炬电子,发布公告,称,截至,2020,年,12,月,31,日,公司,尚未,进行,股份,回购,火炬电子,2020,三,季报,归母,净利润,4.25,亿元,同比,增长,46.28%,公司,所属,同花顺,二级,行业,半导体,元件"
6,81573232,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 16:54:56,2021-01-04 16:54:57,0.977645933628,0.0152180502191,1,0.504041017033,0,-0.0179603338242,2021-01-04 16:54:58,佳创视讯：财务总监黄敏减持计划完成 累计减持4.56万股,佳创视讯2020三季报归母净利润为-1474.85万元，同比增长50.79%。公司所属同花顺二级行业为计算机应用。,同花顺综合,,同花顺,"佳创视讯,财务总监,黄敏,减持,计划,完成,累计,减持,4.56,万股","佳创视讯,2020,三,季报,归母,净利润,1474.85,万元,同比,增长,50.79%,公司,所属,同花顺,二级,行业,计算机,应用"
7,81573889,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 17:03:03,2021-01-04 17:03:06,0.760346829891,0.227089315653,1,0.607262730598,0,-0.0400703549385,2021-01-04 17:03:06,申达股份：上海市国资委将东方国际集团6.6%股权划转给市财政局,申达股份2020三季报归母净利润为-1.19亿元，同比下降-132.18%。公司所属同花顺二级行业为纺织制造。,同花顺综合,,同花顺,"申达股份,上海市,国资委,东方,国际,集团,6.6%,股权,划转,市,财政局","申达股份,2020,三,季报,归母,净利润,1.19,亿元,同比,下降,132.18%,公司,所属,同花顺,二级,行业,纺织,制造"
8,81578702,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 18:02:18,2021-01-04 18:02:24,0.819627285004,0.151794746518,1,0.56160838902,0,-0.0149382710457,2021-01-04 18:02:25,迪马股份非公开发行住房租赁专项公司债券获上交所无异议函,迪马股份2020三季报归母净利润为3.28亿元，同比下降-42.33%。公司所属同花顺二级行业为房地产开发。,同花顺综合,,同花顺,"迪马股份,非,公开,发行,住房,租赁,专项,公司债券,获,上交所,无异议,函","迪马股份,2020,三,季报,归母,净利润,3.28,亿元,同比,下降,42.33%,公司,所属,同花顺,二级,行业,房地产,开发"
9,81593043,300033.XSHE,A,E,300033,同花顺,XSHE,35378,2021-01-04 22:00:40,2021-01-04 22:00:41,0.99922811985,0.000473164458526,1,0.500087224384,0,0.0174767673016,2021-01-04 22:00:45,疯抢的茅台：1499买到转手赚1000，40年整箱酒卖100万,根据同花顺iFinD，新年第一个交易日，A股迎来开门红，站上3500点，贵州茅台一度涨到2000元，令人感叹，茅台这接近20万一手的价格是真的有点离谱，最终茅台收涨1997元。,,财经无忌,搜狐财经,"疯,抢,茅台,1499,买到,转手,赚,1000,40,年,整箱,酒卖,100,万","同花顺,iFinD,新年,第一个,交易日,A股,迎来,开门红,站上,3500,点,贵州茅台,一度,涨到,2000,元,令人,感叹,茅台,接近,20,万,一手,价格,真的,有点,离谱,最终,茅台,收涨,1997,元"
