,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81527269,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 02:17:38,2021-01-04 02:17:39,0.0124157303944,0.986842691898,2,0.993050557096,0,-0.0389837408438,2021-01-04 02:18:30,广东海大集团股份有限公司 关于控股股东部分股权解除质押的公告,广东海大集团股份有限公司于近日接到公司控股股东广州市海灏投资有限公司函告，获悉海灏投资将其所持有公司的部分股份办理了解除质押手续。,证券日报,,新浪财经,"广东,海大集团,股份,有限公司,控股,股东,部分,股权,解除,质押,公告","广东,海大集团,股份,有限公司,近日,接到,公司,控股,股东,广州市,海,灏,投资,有限公司,函告,获悉,海,灏,投资,持有,公司,部分,股份,办理,解除,质押,手续"
1,81537119,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 09:08:07,2021-01-04 09:08:25,0.00895854458213,0.874344587326,2,0.878823859617,0,0.0287523448467,2021-01-04 09:08:35,海大集团：融资净偿还87万元，融资余额5.09亿元（12-31）,2020年12月31日海大集团融资净偿还87万元，融资余额5.09亿元,东方财富Choice数据,财智星,东方财富网,"海大集团,融资,净,偿还,87,万元,融资,余额,5.09,亿元,12,31","2020,年,12,月,31,日,海大集团,融资,净,偿还,87,万元,融资,余额,5.09,亿元"
2,81538525,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 09:20:58,2021-01-04 09:21:26,4.39096538685e-07,0.999999403954,2,0.999999623502,0,-0.00397877693176,2021-01-04 09:21:41,海大集团(002311)融资融券信息(12-31),海大集团(002311)融资融券信息(12-31),东方财富Choice数据,,东方财富网,"海大集团,002311,融资,融券,信息,12,31","海大集团,002311,融资,融券,信息,12,31"
3,81543106,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 10:01:27,2021-01-04 10:01:30,0.0235515683889,0.975218832493,2,0.986994616687,0,0.0739776402712,2021-01-04 10:01:38,投资者提问：贵公司与同饲料板块的海大集团相比较，在饲料业务上，有什么差异化...,您好，公司在饲料板块的核心竞争力等相关信息可以查阅年报中饲料板块的介绍。本信息由新浪财经从公开信息中摘录，不构成任何投资建议。,问董秘,,新浪财经,"投资者,提问,贵,公司,饲料,板块,海大集团,相,比较,饲料,业务,上,差异化","您好,公司,饲料,板块,核心,竞争力,相关,信息,查阅,年报,中,饲料,板块,介绍,信息,新浪,财经,公开,信息,中,摘录,不,构成,投资,建议"
4,81543427,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 10:03:38,2021-01-04 10:03:42,0.00115014438052,0.998844146729,2,0.999419218919,1,0.893151279911,2021-01-04 10:03:43,使命显担当 海大集团荣登粤港澳大湾区社会责任影响力榜,广州日报数据和数字化研究院对外发布《粤港澳大湾区社会责任影响力报告》。海大集团以91.84分的高分，荣登粤港澳大湾区企业社会责任影响力榜第5位。,,海大集团,搜狐财经,"使命,显,担当,海大集团,荣登,粤港澳,大湾,区,社会,责任,影响力,榜","广州日报,数据,数字化,研究院,对外,发布,粤港澳,大湾,区,社会,责任,影响力,报告,海大集团,91.84,分,高分,荣登,粤港澳,大湾,区,企业,社会,责任,影响力,榜,5,位"
5,81546996,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 10:39:04,2021-01-04 10:39:05,0.999811112881,0.00012039107969,1,0.50002594752,1,0.600678867102,2021-01-04 10:39:08,农林牧渔行业投资策略月报：12月行业跑输3.2个百分点 预计春节前猪价维持强势,饲料板块继续重点推荐海大集团，饲料行业洗牌加速，海大产能扩张迅速份额持续提升，经营效率领先ROE 仍有提升空间，公司进入新一轮产能投建高峰，维持重点推荐。,广发证券股份有限公司,王乾/钱浩/郑颖欣/唐翌,新浪财经,"农林牧渔,行业,投资,策略,月,报,12,月,行业,跑,输,3.2,百分点,预计,春节,前,猪价,维持,强势","饲料,板块,继续,重点,推荐,海大集团,饲料行业,洗牌,加速,海大,产能,扩张,迅速,份额,持续,提升,经营,效率,领先,ROE,仍,提升,空间,公司,进入,新一轮,产能,投建,高峰,维持,重点,推荐"
6,81547960,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 10:46:08,2021-01-04 10:46:10,0.00433811033145,0.986638307571,2,0.988807362737,0,0.115878281742,2021-01-04 10:46:13,海大集团大涨,海大集团大涨，截止10：26，报价68.8元，涨幅5.04%，成交49464手，成交量3.29亿元，换手率0.3%。资金流向方面，呈现主力资金净流入状态，特大单买入0.2888亿元，占比8.86%，卖出0.1295亿元，占比3.97%。,新浪财经,,新浪财经,"海大集团,大涨","海大集团,大涨,截止,10,26,报价,68.8,元,涨幅,5.04%,成交,49464,手,成交量,3.29,亿元,换手率,0.3%,资金,流向,方面,呈现,主力,资金,净流入,状态,特大,单,买入,0.2888,亿元,占,8.86%,卖出,0.1295,亿元,占,3.97%"
7,81549551,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 11:04:00,2021-01-04 11:04:01,0.00165891542565,0.997841358185,2,0.998670815898,0,0.121442762017,2021-01-04 11:04:02,海大集团早盘大涨5.04% 股价创3月新高,2021年01月04日早盘10时26分，海大集团出现异动，股价大幅拉升5.04%，创3月新高。过去一年内该股还未有涨停，没有跌停。,自选股智能写手,,腾讯网,"海大集团,早盘,大涨,5.04%,股价,创,3,月,新高","2021,年,01,月,04,日,早盘,10,时,26,分,海大集团,出现,异动,股价,大幅,拉升,5.04%,创,3,月,新高,过去,一年,内该,股,还,未有,涨停,没有,跌停"
8,81550818,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 11:17:15,2021-01-04 11:17:16,0.961977481842,0.00142740749288,1,0.482416148414,0,0.0645831793547,2021-01-04 11:19:37,饲料板块走强 正邦科技涨停,截止10：45，饲料板块走强，正邦科技涨停，唐人神、天邦股份、新 希 望、巨星农牧、海大集团等个股涨幅居前。,新浪财经,,新浪财经,"饲料,板块,走强,正邦科技,涨停","截止,10,45,饲料,板块,走强,正邦科技,涨停,唐人神,天邦股份,新,希,巨星,农牧,海大集团,个股,涨幅,居前"
9,81552381,002311.XSHE,A,E,2311,海大集团,XSHE,35025,2021-01-04 11:33:43,2021-01-04 11:33:44,0.998352408409,0.00157536531333,1,0.500751569518,0,0.0397828727961,2021-01-04 11:33:46,01月03日生猪35.12元/公斤 60天上涨19.86%,生猪01月03日最新价格35.12元/公斤，最近60天上涨19.86%。正虹科技罗牛山顺鑫农业新希望双汇发展天康生物正邦科技海大集团益生股份 雏鹰农牧 大康农业金新农唐人神牧原股份龙大肉食 中粮肉食温氏股份新五丰禾丰牧业等。,生意社,,东方财富网,"01,月,03,日,生猪,35.12,元,公斤,60,天,上涨,19.86%","生猪,01,月,03,日,最新,价格,35.12,元,公斤,最近,60,天,上涨,19.86%,正虹科技,罗牛山,顺鑫农业,新,希望,双汇发展,天康生物,正邦科技,海大集团,益生股份,雏鹰,农牧,大康农业,金新农,唐人神,牧原股份,龙大肉食,中粮,肉食,温氏股份,新五丰,禾丰牧业"
