,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81537291,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-04 09:08:40,2021-01-04 09:09:01,0.00412447052076,0.99580258131,2,0.997864816571,0,0.0694682210684,2021-01-04 09:09:02,迈克生物：12月31日融资净偿还84.62万元 上一交易日净偿还175.79万元,12月31日融资买入539.44万元，融资偿还624.05万元，融资净偿还84.62万元，当前融资余额为1.26亿元。迈克生物12月31日融资融券余额较昨日增加99.28万元至1.49亿元。,同花顺金融研究中心,,同花顺,"迈克生物,12,月,31,日,融资,净,偿还,84.62,万元,上,交易日,净,偿还,175.79,万元","12,月,31,日,融资,买入,539.44,万元,融资,偿还,624.05,万元,融资,净,偿还,84.62,万元,当前,融资,余额,1.26,亿元,迈克生物,12,月,31,日,融资,融券,余额,昨日,增加,99.28,万元,1.49,亿元"
1,81537409,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-04 09:09:23,2021-01-04 09:09:28,0.0784090310335,0.916826546192,2,0.956031061709,0,0.0324449211359,2021-01-04 09:09:30,迈克生物：融资净偿还84.62万元，融资余额1.26亿元（12-31）,2020年12月31日迈克生物融资净偿还84.62万元，融资余额1.26亿元,东方财富Choice数据,财智星,东方财富网,"迈克生物,融资,净,偿还,84.62,万元,融资,余额,1.26,亿元,12,31","2020,年,12,月,31,日,迈克生物,融资,净,偿还,84.62,万元,融资,余额,1.26,亿元"
2,81542121,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-04 09:52:51,2021-01-04 09:53:11,0.00958074536175,0.990418732166,2,0.995209104847,0,-0.0293379914016,2021-01-04 09:53:12,迈克生物1月4日加速下跌,迈克生物盘中加速下跌，5分钟内跌幅超过2%，截至9点37分，报45.1元，成交1080.01万元，换手率0.06%。,东方财富Choice数据,,东方财富网,"迈克生物,1,月,4,日,加速,下跌","迈克生物,盘中,加速,下跌,5,分钟,内,跌幅,超过,2%,截至,9,点,37,分,报,45.1,元,成交,1080.01,万元,换手率,0.06%"
3,81598164,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-05 01:52:04,2021-01-05 01:52:08,0.31049361825,0.640802621841,2,0.796049430966,1,0.602069716901,2021-01-05 01:52:34,价值分析：迈克生物，未来的趋势和投资逻辑！,净现比则是反映企业净利润中现金含量的指标，这个指标越高，意味着企业净利润的质量就越高，而不是一堆应收账款或者是存货。迈克生物近些年毛利率和净利率都有逐步下滑的趋势，主要是源于市场竞争的不断加剧以及成本的不断提高。,,小梦的情感故事,搜狐财经,"价值,分析,迈克生物,未来,趋势,投资,逻辑","净现,比则,反映,企业,净利润,中,现金,含量,指标,指标,越高,意味着,企业,净利润,质量,越,高,不是,一堆,应收,账款,存货,迈克生物,近些年,毛利率,净,利率,都,逐步,下滑,趋势,主要,源于,市场竞争,不断,加剧,成本,不断,提高"
4,81611368,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-05 08:59:14,2021-01-05 08:59:16,0.0782949104905,0.916965246201,2,0.956112701446,1,0.708584365249,2021-01-05 08:59:17,迈克生物：融资净买入1145.27万元，融资余额1.38亿元（01-04）,2021年1月4日迈克生物融资净买入1145.27万元，融资余额1.38亿元,东方财富Choice数据,财智星,东方财富网,"迈克生物,融资,净,买入,1145.27,万元,融资,余额,1.38,亿元,01,04","2021,年,1,月,4,日,迈克生物,融资,净,买入,1145.27,万元,融资,余额,1.38,亿元"
5,81682359,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-06 08:57:02,2021-01-06 08:57:04,0.0784090310335,0.916826546192,2,0.956031061709,0,0.0315600454807,2021-01-06 08:57:16,迈克生物：融资净偿还792.04万元，融资余额1.3亿元（01-05）,2021年1月5日迈克生物融资净偿还792.04万元，融资余额1.3亿元,东方财富Choice数据,财智星,东方财富网,"迈克生物,融资,净,偿还,792.04,万元,融资,余额,1.3,亿元,01,05","2021,年,1,月,5,日,迈克生物,融资,净,偿还,792.04,万元,融资,余额,1.3,亿元"
6,81750113,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-07 08:45:34,2021-01-07 08:45:40,0.00382668524981,0.996110379696,2,0.998023722321,1,0.585225154459,2021-01-07 08:45:52,迈克生物：1月6日融资净买入810.33万元 上一交易日净偿还792.04万元,1月6日融资买入1704.79万元，融资偿还894.47万元，融资净买入810.33万元，当前融资余额为1.38亿元。迈克生物1月6日融资融券余额较昨日增加652.96万元至1.62亿元。,同花顺金融研究中心,,同花顺,"迈克生物,1,月,6,日,融资,净,买入,810.33,万元,上,交易日,净,偿还,792.04,万元","1,月,6,日,融资,买入,1704.79,万元,融资,偿还,894.47,万元,融资,净,买入,810.33,万元,当前,融资,余额,1.38,亿元,迈克生物,1,月,6,日,融资,融券,余额,昨日,增加,652.96,万元,1.62,亿元"
7,81786546,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-07 16:22:01,2021-01-07 16:22:03,0.448106110096,0.550848543644,2,0.774901598692,1,0.768630976975,2021-01-07 16:22:03,成都迈克生物今年首批新冠病毒检测试剂盒出口,一批3.36万人份、价值40万元的新冠病毒检测试剂盒运往海外，这是成都今年首次出口新冠病毒检测试剂盒。截至目前，“成都造”新冠病毒检测试剂盒已销往80多个国家及地区，市场反响良好。,36氪,,腾讯网,"成都,迈克生物,今年,首批,新冠,病毒检测,试剂盒,出口","一批,3.36,万人份,价值,40,万元,新冠,病毒检测,试剂盒,运往,海外,这是,成都,今年,首次,出口,新冠,病毒检测,试剂盒,截至,目前,成都,造,新冠,病毒检测,试剂盒,已,销往,80,多个,国家,地区,市场,反响,良好"
8,81823963,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-08 09:04:20,2021-01-08 09:04:22,0.0784090310335,0.916826546192,2,0.956031061709,0,0.031508269906,2021-01-08 09:04:27,迈克生物：融资净偿还1007.32万元，融资余额1.28亿元（01-07）,2021年1月7日迈克生物融资净偿还1007.32万元，融资余额1.28亿元,东方财富Choice数据,财智星,东方财富网,"迈克生物,融资,净,偿还,1007.32,万元,融资,余额,1.28,亿元,01,07","2021,年,1,月,7,日,迈克生物,融资,净,偿还,1007.32,万元,融资,余额,1.28,亿元"
9,81838803,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-08 11:02:50,2021-01-08 11:02:51,0.0956003218889,0.899665892124,2,0.947466053069,1,0.748811262846,2021-01-08 11:02:52,迈克生物股价大涨5.01% 股价创1月新高,2021年01月08日早盘10时51分，迈克生物出现异动，股价大幅拉升5.01%，创1月新高。迈克生物公司主营业务为自主研发、生产和销售体外诊断产品以及代理销售国外知名品牌的体外诊断产品。,自选股智能写手,,腾讯网,"迈克生物,股价,大涨,5.01%,股价,创,1,月,新高","2021,年,01,月,08,日,早盘,10,时,51,分,迈克生物,出现,异动,股价,大幅,拉升,5.01%,创,1,月,新高,迈克生物,公司,主营业务,自主,研发,生产,销售,体外,诊断,产品,代理,销售,国外,知名品牌,体外,诊断,产品"
10,81841964,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-08 11:40:24,2021-01-08 11:40:25,0.0186266358942,0.98097461462,2,0.990287932567,0,0.12244373709,2021-01-08 11:40:25,迈克生物成功研发新型冠状病毒及变异株N501Y突变联合检测试剂盒,该试剂盒可同时对新型冠状病毒的ORF1ab及N基因进行检测，可对S基因中引起亲和力增强的N501Y突变进行鉴别诊断，从而实现一次检测即可鉴别是普通新冠病毒感染还是高传染性的新冠突变株感染。,云财经,,腾讯网,"迈克生物,成功,研发,新型,冠状病毒,变异,株,N501Y,突变,联合,检测,试剂盒","试剂盒,新型,冠状病毒,ORF1ab,N,基因,进行,检测,S,基因,中,引起,亲和力,增强,N501Y,突变,进行,鉴别,诊断,实现,一次,检测,即可,鉴别,普通,新冠,病毒感染,高,传染性,新冠,突变,株,感染"
11,81842388,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-08 11:47:20,2021-01-08 11:47:22,0.0142104607075,0.985511064529,2,0.992616294883,1,0.595614385605,2021-01-08 11:47:22,迈克生物：成功研发新冠病毒及变异株N501Y突变联合检测试剂盒,为应对新冠变异毒株对全球疫情防控带来的影响，公司成功研发新冠病毒及变异株N501Y突变联合检测试剂盒。,证券时报e公司,,新浪财经,"迈克生物,成功,研发,新冠,病毒,变异,株,N501Y,突变,联合,检测,试剂盒","应对,新冠,变异,毒株,全球,疫情,防控,带来,影响,公司,成功,研发,新冠,病毒,变异,株,N501Y,突变,联合,检测,试剂盒"
12,81845617,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-08 13:02:41,2021-01-08 13:02:42,0.00117589440197,0.998173832893,2,0.998761780094,0,0.0676604986191,2021-01-08 13:02:43,【迈克生物：成功研发新冠病毒及变异株N501Y突变联合检测试剂盒】迈克生物消息，为应对新冠变异毒株对全球疫情防控带来的影响，公司成功研发新冠病毒及变异株N501,为应对新冠变异毒株对全球疫情防控带来的影响，公司成功研发新冠病毒及变异株N501Y突变联合检测试剂盒。,犀牛之星,,证券之星,"迈克生物,成功,研发,新冠,病毒,变异,株,N501Y,突变,联合,检测,试剂盒,迈克生物,消息,应对,新冠,变异,毒株,全球,疫情,防控,带来,影响,公司,成功,研发,新冠,病毒,变异,株,N501","应对,新冠,变异,毒株,全球,疫情,防控,带来,影响,公司,成功,研发,新冠,病毒,变异,株,N501Y,突变,联合,检测,试剂盒"
13,81930741,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-11 08:57:12,2021-01-11 08:57:27,0.00382668524981,0.996110379696,2,0.998023722321,1,0.593218246102,2021-01-11 09:12:52,迈克生物：1月8日融资净买入53.47万元 上一交易日净偿还1007.32万元,1月8日融资买入1182.14万元，融资偿还1128.67万元，融资净买入53.47万元，当前融资余额为1.28亿元。迈克生物1月8日融资融券余额较昨日增加203.98万元至1.56亿元。,同花顺金融研究中心,,同花顺,"迈克生物,1,月,8,日,融资,净,买入,53.47,万元,上,交易日,净,偿还,1007.32,万元","1,月,8,日,融资,买入,1182.14,万元,融资,偿还,1128.67,万元,融资,净,买入,53.47,万元,当前,融资,余额,1.28,亿元,迈克生物,1,月,8,日,融资,融券,余额,昨日,增加,203.98,万元,1.56,亿元"
14,82009049,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-12 09:16:50,2021-01-12 09:17:02,0.0784090310335,0.916826546192,2,0.956031061709,0,-0.0150963753462,2021-01-12 09:17:13,迈克生物：融资净偿还28.4万元，融资余额1.28亿元（01-11）,2021年1月11日迈克生物融资净偿还28.4万元，融资余额1.28亿元,东方财富Choice数据,财智星,东方财富网,"迈克生物,融资,净,偿还,28.4,万元,融资,余额,1.28,亿元,01,11","2021,年,1,月,11,日,迈克生物,融资,净,偿还,28.4,万元,融资,余额,1.28,亿元"
15,82077811,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-13 08:46:43,2021-01-13 08:47:17,0.00411669863388,0.995810389519,2,0.997868738836,0,0.0264952749014,2021-01-13 08:47:20,迈克生物：1月12日融资净偿还190.22万元 上一交易日净偿还28.40万元,1月12日融资买入1064.41万元，融资偿还1254.64万元，融资净偿还190.22万元，当前融资余额为1.26亿元。迈克生物1月12日融资融券余额较昨日减少494.83万元至1.47亿元。,同花顺金融研究中心,,同花顺,"迈克生物,1,月,12,日,融资,净,偿还,190.22,万元,上,交易日,净,偿还,28.40,万元","1,月,12,日,融资,买入,1064.41,万元,融资,偿还,1254.64,万元,融资,净,偿还,190.22,万元,当前,融资,余额,1.26,亿元,迈克生物,1,月,12,日,融资,融券,余额,昨日,减少,494.83,万元,1.47,亿元"
16,82081748,300463.XSHE,A,E,300463,迈克生物,XSHE,70472,2021-01-13 09:22:08,2021-01-13 09:22:14,0.0784090310335,0.916826546192,2,0.956031061709,0,-0.0150963753462,2021-01-13 09:22:19,迈克生物：融资净偿还190.22万元，融资余额1.26亿元（01-12）,2021年1月12日迈克生物融资净偿还190.22万元，融资余额1.26亿元,东方财富Choice数据,财智星,东方财富网,"迈克生物,融资,净,偿还,190.22,万元,融资,余额,1.26,亿元,01,12","2021,年,1,月,12,日,迈克生物,融资,净,偿还,190.22,万元,融资,余额,1.26,亿元"
