,newsID,secID,equType,assetClass,ticker,secShortName,exchangeCD,partyID,newsPublishTime,newsInsertTime,degreeProp1St,degreeProp2St,relatedCompanyDegree,relatedCompanyScore,sentiment,sentimentScore,updateTime,newsTitle,newsSummary,newsOriginSource,newsAuthor,newsPublishSite,splitTile,splitSummary
0,81498901,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-02 06:30:31,2021-01-02 06:30:33,0.302208513021,0.693447351456,2,0.844551607966,0,0.0607061564922,2021-01-02 06:30:35,投资估值解析：金风科技，这家公司值得长期持有吗？,公司整体毛利率在17%左右，最赚钱的业务是风电厂的开发，风机及零部件销售毛利率只有12%，制造业赚的真是辛苦钱。净利率下降较多，因为公司营收规模迅速扩大，今年以来，公司高GW的大型风机占比上升，公司毛利率净利率有所回升。,,小何历史说,搜狐财经,"投资,估值,解析,金风科技,这家,公司,值得,长期,持有","公司,整体,毛利率,17%,左右,最,赚钱,业务,风,电厂,开发,风机,零部件,销售,毛利率,12%,制造业,赚,真是,辛苦,钱,净,利率,下降,公司,营收,规模,迅速,扩大,今年以来,公司,高,GW,大型,风机,占,上升,公司,毛利率,净,利率,有所,回升"
1,81509014,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-02 22:01:55,2021-01-02 22:03:03,0.190790906549,0.791964709759,2,0.887360163033,0,0.138128006458,2021-01-02 22:03:04,深度解析——金风科技，未来翻倍空间有多大？,公司整体毛利率在17%左右，最赚钱的业务是风电厂的开发，风机及零部件销售毛利率只有12%，制造业赚的真是辛苦钱。净利率下降较多，因为公司营收规模迅速扩大，今年以来，公司高GW的大型风机占比上升，公司毛利率净利率有所回升。,,小末美食说,搜狐财经,"深度,解析,金风科技,未来,翻倍,空间,大","公司,整体,毛利率,17%,左右,最,赚钱,业务,风,电厂,开发,风机,零部件,销售,毛利率,12%,制造业,赚,真是,辛苦,钱,净,利率,下降,公司,营收,规模,迅速,扩大,今年以来,公司,高,GW,大型,风机,占,上升,公司,毛利率,净,利率,有所,回升"
2,81517206,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 15:41:55,2021-01-03 15:42:20,0.0705947354436,0.925224721432,2,0.960522089154,1,0.522457355261,2021-01-03 15:42:20,技术分析：金风科技，开启盈利上升新周期！未来潜力巨大！,毛利率与净利率，毛利率比较有规律，周期性明显，2019-2021年很有可能是行业周期底部区间，反转预期比较强烈。净利率下降较多，因为公司营收规模迅速扩大，今年以来，公司高GW的大型风机占比上升，公司毛利率净利率有所回升。,,铲屎官和狗,搜狐财经,"技术,分析,金风科技,开启,盈利,上升,新,周期,未来,潜力,巨大","毛利率,净,利率,毛利率,比较,规律,周期性,明显,2019,2021,年,很,可能,行业,周期,底部,区间,反转,预期,比较,强烈,净,利率,下降,公司,营收,规模,迅速,扩大,今年以来,公司,高,GW,大型,风机,占,上升,公司,毛利率,净,利率,有所,回升"
3,81521480,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 19:07:11,2021-01-03 19:07:12,0.00410723406821,0.9940944314,2,0.996148048434,0,0.0743455350399,2021-01-03 19:07:12,金风科技(02208-HK)作为新增有限合夥人向基金出资,于2020年12月31日，公司全资子公司天润启航与三峡建信，三峡资本，嘉兴睿灏及国开新能源签署合夥协议，其主要条款已于公告中披露。,财华社,,和讯网,"金风科技,02208,HK,新增,有限,合夥人,基金,出资","2020,年,12,月,31,日,公司,全资,子公司,天润,启航,三峡,建信,三峡,资本,嘉兴,睿,灏,国开,新能源,签署,合夥,协议,主要,条款,已,公告,中,披露"
4,81525575,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 22:44:22,2021-01-03 22:44:44,0.574321568012,0.378513395786,1,0.665674179792,0,0.116707459092,2021-01-03 22:44:45,风电龙头——金风科技，未来还有多少投资机会？,今天就来分析一下风电龙头~金风科技的基本数据如何，是否值得投资。净利率下降较多，因为公司营收规模迅速扩大，今年以来，公司高GW的大型风机占比上升，公司毛利率净利率有所回升。,,海瑞聊娱乐,搜狐财经,"风电,龙头,金风科技,未来,投资,机会","今天,分析,一下,风电,龙头,~,金风科技,基本,数据,是否,值得,投资,净,利率,下降,公司,营收,规模,迅速,扩大,今年以来,公司,高,GW,大型,风机,占,上升,公司,毛利率,净,利率,有所,回升"
5,81526058,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-03 23:36:31,2021-01-03 23:36:46,0.00197756104171,0.997522175312,2,0.998510955833,0,0.156336775422,2021-01-03 23:36:46,金风科技——风电龙头，还是机会？,净利率下降较多，因为公司营收规模迅速扩大，今年以来，公司高GW的大型风机占比上升，公司毛利率净利率有所回升。资产负债率，非常稳定且高，常年保持在67%左右，公司的经营比较稳健，行业龙头地位比较稳定。,,老顾聊科技,搜狐财经,"金风科技,风电,龙头,机会","净,利率,下降,公司,营收,规模,迅速,扩大,今年以来,公司,高,GW,大型,风机,占,上升,公司,毛利率,净,利率,有所,回升,资产负债率,非常,稳定,高,常年,保持,67%,左右,公司,经营,比较,稳健,行业龙头,地位,比较稳定"
6,81527969,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 02:31:59,2021-01-04 02:32:24,0.20682425797,0.726839840412,2,0.830251969397,0,0.026052101329,2021-01-04 02:35:56,新疆金风科技股份有限公司关于公司全资子公司参与三峡清洁能源股权投资基金（天津）合伙企业（有限合伙）投资的进展公告,具体内容详见公司于2020年12月23日在《证券时报》、巨潮资讯网披露的《关于公司全资子公司参与三峡清洁能源股权投资基金合伙企业投资的公告》。,,,证券时报网,"新疆,金风科技,股份,有限公司,公司,全资,子公司,参与,三峡,清洁,能源,股权,投资,基金,天津,合伙,企业,有限,合伙,投资,进展,公告","具体内容,详见,公司,2020,年,12,月,23,日,证券时报,巨潮,资讯网,披露,公司,全资,子公司,参与,三峡,清洁,能源,股权,投资,基金,合伙,企业,投资,公告"
7,81537725,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 09:13:29,2021-01-04 09:13:36,0.000439548748545,0.999445259571,2,0.999665033945,0,-0.00397703945637,2021-01-04 09:13:54,金风科技(002202)融资融券信息(12-31),金风科技(002202)融资融券信息(12-31),东方财富Choice数据,,东方财富网,"金风科技,002202,融资,融券,信息,12,31","金风科技,002202,融资,融券,信息,12,31"
8,81541087,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 09:44:12,2021-01-04 09:44:13,0.0159294139594,0.98359310627,2,0.99155781325,1,0.696010312811,2021-01-04 09:44:29,金风科技第三代直驱永磁平台GP21首台GW165-4.0MW样机成功并网,正是在这一天，新疆金风科技股份有限公司第三代永磁直驱平台GP21产品系列首台GW165-4.0MW样机正式并网发电，为平价时代风电项目提供新的助力。,金风科技,,北极星电力网,"金风科技,第三代,直驱,永磁,平台,GP21,首台,GW165,4.0,MW,样机,成功,并网","正是,一天,新疆,金风科技,股份,有限公司,第三代,永磁,直驱,平台,GP21,产品,系列,首台,GW165,4.0,MW,样机,正式,并网发电,平价,时代,风电,项目,提供,新,助力"
9,81544331,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 10:10:41,2021-01-04 10:10:53,0.0212403386831,0.978727042675,2,0.989347212017,0,0.0430826306343,2021-01-04 10:10:57,金风科技盘中快速上涨,金风科技盘中直线拉升快速上涨，截止10：06，报价15.2元，涨幅6.67%，成交543008手，成交量7.9亿元，换手率1.6%。,新浪财经,,新浪财经,"金风科技,盘中,快速,上涨","金风科技,盘中,直线,拉升,快速,上涨,截止,10,06,报价,15.2,元,涨幅,6.67%,成交,543008,手,成交量,7.9,亿元,换手率,1.6%"
10,81551669,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 11:25:46,2021-01-04 11:25:50,0.0120478244498,0.98076415062,2,0.986788062844,0,0.0431825488806,2021-01-04 11:25:50,【异动股】金风科技(02208-HK)涨6.8%,金风科技截至11：07上涨6.8%，现报16.64港元，涨1.06港元。成交632万股，涉资1.021亿元。,财华网,,金融界,"异动股,金风科技,02208,HK,涨,6.8%","金风科技,截至,11,07,上涨,6.8%,现报,16.64,港元,涨,1.06,港元,成交,632,万股,涉资,1.021,亿元"
11,81567794,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 15:47:18,2021-01-04 15:47:22,0.0281448308378,0.970356106758,2,0.984428522177,1,0.902459546924,2021-01-04 15:47:52,港股异动 | 金风科技(2208.HK)大涨10% 股价续创上市新高,格隆汇1月4日丨金风科技尾盘升至9.88%，盘中高见17.34港元再创新高价，暂成交2.49亿港元，总市值758亿港元。贝莱德日前增持金风科技303.76万股，每股作价约15.1港元，总金额约为4587.38万港元。,格隆汇,,金融界,"港股,异动,|,金风科技,2208,HK,大涨,10%,股价,续创,上市,新高","格隆汇,1,月,4,日,金风科技,尾盘,升至,9.88%,盘中,高见,17.34,港元,再创新高,价,暂,成交,2.49,亿港元,总,市值,758,亿港元,贝,莱德,日前,增持,金风科技,303.76,万股,每股,作价,约,15.1,港元,总金额,约,4587.38,万港元"
12,81576437,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 17:34:24,2021-01-04 17:34:25,0.0114906001836,0.988193869591,2,0.993939169683,1,0.970569459721,2021-01-04 17:34:31,Schroders Plc增持金风科技股份约313.92万股,港交所最新资料显示，2020年12月30日，Schroders Plc增持金风科技股份约313.92万股，平均价为每股约15.31港元，共计增持约4806.21万港元。,,每日经济新闻,搜狐财经,"Schroders,Plc,增持,金风科技,股份,约,313.92,万股","港交所,最新,资料,显示,2020,年,12,月,30,日,Schroders,Plc,增持,金风科技,股份,约,313.92,万股,平均价,每股,约,15.31,港元,共计,增持,约,4806.21,万港元"
13,81583989,002202.XSHE,A,E,2202,金风科技,XSHE,31377,2021-01-04 19:09:50,2021-01-04 19:09:54,0.999970793724,9.01929161046e-06,1,0.499994416154,0,0.0781643867493,2021-01-04 19:10:00,1月4日港股空仓持单统计,截止12月24日，未平仓空单比位列前三位为恒腾网络、金风科技、天能动力，空仓比分别为26.05%、17.95%、11.46%。智通机器人根据港交所数据，经过人工智能运算后自动生成，并不保证数据100%准确。,智通财经网,,东方财富网,"1,月,4,日,港股,空仓持,单,统计","截止,12,月,24,日,未,平仓,空单,位列,前三位,为恒腾,网络,金风科技,天能,动力,空仓,分别,26.05%,17.95%,11.46%,智通,机器人,港交所,数据,人工智能,运算,后,自动,生成,不,保证数据,100%,准确"
