year,plot,intensity,SOC,SIC,STC,N,C/N
2012,G17,NG,13.97354363,10.95,24.92354363,1.659075972,16.01292835
2012,G19,NG,14.92051651,11.04166667,25.96218318,1.429206058,18.99170506
2012,G21,NG,11.99269787,9.925,21.91769787,1.49884643,15.64497553
2014,G17,NG,15.679023,7.983333333,23.66235634,1.813317575,14.1026236
2014,G19,NG,14.6189707,6.675555556,21.29452626,1.803797732,12.60077024
2014,G21,NG,15.83489499,6.233333333,22.06822832,1.855074279,12.88881474
2016,G17,NG,15.679023,7.983333333,23.66235634,1.813317575,14.1026236
2016,G19,NG,14.6189707,6.675555556,21.29452626,1.803797732,12.60077024
2016,G21,NG,15.83489499,6.233333333,22.06822832,1.855074279,12.88881474
2018,G17,NG,15.76324391,7.833333333,23.59657725,1.971320758,12.85851379
2018,G19,NG,17.11214329,5.566666667,22.67880996,2.017753894,11.78279734
2018,G21,NG,18.03285966,5.733333333,23.76619299,2.185436363,11.48386514
2020,G17,NG,16.8583,6.08675,22.94505,2.1152,10.84769762
2020,G19,NG,17.2985,4.30145,21.59995,2.19805,9.82686927
2020,G21,NG,20.1335,4.0649,24.1984,2.43115,9.953478806
2012,G8,MGI,13.67748117,9.541666667,23.21914784,1.763730869,13.41229514
2012,G11,MGI,14.22616736,6.7125,20.93866736,1.749770679,12.48175668
2012,G16,MGI,11.63873087,8.95,20.58873087,1.698385514,12.38359118
2014,G8,MGI,14.02801888,6.7,20.72801888,1.83341826,11.94559464
2014,G11,MGI,13.27026055,5.484444444,18.75470499,1.739909972,11.22309163
2014,G16,MGI,15.84534438,8.216666667,24.06201104,1.609848812,16.50002142
2016,G8,MGI,14.02801888,6.7,20.72801888,1.83341826,11.94559464
2016,G11,MGI,13.27026055,5.484444444,18.75470499,1.739909972,11.22309163
2016,G16,MGI,15.84534438,8.216666667,24.06201104,1.609848812,16.50002142
2018,G8,MGI,14.58139369,2.816666667,17.39806036,1.865449597,9.564031678
2018,G11,MGI,15.16430743,4.3,19.46430743,1.923907871,10.39916441
2018,G16,MGI,13.31807729,10.86666667,24.18474396,1.650527827,15.75351473
2020,G8,MGI,14.4421,1.8855,16.3276,1.94105,8.411735916
2020,G11,MGI,14.74435,3.3536,18.09795,1.96145,9.226821994
2020,G16,MGI,14.777,9.81945,24.59645,1.71225,14.36498759
2012,G6,LGI,14.32743239,13.95833333,28.28576573,1.895495802,15.1997829
2012,G12,LGI,12.46928615,10.49166667,22.96095282,1.64851604,14.45851565
2012,G18,LGI,12.02193989,8.925,20.94693989,1.537228376,13.98001577
2014,G6,LGI,14.31746558,6.3,20.61746558,1.812070782,12.14338505
2014,G12,LGI,15.41832077,5.295,20.71332077,1.840573574,11.82023056
2014,G18,LGI,16.62469925,7.694444444,24.31914369,1.899060284,13.570944
2016,G6,LGI,14.31746558,6.3,20.61746558,1.812070782,12.14338505
2016,G12,LGI,15.41832077,5.295,20.71332077,1.840573574,11.82023056
2016,G18,LGI,16.62469925,7.694444444,24.31914369,1.899060284,13.570944
2018,G6,LGI,14.79945016,5.5,20.29945016,1.930054526,10.99463853
2018,G12,LGI,14.91932034,6.25,21.16932034,1.855669531,11.91004258
2018,G18,LGI,17.09161482,8.733333333,25.82494815,2.069110721,13.30553118
2020,G6,LGI,14.78965,3.0012,17.79085,2.0165,8.822638235
2020,G12,LGI,16.1858,3.8029,19.9887,1.9448,10.27802345
2020,G18,LGI,19.306,7.2073,26.5133,2.25715,11.74636156
2012,G9,HGI,13.47453355,11.875,25.34953355,1.648023203,17.02065886
2012,G13,HGI,12.16409178,11.55,23.71409178,1.37894161,17.39469461
2012,G20,HGI,13.06634777,10.84966667,23.91601443,1.752763931,14.24507301
2014,G9,HGI,14.50258804,7.783333333,22.28592137,1.836641294,12.799613
2014,G13,HGI,15.96815177,5.333333333,21.3014851,1.88264519,11.84447424
2014,G20,HGI,14.28422974,7.727777778,22.01200752,1.918900684,12.39479088
2016,G9,HGI,14.50258804,7.783333333,22.28592137,1.836641294,12.799613
2016,G13,HGI,15.96815177,5.333333333,21.3014851,1.88264519,11.84447424
2016,G20,HGI,14.28422974,7.727777778,22.01200752,1.918900684,12.39479088
2018,G9,HGI,15.85596411,4.7,20.55596411,1.977364868,10.66701568
2018,G13,HGI,15.03339924,5.65,20.68339924,1.906732147,11.25168215
2018,G20,HGI,16.04489008,6.466666667,22.51155674,1.953936157,12.07821959
2020,G9,HGI,17.2,3.12215,20.32215,2.23695,9.084758265
2020,G13,HGI,16.6919,3.5647,20.2566,2.10285,9.632926742
2020,G20,HGI,15.9696,4.65705,20.62665,2.0546,10.03925338
,,,18.09676667,,,,
,,,16.76048333,,,,
,,,14.65448333,,,,
,,,16.6205,,,,
,,,16.96941562,,,,
,,,15.60346177,,,,
,,,14.35459281,,,,
,,,15.64475114,,,,
