年份,平均风速(knots),降水量(mm),平均气温(℃),cp,径流量(m3),10cm湿度(kgm2),牧区人均可支配收入
2012,6.8175,-45.25583333,1.644166667,-0.101283358,-978637.5033,-15.1275,8873
2013,6.838333333,-25.1675,3.12,-0.086852068,-740531.2417,-14.4325,10050
2014,6.349166667,-27.135,4.758333333,-0.075852259,-655650.005,-14.15166667,11306
2015,6.255833333,-85.74583333,3.990833333,-0.078357975,-865856.245,-14.44083333,12222
2016,6.4075,-77.25833333,3.493333333,-0.054500184,-736481.25,-14.74666667,13188
2017,6.360833333,-140.4191667,4.701666667,-0.048396129,-418837.5,-12.8925,14309
2018,6.508333333,-105.9825,4.308333333,-0.104690426,-896343.7533,-14.18083333,15706
2019,6.2475,-44.34333333,4.506666667,-0.058102897,-676518.75,-13.46416667,17391
2020,6.2375,-33.0625,3.3275,-0.106138775,-598781.25,-16.12916667,18864
,6.094166667,-300,3.92,-0.092866766,-892743.7367,-14.431214,18864
,6.024285714,-600,3.725714286,-0.075621781,-974250,-15.13175367,18864
,6.4075,-900,3.493333333,-0.054500184,-736481.25,-14.74666667,18864
,6.4075,-1200,3.493333333,-0.054500184,-736481.25,-14.74666667,18864
