,date,年份,月份,海拔高度(m),经度(lon),纬度(lat),平均气温(℃),平均最高气温(℃),平均最低气温(℃),最高气温极值(℃),最低气温极值(℃),平均气温≥18℃的天数,平均气温≥35℃的天数,平均气温≤0℃的天数,平均露点温度(℃),降水量(mm),最大单日降水量(mm),降水天数,平均海平面气压(hPa),最低海平面气压(hPa),平均站点气压(hPa),积雪深度(mm),平均能见度(km),最小能见度(km),最大能见度(km),平均风速(knots),平均最大持续风速(knots),单日最大平均风速(knots),平均最大瞬时风速(knots),最大瞬时风速极值(knots),"高层植被(LAIH,m2/m2)","低层植被(LAIL,m2m2)",10cm湿度(kgm2),40cm湿度(kgm2),100cm湿度(kgm2),200cm湿度(kgm2),土壤蒸发量(W/m2),土壤蒸发量(mm),植被指数(NDVI),径流量(m3/s),径流量(m3),绿植覆盖率,icstore,icstore10,icstore40,icstore100,cp
0,Jan-12,2012,1,1004,115.375,44.125,-22.94,-16.04,-29.35,-9.28,-35.61,0,0,31,-26.72,2.29,0.51,5,1039.02,1027.8,907.04,,29,26.23,29.93,5.52,8.96,15.5,,,0,0.636,13.73,30.87,42.79,168.56,0.57,0.61,0.030546624,0,0,,,2.16,-29.19,-41.11,-0.010988327
1,Feb-12,2012,2,1004,115.375,44.125,-17.86,-10.76,-26.25,-0.72,-34.89,0,0,29,-22.43,2.29,0.76,5,1032.85,1018.1,903.99,,29.32,26.23,29.93,6.01,11.12,15.5,,,0,0.652,13,30.87,42.79,168.56,0.86,0.86,0.030546624,0,0,,1.5395,20.33,-29.44,-41.36,-0.010988327
2,Mar-12,2012,3,1004,115.375,44.125,-7.11,-1.32,-14.78,15.39,-27.28,0,0,26,-12.99,21.84,4.83,13,1025.52,1012.1,902.44,,28.28,15.61,29.93,7.36,12.6,27.2,,,0,0.717,12.6,30.87,42.79,168.56,1.78,1.91,0.220257235,1.0100807,2705400,,19.99,-0.47,-10.94,-22.86,0.010504482
3,Apr-12,2012,4,1004,115.375,44.125,6.94,13.94,-1.94,26.22,-8.5,0,0,5,-9.5,6.1,5.33,3,1010.29,994.1,898.3,,28.21,14.81,29.93,8.82,15.09,25.3,,,0,0.727,11.97,30.73,42.76,168.56,6.94,7.2,0.297427653,0.5697917,1476900,,-0.9185,30.49,-31.83,-43.86,0.026744016
4,May-12,2012,5,1004,115.375,44.125,14.61,22.14,4.93,32.5,0.11,8,0,0,-3.31,50.8,15.49,10,1008.54,1001.7,899.5,,28.55,21.57,29.93,8.56,15.54,25.3,,,0,0.739,14.18,29.99,42.58,168.56,16.89,18.1,0.340836013,0.16834678,450900,,32.8455,60.18,2.71,-9.88,0.037783977
5,Jun-12,2012,6,1004,115.375,44.125,17.69,23.12,11.84,31.78,5.5,17,0,0,8.66,98.81,21.59,19,1002.58,995.3,895.58,,28.52,20.92,29.93,6.86,12.05,21.4,,,0,0.827,19.28,39.52,43.01,168.56,32.34,33.53,0.683279743,0.2140625,554850,,59.8825,151.55,25.76,22.27,0.172973274
6,Jul-12,2012,7,1004,115.375,44.125,21.14,26.71,15.43,33.22,12,28,0,0,13.04,183.39,78.99,14,1002.58,995.3,893.12,,28.2,22.85,29.93,6.91,11.66,21.4,,,0,0.964,19.64,55.47,54.9,168.53,29.38,31.48,0.879421222,0.5403226,1447200,,135.1815,51.84,96.44,97.01,0.2888582
7,Aug-12,2012,8,1004,115.375,44.125,19.87,26.51,12.21,32.5,1.39,24,0,0,10.36,62.23,24.89,11,1007.95,1002.4,897.44,,29.4,24.94,29.93,6.76,11.53,19.4,,,0,0.983,15.76,44.94,61.25,168.44,13.32,14.27,0.987138264,0.62147176,1664550.1,,48.2455,48.02,3.02,-13.29,0.364413912
8,Sep-12,2012,9,1004,115.375,44.125,12.92,20.31,4.85,28.28,-1.39,4,0,0,2.99,62.74,26.92,8,1015.88,1008.6,902.06,,29.16,20.6,29.93,5.67,9.4,17.5,,,0,0.847,17.12,45.67,55.29,168.38,12.88,13.36,0.790996785,0.4440104,1150875,,53.6455,10.46,3.71,-5.91,0.233147962
9,Oct-12,2012,10,1004,115.375,44.125,4.32,11.16,-3,20.61,-11.22,0,0,6,-5.42,16.51,9.91,8,1019.4,1011.6,901.86,,29.1,14.81,29.93,6.26,10.66,19.4,,,0,0.738,15.04,42.49,54.69,168.33,7.59,8.13,0.480707395,0.36164314,968624.94,,10.628,29.81,-34.11,-46.31,0.082688537
