牧户,年份,平均气温(℃),降水量(mm),平均风速(knots),cp,径流量(m3),10cm湿度(kgm2),人口数,放牧强度,人均年净收入
1,2018,4.308333333,-105.9825,6.508333333,-0.104690426,-896343.7533,-14.18083333,3,2.7583,10.56
1,2019,4.506666667,-44.34333333,6.2475,-0.058102897,-676518.75,-13.46416667,3,2.7222,15.54
1,2020,3.3275,-33.0625,6.2375,-0.106138775,-598781.25,-16.12916667,3,2.5639,12.86
2,2018,4.308333333,-105.9825,6.508333333,-0.104690426,-896343.7533,-14.18083333,2,2.3,21.95
2,2019,4.506666667,-44.34333333,6.2475,-0.058102897,-676518.75,-13.46416667,2,2.1,24.195
2,2020,3.3275,-33.0625,6.2375,-0.106138775,-598781.25,-16.12916667,2,2,31.175
3,2018,4.308333333,-105.9825,6.508333333,-0.104690426,-896343.7533,-14.18083333,2,6.0175,38.925
3,2019,4.506666667,-44.34333333,6.2475,-0.058102897,-676518.75,-13.46416667,2,4.92,42.3375
3,2020,3.3275,-33.0625,6.2375,-0.106138775,-598781.25,-16.12916667,2,5.2075,44.8375
4,2018,4.308333333,-105.9825,6.508333333,-0.104690426,-896343.7533,-14.18083333,3,2.459,3.33
4,2019,4.506666667,-44.34333333,6.2475,-0.058102897,-676518.75,-13.46416667,3,2.459,3.33
4,2020,3.3275,-33.0625,6.2375,-0.106138775,-598781.25,-16.12916667,3,2.557,3
