,0
0,7.36018
1,7.475917
2,7.171327
3,7.504565
4,7.745628
5,7.510934
6,7.7135506
7,7.5510798
8,7.0925355
9,7.6031704
10,7.5062304
11,7.5189295
12,7.5007734
13,7.569676
14,7.8395257
15,7.8535404
16,7.7734623
17,6.6688523
18,7.399829
19,7.6785655
20,7.054242
21,6.618395
22,6.9783406
23,7.034764
24,6.724071
25,6.6057262
26,7.172168
27,6.3207383
28,6.1959267
29,5.914996
30,5.1620884
31,5.1572695
32,5.093656
33,5.1824946
34,4.9874983
35,7.032406
36,7.0041375
37,7.1874804
38,7.1536627
39,7.1546507
40,7.3331184
41,7.330194
42,7.07685
43,7.318023
44,7.3331184
45,7.220874
46,7.064303
47,7.0724473
48,6.8875456
49,7.2614317
