,MAE,MSE,RMSE,R2,model,MAE_t,MSE_t,RMSE_T,R2_t
0,0.6049938231790077,0.7683571972320115,0.8765598651729449,0.5991687539220083,KNN,0.45620313625829595,0.39284358049016405,0.6267723514085191,0.8067356943391555
35,0.5892704002567705,0.7166057736831785,0.8465257076327797,0.6875929448742901,KNN,0.46175156345589524,0.39922952146687873,0.6318461216679887,0.7997641386628364
90,0.6472207601477755,0.7951839382468997,0.8917308664876975,0.6126618983500209,KNN,0.45354394814528165,0.3899230309994431,0.6244381722792443,0.8070343393574738
25,0.5603301361011409,0.5974045847641071,0.7729195202374611,0.690834500150879,KNN,0.4586836389341136,0.40514684740434337,0.6365114668286372,0.8008169302184921
40,0.5866944825991978,0.6282933525805137,0.7926495774177349,0.6979271775692413,KNN,0.4562209147555906,0.39716562381251,0.6302107772900349,0.8031246033213095
45,0.5782125660571792,0.6564574854781722,0.8102206399976318,0.6846841481420707,KNN,0.4642654751477162,0.4066143034579464,0.637663158303776,0.7983761492597173
20,0.5257063286006249,0.5209661064223472,0.7217798185197112,0.7349162982791102,KNN,0.4640588322517619,0.40462448285197894,0.6361010005116946,0.800298302633254
50,0.5634678962531033,0.5910564894074525,0.7688019832228924,0.7035769933939242,KNN,0.4629009464910192,0.4024851576167243,0.6344171794779239,0.8013647583585429
55,0.47845647505241723,0.47930089626428146,0.6923156045217249,0.7650244524613738,KNN,0.46656887739947034,0.41153474846815374,0.6415097415224135,0.7960720393313699
95,0.5928890167508301,0.647427540201685,0.8046288213839254,0.7052255478485036,KNN,0.46459211279401896,0.408040081826575,0.638780151403106,0.7964555826683701
60,0.5730803418132785,0.7038751756946466,0.8389726906727338,0.6484621423066393,KNN,0.45732329484492124,0.3895300614198467,0.6241234344421356,0.8076755196435405
15,0.5442100046427306,0.5599718903039823,0.7483126955384242,0.7315040205708468,KNN,0.4539337503649789,0.3929544163214192,0.6268607631056671,0.805185425254678
30,0.5864517545846347,0.6133430859287329,0.7831622347436915,0.6498789546941219,KNN,0.45673083442639206,0.4010187677933923,0.6332604265177102,0.8047644226293469
10,0.5638659531203853,0.5867315680284485,0.7659840520718747,0.7170916169134056,KNN,0.4614248014689608,0.40705382759110303,0.6380077018274176,0.798297039232148
65,0.6179650544411343,0.6748836839579889,0.8215130455190526,0.5967612752083918,KNN,0.4526651790475803,0.39376765890728554,0.6275090906969281,0.8090125254607213
80,0.6219400313068411,0.7363676382522035,0.8581186621046086,0.6390478171510836,KNN,0.4542023088376359,0.3960448764857807,0.6293209646005611,0.8041465914238537
75,0.5707002528857542,0.5552593331374799,0.7451572539655504,0.7045097941792591,KNN,0.46339232136910546,0.4121972785802645,0.6420259173742634,0.7979010876299094
85,0.5125597114037894,0.5466381181119012,0.7393497941515242,0.7446489142270959,KNN,0.46801533520184896,0.40998910653524956,0.6403039173199314,0.7959116916795737
70,0.6080151544445351,0.6349111319520795,0.7968131098018403,0.7029428790630454,KNN,0.45684908373765104,0.41044460498467716,0.6406595078391307,0.7959276569520712
5,0.6152332814711898,0.6995224560883799,0.8363745907716111,0.6382209128956654,KNN,0.4571914295808152,0.39958461583275423,0.632127056716254,0.8029924837591836
36,0.6470848868787791,0.6840554568265291,0.8270764516213294,0.7017833812425721,MLP,0.5584074943132249,0.5270736132496069,0.7259983562306508,0.735643199557621
76,0.5948983484568594,0.5873752880082468,0.7664041283867453,0.6874187710328856,MLP,0.5556966112844955,0.5225751726045781,0.7228936108478052,0.7437831846470271
71,0.7301988038310064,0.880337525523704,0.9382630364261954,0.5881147492550627,MLP,0.5311235616709414,0.48816793323611973,0.6986901553880087,0.757283753455405
61,0.6412141142454837,0.8463878565819133,0.9199934002925854,0.5772867347014408,MLP,0.5487623949288203,0.501901255649629,0.7084498963579774,0.752193969751082
86,0.5816398586088266,0.6088976971678562,0.7803189714263368,0.7155655945957935,MLP,0.5611190324485407,0.5333588886192501,0.7303142396388352,0.7344994987162989
51,0.6076653046749381,0.6470617670537663,0.8044014961782247,0.6754895718305953,MLP,0.5496389009187412,0.510992879514249,0.7148376595523273,0.7478138207619729
66,0.6445881292368929,0.737311830465423,0.8586686383381095,0.5594608532436367,MLP,0.5416680319596261,0.4926876252193504,0.7019171070855521,0.7610337894724006
56,0.611562024449517,0.7990095717189813,0.8938733532883623,0.6082884195156006,MLP,0.5574940821563662,0.5197539600151379,0.7209396368733917,0.7424461348407039
91,0.6830082664544264,0.7730162094361772,0.8792134038083003,0.6234599107122512,MLP,0.5543092165815537,0.5227399914312362,0.7230076012264575,0.7413056942744656
81,0.7314757275928525,0.9394678627507238,0.9692615038010762,0.5394922886872735,MLP,0.5281911049303062,0.4776051959677179,0.691089860993285,0.7638131152864079
46,0.6193664652553665,0.6898199804191881,0.8305540201691809,0.6686591598600502,MLP,0.5571926874182136,0.5287844928636342,0.727175696007254,0.737796814435132
41,0.6962020986832773,0.8136936253726134,0.9020496801022732,0.6087898606587214,MLP,0.5382031691974495,0.4993184277305405,0.706624672460947,0.7524873563205552
11,0.652143273416389,0.8507780290030896,0.9223762946883932,0.5897745243883087,MLP,0.540987624813281,0.49940472653872686,0.7066857339289699,0.7525354016189029
1,0.6500286402877425,0.7693818051127718,0.8771441187813847,0.5986342435991193,MLP,0.5492358740391039,0.5076366765369319,0.71248626410404,0.7502617970835208
26,0.5890315506521422,0.6216022975334901,0.7884175908320984,0.678311834348932,MLP,0.5565510298660615,0.5242883338999419,0.724077574504239,0.742243187955501
31,0.619120777152135,0.6482011700429041,0.805109414951101,0.6299805501512004,MLP,0.541770455587136,0.49960887316274355,0.7068301586397849,0.7567659305619241
16,0.6578533419500026,0.8027873257987789,0.8959839986287583,0.61507859046881,MLP,0.5474896166751434,0.5052919155307449,0.7108388815552684,0.7494919879820024
6,0.7066542065186237,0.8553927185332708,0.9248744339278012,0.5576079164675691,MLP,0.539092873772179,0.49596670381212626,0.7042490353647112,0.7554731474019818
21,0.5988739883849691,0.5806278687924703,0.7619894151446398,0.7045585444342894,MLP,0.545355471625537,0.5129110149579923,0.7161780609303753,0.7468536763686577
96,0.6965535037799931,0.7777134685624364,0.8818806430364805,0.645906225189437,MLP,0.5475403733739137,0.5114419866242986,0.715151722800343,0.7448751585864568
98,0.5078484775967581,0.4560465219732848,0.6753121663151678,0.792361530329104,RF,0.20695510490479344,0.08441674003209602,0.29054559028162175,0.9578900286316196
63,0.5292688013106803,0.6192392633879757,0.786917570897979,0.6907320337925091,RF,0.20428700403654487,0.08203736717140357,0.2864216597455639,0.9594953109561254
68,0.5667045391298943,0.5691328156916539,0.7544089180886278,0.6599467489114081,RF,0.20573931179480154,0.08487892090111271,0.2913398718011538,0.9588315333221928
13,0.5165963078671413,0.4787634988978342,0.6919273797862274,0.7691513210901592,RF,0.20828660517098208,0.08645150956260748,0.29402637562403733,0.9571616227150561
58,0.460621658869779,0.39690804709461663,0.6300063865506577,0.8054172516357663,RF,0.21118693968959984,0.08916928752841584,0.29861226955437686,0.9558139111517779
88,0.4806186534565676,0.4705854585171627,0.6859923166604439,0.7801753961169997,RF,0.21160855151955746,0.0895756834103121,0.2992919701734614,0.9554101574835747
53,0.5193245460514943,0.5028388468189253,0.7091113077782114,0.7478193616284852,RF,0.20878594110827728,0.08515040464315114,0.2918054225732468,0.9579764101058683
18,0.568983748175072,0.5789994197561128,0.760920113912172,0.7223806784088082,RF,0.20290135656938524,0.08060273006448648,0.2839061994118594,0.9600396739962304
8,0.5688416937711774,0.5934990819670217,0.7703889160463187,0.6930540911124632,RF,0.20446654099482084,0.08268719804190074,0.2875538176444554,0.9592326659593784
73,0.5718031124928025,0.5806258809474549,0.7619881107651582,0.7283414262946772,RF,0.20111897778016188,0.08074832196891334,0.2841624921922549,0.9598520748932737
33,0.5424738425967065,0.5260871676374064,0.7253186662684247,0.699688162659716,RF,0.21080072822425983,0.08936487784490921,0.29893958895554334,0.9564928005272371
28,0.5210303324180321,0.5061727925602275,0.7114582156108871,0.7380482701121205,RF,0.20863700126027748,0.0873997537986151,0.2956344935872929,0.957031502598903
83,0.5528920857940228,0.5794222704045222,0.7611979180242956,0.7159791897017664,RF,0.20684818193593496,0.08511932484837963,0.2917521633996561,0.957906512880103
78,0.5184504654540076,0.48449197841063474,0.6960545800514747,0.7421697828830371,RF,0.20641430757615895,0.08490976861753366,0.29139280810880297,0.9583690315804496
