column,MDEC-23,maxHsOH,LipoaffinityIndex,C1SP2,VC-5,maxssO,MLFER_A,ATSc3,SHsOH,minHsOH,ndssC,minsOH,nHBAcc,BCUTc-1h,MLogP,minHBa,MDEO-12,SCH-5,MDEC-33,VCH-7
MDEC-23,1.0,0.26662321582498455,0.7595323352413327,0.26653603403735077,0.2495883568691759,0.44155932173436224,0.24186971753131453,0.299389530691177,0.22771963620019894,0.27280686346929434,0.1792518687513024,0.2712371501360021,0.16806935195510886,0.18890835739568138,0.8646116665240915,0.2752854682230871,0.20833234247296967,0.09031725776002858,0.5489784366895838,0.3498097373826359
maxHsOH,0.26662321582498455,1.0,0.21766678044934165,0.4651699433247565,0.19593484634372751,0.17268159080784892,0.7420616775486788,0.22548498111699466,0.8672829317838406,0.9616459069922152,0.3147513142419042,0.9517628567823722,0.5357354338423634,0.2525816573305946,0.26213247209931634,0.24429339121136773,0.10208536397648744,0.3835661707963804,0.2033516943998021,0.21589793000988072
LipoaffinityIndex,0.7595323352413327,0.21766678044934165,1.0,0.30445285096589625,0.28462907966784995,0.33171532893028066,0.13939911191666504,0.29053689225692075,0.24010831948129022,0.2064268131538389,0.14647314331827058,0.19244955684002008,0.1481027064118796,0.2775940715082249,0.88016109967921,0.3041712411174052,0.18602158877109795,0.12166875478380938,0.21445074633430025,0.27584960601762964
C1SP2,0.26653603403735077,0.4651699433247565,0.30445285096589625,1.0,0.1676754055540944,0.14750316805967859,0.3457026290744815,0.46915821336586916,0.3878511014946357,0.4540125400106682,0.38796845160272514,0.5018961578219132,0.6322034076086501,0.5852127819820901,0.32765657726273345,0.2363608804043595,0.16335702952209272,0.29138673330247455,0.11335942905845185,0.12510844119943373
VC-5,0.2495883568691759,0.19593484634372751,0.28462907966784995,0.1676754055540944,1.0,0.1569233382055217,0.09805006990009386,0.1655068886013622,0.16152928535274982,0.26054921328027236,0.10516821762541566,0.15001752217846762,0.10361180679808175,0.16363257359039252,0.35469729634724567,0.23065968278193924,0.1872414685333521,0.1708358971132519,0.26313351529693046,0.6561838612420517
maxssO,0.44155932173436224,0.17268159080784892,0.33171532893028066,0.14750316805967859,0.1569233382055217,1.0,0.0836809522405322,0.2780711166237723,0.12399126442500974,0.1682809374196754,0.12967365600900913,0.15014636961226294,0.14738857270183542,0.1643478572667138,0.4093063240371324,0.2739003115547256,0.6769352821156818,0.06560599445112995,0.42747905688551524,0.1400720132262364
MLFER_A,0.24186971753131453,0.7420616775486788,0.13939911191666504,0.3457026290744815,0.09805006990009386,0.0836809522405322,1.0,0.19157305594487825,0.8879117658203759,0.685933496544859,0.29381490608716454,0.7022202968465793,0.41210691297455276,0.19948029750079174,0.16031596891672026,0.18454437475148158,0.15558366659023956,0.2648535855345953,0.29801612866477506,0.10291307288873751
ATSc3,0.299389530691177,0.22548498111699466,0.29053689225692075,0.46915821336586916,0.1655068886013622,0.2780711166237723,0.19157305594487825,1.0,0.2122956387017995,0.22214209791132122,0.2429819775348062,0.24489740870904803,0.4167435741069579,0.5211307184859298,0.3252410694885236,0.23874714146700693,0.2113044649359244,0.10630020908370004,0.19072945090784443,0.1994299273328741
SHsOH,0.22771963620019894,0.8672829317838406,0.24010831948129022,0.3878511014946357,0.16152928535274982,0.12399126442500974,0.8879117658203759,0.2122956387017995,1.0,0.8081441540134321,0.2946861474120584,0.7964992342292232,0.4962751295077911,0.20408834111331664,0.20782388417258302,0.2427890641330859,0.17690907451157123,0.32568288144231544,0.2644343521229571,0.17737512044464865
minHsOH,0.27280686346929434,0.9616459069922152,0.2064268131538389,0.4540125400106682,0.26054921328027236,0.1682809374196754,0.685933496544859,0.22214209791132122,0.8081441540134321,1.0,0.30262023490985374,0.9296765953970575,0.5422795480731496,0.21111076599301612,0.2542209635083017,0.23797999077874626,0.10743226221258152,0.3791368170946447,0.204423150861287,0.2532877807599105
ndssC,0.1792518687513024,0.3147513142419042,0.14647314331827058,0.38796845160272514,0.10516821762541566,0.12967365600900913,0.29381490608716454,0.2429819775348062,0.2946861474120584,0.30262023490985374,1.0,0.3250009043258558,0.41042597563700833,0.44617439059350567,0.10812318014537746,0.1014911550600774,0.2708950365585142,0.14610156165781585,0.28108279302825356,0.18731652887589093
minsOH,0.2712371501360021,0.9517628567823722,0.19244955684002008,0.5018961578219132,0.15001752217846762,0.15014636961226294,0.7022202968465793,0.24489740870904803,0.7964992342292232,0.9296765953970575,0.3250009043258558,1.0,0.5631507036758864,0.28667322591491756,0.2647558853567788,0.24928759180862486,0.07288205765163201,0.3661340941011344,0.18748012831021527,0.10211804733293944
nHBAcc,0.16806935195510886,0.5357354338423634,0.1481027064118796,0.6322034076086501,0.10361180679808175,0.14738857270183542,0.41210691297455276,0.4167435741069579,0.4962751295077911,0.5422795480731496,0.41042597563700833,0.5631507036758864,1.0,0.5030895546762681,0.1612616880261469,0.4032828064077578,0.16619271491443832,0.31485868308339215,0.13968414081616087,0.16668888373882054
