,features,importance
0,MDEC-23,1.0
1,maxHsOH,0.5744638477123026
2,LipoaffinityIndex,0.5732560814328714
3,C1SP2,0.2988732850468966
4,maxssO,0.22439510824469988
5,ATSc3,0.22165330571631023
6,BCUTc-1h,0.20908859654281797
7,VC-5,0.18023650136901131
8,BCUTp-1h,0.1679146127387856
9,mindssC,0.16718741248652363
10,MDEC-22,0.1654560972901653
11,SdssC,0.16044372433874582
12,SwHBa,0.16015785710659522
13,minHBa,0.1572081355436127
14,BCUTp-1l,0.15499276613946175
15,gmax,0.14782182398719657
16,CrippenLogP,0.14404618601120206
17,nwHBa,0.14393677315475595
18,maxHBd,0.13861328309573212
19,XLogP,0.13831275649805902
20,hmin,0.13706855042453336
21,MAXDP,0.13667754058390783
22,C2SP2,0.13573207045445365
23,TopoPSA,0.13505100064462885
24,ATSc4,0.1348640840048323
25,nHother,0.1323776619834044
26,SaasC,0.13202046547123644
27,minwHBa,0.13194971753875284
28,WTPT-5,0.12966076642019073
29,SHother,0.1295979236027844
30,nHBAcc,0.1291679807654854
31,MDEO-12,0.12715681795530254
32,naAromAtom,0.12690029789475601
33,nHaaCH,0.1267218746763222
34,naaCH,0.12631438454417704
35,minHBd,0.1250883055581067
36,nT6Ring,0.12457016955599684
37,maxHCsats,0.12421089381793114
38,minaasC,0.12402370741501581
39,nAromBond,0.1228785589279202
40,MDEC-33,0.12279351671127818
41,n6Ring,0.12261681434260907
42,SCH-7,0.12135757485625338
43,SP-7,0.12064352960596866
44,SPC-6,0.11963837335695603
45,VAdjMat,0.11879140309560017
46,ETA_Shape_Y,0.11788017109961149
47,SP-6,0.11741176188057241
48,VPC-6,0.11547008507569975
49,maxaasC,0.11405585830131909
50,WTPT-4,0.11233595994157214
51,SCH-6,0.11209935882102416
52,maxHother,0.11002284326335394
53,SP-5,0.1098393860311179
54,minssCH2,0.10891553968368162
55,C3SP2,0.10830622227002458
56,maxHaaCH,0.10626331047555748
57,ATSp5,0.10619534068955086
58,SPC-5,0.10540652125795512
59,ndssC,0.10399096410578082
60,minaaCH,0.10158681460915575
61,VP-5,0.10102476874388354
62,ATSp4,0.10010172990594574
63,nRing,0.09987163097024955
64,AMR,0.09951259969665188
65,hmax,0.09871108967531642
66,ETA_dEpsilon_A,0.0979438642297262
67,ETA_Beta_ns,0.09787957756701643
68,naasC,0.09747593446589581
69,VPC-5,0.0972431918708929
70,VP-6,0.09628963423868114
71,SP-4,0.09615374701696427
72,SssO,0.09582689202865713
73,ETA_dBetaP,0.09565929640287246
74,ETA_Epsilon_1,0.09517084444702784
75,ETA_BetaP,0.09487923545074739
76,VPC-4,0.09417428824313269
77,BCUTw-1h,0.09383468096812117
78,ATSc2,0.09368407373443316
79,MAXDN2,0.09365750336642917
80,ETA_Eta_F_L,0.09361990069540299
81,gmin,0.09313483118199095
82,nBondsD,0.09307940474079067
83,VABC,0.09234362119251766
84,VP-7,0.09224410969572974
85,ETA_EtaP_F,0.09215831562086421
86,apol,0.09116793128130385
87,SC-5,0.09079744358615233
88,maxwHBa,0.09045411764214761
89,Kier3,0.0904444998259413
90,ATSp1,0.09032421841965693
