,features,importance
0,ALogP,0.6280630104341913
1,ALogp2,0.5068051434564377
2,AMR,0.5814479457465075
3,apol,0.5533525438532373
4,naAromAtom,0.7766967814656459
5,nAromBond,0.770420999373023
6,nAtom,0.5544428912466802
7,nHeavyAtom,0.5563378275022957
8,nH,0.5597212652167409
9,nC,0.6105223709597984
10,nN,0.5242477010670809
11,nO,0.6074890413131613
12,ATSc1,0.5589188499475157
13,ATSc2,0.5859031692370664
14,ATSc3,0.7231782212119743
15,ATSc4,0.732338339012276
16,ATSc5,0.6480798591473623
17,ATSm1,0.5584566946875441
18,ATSm2,0.5690021880831704
19,ATSm3,0.5893235688123758
20,ATSm4,0.5936926447012626
21,ATSm5,0.5823705964115369
22,ATSp1,0.5878434156703038
23,ATSp2,0.6006165163867603
24,ATSp3,0.6249464405581047
25,ATSp4,0.6167302576854444
26,ATSp5,0.594727988489323
27,BCUTw-1l,0.6862133365943694
28,BCUTw-1h,0.5598380195274948
29,BCUTc-1h,0.6600283350432504
30,BCUTp-1l,0.7391620699810451
31,BCUTp-1h,0.779689670937672
32,nBonds,0.5688188187265774
33,nBonds2,0.5583040713824001
34,nBondsS,0.5549279569259312
35,nBondsS2,0.5508506662950352
36,nBondsS3,0.5607824203408467
37,nBondsD,0.711723421465796
38,nBondsD2,0.5354473600579217
39,nBondsM,0.7692298210198906
40,bpol,0.5595431396243956
41,C1SP2,0.5378886215467424
42,C2SP2,0.7837671308807722
43,C3SP2,0.6794968636276946
44,C1SP3,0.573595150654947
45,C2SP3,0.5417249391054785
46,SCH-5,0.5819312328343856
47,SCH-6,0.7099704752602581
48,SCH-7,0.7009618881997264
49,VCH-6,0.6040047736549126
50,VCH-7,0.5941898145273804
51,SC-3,0.5792269753860174
52,SC-5,0.620474060558973
53,VC-3,0.6065739699216176
54,VC-5,0.5757738545760571
55,SPC-4,0.6254891556253656
56,SPC-5,0.6781077096865783
57,SPC-6,0.6835884702238532
58,VPC-4,0.6589699962980743
59,VPC-5,0.6349811282135605
60,VPC-6,0.6132213333128368
61,SP-0,0.5495490496047108
62,SP-1,0.5589770723123062
63,SP-2,0.5654820552397034
64,SP-3,0.5920837745515051
65,SP-4,0.6231181752866193
66,SP-5,0.6397062758146762
67,SP-6,0.669989937441608
68,SP-7,0.6772521517302753
69,VP-0,0.554474674361474
70,VP-1,0.5587118260851284
71,VP-2,0.5704590299497524
72,VP-3,0.5959847123648945
73,VP-4,0.6220113488636931
74,VP-5,0.6348531798238976
75,VP-6,0.6322401862580879
76,VP-7,0.6271443625995297
77,CrippenLogP,0.7254552484914905
78,CrippenMR,0.5589643296863559
79,ECCEN,0.5208560023068197
80,nHBd,0.5243935978332118
81,nHBa,0.5447052413375972
82,nwHBa,0.7860116157951983
83,nHsOH,0.6447263891574966
84,nHaaCH,0.7614994821707004
85,nHCsats,0.5471789665458897
86,nHother,0.7604354754314048
87,nsCH3,0.5699721049838866
88,nssCH2,0.5604381530242062
89,naaCH,0.7614994821707004
90,ndssC,0.532969903244115
91,naasC,0.7519396195879781
92,nsOH,0.6447263891574966
93,ndO,0.5319749110883438
94,nssO,0.5989315778738695
95,SHBd,0.5301285505953368
96,SHBa,0.5520125810286753
97,SwHBa,0.7930044332727417
98,SHsOH,0.6618808434274956
99,SHaaCH,0.7591250629367444
100,SHCsats,0.5317052767028285
101,SHother,0.7514568334371241
102,SsCH3,0.5763022703924455
103,SssCH2,0.6352206419243123
104,SaaCH,0.7427917185465612
105,SdssC,0.7634712714256686
106,SaasC,0.7632355543757384
107,SsOH,0.6280397520662592
108,SdO,0.5282604623266477
109,SssO,0.5988650243188853
110,minHBd,0.7289757551639465
111,minHBa,0.6850475071479207
112,minwHBa,0.7684291684484802
113,minHsOH,0.7364562377367426
114,minHaaCH,0.7412856945206819
115,minHCsats,0.6420972468922617
116,minHother,0.7481163474598544
117,minsCH3,0.6085145279445453
118,minssCH2,0.7526138041977932
119,minaaCH,0.7072633240232596
120,mindssC,0.7758143088444635
121,minaasC,0.7368570191632985
122,minsOH,0.6680786263943717
123,mindO,0.5360066946059003
124,minssO,0.5898186833820466
125,maxHBd,0.7403861951086471
126,maxHBa,0.6855774979070791
127,maxwHBa,0.7285404659828215
128,maxHsOH,0.7170352096013647
129,maxHaaCH,0.750571742331741
130,maxHCsats,0.6985046887146685
131,maxHother,0.753810828174951
132,maxsCH3,0.6037325446594639
133,maxssCH2,0.675049092072235
134,maxaaCH,0.6695552709697372
135,maxaasC,0.7563662657815592
136,maxsOH,0.6811534708786959
137,maxdO,0.5403499780887916
138,maxssO,0.5744379470776254
139,sumI,0.5506523811337598
140,hmax,0.6809939920805079
141,gmax,0.7011766075692584
142,hmin,0.6779448191472465
143,gmin,0.6554938307341803
144,LipoaffinityIndex,0.8033688680627685
145,MAXDN,0.6489953572101765
146,MAXDP,0.722445769689626
