features,importance
LipoaffinityIndex,0.8033688680627685
MDEC-23,0.799675141729209
SwHBa,0.7930044332727417
MLogP,0.7880235179287924
n6Ring,0.7861197138771285
nwHBa,0.7860116157951983
nRing,0.785649141726415
C2SP2,0.7837671308807722
nT6Ring,0.7808854671425299
BCUTp-1h,0.779689670937672
naAromAtom,0.7766967814656459
mindssC,0.7758143088444635
nAromBond,0.770420999373023
nBondsM,0.7692298210198906
minwHBa,0.7684291684484802
ETA_Beta_ns,0.7657218468880262
ETA_EtaP_F,0.7645418870339858
SdssC,0.7634712714256686
SaasC,0.7632355543757384
nHaaCH,0.7614994821707004
naaCH,0.7614994821707004
nHother,0.7604354754314048
SHaaCH,0.7591250629367444
maxaasC,0.7563662657815592
XLogP,0.7561511465834146
maxHother,0.753810828174951
minssCH2,0.7526138041977932
naasC,0.7519396195879781
SHother,0.7514568334371241
maxHaaCH,0.750571742331741
minHother,0.7481163474598544
SaaCH,0.7427917185465612
minHaaCH,0.7412856945206819
maxHBd,0.7403861951086471
ETA_Shape_Y,0.7394204840055261
BCUTp-1l,0.7391620699810451
nAtomP,0.7368775146865881
minaasC,0.7368570191632985
minHsOH,0.7364562377367426
ATSc4,0.732338339012276
