,features,importance
0,ALogP,0.0009107440432917669
1,ALogp2,0.0007164018825744245
2,AMR,0.00011242967657523195
3,apol,0.00018578896110441612
4,naAromAtom,-8.929319433970129e-06
5,nAromBond,-6.333670853408968e-06
6,nAtom,9.225046736214271e-05
7,nHeavyAtom,6.944721575585788e-08
8,nH,0.0001856960287129672
9,nC,0.0018422537228311108
10,nN,-7.538662411998853e-05
11,nO,2.4863759277082843e-05
12,ATSc1,0.0019304741833946037
13,ATSc2,0.002184538670503544
14,ATSc3,0.0120370405574298
15,ATSc4,0.0017629325710410092
16,ATSc5,0.0026350023712674807
17,ATSm1,0.00022040848595590302
18,ATSm2,0.0001395543818736744
19,ATSm3,6.732121290915493e-05
20,ATSm4,0.00023815449471973338
21,ATSm5,-7.512791435937416e-05
22,ATSp1,2.842307229375951e-05
23,ATSp2,4.8365792065196975e-05
24,ATSp3,-4.796807408191661e-05
25,ATSp4,0.00021559822936008112
26,ATSp5,0.00013265207167523219
27,BCUTw-1l,0.00044038376815278555
28,BCUTw-1h,0.0006317318113092663
29,BCUTc-1h,0.006771642960870294
30,BCUTp-1l,0.001193502797714374
31,BCUTp-1h,0.0015975552426595874
32,nBonds,-3.2618608459045184e-05
33,nBonds2,0.00021329969975154573
34,nBondsS,4.449229184277926e-06
35,nBondsS2,-5.016939479285387e-05
36,nBondsS3,-2.187387375114369e-05
37,nBondsD,0.00016694078369643427
38,nBondsD2,0.00045721449461513244
39,nBondsM,-6.18588721370994e-05
40,bpol,0.001839378599418673
41,C1SP2,0.023312721953066152
42,C2SP2,0.00014834786056148186
43,C3SP2,0.0022827123274309137
44,C1SP3,0.00029397797221899504
45,C2SP3,0.00012525524950273147
46,SCH-5,0.004927113896394131
47,SCH-6,0.0012931222409262144
48,SCH-7,0.0022441396445282537
49,VCH-6,0.001476528083237305
50,VCH-7,0.003937983720579563
51,SC-3,0.001180777864722482
52,SC-5,-0.0010320402664691919
53,VC-3,0.00040150539744090443
54,VC-5,0.013736310688487463
55,SPC-4,0.000729206968727869
56,SPC-5,0.0003211026399832839
57,SPC-6,0.0004923198374239268
58,VPC-4,0.0005525073091478649
59,VPC-5,0.0007958857549413168
60,VPC-6,0.0022920586129154376
61,SP-0,6.876041200705174e-05
62,SP-1,1.6746235238751518e-05
63,SP-2,0.000141263108914913
64,SP-3,0.0001595958745537418
65,SP-4,2.7169032334750654e-05
66,SP-5,0.0006292746422996931
67,SP-6,0.0005653248450992132
68,SP-7,0.0005081678428402903
69,VP-0,1.5075521203833375e-05
70,VP-1,-0.00011099789559796403
71,VP-2,4.85657436955389e-05
72,VP-3,-0.00011774417553975792
73,VP-4,0.00021289773234061115
74,VP-5,0.00020465133404821146
75,VP-6,0.00013619576398440358
76,VP-7,0.0005309691360308566
77,CrippenLogP,0.0026067745517217135
78,CrippenMR,0.0001612747452450991
79,ECCEN,0.00044863598489823796
80,nHBd,1.0098849864093041e-05
81,nHBa,2.7904249467347596e-05
82,nwHBa,0.0016079036170406403
83,nHsOH,0.0001553701342782432
84,nHaaCH,0.00013109650764024926
85,nHCsats,8.654481013405934e-05
86,nHother,0.00015717849733551948
87,nsCH3,2.1396744624002652e-05
88,nssCH2,0.00033643645719019235
89,naaCH,7.6771867693326e-05
90,ndssC,0.009099531029637387
91,naasC,0.000181037619939306
92,nsOH,5.7218179484408435e-05
93,ndO,5.450751804358944e-06
94,nssO,0.00012761210411440515
95,SHBd,0.00101776567539964
96,SHBa,6.264894596543779e-05
97,SwHBa,0.0006063516330808483
98,SHsOH,0.01126950133029454
99,SHaaCH,0.0004560031263914466
100,SHCsats,0.0012032374160867664
101,SHother,0.0006054580678544807
102,SsCH3,3.738885582360574e-05
103,SssCH2,0.0006423518708133624
104,SaaCH,0.0007840652058508591
105,SdssC,0.0032469254875438836
106,SaasC,0.00039061613199926627
107,SsOH,0.0029164357475652157
108,SdO,0.0003825582623312007
109,SssO,0.000588197017104819
110,minHBd,0.0008756445745442098
111,minHBa,0.0055332625448748065
112,minwHBa,0.0002544735255093578
113,minHsOH,0.010414841524063512
114,minHaaCH,0.00025823674081035806
115,minHCsats,0.000506830237518563
116,minHother,-9.778261549164835e-05
117,minsCH3,-0.0001502500931592321
118,minssCH2,0.0007528450880750715
119,minaaCH,0.0006189838197654396
120,mindssC,0.0027586530412559095
121,minaasC,0.0008013706749653071
122,minsOH,0.008084398895947942
123,mindO,0.0010416554618413397
124,minssO,0.0017856633220721951
125,maxHBd,0.002090849299458508
126,maxHBa,0.0011273803952039252
127,maxwHBa,0.00014283753596975313
128,maxHsOH,0.05207144019609087
129,maxHaaCH,0.0005568142764574624
130,maxHCsats,-0.000194758192299882
131,maxHother,0.0009233989485383009
132,maxsCH3,0.0004084715316322596
133,maxssCH2,-0.0003008293931603401
134,maxaaCH,0.0003600926543421812
135,maxaasC,0.0012531693675874144
136,maxsOH,0.001861861600971726
137,maxdO,0.00039075410661928436
138,maxssO,0.01368223795030683
139,sumI,6.18822090539206e-05
140,hmax,0.0005844482591987887
141,gmax,0.0009201478540329822
142,hmin,0.0011272389457546606
143,gmin,0.0016508827742352627
144,LipoaffinityIndex,0.03776773629992529
145,MAXDN,0.002015482702918914
146,MAXDP,0.0011112479609326487
147,DELS,0.00036939968535931733
148,MAXDN2,-0.00012090094711967315
149,MAXDP2,0.0020858057236997187
150,DELS2,8.23903961806538e-05
151,ETA_Alpha,-0.00013776497418866996
152,ETA_Epsilon_1,0.0005041098454488413
153,ETA_dEpsilon_A,0.0005658334615540994
154,ETA_Shape_P,-0.0008332125851300942
155,ETA_Shape_Y,0.0035226927112545605
156,ETA_Beta,-8.614701603641972e-05
157,ETA_BetaP,-0.00013298980878457823
158,ETA_Beta_s,9.638157497990907e-05
159,ETA_Beta_ns,0.00011921196628184028
160,ETA_BetaP_ns,0.00014693518526800453
161,ETA_dBeta,0.00025800016077628387
162,ETA_dBetaP,0.00040147730924946503
163,ETA_Beta_ns_d,1.918632705413259e-05
164,ETA_Eta,-0.000146221598892593
165,ETA_EtaP,0.00024922132641289616
166,ETA_Eta_R,0.0001087304740167383
167,ETA_Eta_F,0.00014695313706325486
168,ETA_EtaP_F,-8.932084402488716e-05
169,ETA_Eta_L,4.0940232002295573e-05
170,ETA_EtaP_L,-3.771359099562499e-05
171,ETA_Eta_R_L,6.967214511919285e-05
172,ETA_Eta_F_L,0.0007718845395757512
173,ETA_EtaP_F_L,-0.0004964348215429348
174,ETA_Eta_B,0.000503213781086731
175,ETA_Eta_B_RC,0.00041172271909863947
176,FMF,0.000582811365584357
177,fragC,0.0007859872466194906
178,nHBAcc,0.007432752136738508
179,nHBAcc2,-2.0669947719031966e-05
180,nHBAcc3,5.583140011711229e-06
181,nHBAcc_Lipinski,0.0012429927241183636
182,nHBDon,4.268212675837546e-05
183,nHBDon_Lipinski,9.384342235128074e-05
184,HybRatio,0.00025951957508829615
185,Kier1,0.0002082129265843502
186,Kier2,0.0006448413385149454
187,Kier3,0.0019370127912754498
188,nAtomLC,0.00017903084291091
189,nAtomP,0.00012088548511908215
190,nAtomLAC,0.0006114599663137543
191,MLogP,0.006102047861915172
192,McGowan_Volume,0.00014354856478520083
193,MDEC-12,0.00026984881771330294
194,MDEC-13,0.0006499708120782266
195,MDEC-22,0.002330815844666678
196,MDEC-23,0.08417400446479233
197,MDEC-33,0.004111432879669729
198,MDEO-11,0.002589451594395209
199,MDEO-12,0.0050228238116890814
200,MLFER_A,0.01211415959754103
201,MLFER_BH,0.00039199887607215266
202,MLFER_BO,0.00038842233951521534
203,MLFER_S,0.001643179408665918
204,MLFER_E,9.282149257330285e-05
205,MLFER_L,-0.0001279940404080193
206,nRing,-8.496627068299566e-06
207,n5Ring,8.518538188360126e-05
208,n6Ring,-0.00020923260036922464
209,nFRing,0.0004868656852930364
210,nF10Ring,5.134385410592302e-05
211,nTRing,0.00027358788376066203
212,nT5Ring,9.102216551988284e-05
213,nT6Ring,0.00017840909181945363
214,nT10Ring,6.657619407630655e-05
215,nRotB,-0.00010355353229447583
216,TopoPSA,0.003572725930700016
217,VABC,0.00033819511551735904
218,VAdjMat,7.63426888435781e-05
219,MW,0.00010600329459711232
220,WTPT-1,8.896868585477336e-05
221,WTPT-3,0.0005367952819693489
222,WTPT-4,0.0014227339949739238
223,WTPT-5,0.0023582923132474455
224,WPATH,-5.175742566772001e-05
225,WPOL,0.00018052232410188386
226,XLogP,0.0026976446235779995
227,Zagreb,-3.701765502550636e-05
