,features,importance
0,ALogP,0.0023822801887933994
1,ALogp2,0.0024448657285302193
2,AMR,0.0012216546238602603
3,apol,0.0006471127355871253
4,naAromAtom,0.0002125097484080257
5,nAromBond,0.0006344033711829056
6,nAtom,0.0002756303259220384
7,nHeavyAtom,0.00010925817375638591
8,nH,0.0005318508622600814
9,nC,0.015507094869862492
10,nN,0.000476532815575693
11,nO,0.00012515682435984
12,ATSc1,0.0030707802036363803
13,ATSc2,0.005679719912059179
14,ATSc3,0.023563280724319458
15,ATSc4,0.005497709614973102
16,ATSc5,0.005239700348091651
17,ATSm1,0.0010579683830373888
18,ATSm2,0.0007827030012517612
19,ATSm3,0.0008433672338038333
20,ATSm4,0.001145097453819153
21,ATSm5,0.0018773444085465676
22,ATSp1,0.0006729097025079813
23,ATSp2,0.001008740583109366
24,ATSp3,0.0008647171593808753
25,ATSp4,0.0010488000551691751
26,ATSp5,0.0021104545272304398
27,BCUTw-1l,0.0010444808462543142
28,BCUTw-1h,0.0012149070953702535
29,BCUTc-1h,0.008118224691017402
30,BCUTp-1l,0.0032939671101603635
31,BCUTp-1h,0.006431310004474101
32,nBonds,0.0001225683282803562
33,nBonds2,0.00033810080685160113
34,nBondsS,0.0003934342059120695
35,nBondsS2,0.0007662453516250633
36,nBondsS3,0.0006244077313592805
37,nBondsD,0.0003623457269501254
38,nBondsD2,0.0005709823790309849
39,nBondsM,0.000615617160713869
40,bpol,0.0030510336229387877
41,C1SP2,0.0394041550022378
42,C2SP2,0.0004567089462877332
43,C3SP2,0.0025375317376805074
44,C1SP3,0.001101963039193004
45,C2SP3,0.0004116598399767473
46,SCH-5,0.006753379487449815
47,SCH-6,0.001760825663506686
48,SCH-7,0.004404841045260423
49,VCH-6,0.0021738164205945426
50,VCH-7,0.0036041205798376893
51,SC-3,0.0017465097150959005
52,SC-5,0.003033083385594934
53,VC-3,0.0021038789720382416
54,VC-5,0.010096885782034288
55,SPC-4,0.0018741644453921437
56,SPC-5,0.002563258521034888
57,SPC-6,0.005820101822657031
58,VPC-4,0.0022741398489125528
59,VPC-5,0.0027920958268094946
60,VPC-6,0.006339069239180543
61,SP-0,0.00046101037416444
62,SP-1,0.0002625611357042228
63,SP-2,0.0008215149892663368
64,SP-3,0.0009403459136233683
65,SP-4,0.0013136575193706877
66,SP-5,0.0019822731618711984
67,SP-6,0.0023689928791056666
68,SP-7,0.0023698420199875347
69,VP-0,0.0006164885099972613
70,VP-1,0.0013980784876062285
71,VP-2,0.0011440432642833205
72,VP-3,0.0016293091339949614
73,VP-4,0.0011491692779655505
74,VP-5,0.0016323123842609676
75,VP-6,0.0015884047221635432
76,VP-7,0.0020374769638323957
77,CrippenLogP,0.005122282383357189
78,CrippenMR,0.0009020349001669379
79,ECCEN,0.00237551729497184
80,nHBd,0.0001274363205895267
81,nHBa,0.00018357532639098114
82,nwHBa,0.000970423065076729
83,nHsOH,0.0004822191531604638
84,nHaaCH,0.00023342338212496797
85,nHCsats,0.0003099273748007781
86,nHother,0.00034407258271190646
87,nsCH3,0.00016879068413646494
88,nssCH2,0.00048343872139339656
89,naaCH,0.00030373710345530026
90,ndssC,0.008479019122373865
91,naasC,0.0003972352306120074
92,nsOH,0.00046188697482949247
93,ndO,9.946286526234026e-05
94,nssO,0.00015972007956369016
95,SHBd,0.003549698744674348
96,SHBa,0.0013942821143917122
97,SwHBa,0.0029704246742213577
98,SHsOH,0.020737468417986644
99,SHaaCH,0.001929667195734957
100,SHCsats,0.0023789736644150277
101,SHother,0.0018319881500529565
102,SsCH3,0.001068939726505191
103,SssCH2,0.0014153591227965053
104,SaaCH,0.003470041443088065
105,SdssC,0.007321183217472037
106,SaasC,0.002415883740966924
107,SsOH,0.006254896493742056
108,SdO,0.0011085443378053307
109,SssO,0.0017520468459628585
110,minHBd,0.002659312552800057
111,minHBa,0.01029635907305455
112,minwHBa,0.001754815498766104
113,minHsOH,0.017374786137032444
114,minHaaCH,0.0015636935404495787
115,minHCsats,0.0016951304811979016
116,minHother,0.0017698598728111857
117,minsCH3,0.0014654863541796496
118,minssCH2,0.0030807877456463933
119,minaaCH,0.0015953656921353324
120,mindssC,0.007095548006369967
121,minaasC,0.0018805614072711203
122,minsOH,0.020681306948031195
123,mindO,0.003243516030511967
124,minssO,0.021742705358942207
125,maxHBd,0.004245965323629133
126,maxHBa,0.003153429144763791
127,maxwHBa,0.002086675977221242
128,maxHsOH,0.061310489160164246
129,maxHaaCH,0.0016334554293349383
130,maxHCsats,0.00268158442867849
131,maxHother,0.002190000428668852
132,maxsCH3,0.0018115640055348645
133,maxssCH2,0.0019119984819403267
134,maxaaCH,0.0016373411555794639
135,maxaasC,0.003682695059019682
136,maxsOH,0.00382303742575673
137,maxdO,0.00105974037024412
138,maxssO,0.02935782728464603
139,sumI,0.0012022220370856269
140,hmax,0.0032563371354817957
141,gmax,0.0032364693556526597
142,hmin,0.005717909180930167
143,gmin,0.00398030143617572
144,LipoaffinityIndex,0.07311595431472974
145,MAXDN,0.002636254818211541
146,MAXDP,0.0037864744081657653
147,DELS,0.001395180544355392
148,MAXDN2,0.0018040327956112938
149,MAXDP2,0.004326250053123897
150,DELS2,0.0009414573252877505
151,ETA_Alpha,0.00045834656928069685
152,ETA_Epsilon_1,0.0010313272517511534
153,ETA_dEpsilon_A,0.001420707580927108
154,ETA_Shape_P,0.00213622679038519
155,ETA_Shape_Y,0.007693350958311867
156,ETA_Beta,0.0011157758272054266
157,ETA_BetaP,0.0010281968457651531
158,ETA_Beta_s,0.0004356720886299606
159,ETA_Beta_ns,0.0004807465579945378
160,ETA_BetaP_ns,0.000600325020734223
161,ETA_dBeta,0.0008161359417738093
162,ETA_dBetaP,0.0015894505842293089
163,ETA_Beta_ns_d,0.0005181458349011133
164,ETA_Eta,0.000927772042022647
165,ETA_EtaP,0.0012189008983780726
166,ETA_Eta_R,0.0008431679161075927
167,ETA_Eta_F,0.001398786589302018
168,ETA_EtaP_F,0.003140089349284435
169,ETA_Eta_L,0.0007229103075414155
170,ETA_EtaP_L,0.0011580931709573017
171,ETA_Eta_R_L,0.0003201298042343323
172,ETA_Eta_F_L,0.0014302882313513656
173,ETA_EtaP_F_L,0.001254414558005501
174,ETA_Eta_B,0.0014951648547830254
175,ETA_Eta_B_RC,0.0011014952708963389
176,FMF,0.001881256080462376
177,fragC,0.0016880715506181754
178,nHBAcc,0.013254555608940814
179,nHBAcc2,0.0003167893332761334
180,nHBAcc3,0.0001372440996961091
181,nHBAcc_Lipinski,0.003260038345096229
182,nHBDon,0.00014432811549403498
183,nHBDon_Lipinski,0.00026516696609766265
184,HybRatio,0.0006858028091143129
185,Kier1,0.0005512443347119793
186,Kier2,0.0018742826330585556
187,Kier3,0.003447917304284731
188,nAtomLC,0.0007791422075073536
189,nAtomP,0.0016140521095045924
190,nAtomLAC,0.0011115591567087818
191,MLogP,0.03894984341518256
192,McGowan_Volume,0.0005669769509616046
193,MDEC-12,0.001372043660306006
194,MDEC-13,0.0018135986477360317
195,MDEC-22,0.0035392732944014337
196,MDEC-23,0.15537736901104457
197,MDEC-33,0.007308642090865505
198,MDEO-11,0.002261306323284733
199,MDEO-12,0.009951488741771375
200,MLFER_A,0.026021748510319045
201,MLFER_BH,0.004092685869419573
202,MLFER_BO,0.002908606721141908
203,MLFER_S,0.0035829274344000013
204,MLFER_E,0.0033351591107740742
205,MLFER_L,0.001312621814980653
206,nRing,0.00010964450085956645
207,n5Ring,0.0001608312500198692
208,n6Ring,0.0006273482076503873
209,nFRing,0.0014084319716414259
210,nF10Ring,0.00014190718395506796
211,nTRing,0.0005450949326445134
212,nT5Ring,0.00015283623587076964
213,nT6Ring,0.00028482263390934624
214,nT10Ring,0.00013018888348709638
215,nRotB,0.0007728173658033493
216,TopoPSA,0.01124643757068694
217,VABC,0.0009276048077044355
218,VAdjMat,0.00012596147916255058
219,MW,0.0006004998752966
220,WTPT-1,0.0005681083444606478
221,WTPT-3,0.0023557420628857874
222,WTPT-4,0.003822904248246297
223,WTPT-5,0.00748427926523272
224,WPATH,0.0009583275214750938
225,WPOL,0.00047855368534953526
226,XLogP,0.005054310867771201
227,Zagreb,0.00026756307803953866
