,features,importance
298,MDEC-23,0.13116589903239356
244,LipoaffinityIndex,0.07113715657847589
215,maxHsOH,0.06537625549407401
196,minsssN,0.04549800763363837
45,C1SP2,0.03495534939256965
291,MLogP,0.0325392934852564
308,MLFER_A,0.02835919172684478
236,maxssO,0.019165996925394207
199,minssO,0.018063487322608936
17,ATSc3,0.017111548643509555
197,minsOH,0.016942762682001986
139,SHsOH,0.015655455962977287
177,minHsOH,0.012911217630831967
278,nHBAcc,0.012711418757872425
9,nC,0.010882548164370525
171,minHBint5,0.01064660697898174
329,TopoPSA,0.010230753786145933
63,VC-5,0.009329868754329928
35,BCUTp-1h,0.009303491020549101
303,MDEO-12,0.008230681247764023
114,ndssC,0.007187232012387438
190,mindssC,0.0071398834648651556
336,WTPT-5,0.006673477672342587
176,minHBint10,0.006445879036807006
159,SsOH,0.0063698669903898605
300,MDEC-33,0.006361607979917477
166,minHBa,0.0060518264347019885
138,SHBint10,0.005987517713356576
255,ETA_Shape_Y,0.00537764786050823
33,BCUTc-1h,0.005187317843468203
16,ATSc2,0.005021506178740007
152,SdssC,0.0048682495978790005
242,hmin,0.004756269947526947
66,SPC-6,0.0046153643478907104
52,SCH-5,0.0044082087217523335
18,ATSc4,0.004261775505851749
234,maxsOH,0.004247764848606378
339,XLogP,0.004141101324388554
86,CrippenLogP,0.004125529921235571
69,VPC-6,0.003741349180908201
227,maxsssCH,0.0036785100610148597
19,ATSc5,0.003637460838240651
309,MLFER_BH,0.003621983184196128
301,MDEC-34,0.003621517107793864
228,maxdssC,0.0034438296663248658
134,SHBint6,0.0034115957417224355
243,gmin,0.0033498588154686946
281,nHBAcc_Lipinski,0.0033161759550175717
56,VCH-7,0.0031799215946057297
203,maxHBd,0.003167931380408786
249,MAXDP2,0.0031677779697354812
34,BCUTp-1l,0.0030393172439158902
209,maxHBint5,0.0030324304422491813
15,ATSc1,0.0030194454727319946
335,WTPT-4,0.0030038611129123475
212,maxHBint8,0.0030034661181171695
54,SCH-7,0.002987612114641997
311,MLFER_S,0.002961868672932185
287,Kier3,0.0029323424299106645
297,MDEC-22,0.002865043399808922
129,SwHBa,0.0028547773743345475
172,minHBint6,0.002771345921125309
127,SHBd,0.002728938464365377
245,MAXDN,0.002708265943561741
68,VPC-5,0.0026663986458686736
246,MAXDP,0.002640414578790706
198,mindO,0.0026357996707295803
173,minHBint7,0.00263462648255766
229,maxaasC,0.0025941582453322632
150,SaaCH,0.0025611537665009955
47,C3SP2,0.0025422275691156836
268,ETA_EtaP_F,0.0024351224705431544
0,ALogP,0.0023825788092283677
310,MLFER_BO,0.002322425871717331
312,MLFER_E,0.0023128099402225854
248,MAXDN2,0.0022362211053961155
240,hmax,0.002233761473489922
186,minssCH2,0.002165696170417788
65,SPC-5,0.0021601198240422175
165,minHBd,0.0021078387367989017
1,ALogp2,0.002087802700933087
174,minHBint8,0.002080152200608924
144,SHCsatu,0.0020534267621181387
214,maxHBint10,0.002046618192247659
29,ATSp5,0.0019839175878535037
